task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
BFS,"[(JEB, YOD), (JEB, YMC), (JEB, AXS), (JEB, USM), (JEB, ZZU), (JEB, ADW), (JEB, WTW), (YOD, AXS), (YOD, USM), (YOD, ZZU), (YOD, ADW), (YMC, AXS), (YMC, ZZU), (YMC, ADW), (AXS, WTW), (USM, ADW), (USM, WTW), (ZZU, WTW)]","{JEB: [YOD, YMC, AXS, USM, ZZU, ADW, WTW],
YOD: [JEB, AXS, USM, ZZU, ADW],
YMC: [JEB, AXS, ZZU, ADW],
AXS: [JEB, YOD, YMC, WTW],
USM: [JEB, YOD, ADW, WTW],
ZZU: [JEB, YOD, YMC, WTW],
ADW: [JEB, YOD, YMC, USM],
WTW: [JEB, AXS, USM, ZZU]}","Node JEB is connected to nodes YOD, YMC, AXS, USM, ZZU, ADW, WTW.
Node YOD is connected to nodes JEB, AXS, USM, ZZU, ADW.
Node YMC is connected to nodes JEB, AXS, ZZU, ADW.
Node AXS is connected to nodes JEB, YOD, YMC, WTW.
Node USM is connected to nodes JEB, YOD, ADW, WTW.
Node ZZU is connected to nodes JEB, YOD, YMC, WTW.
Node ADW is connected to nodes JEB, YOD, YMC, USM.
Node WTW is connected to nodes JEB, AXS, USM, ZZU.","[YOD, USM, YMC, AXS, ADW, ZZU, WTW, JEB]",8,18,False,"Start from node AXS, output a sequence of traversal in breadth-first search (BFS) order.","[AXS, JEB, YOD, YMC, WTW, USM, ZZU, ADW]","Let's run breadth-first search (BFS) step by step.
Visit node AXS. Unvisited neighbors of node AXS are [JEB, YOD, YMC, WTW].
Visit node JEB. Unvisited neighbors of node JEB are [USM, ZZU, ADW].
Visit node YOD. 
Visit node YMC. 
Visit node WTW. 
Visit node USM. 
Visit node ZZU. 
Visit node ADW. 
So the BFS traversal is ","('[[AXS, JEB, YOD, YMC, ADW, WTW, USM, ZZU], [AXS, JEB, YOD, YMC, WTW, USM, ZZU, ADW], [AXS, USM, WTW, JEB, ZZU, ADW, YOD, YMC], [AXS, JEB, ZZU, ADW, YOD, YMC, WTW, USM]]',)",1,0
BFS,"[(BVL, RWX), (BVL, VTL), (BVL, EVR), (BVL, DIC), (BVL, HUD), (RWX, MYQ), (RWX, EVR), (RWX, VDH), (RWX, MCN), (RWX, HUD), (VTL, VDH), (VTL, MCN), (VTL, DIC), (VTL, MYQ), (EVR, VDH), (DIC, XFX), (HUD, VDH), (HUD, MCN), (MYQ, XFX), (MCN, XFX), (MCN, HUP), (XFX, HUP)]","{BVL: [RWX, VTL, EVR, DIC, HUD],
RWX: [BVL, MYQ, EVR, VDH, MCN, HUD],
VTL: [BVL, VDH, MCN, DIC, MYQ],
EVR: [BVL, RWX, VDH],
DIC: [BVL, VTL, XFX],
HUD: [BVL, RWX, VDH, MCN],
MYQ: [RWX, VTL, XFX],
VDH: [RWX, VTL, EVR, HUD],
MCN: [RWX, VTL, XFX, HUD, HUP],
XFX: [MYQ, HUP, DIC, MCN],
HUP: [XFX, MCN]}","Node BVL is connected to nodes RWX, VTL, EVR, DIC, HUD.
Node RWX is connected to nodes BVL, MYQ, EVR, VDH, MCN, HUD.
Node VTL is connected to nodes BVL, VDH, MCN, DIC, MYQ.
Node EVR is connected to nodes BVL, RWX, VDH.
Node DIC is connected to nodes BVL, VTL, XFX.
Node HUD is connected to nodes BVL, RWX, VDH, MCN.
Node MYQ is connected to nodes RWX, VTL, XFX.
Node VDH is connected to nodes RWX, VTL, EVR, HUD.
Node MCN is connected to nodes RWX, VTL, XFX, HUD, HUP.
Node XFX is connected to nodes MYQ, HUP, DIC, MCN.
Node HUP is connected to nodes XFX, MCN.","[HUP, VTL, DIC, MCN, BVL, MYQ, XFX, EVR, VDH, HUD, RWX]",11,22,False,"Start from node MCN, output a sequence of traversal in breadth-first search (BFS) order.","[MCN, RWX, VTL, XFX, HUD, HUP, BVL, MYQ, EVR, VDH, DIC]","Let's run breadth-first search (BFS) step by step.
Visit node MCN. Unvisited neighbors of node MCN are [RWX, VTL, XFX, HUD, HUP].
Visit node RWX. Unvisited neighbors of node RWX are [BVL, MYQ, EVR, VDH].
Visit node VTL. Unvisited neighbors of node VTL are [DIC].
Visit node XFX. 
Visit node HUD. 
Visit node HUP. 
Visit node BVL. 
Visit node MYQ. 
Visit node EVR. 
Visit node VDH. 
Visit node DIC. 
So the BFS traversal is ","('[[MCN, RWX, VTL, XFX, HUD, EVR, MYQ, VDH, DIC, BVL, HUP], [MCN, RWX, VTL, XFX, HUD, HUP, BVL, MYQ, EVR, VDH, DIC], [MCN, XFX, MYQ, VDH, VTL, HUD, BVL, DIC, HUP, RWX, EVR], [MCN, RWX, VTL, EVR, VDH, DIC, XFX, HUD, HUP, BVL, MYQ]]',)",1,1
BFS,"[(MIA, HTV), (MIA, ADL), (HTV, KGS), (HTV, HQQ), (HTV, VVC), (HTV, ADL), (HTV, HAW), (ADL, HTV), (HAW, MIA), (SNX, HTV), (SNX, JAY), (SNX, MXB), (SNX, HAW), (JAY, ADL), (JAY, MIA), (JAY, MCZ), (JAY, KGS), (MXB, MCZ), (KGS, VVC), (KGS, JAY), (HQQ, JAY), (HQQ, ADL), (HQQ, HAW), (HQQ, HTV), (HQQ, PQR), (VVC, ADL), (VVC, HAW), (VVC, PQR), (VVC, HQQ), (PQR, MCZ), (PQR, KGS), (MCZ, HQQ), (MCZ, VVC), (MCZ, MIA)]","{MIA: [HTV, ADL],
HTV: [KGS, HQQ, VVC, ADL, HAW],
ADL: [HTV],
HAW: [MIA],
SNX: [HTV, JAY, MXB, HAW],
JAY: [ADL, MIA, MCZ, KGS],
MXB: [MCZ],
KGS: [VVC, JAY],
HQQ: [JAY, ADL, HAW, HTV, PQR],
VVC: [ADL, HAW, PQR, HQQ],
PQR: [MCZ, KGS],
MCZ: [HQQ, VVC, MIA]}","Node MIA is connected to nodes HTV, ADL.
Node HTV is connected to nodes KGS, HQQ, VVC, ADL, HAW.
Node ADL is connected to node HTV.
Node HAW is connected to node MIA.
Node SNX is connected to nodes HTV, JAY, MXB, HAW.
Node JAY is connected to nodes ADL, MIA, MCZ, KGS.
Node MXB is connected to node MCZ.
Node KGS is connected to nodes VVC, JAY.
Node HQQ is connected to nodes JAY, ADL, HAW, HTV, PQR.
Node VVC is connected to nodes ADL, HAW, PQR, HQQ.
Node PQR is connected to nodes MCZ, KGS.
Node MCZ is connected to nodes HQQ, VVC, MIA.","[SNX, ADL, HAW, HTV, PQR, KGS, HQQ, JAY, MXB, MCZ, MIA, VVC]",12,34,True,"Start from node MXB, output a sequence of traversal in breadth-first search (BFS) order.","[MXB, MCZ, HQQ, VVC, MIA, JAY, ADL, HAW, HTV, PQR, KGS]","Let's run breadth-first search (BFS) step by step.
Visit node MXB. Unvisited neighbors of node MXB are [MCZ].
Visit node MCZ. Unvisited neighbors of node MCZ are [HQQ, VVC, MIA].
Visit node HQQ. Unvisited neighbors of node HQQ are [JAY, ADL, HAW, HTV, PQR].
Visit node VVC. 
Visit node MIA. 
Visit node JAY. Unvisited neighbors of node JAY are [KGS].
Visit node ADL. 
Visit node HAW. 
Visit node HTV. 
Visit node PQR. 
Visit node KGS. 
So the BFS traversal is ","('[[MXB, JAY, MCZ, PQR, MIA, VVC, HAW, HQQ, HTV, ADL, KGS], [MXB, MCZ, HQQ, HTV, PQR, KGS, VVC, MIA, JAY, ADL, HAW], [MXB, MCZ, HQQ, VVC, MIA, JAY, ADL, HAW, HTV, PQR, KGS], [MXB, MCZ, HQQ, VVC, MIA, PQR, ADL, KGS, HTV, HAW, JAY]]',)",2,2
BFS,"[(CYH, XJO), (CYH, JEB), (JEB, TNL), (QQS, EBK), (QQS, XKE), (EBK, XKE), (XKE, FIM), (TNL, FIM)]","{CYH: [XJO, JEB],
XJO: [CYH],
JEB: [CYH, TNL],
QQS: [EBK, XKE],
EBK: [QQS, XKE],
XKE: [QQS, EBK, FIM],
TNL: [FIM, JEB],
FIM: [TNL, XKE]}","Node CYH is connected to nodes XJO, JEB.
Node XJO is connected to node CYH.
Node JEB is connected to nodes CYH, TNL.
Node QQS is connected to nodes EBK, XKE.
Node EBK is connected to nodes QQS, XKE.
Node XKE is connected to nodes QQS, EBK, FIM.
Node TNL is connected to nodes FIM, JEB.
Node FIM is connected to nodes TNL, XKE.","[TNL, XKE, EBK, FIM, XJO, QQS, CYH, JEB]",8,8,False,"Start from node TNL, output a sequence of traversal in breadth-first search (BFS) order.","[TNL, FIM, JEB, XKE, CYH, QQS, EBK, XJO]","Let's run breadth-first search (BFS) step by step.
Visit node TNL. Unvisited neighbors of node TNL are [FIM, JEB].
Visit node FIM. Unvisited neighbors of node FIM are [XKE].
Visit node JEB. Unvisited neighbors of node JEB are [CYH].
Visit node XKE. Unvisited neighbors of node XKE are [QQS, EBK].
Visit node CYH. Unvisited neighbors of node CYH are [XJO].
Visit node QQS. 
Visit node EBK. 
Visit node XJO. 
So the BFS traversal is ","('[[TNL, FIM, EBK, XJO, JEB, XKE, CYH, QQS], [TNL, FIM, JEB, XKE, CYH, QQS, EBK, XJO], [TNL, FIM, JEB, XKE, CYH, EBK, QQS, XJO], [TNL, CYH, XJO, QQS, FIM, EBK, XKE, JEB]]',)",1,3
BFS,"[(DGC, OGS), (DGC, DGS), (DGC, DDH), (DGC, BQA), (OGS, DGC), (DDH, KRR), (DDH, OGS), (BQA, DGC), (BQA, PYH), (RUG, KRR), (RUG, DDH), (KRR, DGS), (KRR, DDH), (XES, DGC), (IDN, PYH), (IDN, DGC), (PYH, BQA), (PYH, DDH), (ZDC, BQA), (ZDC, RUG), (ZDC, IDN), (JNG, LZN), (JNG, DGS), (JNG, DDH), (JNG, IDN), (LZN, RUG), (LZN, XES), (LZN, OGS), (LZN, DDH)]","{DGC: [OGS, DGS, DDH, BQA],
OGS: [DGC],
DGS: [],
DDH: [KRR, OGS],
BQA: [DGC, PYH],
RUG: [KRR, DDH],
KRR: [DGS, DDH],
XES: [DGC],
IDN: [PYH, DGC],
PYH: [BQA, DDH],
ZDC: [BQA, RUG, IDN],
JNG: [LZN, DGS, DDH, IDN],
LZN: [RUG, XES, OGS, DDH]}","Node DGC is connected to nodes OGS, DGS, DDH, BQA.
Node OGS is connected to node DGC.
Node DDH is connected to nodes KRR, OGS.
Node BQA is connected to nodes DGC, PYH.
Node RUG is connected to nodes KRR, DDH.
Node KRR is connected to nodes DGS, DDH.
Node XES is connected to node DGC.
Node IDN is connected to nodes PYH, DGC.
Node PYH is connected to nodes BQA, DDH.
Node ZDC is connected to nodes BQA, RUG, IDN.
Node JNG is connected to nodes LZN, DGS, DDH, IDN.
Node LZN is connected to nodes RUG, XES, OGS, DDH.","[DGS, DDH, JNG, PYH, OGS, XES, BQA, ZDC, DGC, IDN, KRR, LZN, RUG]",13,29,True,"Start from node BQA, output a sequence of traversal in breadth-first search (BFS) order.","[BQA, DGC, PYH, OGS, DGS, DDH, KRR]","Let's run breadth-first search (BFS) step by step.
Visit node BQA. Unvisited neighbors of node BQA are [DGC, PYH].
Visit node DGC. Unvisited neighbors of node DGC are [OGS, DGS, DDH].
Visit node PYH. 
Visit node OGS. 
Visit node DGS. 
Visit node DDH. Unvisited neighbors of node DDH are [KRR].
Visit node KRR. 
So the BFS traversal is ","('[[BQA, OGS, DDH, KRR, PYH, DGC, DGS], [BQA, DGC, PYH, DDH, DGS, OGS, KRR], [BQA, DGC, DDH, KRR, PYH, OGS, DGS], [BQA, DGC, PYH, OGS, DGS, DDH, KRR]]',)",3,4
BFS,"[(PGC, DKK), (PGC, QPO), (PGC, GOB), (QPO, YXX), (QPO, PRD), (QPO, KMD), (QPO, MHJ), (YXX, JCG), (YXX, OBT), (YXX, ZEA)]","{PGC: [DKK, QPO, GOB],
DKK: [PGC],
QPO: [PGC, YXX, PRD, KMD, MHJ],
GOB: [PGC],
YXX: [JCG, QPO, OBT, ZEA],
JCG: [YXX],
OBT: [YXX],
ZEA: [YXX],
PRD: [QPO],
KMD: [QPO],
MHJ: [QPO]}","Node PGC is connected to nodes DKK, QPO, GOB.
Node DKK is connected to node PGC.
Node QPO is connected to nodes PGC, YXX, PRD, KMD, MHJ.
Node GOB is connected to node PGC.
Node YXX is connected to nodes JCG, QPO, OBT, ZEA.
Node JCG is connected to node YXX.
Node OBT is connected to node YXX.
Node ZEA is connected to node YXX.
Node PRD is connected to node QPO.
Node KMD is connected to node QPO.
Node MHJ is connected to node QPO.","[MHJ, PRD, ZEA, KMD, JCG, OBT, PGC, YXX, QPO, GOB, DKK]",11,10,False,"Start from node YXX, output a sequence of traversal in breadth-first search (BFS) order.","[YXX, JCG, QPO, OBT, ZEA, PGC, PRD, KMD, MHJ, DKK, GOB]","Let's run breadth-first search (BFS) step by step.
Visit node YXX. Unvisited neighbors of node YXX are [JCG, QPO, OBT, ZEA].
Visit node JCG. 
Visit node QPO. Unvisited neighbors of node QPO are [PGC, PRD, KMD, MHJ].
Visit node OBT. 
Visit node ZEA. 
Visit node PGC. Unvisited neighbors of node PGC are [DKK, GOB].
Visit node PRD. 
Visit node KMD. 
Visit node MHJ. 
Visit node DKK. 
Visit node GOB. 
So the BFS traversal is ","('[[YXX, JCG, QPO, MHJ, DKK, GOB, OBT, ZEA, PGC, PRD, KMD], [YXX, JCG, QPO, OBT, ZEA, PGC, PRD, KMD, MHJ, DKK, GOB], [YXX, MHJ, KMD, QPO, PRD, PGC, OBT, JCG, DKK, GOB, ZEA], [YXX, JCG, QPO, OBT, ZEA, PRD, KMD, MHJ, DKK, GOB, PGC]]',)",1,5
BFS,"[(IHU, SKR), (IHU, XXM), (IHU, CDV), (IHU, KCC), (IHU, KZI), (SKR, RUE), (SKR, MEN), (SKR, XXM), (SKR, CDV), (SKR, KCC), (SKR, AHM), (SKR, KZI), (XXM, RUE), (XXM, MEN), (XXM, CDV), (XXM, AHM), (XXM, KZI), (CDV, MEN), (CDV, AHM), (KCC, RUE), (KCC, MEN), (KCC, AHM), (KCC, KZI), (KZI, RUE), (KZI, AHM), (RUE, MEN), (MEN, AHM)]","{IHU: [SKR, XXM, CDV, KCC, KZI],
SKR: [IHU, RUE, MEN, XXM, CDV, KCC, AHM, KZI],
XXM: [IHU, SKR, RUE, MEN, CDV, AHM, KZI],
CDV: [IHU, SKR, MEN, XXM, AHM],
KCC: [IHU, SKR, RUE, MEN, AHM, KZI],
KZI: [IHU, SKR, RUE, XXM, KCC, AHM],
RUE: [SKR, MEN, XXM, KCC, KZI],
MEN: [SKR, RUE, XXM, CDV, KCC, AHM],
AHM: [SKR, MEN, XXM, CDV, KCC, KZI]}","Node IHU is connected to nodes SKR, XXM, CDV, KCC, KZI.
Node SKR is connected to nodes IHU, RUE, MEN, XXM, CDV, KCC, AHM, KZI.
Node XXM is connected to nodes IHU, SKR, RUE, MEN, CDV, AHM, KZI.
Node CDV is connected to nodes IHU, SKR, MEN, XXM, AHM.
Node KCC is connected to nodes IHU, SKR, RUE, MEN, AHM, KZI.
Node KZI is connected to nodes IHU, SKR, RUE, XXM, KCC, AHM.
Node RUE is connected to nodes SKR, MEN, XXM, KCC, KZI.
Node MEN is connected to nodes SKR, RUE, XXM, CDV, KCC, AHM.
Node AHM is connected to nodes SKR, MEN, XXM, CDV, KCC, KZI.","[XXM, KCC, IHU, RUE, CDV, MEN, KZI, AHM, SKR]",9,27,False,"Start from node AHM, output a sequence of traversal in breadth-first search (BFS) order.","[AHM, SKR, MEN, XXM, CDV, KCC, KZI, IHU, RUE]","Let's run breadth-first search (BFS) step by step.
Visit node AHM. Unvisited neighbors of node AHM are [SKR, MEN, XXM, CDV, KCC, KZI].
Visit node SKR. Unvisited neighbors of node SKR are [IHU, RUE].
Visit node MEN. 
Visit node XXM. 
Visit node CDV. 
Visit node KCC. 
Visit node KZI. 
Visit node IHU. 
Visit node RUE. 
So the BFS traversal is ","('[[AHM, SKR, MEN, KZI, IHU, RUE, XXM, CDV, KCC], [AHM, SKR, CDV, KCC, RUE, KZI, XXM, MEN, IHU], [AHM, SKR, MEN, XXM, IHU, CDV, RUE, KCC, KZI], [AHM, SKR, MEN, XXM, CDV, KCC, KZI, IHU, RUE]]',)",3,6
BFS,"[(TRE, FEM), (TRE, TUI), (TRE, BVA), (TRE, HQZ), (TRE, SER), (FEM, BVA), (FEM, IVX), (FEM, VPN), (FEM, ZFP), (FEM, TUI), (TUI, VPN), (TUI, HQZ), (BVA, ZFP), (SER, VPN), (SER, ZFP), (IVX, VPN), (IVX, IHF), (IVX, ZFP), (VPN, IHF), (ZFP, IHF)]","{TRE: [FEM, TUI, BVA, HQZ, SER],
FEM: [TRE, BVA, IVX, VPN, ZFP, TUI],
TUI: [TRE, FEM, VPN, HQZ],
BVA: [TRE, FEM, ZFP],
HQZ: [TRE, TUI],
SER: [TRE, VPN, ZFP],
IVX: [FEM, VPN, IHF, ZFP],
VPN: [FEM, TUI, IHF, IVX, SER],
ZFP: [FEM, BVA, IHF, IVX, SER],
IHF: [VPN, IVX, ZFP]}","Node TRE is connected to nodes FEM, TUI, BVA, HQZ, SER.
Node FEM is connected to nodes TRE, BVA, IVX, VPN, ZFP, TUI.
Node TUI is connected to nodes TRE, FEM, VPN, HQZ.
Node BVA is connected to nodes TRE, FEM, ZFP.
Node HQZ is connected to nodes TRE, TUI.
Node SER is connected to nodes TRE, VPN, ZFP.
Node IVX is connected to nodes FEM, VPN, IHF, ZFP.
Node VPN is connected to nodes FEM, TUI, IHF, IVX, SER.
Node ZFP is connected to nodes FEM, BVA, IHF, IVX, SER.
Node IHF is connected to nodes VPN, IVX, ZFP.","[BVA, FEM, TRE, IVX, TUI, IHF, VPN, ZFP, SER, HQZ]",10,20,False,"Start from node HQZ, output a sequence of traversal in breadth-first search (BFS) order.","[HQZ, TRE, TUI, FEM, BVA, SER, VPN, IVX, ZFP, IHF]","Let's run breadth-first search (BFS) step by step.
Visit node HQZ. Unvisited neighbors of node HQZ are [TRE, TUI].
Visit node TRE. Unvisited neighbors of node TRE are [FEM, BVA, SER].
Visit node TUI. Unvisited neighbors of node TUI are [VPN].
Visit node FEM. Unvisited neighbors of node FEM are [IVX, ZFP].
Visit node BVA. 
Visit node SER. 
Visit node VPN. Unvisited neighbors of node VPN are [IHF].
Visit node IVX. 
Visit node ZFP. 
Visit node IHF. 
So the BFS traversal is ","('[[HQZ, TRE, TUI, FEM, BVA, SER, VPN, IVX, ZFP, IHF], [HQZ, TRE, TUI, IVX, ZFP, IHF, FEM, BVA, SER, VPN], [HQZ, FEM, SER, IVX, ZFP, VPN, TUI, BVA, TRE, IHF], [HQZ, TRE, TUI, FEM, BVA, SER, IVX, IHF, VPN, ZFP]]',)",0,7
BFS,"[(FDQ, CPX), (FDQ, KNI), (FDQ, CWO), (FDQ, VTR), (FDQ, AWR), (CPX, CWO), (CPX, VTR), (CPX, AWR), (KNI, AWR), (KNI, FDQ), (CWO, YDW), (CWO, VKE), (VTR, CPX), (VTR, CWO), (YDW, CPX), (YDW, VKE)]","{FDQ: [CPX, KNI, CWO, VTR, AWR],
CPX: [CWO, VTR, AWR],
KNI: [AWR, FDQ],
CWO: [YDW, VKE],
VTR: [CPX, CWO],
AWR: [],
YDW: [CPX, VKE],
VKE: []}","Node FDQ is connected to nodes CPX, KNI, CWO, VTR, AWR.
Node CPX is connected to nodes CWO, VTR, AWR.
Node KNI is connected to nodes AWR, FDQ.
Node CWO is connected to nodes YDW, VKE.
Node VTR is connected to nodes CPX, CWO.
Node YDW is connected to nodes CPX, VKE.","[VTR, VKE, AWR, KNI, FDQ, CPX, CWO, YDW]",8,16,True,"Start from node FDQ, output a sequence of traversal in breadth-first search (BFS) order.","[FDQ, CPX, KNI, CWO, VTR, AWR, YDW, VKE]","Let's run breadth-first search (BFS) step by step.
Visit node FDQ. Unvisited neighbors of node FDQ are [CPX, KNI, CWO, VTR, AWR].
Visit node CPX. 
Visit node KNI. 
Visit node CWO. Unvisited neighbors of node CWO are [YDW, VKE].
Visit node VTR. 
Visit node AWR. 
Visit node YDW. 
Visit node VKE. 
So the BFS traversal is ","('[[FDQ, KNI, VTR, YDW, VKE, AWR, CWO, CPX], [FDQ, CPX, KNI, CWO, VTR, AWR, YDW, VKE], [FDQ, CPX, YDW, VKE, KNI, CWO, VTR, AWR], [FDQ, CPX, KNI, CWO, AWR, VTR, VKE, YDW]]',)",1,8
BFS,"[(YPE, DPR), (YPE, PHJ), (YPE, OIV), (YPE, QSW), (DPR, DXJ), (DPR, NGX), (DPR, ANW), (PHJ, QSW), (PHJ, NGX), (OIV, QSW), (OIV, DXJ), (OIV, SLM), (QSW, YPE), (QSW, DPR), (QSW, DXJ), (QSW, PHJ), (DXJ, SLM), (DXJ, QSW), (DXJ, ANW), (DXJ, YPE), (DXJ, DPR), (NGX, PHJ), (NGX, SLM), (NGX, KVE), (ANW, SLM), (SLM, YEJ), (SLM, JMU), (YEJ, NGX), (YEJ, ANW), (YEJ, QSW), (KVE, QSW), (KVE, DPR), (KVE, PHJ), (KVE, JMU), (KVE, OIV)]","{YPE: [DPR, PHJ, OIV, QSW],
DPR: [DXJ, NGX, ANW],
PHJ: [QSW, NGX],
OIV: [QSW, DXJ, SLM],
QSW: [YPE, DPR, DXJ, PHJ],
DXJ: [SLM, QSW, ANW, YPE, DPR],
NGX: [PHJ, SLM, KVE],
ANW: [SLM],
SLM: [YEJ, JMU],
YEJ: [NGX, ANW, QSW],
JMU: [],
KVE: [QSW, DPR, PHJ, JMU, OIV]}","Node YPE is connected to nodes DPR, PHJ, OIV, QSW.
Node DPR is connected to nodes DXJ, NGX, ANW.
Node PHJ is connected to nodes QSW, NGX.
Node OIV is connected to nodes QSW, DXJ, SLM.
Node QSW is connected to nodes YPE, DPR, DXJ, PHJ.
Node DXJ is connected to nodes SLM, QSW, ANW, YPE, DPR.
Node NGX is connected to nodes PHJ, SLM, KVE.
Node ANW is connected to node SLM.
Node SLM is connected to nodes YEJ, JMU.
Node YEJ is connected to nodes NGX, ANW, QSW.
Node KVE is connected to nodes QSW, DPR, PHJ, JMU, OIV.","[OIV, DPR, JMU, SLM, NGX, YPE, KVE, DXJ, ANW, YEJ, QSW, PHJ]",12,35,True,"Start from node YPE, output a sequence of traversal in breadth-first search (BFS) order.","[YPE, DPR, PHJ, OIV, QSW, DXJ, NGX, ANW, SLM, KVE, YEJ, JMU]","Let's run breadth-first search (BFS) step by step.
Visit node YPE. Unvisited neighbors of node YPE are [DPR, PHJ, OIV, QSW].
Visit node DPR. Unvisited neighbors of node DPR are [DXJ, NGX, ANW].
Visit node PHJ. 
Visit node OIV. Unvisited neighbors of node OIV are [SLM].
Visit node QSW. 
Visit node DXJ. 
Visit node NGX. Unvisited neighbors of node NGX are [KVE].
Visit node ANW. 
Visit node SLM. Unvisited neighbors of node SLM are [YEJ, JMU].
Visit node KVE. 
Visit node YEJ. 
Visit node JMU. 
So the BFS traversal is ","('[[YPE, DPR, PHJ, OIV, SLM, KVE, YEJ, JMU, QSW, DXJ, NGX, ANW], [YPE, DPR, PHJ, OIV, QSW, DXJ, NGX, ANW, SLM, KVE, YEJ, JMU], [YPE, DPR, PHJ, OIV, QSW, DXJ, KVE, JMU, ANW, SLM, YEJ, NGX], [YPE, DPR, NGX, YEJ, DXJ, SLM, OIV, JMU, PHJ, ANW, KVE, QSW]]',)",1,9
