task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
BFS,"[(<7>, <0>), (<7>, <2>), (<7>, <3>), (<7>, <1>), (<7>, <5>), (<7>, <4>), (<7>, <6>), (<0>, <3>), (<0>, <1>), (<0>, <5>), (<0>, <4>), (<2>, <3>), (<2>, <5>), (<2>, <4>), (<3>, <6>), (<1>, <4>), (<1>, <6>), (<5>, <6>)]","{<7>: [<0>, <2>, <3>, <1>, <5>, <4>, <6>],
<0>: [<7>, <3>, <1>, <5>, <4>],
<2>: [<7>, <3>, <5>, <4>],
<3>: [<7>, <0>, <2>, <6>],
<1>: [<7>, <0>, <4>, <6>],
<5>: [<7>, <0>, <2>, <6>],
<4>: [<7>, <0>, <2>, <1>],
<6>: [<7>, <3>, <1>, <5>]}","Node <7> is connected to nodes <0>, <2>, <3>, <1>, <5>, <4>, <6>.
Node <0> is connected to nodes <7>, <3>, <1>, <5>, <4>.
Node <2> is connected to nodes <7>, <3>, <5>, <4>.
Node <3> is connected to nodes <7>, <0>, <2>, <6>.
Node <1> is connected to nodes <7>, <0>, <4>, <6>.
Node <5> is connected to nodes <7>, <0>, <2>, <6>.
Node <4> is connected to nodes <7>, <0>, <2>, <1>.
Node <6> is connected to nodes <7>, <3>, <1>, <5>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>]",8,18,False,"Start from node <3>, output a sequence of traversal in breadth-first search (BFS) order.","[<3>, <7>, <0>, <2>, <6>, <1>, <5>, <4>]","Let's run breadth-first search (BFS) step by step.
Visit node <3>. Unvisited neighbors of node <3> are [<7>, <0>, <2>, <6>].
Visit node <7>. Unvisited neighbors of node <7> are [<1>, <5>, <4>].
Visit node <0>. 
Visit node <2>. 
Visit node <6>. 
Visit node <1>. 
Visit node <5>. 
Visit node <4>. 
So the BFS traversal is ","('[[<3>, <7>, <0>, <2>, <4>, <6>, <1>, <5>], [<3>, <7>, <0>, <2>, <6>, <1>, <5>, <4>], [<3>, <1>, <6>, <7>, <5>, <4>, <0>, <2>], [<3>, <7>, <5>, <4>, <0>, <2>, <6>, <1>]]',)",1,0
BFS,"[(<4>, <10>), (<4>, <1>), (<4>, <7>), (<4>, <2>), (<4>, <9>), (<10>, <5>), (<10>, <7>), (<10>, <8>), (<10>, <3>), (<10>, <9>), (<1>, <8>), (<1>, <3>), (<1>, <2>), (<1>, <5>), (<7>, <8>), (<2>, <6>), (<9>, <8>), (<9>, <3>), (<5>, <6>), (<3>, <6>), (<3>, <0>), (<6>, <0>)]","{<4>: [<10>, <1>, <7>, <2>, <9>],
<10>: [<4>, <5>, <7>, <8>, <3>, <9>],
<1>: [<4>, <8>, <3>, <2>, <5>],
<7>: [<4>, <10>, <8>],
<2>: [<4>, <1>, <6>],
<9>: [<4>, <10>, <8>, <3>],
<5>: [<10>, <1>, <6>],
<8>: [<10>, <1>, <7>, <9>],
<3>: [<10>, <1>, <6>, <9>, <0>],
<6>: [<5>, <0>, <2>, <3>],
<0>: [<6>, <3>]}","Node <4> is connected to nodes <10>, <1>, <7>, <2>, <9>.
Node <10> is connected to nodes <4>, <5>, <7>, <8>, <3>, <9>.
Node <1> is connected to nodes <4>, <8>, <3>, <2>, <5>.
Node <7> is connected to nodes <4>, <10>, <8>.
Node <2> is connected to nodes <4>, <1>, <6>.
Node <9> is connected to nodes <4>, <10>, <8>, <3>.
Node <5> is connected to nodes <10>, <1>, <6>.
Node <8> is connected to nodes <10>, <1>, <7>, <9>.
Node <3> is connected to nodes <10>, <1>, <6>, <9>, <0>.
Node <6> is connected to nodes <5>, <0>, <2>, <3>.
Node <0> is connected to nodes <6>, <3>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>, <8>, <9>, <10>]",11,22,False,"Start from node <3>, output a sequence of traversal in breadth-first search (BFS) order.","[<3>, <10>, <1>, <6>, <9>, <0>, <4>, <5>, <7>, <8>, <2>]","Let's run breadth-first search (BFS) step by step.
Visit node <3>. Unvisited neighbors of node <3> are [<10>, <1>, <6>, <9>, <0>].
Visit node <10>. Unvisited neighbors of node <10> are [<4>, <5>, <7>, <8>].
Visit node <1>. Unvisited neighbors of node <1> are [<2>].
Visit node <6>. 
Visit node <9>. 
Visit node <0>. 
Visit node <4>. 
Visit node <5>. 
Visit node <7>. 
Visit node <8>. 
Visit node <2>. 
So the BFS traversal is ","('[[<3>, <10>, <1>, <6>, <9>, <7>, <5>, <8>, <2>, <4>, <0>], [<3>, <10>, <1>, <6>, <9>, <0>, <4>, <5>, <7>, <8>, <2>], [<3>, <6>, <5>, <8>, <1>, <9>, <4>, <2>, <0>, <10>, <7>], [<3>, <10>, <1>, <7>, <8>, <2>, <6>, <9>, <0>, <4>, <5>]]',)",1,1
BFS,"[(<10>, <3>), (<10>, <1>), (<3>, <5>), (<3>, <6>), (<3>, <11>), (<3>, <1>), (<3>, <2>), (<1>, <3>), (<2>, <10>), (<0>, <3>), (<0>, <7>), (<0>, <8>), (<0>, <2>), (<7>, <1>), (<7>, <10>), (<7>, <9>), (<7>, <5>), (<8>, <9>), (<5>, <11>), (<5>, <7>), (<6>, <7>), (<6>, <1>), (<6>, <2>), (<6>, <3>), (<6>, <4>), (<11>, <1>), (<11>, <2>), (<11>, <4>), (<11>, <6>), (<4>, <9>), (<4>, <5>), (<9>, <6>), (<9>, <11>), (<9>, <10>)]","{<10>: [<3>, <1>],
<3>: [<5>, <6>, <11>, <1>, <2>],
<1>: [<3>],
<2>: [<10>],
<0>: [<3>, <7>, <8>, <2>],
<7>: [<1>, <10>, <9>, <5>],
<8>: [<9>],
<5>: [<11>, <7>],
<6>: [<7>, <1>, <2>, <3>, <4>],
<11>: [<1>, <2>, <4>, <6>],
<4>: [<9>, <5>],
<9>: [<6>, <11>, <10>]}","Node <10> is connected to nodes <3>, <1>.
Node <3> is connected to nodes <5>, <6>, <11>, <1>, <2>.
Node <1> is connected to node <3>.
Node <2> is connected to node <10>.
Node <0> is connected to nodes <3>, <7>, <8>, <2>.
Node <7> is connected to nodes <1>, <10>, <9>, <5>.
Node <8> is connected to node <9>.
Node <5> is connected to nodes <11>, <7>.
Node <6> is connected to nodes <7>, <1>, <2>, <3>, <4>.
Node <11> is connected to nodes <1>, <2>, <4>, <6>.
Node <4> is connected to nodes <9>, <5>.
Node <9> is connected to nodes <6>, <11>, <10>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>, <8>, <9>, <10>, <11>]",12,34,True,"Start from node <8>, output a sequence of traversal in breadth-first search (BFS) order.","[<8>, <9>, <6>, <11>, <10>, <7>, <1>, <2>, <3>, <4>, <5>]","Let's run breadth-first search (BFS) step by step.
Visit node <8>. Unvisited neighbors of node <8> are [<9>].
Visit node <9>. Unvisited neighbors of node <9> are [<6>, <11>, <10>].
Visit node <6>. Unvisited neighbors of node <6> are [<7>, <1>, <2>, <3>, <4>].
Visit node <11>. 
Visit node <10>. 
Visit node <7>. Unvisited neighbors of node <7> are [<5>].
Visit node <1>. 
Visit node <2>. 
Visit node <3>. 
Visit node <4>. 
Visit node <5>. 
So the BFS traversal is ","('[[<8>, <7>, <9>, <4>, <10>, <11>, <2>, <6>, <3>, <1>, <5>], [<8>, <9>, <6>, <3>, <4>, <5>, <11>, <10>, <7>, <1>, <2>], [<8>, <9>, <6>, <11>, <10>, <7>, <1>, <2>, <3>, <4>, <5>], [<8>, <9>, <6>, <11>, <10>, <4>, <1>, <5>, <3>, <2>, <7>]]',)",2,2
BFS,"[(<6>, <4>), (<6>, <7>), (<7>, <0>), (<5>, <2>), (<5>, <1>), (<2>, <1>), (<1>, <3>), (<0>, <3>)]","{<6>: [<4>, <7>],
<4>: [<6>],
<7>: [<6>, <0>],
<5>: [<2>, <1>],
<2>: [<5>, <1>],
<1>: [<5>, <2>, <3>],
<0>: [<3>, <7>],
<3>: [<0>, <1>]}","Node <6> is connected to nodes <4>, <7>.
Node <4> is connected to node <6>.
Node <7> is connected to nodes <6>, <0>.
Node <5> is connected to nodes <2>, <1>.
Node <2> is connected to nodes <5>, <1>.
Node <1> is connected to nodes <5>, <2>, <3>.
Node <0> is connected to nodes <3>, <7>.
Node <3> is connected to nodes <0>, <1>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>]",8,8,False,"Start from node <0>, output a sequence of traversal in breadth-first search (BFS) order.","[<0>, <3>, <7>, <1>, <6>, <5>, <2>, <4>]","Let's run breadth-first search (BFS) step by step.
Visit node <0>. Unvisited neighbors of node <0> are [<3>, <7>].
Visit node <3>. Unvisited neighbors of node <3> are [<1>].
Visit node <7>. Unvisited neighbors of node <7> are [<6>].
Visit node <1>. Unvisited neighbors of node <1> are [<5>, <2>].
Visit node <6>. Unvisited neighbors of node <6> are [<4>].
Visit node <5>. 
Visit node <2>. 
Visit node <4>. 
So the BFS traversal is ","('[[<0>, <3>, <2>, <4>, <7>, <1>, <6>, <5>], [<0>, <3>, <7>, <1>, <6>, <5>, <2>, <4>], [<0>, <3>, <7>, <1>, <6>, <2>, <5>, <4>], [<0>, <6>, <4>, <5>, <3>, <2>, <1>, <7>]]',)",1,3
BFS,"[(<8>, <4>), (<8>, <0>), (<8>, <1>), (<8>, <6>), (<4>, <8>), (<1>, <10>), (<1>, <4>), (<6>, <8>), (<6>, <3>), (<12>, <10>), (<12>, <1>), (<10>, <0>), (<10>, <1>), (<5>, <8>), (<9>, <3>), (<9>, <8>), (<3>, <6>), (<3>, <1>), (<7>, <6>), (<7>, <12>), (<7>, <9>), (<2>, <11>), (<2>, <0>), (<2>, <1>), (<2>, <9>), (<11>, <12>), (<11>, <5>), (<11>, <4>), (<11>, <1>)]","{<8>: [<4>, <0>, <1>, <6>],
<4>: [<8>],
<0>: [],
<1>: [<10>, <4>],
<6>: [<8>, <3>],
<12>: [<10>, <1>],
<10>: [<0>, <1>],
<5>: [<8>],
<9>: [<3>, <8>],
<3>: [<6>, <1>],
<7>: [<6>, <12>, <9>],
<2>: [<11>, <0>, <1>, <9>],
<11>: [<12>, <5>, <4>, <1>]}","Node <8> is connected to nodes <4>, <0>, <1>, <6>.
Node <4> is connected to node <8>.
Node <1> is connected to nodes <10>, <4>.
Node <6> is connected to nodes <8>, <3>.
Node <12> is connected to nodes <10>, <1>.
Node <10> is connected to nodes <0>, <1>.
Node <5> is connected to node <8>.
Node <9> is connected to nodes <3>, <8>.
Node <3> is connected to nodes <6>, <1>.
Node <7> is connected to nodes <6>, <12>, <9>.
Node <2> is connected to nodes <11>, <0>, <1>, <9>.
Node <11> is connected to nodes <12>, <5>, <4>, <1>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>, <8>, <9>, <10>, <11>, <12>]",13,29,True,"Start from node <6>, output a sequence of traversal in breadth-first search (BFS) order.","[<6>, <8>, <3>, <4>, <0>, <1>, <10>]","Let's run breadth-first search (BFS) step by step.
Visit node <6>. Unvisited neighbors of node <6> are [<8>, <3>].
Visit node <8>. Unvisited neighbors of node <8> are [<4>, <0>, <1>].
Visit node <3>. 
Visit node <4>. 
Visit node <0>. 
Visit node <1>. Unvisited neighbors of node <1> are [<10>].
Visit node <10>. 
So the BFS traversal is ","('[[<6>, <4>, <1>, <10>, <3>, <8>, <0>], [<6>, <8>, <3>, <1>, <0>, <4>, <10>], [<6>, <8>, <1>, <10>, <3>, <4>, <0>], [<6>, <8>, <3>, <4>, <0>, <1>, <10>]]',)",3,4
BFS,"[(<6>, <10>), (<6>, <8>), (<6>, <9>), (<8>, <7>), (<8>, <1>), (<8>, <3>), (<8>, <0>), (<7>, <4>), (<7>, <5>), (<7>, <2>)]","{<6>: [<10>, <8>, <9>],
<10>: [<6>],
<8>: [<6>, <7>, <1>, <3>, <0>],
<9>: [<6>],
<7>: [<4>, <8>, <5>, <2>],
<4>: [<7>],
<5>: [<7>],
<2>: [<7>],
<1>: [<8>],
<3>: [<8>],
<0>: [<8>]}","Node <6> is connected to nodes <10>, <8>, <9>.
Node <10> is connected to node <6>.
Node <8> is connected to nodes <6>, <7>, <1>, <3>, <0>.
Node <9> is connected to node <6>.
Node <7> is connected to nodes <4>, <8>, <5>, <2>.
Node <4> is connected to node <7>.
Node <5> is connected to node <7>.
Node <2> is connected to node <7>.
Node <1> is connected to node <8>.
Node <3> is connected to node <8>.
Node <0> is connected to node <8>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>, <8>, <9>, <10>]",11,10,False,"Start from node <7>, output a sequence of traversal in breadth-first search (BFS) order.","[<7>, <4>, <8>, <5>, <2>, <6>, <1>, <3>, <0>, <10>, <9>]","Let's run breadth-first search (BFS) step by step.
Visit node <7>. Unvisited neighbors of node <7> are [<4>, <8>, <5>, <2>].
Visit node <4>. 
Visit node <8>. Unvisited neighbors of node <8> are [<6>, <1>, <3>, <0>].
Visit node <5>. 
Visit node <2>. 
Visit node <6>. Unvisited neighbors of node <6> are [<10>, <9>].
Visit node <1>. 
Visit node <3>. 
Visit node <0>. 
Visit node <10>. 
Visit node <9>. 
So the BFS traversal is ","('[[<7>, <4>, <8>, <0>, <10>, <9>, <5>, <2>, <6>, <1>, <3>], [<7>, <4>, <8>, <5>, <2>, <6>, <1>, <3>, <0>, <10>, <9>], [<7>, <0>, <3>, <8>, <1>, <6>, <5>, <4>, <10>, <9>, <2>], [<7>, <4>, <8>, <5>, <2>, <1>, <3>, <0>, <10>, <9>, <6>]]',)",1,5
BFS,"[(<2>, <8>), (<2>, <0>), (<2>, <4>), (<2>, <1>), (<2>, <6>), (<8>, <3>), (<8>, <5>), (<8>, <0>), (<8>, <4>), (<8>, <1>), (<8>, <7>), (<8>, <6>), (<0>, <3>), (<0>, <5>), (<0>, <4>), (<0>, <7>), (<0>, <6>), (<4>, <5>), (<4>, <7>), (<1>, <3>), (<1>, <5>), (<1>, <7>), (<1>, <6>), (<6>, <3>), (<6>, <7>), (<3>, <5>), (<5>, <7>)]","{<2>: [<8>, <0>, <4>, <1>, <6>],
<8>: [<2>, <3>, <5>, <0>, <4>, <1>, <7>, <6>],
<0>: [<2>, <8>, <3>, <5>, <4>, <7>, <6>],
<4>: [<2>, <8>, <5>, <0>, <7>],
<1>: [<2>, <8>, <3>, <5>, <7>, <6>],
<6>: [<2>, <8>, <3>, <0>, <1>, <7>],
<3>: [<8>, <5>, <0>, <1>, <6>],
<5>: [<8>, <3>, <0>, <4>, <1>, <7>],
<7>: [<8>, <5>, <0>, <4>, <1>, <6>]}","Node <2> is connected to nodes <8>, <0>, <4>, <1>, <6>.
Node <8> is connected to nodes <2>, <3>, <5>, <0>, <4>, <1>, <7>, <6>.
Node <0> is connected to nodes <2>, <8>, <3>, <5>, <4>, <7>, <6>.
Node <4> is connected to nodes <2>, <8>, <5>, <0>, <7>.
Node <1> is connected to nodes <2>, <8>, <3>, <5>, <7>, <6>.
Node <6> is connected to nodes <2>, <8>, <3>, <0>, <1>, <7>.
Node <3> is connected to nodes <8>, <5>, <0>, <1>, <6>.
Node <5> is connected to nodes <8>, <3>, <0>, <4>, <1>, <7>.
Node <7> is connected to nodes <8>, <5>, <0>, <4>, <1>, <6>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>, <8>]",9,27,False,"Start from node <7>, output a sequence of traversal in breadth-first search (BFS) order.","[<7>, <8>, <5>, <0>, <4>, <1>, <6>, <2>, <3>]","Let's run breadth-first search (BFS) step by step.
Visit node <7>. Unvisited neighbors of node <7> are [<8>, <5>, <0>, <4>, <1>, <6>].
Visit node <8>. Unvisited neighbors of node <8> are [<2>, <3>].
Visit node <5>. 
Visit node <0>. 
Visit node <4>. 
Visit node <1>. 
Visit node <6>. 
Visit node <2>. 
Visit node <3>. 
So the BFS traversal is ","('[[<7>, <8>, <5>, <6>, <2>, <3>, <0>, <4>, <1>], [<7>, <8>, <4>, <1>, <3>, <6>, <0>, <5>, <2>], [<7>, <8>, <5>, <0>, <2>, <4>, <3>, <1>, <6>], [<7>, <8>, <5>, <0>, <4>, <1>, <6>, <2>, <3>]]',)",3,6
BFS,"[(<2>, <1>), (<2>, <4>), (<2>, <0>), (<2>, <9>), (<2>, <8>), (<1>, <0>), (<1>, <3>), (<1>, <6>), (<1>, <7>), (<1>, <4>), (<4>, <6>), (<4>, <9>), (<0>, <7>), (<8>, <6>), (<8>, <7>), (<3>, <6>), (<3>, <5>), (<3>, <7>), (<6>, <5>), (<7>, <5>)]","{<2>: [<1>, <4>, <0>, <9>, <8>],
<1>: [<2>, <0>, <3>, <6>, <7>, <4>],
<4>: [<2>, <1>, <6>, <9>],
<0>: [<2>, <1>, <7>],
<9>: [<2>, <4>],
<8>: [<2>, <6>, <7>],
<3>: [<1>, <6>, <5>, <7>],
<6>: [<1>, <4>, <5>, <3>, <8>],
<7>: [<1>, <0>, <5>, <3>, <8>],
<5>: [<6>, <3>, <7>]}","Node <2> is connected to nodes <1>, <4>, <0>, <9>, <8>.
Node <1> is connected to nodes <2>, <0>, <3>, <6>, <7>, <4>.
Node <4> is connected to nodes <2>, <1>, <6>, <9>.
Node <0> is connected to nodes <2>, <1>, <7>.
Node <9> is connected to nodes <2>, <4>.
Node <8> is connected to nodes <2>, <6>, <7>.
Node <3> is connected to nodes <1>, <6>, <5>, <7>.
Node <6> is connected to nodes <1>, <4>, <5>, <3>, <8>.
Node <7> is connected to nodes <1>, <0>, <5>, <3>, <8>.
Node <5> is connected to nodes <6>, <3>, <7>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>, <8>, <9>]",10,20,False,"Start from node <9>, output a sequence of traversal in breadth-first search (BFS) order.","[<9>, <2>, <4>, <1>, <0>, <8>, <6>, <3>, <7>, <5>]","Let's run breadth-first search (BFS) step by step.
Visit node <9>. Unvisited neighbors of node <9> are [<2>, <4>].
Visit node <2>. Unvisited neighbors of node <2> are [<1>, <0>, <8>].
Visit node <4>. Unvisited neighbors of node <4> are [<6>].
Visit node <1>. Unvisited neighbors of node <1> are [<3>, <7>].
Visit node <0>. 
Visit node <8>. 
Visit node <6>. Unvisited neighbors of node <6> are [<5>].
Visit node <3>. 
Visit node <7>. 
Visit node <5>. 
So the BFS traversal is ","('[[<9>, <2>, <4>, <1>, <0>, <8>, <6>, <3>, <7>, <5>], [<9>, <2>, <4>, <3>, <7>, <5>, <1>, <0>, <8>, <6>], [<9>, <1>, <8>, <3>, <7>, <6>, <4>, <0>, <2>, <5>], [<9>, <2>, <4>, <1>, <0>, <8>, <3>, <5>, <6>, <7>]]',)",0,7
BFS,"[(<4>, <5>), (<4>, <3>), (<4>, <6>), (<4>, <0>), (<4>, <2>), (<5>, <6>), (<5>, <0>), (<5>, <2>), (<3>, <2>), (<3>, <4>), (<6>, <7>), (<6>, <1>), (<0>, <5>), (<0>, <6>), (<7>, <5>), (<7>, <1>)]","{<4>: [<5>, <3>, <6>, <0>, <2>],
<5>: [<6>, <0>, <2>],
<3>: [<2>, <4>],
<6>: [<7>, <1>],
<0>: [<5>, <6>],
<2>: [],
<7>: [<5>, <1>],
<1>: []}","Node <4> is connected to nodes <5>, <3>, <6>, <0>, <2>.
Node <5> is connected to nodes <6>, <0>, <2>.
Node <3> is connected to nodes <2>, <4>.
Node <6> is connected to nodes <7>, <1>.
Node <0> is connected to nodes <5>, <6>.
Node <7> is connected to nodes <5>, <1>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>]",8,16,True,"Start from node <4>, output a sequence of traversal in breadth-first search (BFS) order.","[<4>, <5>, <3>, <6>, <0>, <2>, <7>, <1>]","Let's run breadth-first search (BFS) step by step.
Visit node <4>. Unvisited neighbors of node <4> are [<5>, <3>, <6>, <0>, <2>].
Visit node <5>. 
Visit node <3>. 
Visit node <6>. Unvisited neighbors of node <6> are [<7>, <1>].
Visit node <0>. 
Visit node <2>. 
Visit node <7>. 
Visit node <1>. 
So the BFS traversal is ","('[[<4>, <3>, <0>, <7>, <1>, <2>, <6>, <5>], [<4>, <5>, <3>, <6>, <0>, <2>, <7>, <1>], [<4>, <5>, <7>, <1>, <3>, <6>, <0>, <2>], [<4>, <5>, <3>, <6>, <2>, <0>, <1>, <7>]]',)",1,8
BFS,"[(<5>, <1>), (<5>, <11>), (<5>, <0>), (<5>, <10>), (<1>, <7>), (<1>, <4>), (<1>, <8>), (<11>, <10>), (<11>, <4>), (<0>, <10>), (<0>, <7>), (<0>, <3>), (<10>, <5>), (<10>, <1>), (<10>, <7>), (<10>, <11>), (<7>, <3>), (<7>, <10>), (<7>, <8>), (<7>, <5>), (<7>, <1>), (<4>, <11>), (<4>, <3>), (<4>, <6>), (<8>, <3>), (<3>, <9>), (<3>, <2>), (<9>, <4>), (<9>, <8>), (<9>, <10>), (<6>, <10>), (<6>, <1>), (<6>, <11>), (<6>, <2>), (<6>, <0>)]","{<5>: [<1>, <11>, <0>, <10>],
<1>: [<7>, <4>, <8>],
<11>: [<10>, <4>],
<0>: [<10>, <7>, <3>],
<10>: [<5>, <1>, <7>, <11>],
<7>: [<3>, <10>, <8>, <5>, <1>],
<4>: [<11>, <3>, <6>],
<8>: [<3>],
<3>: [<9>, <2>],
<9>: [<4>, <8>, <10>],
<2>: [],
<6>: [<10>, <1>, <11>, <2>, <0>]}","Node <5> is connected to nodes <1>, <11>, <0>, <10>.
Node <1> is connected to nodes <7>, <4>, <8>.
Node <11> is connected to nodes <10>, <4>.
Node <0> is connected to nodes <10>, <7>, <3>.
Node <10> is connected to nodes <5>, <1>, <7>, <11>.
Node <7> is connected to nodes <3>, <10>, <8>, <5>, <1>.
Node <4> is connected to nodes <11>, <3>, <6>.
Node <8> is connected to node <3>.
Node <3> is connected to nodes <9>, <2>.
Node <9> is connected to nodes <4>, <8>, <10>.
Node <6> is connected to nodes <10>, <1>, <11>, <2>, <0>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>, <8>, <9>, <10>, <11>]",12,35,True,"Start from node <5>, output a sequence of traversal in breadth-first search (BFS) order.","[<5>, <1>, <11>, <0>, <10>, <7>, <4>, <8>, <3>, <6>, <9>, <2>]","Let's run breadth-first search (BFS) step by step.
Visit node <5>. Unvisited neighbors of node <5> are [<1>, <11>, <0>, <10>].
Visit node <1>. Unvisited neighbors of node <1> are [<7>, <4>, <8>].
Visit node <11>. 
Visit node <0>. Unvisited neighbors of node <0> are [<3>].
Visit node <10>. 
Visit node <7>. 
Visit node <4>. Unvisited neighbors of node <4> are [<6>].
Visit node <8>. 
Visit node <3>. Unvisited neighbors of node <3> are [<9>, <2>].
Visit node <6>. 
Visit node <9>. 
Visit node <2>. 
So the BFS traversal is ","('[[<5>, <1>, <11>, <0>, <3>, <6>, <9>, <2>, <10>, <7>, <4>, <8>], [<5>, <1>, <11>, <0>, <10>, <7>, <4>, <8>, <3>, <6>, <9>, <2>], [<5>, <1>, <11>, <0>, <10>, <7>, <6>, <2>, <8>, <3>, <9>, <4>], [<5>, <1>, <4>, <9>, <7>, <3>, <0>, <2>, <11>, <8>, <6>, <10>]]',)",1,9
