task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
DFS,"[(2, 6), (2, 0), (2, 3), (2, 11), (2, 4), (2, 7), (2, 5), (6, 0), (6, 9), (0, 3), (0, 12), (0, 11), (0, 7), (0, 5), (0, 10), (3, 9), (3, 7), (3, 5), (3, 2), (3, 6), (3, 10), (3, 0), (11, 4), (11, 1), (11, 8), (11, 6), (11, 10), (11, 3), (4, 6), (4, 0), (4, 3), (4, 12), (4, 9), (7, 1), (7, 8), (7, 6), (7, 0), (7, 9), (7, 4), (5, 1), (5, 10), (5, 12), (5, 9), (5, 4), (5, 7), (8, 11), (8, 7), (8, 5), (8, 1), (8, 2), (1, 2), (1, 0), (1, 3), (1, 9), (9, 4), (9, 5), (9, 2), (9, 10), (9, 3), (10, 12), (10, 7), (10, 5), (10, 2), (10, 6), (12, 8), (12, 10)]","{2: [6, 0, 3, 11, 4, 7, 5],
6: [0, 9],
0: [3, 12, 11, 7, 5, 10],
3: [9, 7, 5, 2, 6, 10, 0],
11: [4, 1, 8, 6, 10, 3],
4: [6, 0, 3, 12, 9],
7: [1, 8, 6, 0, 9, 4],
5: [1, 10, 12, 9, 4, 7],
8: [11, 7, 5, 1, 2],
1: [2, 0, 3, 9],
9: [4, 5, 2, 10, 3],
10: [12, 7, 5, 2, 6],
12: [8, 10]}","Node 2 is connected to nodes 6, 0, 3, 11, 4, 7, 5.
Node 6 is connected to nodes 0, 9.
Node 0 is connected to nodes 3, 12, 11, 7, 5, 10.
Node 3 is connected to nodes 9, 7, 5, 2, 6, 10, 0.
Node 11 is connected to nodes 4, 1, 8, 6, 10, 3.
Node 4 is connected to nodes 6, 0, 3, 12, 9.
Node 7 is connected to nodes 1, 8, 6, 0, 9, 4.
Node 5 is connected to nodes 1, 10, 12, 9, 4, 7.
Node 8 is connected to nodes 11, 7, 5, 1, 2.
Node 1 is connected to nodes 2, 0, 3, 9.
Node 9 is connected to nodes 4, 5, 2, 10, 3.
Node 10 is connected to nodes 12, 7, 5, 2, 6.
Node 12 is connected to nodes 8, 10.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",13,66,True,"Start from node 1, output a sequence of traversal in depth-first search (DFS) order.","[1, 9, 3, 0, 10, 6, 2, 5, 7, 4, 12, 8, 11]","Let's run depth-first search (DFS) step by step.
Visit node 1. Neighors of node 1: [2, 0, 3, 9].
Visit node 9. Neighors of node 9: [4, 5, 2, 10, 3].
Visit node 3. Neighors of node 3: [9, 7, 5, 2, 6, 10, 0].
Visit node 0. Neighors of node 0: [3, 12, 11, 7, 5, 10].
Visit node 10. Neighors of node 10: [12, 7, 5, 2, 6].
Visit node 6. Neighors of node 6: [0, 9].
Visit node 2. Neighors of node 2: [6, 0, 3, 11, 4, 7, 5].
Visit node 5. Neighors of node 5: [1, 10, 12, 9, 4, 7].
Visit node 7. Neighors of node 7: [1, 8, 6, 0, 9, 4].
Visit node 4. Neighors of node 4: [6, 0, 3, 12, 9].
Visit node 12. Neighors of node 12: [8, 10].
Visit node 8. Neighors of node 8: [11, 7, 5, 1, 2].
Visit node 11. Neighors of node 11: [4, 1, 8, 6, 10, 3].
So the DFS traversal is ","('[[1, 9, 3, 0, 10, 6, 2, 5, 7, 4, 12, 8, 11], [1, 9, 3, 0, 4, 12, 8, 11, 10, 6, 2, 5, 7], [1, 9, 3, 0, 10, 6, 8, 5, 7, 11, 4, 2, 12], [1, 8, 12, 3, 4, 7, 9, 2, 5, 6, 11, 10, 0]]',)",0,0
DFS,"[(2, 3), (2, 6), (2, 8), (8, 11), (8, 9), (8, 1), (11, 9), (11, 10), (11, 2), (9, 10), (9, 7), (9, 0), (10, 6), (10, 2), (10, 0), (5, 9), (0, 7), (7, 2), (7, 5), (7, 9), (7, 4), (7, 3), (4, 6), (1, 8), (1, 2), (1, 9), (1, 4), (1, 3), (1, 6)]","{2: [3, 6, 8],
3: [],
6: [],
8: [11, 9, 1],
11: [9, 10, 2],
9: [10, 7, 0],
10: [6, 2, 0],
5: [9],
0: [7],
7: [2, 5, 9, 4, 3],
4: [6],
1: [8, 2, 9, 4, 3, 6]}","Node 2 is connected to nodes 3, 6, 8.
Node 8 is connected to nodes 11, 9, 1.
Node 11 is connected to nodes 9, 10, 2.
Node 9 is connected to nodes 10, 7, 0.
Node 10 is connected to nodes 6, 2, 0.
Node 5 is connected to node 9.
Node 0 is connected to node 7.
Node 7 is connected to nodes 2, 5, 9, 4, 3.
Node 4 is connected to node 6.
Node 1 is connected to nodes 8, 2, 9, 4, 3, 6.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",12,29,True,"Start from node 8, output a sequence of traversal in depth-first search (DFS) order.","[8, 1, 6, 3, 4, 9, 0, 7, 5, 2, 10, 11]","Let's run depth-first search (DFS) step by step.
Visit node 8. Neighors of node 8: [11, 9, 1].
Visit node 1. Neighors of node 1: [8, 2, 9, 4, 3, 6].
Visit node 6. Neighors of node 6: [].
Visit node 3. Neighors of node 3: [].
Visit node 4. Neighors of node 4: [6].
Visit node 9. Neighors of node 9: [10, 7, 0].
Visit node 0. Neighors of node 0: [7].
Visit node 7. Neighors of node 7: [2, 5, 9, 4, 3].
Visit node 5. Neighors of node 5: [9].
Visit node 2. Neighors of node 2: [3, 6, 8].
Visit node 10. Neighors of node 10: [6, 2, 0].
Visit node 11. Neighors of node 11: [9, 10, 2].
So the DFS traversal is ","('[[8, 1, 6, 3, 4, 9, 0, 7, 5, 2, 10, 11], [8, 10, 9, 7, 2, 11, 4, 0, 3, 5, 1, 6], [8, 1, 6, 3, 4, 9, 7, 2, 10, 11, 5, 0], [8, 1, 6, 3, 5, 2, 10, 11, 4, 9, 0, 7]]',)",0,1
DFS,"[(7, 1), (7, 4), (1, 0), (1, 14), (4, 3), (4, 5), (4, 12), (4, 11), (13, 1), (13, 0), (0, 10), (9, 8), (9, 14), (8, 4), (8, 0), (14, 9), (14, 4), (14, 11), (2, 1), (2, 6), (2, 7), (6, 5), (3, 12), (3, 2), (3, 1), (5, 8), (5, 3), (12, 2), (12, 6), (12, 0), (12, 8), (11, 9), (11, 2), (11, 0), (11, 10)]","{7: [1, 4],
1: [0, 14],
4: [3, 5, 12, 11],
13: [1, 0],
0: [10],
9: [8, 14],
8: [4, 0],
14: [9, 4, 11],
2: [1, 6, 7],
6: [5],
3: [12, 2, 1],
5: [8, 3],
12: [2, 6, 0, 8],
11: [9, 2, 0, 10],
10: []}","Node 7 is connected to nodes 1, 4.
Node 1 is connected to nodes 0, 14.
Node 4 is connected to nodes 3, 5, 12, 11.
Node 13 is connected to nodes 1, 0.
Node 0 is connected to node 10.
Node 9 is connected to nodes 8, 14.
Node 8 is connected to nodes 4, 0.
Node 14 is connected to nodes 9, 4, 11.
Node 2 is connected to nodes 1, 6, 7.
Node 6 is connected to node 5.
Node 3 is connected to nodes 12, 2, 1.
Node 5 is connected to nodes 8, 3.
Node 12 is connected to nodes 2, 6, 0, 8.
Node 11 is connected to nodes 9, 2, 0, 10.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",15,35,True,"Start from node 2, output a sequence of traversal in depth-first search (DFS) order.","[2, 7, 4, 11, 10, 0, 9, 14, 8, 12, 6, 5, 3, 1]","Let's run depth-first search (DFS) step by step.
Visit node 2. Neighors of node 2: [1, 6, 7].
Visit node 7. Neighors of node 7: [1, 4].
Visit node 4. Neighors of node 4: [3, 5, 12, 11].
Visit node 11. Neighors of node 11: [9, 2, 0, 10].
Visit node 10. Neighors of node 10: [].
Visit node 0. Neighors of node 0: [10].
Visit node 9. Neighors of node 9: [8, 14].
Visit node 14. Neighors of node 14: [9, 4, 11].
Visit node 8. Neighors of node 8: [4, 0].
Visit node 12. Neighors of node 12: [2, 6, 0, 8].
Visit node 6. Neighors of node 6: [5].
Visit node 5. Neighors of node 5: [8, 3].
Visit node 3. Neighors of node 3: [12, 2, 1].
Visit node 1. Neighors of node 1: [0, 14].
So the DFS traversal is ","('[[2, 9, 4, 12, 1, 10, 8, 3, 6, 0, 14, 11, 5, 7], [2, 7, 4, 11, 10, 0, 9, 14, 8, 12, 6, 5, 3, 1], [2, 7, 4, 11, 6, 5, 3, 1, 10, 0, 9, 14, 8, 12], [2, 7, 4, 11, 10, 0, 9, 8, 12, 5, 14, 6, 3, 1]]',)",1,2
DFS,"[(4, 8), (4, 2), (4, 6), (8, 5), (8, 0), (8, 3), (8, 2), (2, 5), (2, 1), (6, 5), (6, 7), (5, 0), (5, 3), (5, 7), (0, 7)]","{4: [8, 2, 6],
8: [4, 5, 0, 3, 2],
2: [4, 5, 8, 1],
6: [4, 5, 7],
5: [0, 8, 3, 2, 6, 7],
0: [5, 8, 7],
3: [5, 8],
7: [5, 0, 6],
1: [2]}","Node 4 is connected to nodes 8, 2, 6.
Node 8 is connected to nodes 4, 5, 0, 3, 2.
Node 2 is connected to nodes 4, 5, 8, 1.
Node 6 is connected to nodes 4, 5, 7.
Node 5 is connected to nodes 0, 8, 3, 2, 6, 7.
Node 0 is connected to nodes 5, 8, 7.
Node 3 is connected to nodes 5, 8.
Node 7 is connected to nodes 5, 0, 6.
Node 1 is connected to node 2.","[0, 1, 2, 3, 4, 5, 6, 7, 8]",9,15,False,"Start from node 8, output a sequence of traversal in depth-first search (DFS) order.","[8, 2, 1, 5, 7, 6, 4, 0, 3]","Let's run depth-first search (DFS) step by step.
Visit node 8. Neighors of node 8: [4, 5, 0, 3, 2].
Visit node 2. Neighors of node 2: [4, 5, 8, 1].
Visit node 1. Neighors of node 1: [2].
Visit node 5. Neighors of node 5: [0, 8, 3, 2, 6, 7].
Visit node 7. Neighors of node 7: [5, 0, 6].
Visit node 6. Neighors of node 6: [4, 5, 7].
Visit node 4. Neighors of node 4: [8, 2, 6].
Visit node 0. Neighors of node 0: [5, 8, 7].
Visit node 3. Neighors of node 3: [5, 8].
So the DFS traversal is ","('[[8, 2, 1, 4, 0, 3, 5, 7, 6], [8, 5, 7, 1, 4, 3, 6, 0, 2], [8, 2, 1, 5, 0, 6, 7, 3, 4], [8, 2, 1, 5, 7, 6, 4, 0, 3]]',)",3,3
DFS,"[(2, 7), (2, 4), (2, 8), (7, 5), (7, 9), (7, 1), (7, 6), (4, 5), (4, 9), (4, 8), (4, 1), (4, 2), (4, 7), (8, 6), (8, 2), (8, 9), (0, 3), (0, 8), (0, 6), (3, 9), (3, 8), (3, 2), (3, 0), (6, 7), (6, 4), (6, 9), (6, 8), (9, 1), (9, 3), (9, 7), (9, 4), (5, 1), (5, 6), (5, 2), (5, 4), (1, 6), (1, 7), (1, 9), (1, 8)]","{2: [7, 4, 8],
7: [5, 9, 1, 6],
4: [5, 9, 8, 1, 2, 7],
8: [6, 2, 9],
0: [3, 8, 6],
3: [9, 8, 2, 0],
6: [7, 4, 9, 8],
9: [1, 3, 7, 4],
5: [1, 6, 2, 4],
1: [6, 7, 9, 8]}","Node 2 is connected to nodes 7, 4, 8.
Node 7 is connected to nodes 5, 9, 1, 6.
Node 4 is connected to nodes 5, 9, 8, 1, 2, 7.
Node 8 is connected to nodes 6, 2, 9.
Node 0 is connected to nodes 3, 8, 6.
Node 3 is connected to nodes 9, 8, 2, 0.
Node 6 is connected to nodes 7, 4, 9, 8.
Node 9 is connected to nodes 1, 3, 7, 4.
Node 5 is connected to nodes 1, 6, 2, 4.
Node 1 is connected to nodes 6, 7, 9, 8.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,39,True,"Start from node 1, output a sequence of traversal in depth-first search (DFS) order.","[1, 8, 9, 4, 7, 6, 5, 2, 3, 0]","Let's run depth-first search (DFS) step by step.
Visit node 1. Neighors of node 1: [6, 7, 9, 8].
Visit node 8. Neighors of node 8: [6, 2, 9].
Visit node 9. Neighors of node 9: [1, 3, 7, 4].
Visit node 4. Neighors of node 4: [5, 9, 8, 1, 2, 7].
Visit node 7. Neighors of node 7: [5, 9, 1, 6].
Visit node 6. Neighors of node 6: [7, 4, 9, 8].
Visit node 5. Neighors of node 5: [1, 6, 2, 4].
Visit node 2. Neighors of node 2: [7, 4, 8].
Visit node 3. Neighors of node 3: [9, 8, 2, 0].
Visit node 0. Neighors of node 0: [3, 8, 6].
So the DFS traversal is ","('[[1, 8, 9, 2, 3, 0, 4, 7, 6, 5], [1, 8, 9, 4, 7, 6, 5, 2, 3, 0], [1, 0, 7, 5, 8, 3, 9, 2, 4, 6], [1, 8, 9, 4, 7, 5, 2, 6, 3, 0]]',)",1,4
DFS,"[(14, 12), (14, 5), (14, 1), (14, 9), (14, 4), (12, 11), (12, 5), (12, 7), (12, 1), (12, 9), (5, 1), (5, 6), (5, 9), (5, 13), (5, 3), (1, 0), (1, 7), (1, 6), (1, 9), (1, 13), (1, 4), (1, 2), (9, 0), (9, 13), (9, 4), (9, 3), (9, 10), (4, 11), (4, 7), (4, 13), (4, 8), (11, 6), (11, 10), (6, 7), (6, 13), (6, 2), (10, 3), (7, 0), (7, 8), (7, 2), (13, 0), (3, 0), (3, 2), (0, 8), (0, 2), (8, 2)]","{14: [12, 5, 1, 9, 4],
12: [14, 11, 5, 7, 1, 9],
5: [14, 12, 1, 6, 9, 13, 3],
1: [14, 12, 5, 0, 7, 6, 9, 13, 4, 2],
9: [14, 12, 5, 0, 1, 13, 4, 3, 10],
4: [14, 11, 7, 1, 9, 13, 8],
11: [12, 6, 4, 10],
6: [11, 5, 7, 1, 13, 2],
10: [11, 9, 3],
7: [12, 0, 1, 6, 4, 8, 2],
13: [5, 0, 1, 6, 9, 4],
3: [5, 0, 9, 10, 2],
0: [7, 1, 9, 13, 3, 8, 2],
8: [0, 7, 4, 2],
2: [0, 7, 1, 6, 3, 8]}","Node 14 is connected to nodes 12, 5, 1, 9, 4.
Node 12 is connected to nodes 14, 11, 5, 7, 1, 9.
Node 5 is connected to nodes 14, 12, 1, 6, 9, 13, 3.
Node 1 is connected to nodes 14, 12, 5, 0, 7, 6, 9, 13, 4, 2.
Node 9 is connected to nodes 14, 12, 5, 0, 1, 13, 4, 3, 10.
Node 4 is connected to nodes 14, 11, 7, 1, 9, 13, 8.
Node 11 is connected to nodes 12, 6, 4, 10.
Node 6 is connected to nodes 11, 5, 7, 1, 13, 2.
Node 10 is connected to nodes 11, 9, 3.
Node 7 is connected to nodes 12, 0, 1, 6, 4, 8, 2.
Node 13 is connected to nodes 5, 0, 1, 6, 9, 4.
Node 3 is connected to nodes 5, 0, 9, 10, 2.
Node 0 is connected to nodes 7, 1, 9, 13, 3, 8, 2.
Node 8 is connected to nodes 0, 7, 4, 2.
Node 2 is connected to nodes 0, 7, 1, 6, 3, 8.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",15,46,False,"Start from node 13, output a sequence of traversal in depth-first search (DFS) order.","[13, 4, 8, 2, 3, 10, 9, 1, 6, 7, 0, 12, 5, 14, 11]","Let's run depth-first search (DFS) step by step.
Visit node 13. Neighors of node 13: [5, 0, 1, 6, 9, 4].
Visit node 4. Neighors of node 4: [14, 11, 7, 1, 9, 13, 8].
Visit node 8. Neighors of node 8: [0, 7, 4, 2].
Visit node 2. Neighors of node 2: [0, 7, 1, 6, 3, 8].
Visit node 3. Neighors of node 3: [5, 0, 9, 10, 2].
Visit node 10. Neighors of node 10: [11, 9, 3].
Visit node 9. Neighors of node 9: [14, 12, 5, 0, 1, 13, 4, 3, 10].
Visit node 1. Neighors of node 1: [14, 12, 5, 0, 7, 6, 9, 13, 4, 2].
Visit node 6. Neighors of node 6: [11, 5, 7, 1, 13, 2].
Visit node 7. Neighors of node 7: [12, 0, 1, 6, 4, 8, 2].
Visit node 0. Neighors of node 0: [7, 1, 9, 13, 3, 8, 2].
Visit node 12. Neighors of node 12: [14, 11, 5, 7, 1, 9].
Visit node 5. Neighors of node 5: [14, 12, 1, 6, 9, 13, 3].
Visit node 14. Neighors of node 14: [12, 5, 1, 9, 4].
Visit node 11. Neighors of node 11: [12, 6, 4, 10].
So the DFS traversal is ","('[[13, 4, 8, 2, 3, 10, 9, 1, 6, 7, 0, 12, 5, 14, 11], [13, 4, 8, 2, 3, 0, 12, 5, 14, 11, 10, 9, 1, 6, 7], [13, 4, 8, 2, 3, 10, 9, 6, 5, 12, 11, 1, 0, 14, 7], [13, 5, 8, 9, 14, 7, 11, 6, 4, 1, 10, 12, 2, 0, 3]]',)",0,5
DFS,"[(13, 3), (13, 4), (13, 1), (13, 0), (3, 4), (3, 1), (3, 11), (3, 8), (3, 0), (3, 12), (3, 10), (3, 6), (3, 5), (3, 2), (4, 1), (4, 8), (4, 0), (4, 10), (4, 6), (4, 13), (1, 8), (1, 0), (1, 9), (1, 5), (1, 3), (0, 12), (0, 9), (0, 13), (0, 5), (0, 3), (0, 11), (0, 8), (5, 2), (5, 3), (5, 13), (2, 11), (2, 9), (2, 13), (11, 8), (11, 9), (11, 6), (11, 2), (11, 4), (9, 7), (9, 10), (9, 13), (9, 5), (9, 8), (8, 0), (8, 12), (8, 2), (8, 11), (12, 9), (12, 7), (12, 2), (12, 0), (10, 13), (10, 5), (10, 0), (10, 7), (6, 5), (6, 3), (6, 1), (6, 11), (6, 0), (6, 12), (6, 9), (6, 7), (6, 10), (7, 4), (7, 11), (7, 0), (7, 12), (7, 9)]","{13: [3, 4, 1, 0],
3: [4, 1, 11, 8, 0, 12, 10, 6, 5, 2],
4: [1, 8, 0, 10, 6, 13],
1: [8, 0, 9, 5, 3],
0: [12, 9, 13, 5, 3, 11, 8],
5: [2, 3, 13],
2: [11, 9, 13],
11: [8, 9, 6, 2, 4],
9: [7, 10, 13, 5, 8],
8: [0, 12, 2, 11],
12: [9, 7, 2, 0],
10: [13, 5, 0, 7],
6: [5, 3, 1, 11, 0, 12, 9, 7, 10],
7: [4, 11, 0, 12, 9]}","Node 13 is connected to nodes 3, 4, 1, 0.
Node 3 is connected to nodes 4, 1, 11, 8, 0, 12, 10, 6, 5, 2.
Node 4 is connected to nodes 1, 8, 0, 10, 6, 13.
Node 1 is connected to nodes 8, 0, 9, 5, 3.
Node 0 is connected to nodes 12, 9, 13, 5, 3, 11, 8.
Node 5 is connected to nodes 2, 3, 13.
Node 2 is connected to nodes 11, 9, 13.
Node 11 is connected to nodes 8, 9, 6, 2, 4.
Node 9 is connected to nodes 7, 10, 13, 5, 8.
Node 8 is connected to nodes 0, 12, 2, 11.
Node 12 is connected to nodes 9, 7, 2, 0.
Node 10 is connected to nodes 13, 5, 0, 7.
Node 6 is connected to nodes 5, 3, 1, 11, 0, 12, 9, 7, 10.
Node 7 is connected to nodes 4, 11, 0, 12, 9.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",14,74,True,"Start from node 7, output a sequence of traversal in depth-first search (DFS) order.","[7, 9, 8, 11, 4, 13, 0, 3, 2, 5, 6, 10, 12, 1]","Let's run depth-first search (DFS) step by step.
Visit node 7. Neighors of node 7: [4, 11, 0, 12, 9].
Visit node 9. Neighors of node 9: [7, 10, 13, 5, 8].
Visit node 8. Neighors of node 8: [0, 12, 2, 11].
Visit node 11. Neighors of node 11: [8, 9, 6, 2, 4].
Visit node 4. Neighors of node 4: [1, 8, 0, 10, 6, 13].
Visit node 13. Neighors of node 13: [3, 4, 1, 0].
Visit node 0. Neighors of node 0: [12, 9, 13, 5, 3, 11, 8].
Visit node 3. Neighors of node 3: [4, 1, 11, 8, 0, 12, 10, 6, 5, 2].
Visit node 2. Neighors of node 2: [11, 9, 13].
Visit node 5. Neighors of node 5: [2, 3, 13].
Visit node 6. Neighors of node 6: [5, 3, 1, 11, 0, 12, 9, 7, 10].
Visit node 10. Neighors of node 10: [13, 5, 0, 7].
Visit node 12. Neighors of node 12: [9, 7, 2, 0].
Visit node 1. Neighors of node 1: [8, 0, 9, 5, 3].
So the DFS traversal is ","('[[7, 9, 8, 11, 6, 10, 12, 1, 4, 13, 0, 3, 2, 5], [7, 5, 6, 10, 11, 8, 13, 2, 12, 9, 1, 0, 3, 4], [7, 9, 8, 11, 4, 13, 0, 6, 5, 3, 10, 12, 1, 2], [7, 9, 8, 11, 4, 13, 0, 3, 2, 5, 6, 10, 12, 1]]',)",3,6
DFS,"[(0, 2), (0, 6), (0, 9), (0, 8), (0, 3), (2, 1), (2, 7), (2, 8), (6, 3), (6, 5), (6, 9), (9, 4), (8, 5), (8, 4), (8, 7), (3, 5), (3, 1), (1, 4), (7, 5), (7, 4)]","{0: [2, 6, 9, 8, 3],
2: [0, 1, 7, 8],
6: [0, 3, 5, 9],
9: [0, 6, 4],
8: [0, 2, 5, 4, 7],
3: [0, 5, 6, 1],
1: [2, 3, 4],
7: [2, 5, 4, 8],
5: [3, 6, 7, 8],
4: [1, 8, 7, 9]}","Node 0 is connected to nodes 2, 6, 9, 8, 3.
Node 2 is connected to nodes 0, 1, 7, 8.
Node 6 is connected to nodes 0, 3, 5, 9.
Node 9 is connected to nodes 0, 6, 4.
Node 8 is connected to nodes 0, 2, 5, 4, 7.
Node 3 is connected to nodes 0, 5, 6, 1.
Node 1 is connected to nodes 2, 3, 4.
Node 7 is connected to nodes 2, 5, 4, 8.
Node 5 is connected to nodes 3, 6, 7, 8.
Node 4 is connected to nodes 1, 8, 7, 9.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,20,False,"Start from node 4, output a sequence of traversal in depth-first search (DFS) order.","[4, 9, 6, 5, 8, 7, 2, 1, 3, 0]","Let's run depth-first search (DFS) step by step.
Visit node 4. Neighors of node 4: [1, 8, 7, 9].
Visit node 9. Neighors of node 9: [0, 6, 4].
Visit node 6. Neighors of node 6: [0, 3, 5, 9].
Visit node 5. Neighors of node 5: [3, 6, 7, 8].
Visit node 8. Neighors of node 8: [0, 2, 5, 4, 7].
Visit node 7. Neighors of node 7: [2, 5, 4, 8].
Visit node 2. Neighors of node 2: [0, 1, 7, 8].
Visit node 1. Neighors of node 1: [2, 3, 4].
Visit node 3. Neighors of node 3: [0, 5, 6, 1].
Visit node 0. Neighors of node 0: [2, 6, 9, 8, 3].
So the DFS traversal is ","('[[4, 9, 6, 1, 3, 0, 5, 8, 7, 2], [4, 9, 6, 5, 8, 7, 2, 3, 1, 0], [4, 9, 6, 5, 8, 7, 2, 1, 3, 0], [4, 7, 3, 9, 0, 5, 8, 1, 2, 6]]',)",2,7
DFS,"[(7, 12), (7, 4), (7, 9), (7, 3), (7, 8), (12, 10), (12, 4), (12, 8), (12, 2), (12, 0), (12, 7), (12, 13), (4, 9), (4, 8), (4, 5), (4, 2), (4, 0), (4, 12), (4, 1), (9, 2), (9, 0), (9, 7), (9, 13), (9, 12), (9, 10), (9, 4), (3, 2), (3, 0), (3, 7), (3, 12), (3, 1), (3, 9), (8, 6), (8, 2), (8, 0), (8, 7), (8, 13), (8, 12), (8, 10), (8, 9), (8, 3), (13, 10), (13, 11), (13, 5), (10, 11), (10, 9), (10, 0), (10, 13), (10, 12), (11, 4), (11, 6), (11, 5), (11, 0), (11, 7), (11, 12), (5, 2), (5, 13), (5, 12), (5, 10), (5, 4), (5, 8), (2, 0), (2, 13), (2, 4), (2, 9), (2, 3), (2, 8), (0, 7), (0, 9), (0, 3), (0, 6), (0, 5), (0, 2), (1, 4), (1, 8), (1, 2), (1, 13), (1, 12), (6, 7), (6, 3)]","{7: [12, 4, 9, 3, 8],
12: [10, 4, 8, 2, 0, 7, 13],
4: [9, 8, 5, 2, 0, 12, 1],
9: [2, 0, 7, 13, 12, 10, 4],
3: [2, 0, 7, 12, 1, 9],
8: [6, 2, 0, 7, 13, 12, 10, 9, 3],
13: [10, 11, 5],
10: [11, 9, 0, 13, 12],
11: [4, 6, 5, 0, 7, 12],
5: [2, 13, 12, 10, 4, 8],
2: [0, 13, 4, 9, 3, 8],
0: [7, 9, 3, 6, 5, 2],
1: [4, 8, 2, 13, 12],
6: [7, 3]}","Node 7 is connected to nodes 12, 4, 9, 3, 8.
Node 12 is connected to nodes 10, 4, 8, 2, 0, 7, 13.
Node 4 is connected to nodes 9, 8, 5, 2, 0, 12, 1.
Node 9 is connected to nodes 2, 0, 7, 13, 12, 10, 4.
Node 3 is connected to nodes 2, 0, 7, 12, 1, 9.
Node 8 is connected to nodes 6, 2, 0, 7, 13, 12, 10, 9, 3.
Node 13 is connected to nodes 10, 11, 5.
Node 10 is connected to nodes 11, 9, 0, 13, 12.
Node 11 is connected to nodes 4, 6, 5, 0, 7, 12.
Node 5 is connected to nodes 2, 13, 12, 10, 4, 8.
Node 2 is connected to nodes 0, 13, 4, 9, 3, 8.
Node 0 is connected to nodes 7, 9, 3, 6, 5, 2.
Node 1 is connected to nodes 4, 8, 2, 13, 12.
Node 6 is connected to nodes 7, 3.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",14,80,True,"Start from node 2, output a sequence of traversal in depth-first search (DFS) order.","[2, 8, 3, 9, 4, 1, 12, 13, 5, 10, 0, 6, 7, 11]","Let's run depth-first search (DFS) step by step.
Visit node 2. Neighors of node 2: [0, 13, 4, 9, 3, 8].
Visit node 8. Neighors of node 8: [6, 2, 0, 7, 13, 12, 10, 9, 3].
Visit node 3. Neighors of node 3: [2, 0, 7, 12, 1, 9].
Visit node 9. Neighors of node 9: [2, 0, 7, 13, 12, 10, 4].
Visit node 4. Neighors of node 4: [9, 8, 5, 2, 0, 12, 1].
Visit node 1. Neighors of node 1: [4, 8, 2, 13, 12].
Visit node 12. Neighors of node 12: [10, 4, 8, 2, 0, 7, 13].
Visit node 13. Neighors of node 13: [10, 11, 5].
Visit node 5. Neighors of node 5: [2, 13, 12, 10, 4, 8].
Visit node 10. Neighors of node 10: [11, 9, 0, 13, 12].
Visit node 0. Neighors of node 0: [7, 9, 3, 6, 5, 2].
Visit node 6. Neighors of node 6: [7, 3].
Visit node 7. Neighors of node 7: [12, 4, 9, 3, 8].
Visit node 11. Neighors of node 11: [4, 6, 5, 0, 7, 12].
So the DFS traversal is ","('[[2, 8, 3, 9, 4, 1, 12, 13, 5, 10, 0, 6, 7, 11], [2, 1, 4, 8, 7, 9, 13, 10, 11, 3, 12, 6, 0, 5], [2, 8, 3, 9, 4, 1, 12, 0, 6, 5, 11, 7, 10, 13], [2, 8, 3, 9, 0, 6, 7, 11, 4, 1, 12, 13, 5, 10]]',)",0,8
DFS,"[(4, 5), (4, 6), (5, 2), (5, 1), (5, 0), (6, 7), (6, 3), (2, 0)]","{4: [5, 6],
5: [4, 2, 1, 0],
6: [4, 7, 3],
2: [5, 0],
1: [5],
0: [5, 2],
7: [6],
3: [6]}","Node 4 is connected to nodes 5, 6.
Node 5 is connected to nodes 4, 2, 1, 0.
Node 6 is connected to nodes 4, 7, 3.
Node 2 is connected to nodes 5, 0.
Node 1 is connected to node 5.
Node 0 is connected to nodes 5, 2.
Node 7 is connected to node 6.
Node 3 is connected to node 6.","[0, 1, 2, 3, 4, 5, 6, 7]",8,8,False,"Start from node 3, output a sequence of traversal in depth-first search (DFS) order.","[3, 6, 7, 4, 5, 0, 2, 1]","Let's run depth-first search (DFS) step by step.
Visit node 3. Neighors of node 3: [6].
Visit node 6. Neighors of node 6: [4, 7, 3].
Visit node 7. Neighors of node 7: [6].
Visit node 4. Neighors of node 4: [5, 6].
Visit node 5. Neighors of node 5: [4, 2, 1, 0].
Visit node 0. Neighors of node 0: [5, 2].
Visit node 2. Neighors of node 2: [5, 0].
Visit node 1. Neighors of node 1: [5].
So the DFS traversal is ","('[[3, 6, 7, 4, 1, 2, 5, 0], [3, 6, 7, 4, 5, 0, 2, 1], [3, 6, 2, 1, 7, 4, 5, 0], [3, 7, 4, 2, 0, 5, 1, 6]]',)",1,9
