task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,n1,n2,id
bipartite,"[(LXU, QQA), (LXU, XBL), (LXU, QOE), (NWZ, QQA), (NWZ, XBL), (NWZ, FPU), (VRM, QQA), (VRM, FPU), (ZEN, CHR), (ZEN, TSY), (ZEN, XBL), (ZEN, QOE)]","{LXU: [QQA, XBL, QOE],
NWZ: [QQA, XBL, FPU],
VRM: [QQA, FPU],
ZEN: [CHR, TSY, XBL, QOE],
CHR: [ZEN],
QQA: [LXU, NWZ, VRM],
TSY: [ZEN],
XBL: [LXU, NWZ, ZEN],
FPU: [NWZ, VRM],
QOE: [LXU, ZEN]}","Node LXU is connected to nodes QQA, XBL, QOE.
Node NWZ is connected to nodes QQA, XBL, FPU.
Node VRM is connected to nodes QQA, FPU.
Node ZEN is connected to nodes CHR, TSY, XBL, QOE.
Node CHR is connected to node ZEN.
Node QQA is connected to nodes LXU, NWZ, VRM.
Node TSY is connected to node ZEN.
Node XBL is connected to nodes LXU, NWZ, ZEN.
Node FPU is connected to nodes NWZ, VRM.
Node QOE is connected to nodes LXU, ZEN.","[LXU, NWZ, VRM, ZEN, CHR, QQA, TSY, XBL, FPU, QOE]",10,12,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: LXU NWZ VRM ZEN.
Nodes set 2 contains: CHR QQA TSY XBL FPU QOE.","[(LXU, QOE), (NWZ, XBL), (VRM, QQA), (ZEN, CHR)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node LXU. Updated matching: {QQA: LXU}.
Search from node NWZ. Updated matching: {QQA: NWZ, XBL: LXU}.
Search from node VRM. Updated matching: {QQA: VRM, XBL: NWZ, QOE: LXU}.
Search from node ZEN. Updated matching: {QQA: VRM, XBL: NWZ, QOE: LXU, CHR: ZEN}.
So the maximum matching is ",4,6,0
bipartite,"[(JTP, AEV), (JTP, RJC), (JTP, JWF), (JTP, RRW), (QXT, URJ), (QXT, RJC), (QXT, RRW), (PET, AEV), (PET, RJC), (PET, JWF), (PET, AHJ), (LIT, CIY), (AGU, URJ), (AGU, CIY), (AGU, RRW)]","{JTP: [AEV, RJC, JWF, RRW],
QXT: [URJ, RJC, RRW],
PET: [AEV, RJC, JWF, AHJ],
LIT: [CIY],
AGU: [URJ, CIY, RRW],
AEV: [JTP, PET],
URJ: [QXT, AGU],
RJC: [JTP, QXT, PET],
CIY: [LIT, AGU],
JWF: [JTP, PET],
AHJ: [PET],
RRW: [JTP, QXT, AGU]}","Node JTP is connected to nodes AEV, RJC, JWF, RRW.
Node QXT is connected to nodes URJ, RJC, RRW.
Node PET is connected to nodes AEV, RJC, JWF, AHJ.
Node LIT is connected to node CIY.
Node AGU is connected to nodes URJ, CIY, RRW.
Node AEV is connected to nodes JTP, PET.
Node URJ is connected to nodes QXT, AGU.
Node RJC is connected to nodes JTP, QXT, PET.
Node CIY is connected to nodes LIT, AGU.
Node JWF is connected to nodes JTP, PET.
Node AHJ is connected to node PET.
Node RRW is connected to nodes JTP, QXT, AGU.","[JTP, QXT, PET, LIT, AGU, AEV, URJ, RJC, CIY, JWF, AHJ, RRW]",12,15,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: JTP QXT PET LIT AGU.
Nodes set 2 contains: AEV URJ RJC CIY JWF AHJ RRW.","[(JTP, AEV), (QXT, RJC), (PET, JWF), (LIT, CIY), (AGU, URJ)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node JTP. Updated matching: {AEV: JTP}.
Search from node QXT. Updated matching: {AEV: JTP, URJ: QXT}.
Search from node PET. Updated matching: {AEV: PET, URJ: QXT, RJC: JTP}.
Search from node LIT. Updated matching: {AEV: PET, URJ: QXT, RJC: JTP, CIY: LIT}.
Search from node AGU. Updated matching: {AEV: JTP, URJ: AGU, RJC: QXT, CIY: LIT, JWF: PET}.
So the maximum matching is ",5,7,1
bipartite,"[(GZM, FWF), (GZM, DAD), (GZM, MPS), (OOC, FWF), (OOC, SMU), (OOC, MPS), (OOC, WJW), (UIQ, FWF), (UIQ, SMU), (UIQ, MPS), (UIQ, WJW)]","{GZM: [FWF, DAD, MPS],
OOC: [FWF, SMU, MPS, WJW],
UIQ: [FWF, SMU, MPS, WJW],
FWF: [GZM, OOC, UIQ],
DAD: [GZM],
SMU: [OOC, UIQ],
MPS: [GZM, OOC, UIQ],
WJW: [OOC, UIQ]}","Node GZM is connected to nodes FWF, DAD, MPS.
Node OOC is connected to nodes FWF, SMU, MPS, WJW.
Node UIQ is connected to nodes FWF, SMU, MPS, WJW.
Node FWF is connected to nodes GZM, OOC, UIQ.
Node DAD is connected to node GZM.
Node SMU is connected to nodes OOC, UIQ.
Node MPS is connected to nodes GZM, OOC, UIQ.
Node WJW is connected to nodes OOC, UIQ.","[GZM, OOC, UIQ, FWF, DAD, SMU, MPS, WJW]",8,11,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: GZM OOC UIQ.
Nodes set 2 contains: FWF DAD SMU MPS WJW.","[(GZM, DAD), (OOC, SMU), (UIQ, FWF)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node GZM. Updated matching: {FWF: GZM}.
Search from node OOC. Updated matching: {FWF: OOC, DAD: GZM}.
Search from node UIQ. Updated matching: {FWF: UIQ, DAD: GZM, SMU: OOC}.
So the maximum matching is ",3,5,2
bipartite,"[(ZCQ, MYI), (PER, CUF), (PER, IRZ), (PER, ZAG), (KNY, SWR), (KNY, CUF), (KNY, LDM), (YAK, CUF), (YAK, MYI), (YAK, ZAG), (YFL, HGR), (YFL, IRZ), (PLA, MYI)]","{ZCQ: [MYI],
PER: [CUF, IRZ, ZAG],
KNY: [SWR, CUF, LDM],
YAK: [CUF, MYI, ZAG],
YFL: [HGR, IRZ],
PLA: [MYI],
SWR: [KNY],
CUF: [PER, KNY, YAK],
HGR: [YFL],
MYI: [ZCQ, YAK, PLA],
IRZ: [PER, YFL],
ZAG: [PER, YAK],
LDM: [KNY]}","Node ZCQ is connected to node MYI.
Node PER is connected to nodes CUF, IRZ, ZAG.
Node KNY is connected to nodes SWR, CUF, LDM.
Node YAK is connected to nodes CUF, MYI, ZAG.
Node YFL is connected to nodes HGR, IRZ.
Node PLA is connected to node MYI.
Node SWR is connected to node KNY.
Node CUF is connected to nodes PER, KNY, YAK.
Node HGR is connected to node YFL.
Node MYI is connected to nodes ZCQ, YAK, PLA.
Node IRZ is connected to nodes PER, YFL.
Node ZAG is connected to nodes PER, YAK.
Node LDM is connected to node KNY.","[ZCQ, PER, KNY, YAK, YFL, PLA, SWR, CUF, HGR, MYI, IRZ, ZAG, LDM]",13,13,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: ZCQ PER KNY YAK YFL PLA.
Nodes set 2 contains: SWR CUF HGR MYI IRZ ZAG LDM.","[(ZCQ, MYI), (PER, IRZ), (KNY, SWR), (YAK, CUF), (YFL, HGR)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node ZCQ. Updated matching: {MYI: ZCQ}.
Search from node PER. Updated matching: {MYI: ZCQ, CUF: PER}.
Search from node KNY. Updated matching: {MYI: ZCQ, CUF: PER, SWR: KNY}.
Search from node YAK. Updated matching: {MYI: ZCQ, CUF: YAK, SWR: KNY, IRZ: PER}.
Search from node YFL. Updated matching: {MYI: ZCQ, CUF: YAK, SWR: KNY, IRZ: PER, HGR: YFL}.
Search from node PLA. Updated matching: {MYI: ZCQ, CUF: YAK, SWR: KNY, IRZ: PER, HGR: YFL}.
So the maximum matching is ",6,7,3
bipartite,"[(VNZ, ZPG), (VNZ, XBK), (VNZ, WWE), (VNZ, LLT), (VNZ, MJI), (FXX, XBK), (FXX, LLT), (FXX, BVG), (FXX, ANI), (XDK, LLT), (XDK, VCX), (XDK, ANI), (XDK, FII), (ONB, ZPG), (ONB, LLT), (ONB, MJI), (ONB, ANI), (NOH, OET), (NOH, ZPG), (NOH, LLT)]","{VNZ: [ZPG, XBK, WWE, LLT, MJI],
FXX: [XBK, LLT, BVG, ANI],
XDK: [LLT, VCX, ANI, FII],
ONB: [ZPG, LLT, MJI, ANI],
NOH: [OET, ZPG, LLT],
OET: [NOH],
ZPG: [VNZ, ONB, NOH],
XBK: [VNZ, FXX],
WWE: [VNZ],
LLT: [VNZ, FXX, XDK, ONB, NOH],
BVG: [FXX],
MJI: [VNZ, ONB],
VCX: [XDK],
ANI: [FXX, XDK, ONB],
FII: [XDK]}","Node VNZ is connected to nodes ZPG, XBK, WWE, LLT, MJI.
Node FXX is connected to nodes XBK, LLT, BVG, ANI.
Node XDK is connected to nodes LLT, VCX, ANI, FII.
Node ONB is connected to nodes ZPG, LLT, MJI, ANI.
Node NOH is connected to nodes OET, ZPG, LLT.
Node OET is connected to node NOH.
Node ZPG is connected to nodes VNZ, ONB, NOH.
Node XBK is connected to nodes VNZ, FXX.
Node WWE is connected to node VNZ.
Node LLT is connected to nodes VNZ, FXX, XDK, ONB, NOH.
Node BVG is connected to node FXX.
Node MJI is connected to nodes VNZ, ONB.
Node VCX is connected to node XDK.
Node ANI is connected to nodes FXX, XDK, ONB.
Node FII is connected to node XDK.","[VNZ, FXX, XDK, ONB, NOH, OET, ZPG, XBK, WWE, LLT, BVG, MJI, VCX, ANI, FII]",15,20,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: VNZ FXX XDK ONB NOH.
Nodes set 2 contains: OET ZPG XBK WWE LLT BVG MJI VCX ANI FII.","[(VNZ, XBK), (FXX, LLT), (XDK, VCX), (ONB, ZPG), (NOH, OET)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node VNZ. Updated matching: {ZPG: VNZ}.
Search from node FXX. Updated matching: {ZPG: VNZ, XBK: FXX}.
Search from node XDK. Updated matching: {ZPG: VNZ, XBK: FXX, LLT: XDK}.
Search from node ONB. Updated matching: {ZPG: ONB, XBK: VNZ, LLT: FXX, VCX: XDK}.
Search from node NOH. Updated matching: {ZPG: ONB, XBK: VNZ, LLT: FXX, VCX: XDK, OET: NOH}.
So the maximum matching is ",5,10,4
bipartite,"[(QOQ, AVC), (QOQ, SZW), (QOQ, TFD), (VVW, SPY), (VVW, NLD), (VVW, AVC), (VVW, QML), (YJP, NLD), (YJP, PIK), (YJP, WUZ), (NNC, EUD), (NNC, PIK), (GIG, SPY), (GIG, WUZ), (GIG, TFD)]","{QOQ: [AVC, SZW, TFD],
VVW: [SPY, NLD, AVC, QML],
YJP: [NLD, PIK, WUZ],
NNC: [EUD, PIK],
GIG: [SPY, WUZ, TFD],
EUD: [NNC],
SPY: [VVW, GIG],
NLD: [VVW, YJP],
AVC: [QOQ, VVW],
SZW: [QOQ],
PIK: [YJP, NNC],
QML: [VVW],
WUZ: [YJP, GIG],
TFD: [QOQ, GIG]}","Node QOQ is connected to nodes AVC, SZW, TFD.
Node VVW is connected to nodes SPY, NLD, AVC, QML.
Node YJP is connected to nodes NLD, PIK, WUZ.
Node NNC is connected to nodes EUD, PIK.
Node GIG is connected to nodes SPY, WUZ, TFD.
Node EUD is connected to node NNC.
Node SPY is connected to nodes VVW, GIG.
Node NLD is connected to nodes VVW, YJP.
Node AVC is connected to nodes QOQ, VVW.
Node SZW is connected to node QOQ.
Node PIK is connected to nodes YJP, NNC.
Node QML is connected to node VVW.
Node WUZ is connected to nodes YJP, GIG.
Node TFD is connected to nodes QOQ, GIG.","[QOQ, VVW, YJP, NNC, GIG, EUD, SPY, NLD, AVC, SZW, PIK, QML, WUZ, TFD]",14,15,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: QOQ VVW YJP NNC GIG.
Nodes set 2 contains: EUD SPY NLD AVC SZW PIK QML WUZ TFD.","[(QOQ, AVC), (VVW, NLD), (YJP, PIK), (NNC, EUD), (GIG, SPY)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node QOQ. Updated matching: {AVC: QOQ}.
Search from node VVW. Updated matching: {AVC: QOQ, SPY: VVW}.
Search from node YJP. Updated matching: {AVC: QOQ, SPY: VVW, NLD: YJP}.
Search from node NNC. Updated matching: {AVC: QOQ, SPY: VVW, NLD: YJP, EUD: NNC}.
Search from node GIG. Updated matching: {AVC: QOQ, SPY: GIG, NLD: VVW, EUD: NNC, PIK: YJP}.
So the maximum matching is ",5,9,5
bipartite,"[(DUJ, TGQ), (DUJ, QUP), (QWC, TGQ), (QWC, CLP), (QWC, MIW), (QWC, AEQ), (AWT, BPR), (AWT, TGQ), (AWT, AEQ)]","{DUJ: [TGQ, QUP],
QWC: [TGQ, CLP, MIW, AEQ],
AWT: [BPR, TGQ, AEQ],
BPR: [AWT],
TGQ: [DUJ, QWC, AWT],
CLP: [QWC],
QUP: [DUJ],
MIW: [QWC],
AEQ: [QWC, AWT]}","Node DUJ is connected to nodes TGQ, QUP.
Node QWC is connected to nodes TGQ, CLP, MIW, AEQ.
Node AWT is connected to nodes BPR, TGQ, AEQ.
Node BPR is connected to node AWT.
Node TGQ is connected to nodes DUJ, QWC, AWT.
Node CLP is connected to node QWC.
Node QUP is connected to node DUJ.
Node MIW is connected to node QWC.
Node AEQ is connected to nodes QWC, AWT.","[DUJ, QWC, AWT, BPR, TGQ, CLP, QUP, MIW, AEQ]",9,9,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: DUJ QWC AWT.
Nodes set 2 contains: BPR TGQ CLP QUP MIW AEQ.","[(DUJ, QUP), (QWC, TGQ), (AWT, BPR)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node DUJ. Updated matching: {TGQ: DUJ}.
Search from node QWC. Updated matching: {TGQ: QWC, QUP: DUJ}.
Search from node AWT. Updated matching: {TGQ: QWC, QUP: DUJ, BPR: AWT}.
So the maximum matching is ",3,6,6
bipartite,"[(AOV, MWP), (AOV, RXC), (AOV, EEH), (WWW, RXC), (WWW, VUV), (WWW, EEH), (ETP, PNI), (ETP, RXC), (ETP, EEH), (NZD, VUV)]","{AOV: [MWP, RXC, EEH],
WWW: [RXC, VUV, EEH],
ETP: [PNI, RXC, EEH],
NZD: [VUV],
MWP: [AOV],
PNI: [ETP],
RXC: [AOV, WWW, ETP],
VUV: [WWW, NZD],
EEH: [AOV, WWW, ETP]}","Node AOV is connected to nodes MWP, RXC, EEH.
Node WWW is connected to nodes RXC, VUV, EEH.
Node ETP is connected to nodes PNI, RXC, EEH.
Node NZD is connected to node VUV.
Node MWP is connected to node AOV.
Node PNI is connected to node ETP.
Node RXC is connected to nodes AOV, WWW, ETP.
Node VUV is connected to nodes WWW, NZD.
Node EEH is connected to nodes AOV, WWW, ETP.","[AOV, WWW, ETP, NZD, MWP, PNI, RXC, VUV, EEH]",9,10,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: AOV WWW ETP NZD.
Nodes set 2 contains: MWP PNI RXC VUV EEH.","[(AOV, MWP), (WWW, RXC), (ETP, PNI), (NZD, VUV)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node AOV. Updated matching: {MWP: AOV}.
Search from node WWW. Updated matching: {MWP: AOV, RXC: WWW}.
Search from node ETP. Updated matching: {MWP: AOV, RXC: WWW, PNI: ETP}.
Search from node NZD. Updated matching: {MWP: AOV, RXC: WWW, PNI: ETP, VUV: NZD}.
So the maximum matching is ",4,5,7
bipartite,"[(QZI, XXJ), (QZI, TCI), (QZI, EXR), (QZI, ZVX), (EKP, RTJ), (ZZY, CCS), (ZZY, XXJ), (ZZY, ZVX), (UTF, TUM), (UTF, XBF), (UTF, EXR), (UTF, WCX), (PVG, CCS), (PVG, FYC), (PVG, RTJ), (PVG, EXR)]","{QZI: [XXJ, TCI, EXR, ZVX],
EKP: [RTJ],
ZZY: [CCS, XXJ, ZVX],
UTF: [TUM, XBF, EXR, WCX],
PVG: [CCS, FYC, RTJ, EXR],
CCS: [ZZY, PVG],
FYC: [PVG],
TUM: [UTF],
XXJ: [QZI, ZZY],
RTJ: [EKP, PVG],
TCI: [QZI],
XBF: [UTF],
EXR: [QZI, UTF, PVG],
ZVX: [QZI, ZZY],
WCX: [UTF]}","Node QZI is connected to nodes XXJ, TCI, EXR, ZVX.
Node EKP is connected to node RTJ.
Node ZZY is connected to nodes CCS, XXJ, ZVX.
Node UTF is connected to nodes TUM, XBF, EXR, WCX.
Node PVG is connected to nodes CCS, FYC, RTJ, EXR.
Node CCS is connected to nodes ZZY, PVG.
Node FYC is connected to node PVG.
Node TUM is connected to node UTF.
Node XXJ is connected to nodes QZI, ZZY.
Node RTJ is connected to nodes EKP, PVG.
Node TCI is connected to node QZI.
Node XBF is connected to node UTF.
Node EXR is connected to nodes QZI, UTF, PVG.
Node ZVX is connected to nodes QZI, ZZY.
Node WCX is connected to node UTF.","[QZI, EKP, ZZY, UTF, PVG, CCS, FYC, TUM, XXJ, RTJ, TCI, XBF, EXR, ZVX, WCX]",15,16,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: QZI EKP ZZY UTF PVG.
Nodes set 2 contains: CCS FYC TUM XXJ RTJ TCI XBF EXR ZVX WCX.","[(QZI, TCI), (EKP, RTJ), (ZZY, XXJ), (UTF, TUM), (PVG, CCS)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node QZI. Updated matching: {XXJ: QZI}.
Search from node EKP. Updated matching: {XXJ: QZI, RTJ: EKP}.
Search from node ZZY. Updated matching: {XXJ: QZI, RTJ: EKP, CCS: ZZY}.
Search from node UTF. Updated matching: {XXJ: QZI, RTJ: EKP, CCS: ZZY, TUM: UTF}.
Search from node PVG. Updated matching: {XXJ: ZZY, RTJ: EKP, CCS: PVG, TUM: UTF, TCI: QZI}.
So the maximum matching is ",5,10,8
bipartite,"[(TGX, CYW), (TGX, HPA), (TGX, FEV), (TGX, KAB), (WYH, HPA), (WYH, FEV), (WYH, GTJ), (UNQ, ZOF), (UNQ, FEV), (OIC, CYW), (OIC, LEX), (OIC, ZOF), (OIC, FEV)]","{TGX: [CYW, HPA, FEV, KAB],
WYH: [HPA, FEV, GTJ],
UNQ: [ZOF, FEV],
OIC: [CYW, LEX, ZOF, FEV],
CYW: [TGX, OIC],
LEX: [OIC],
ZOF: [UNQ, OIC],
HPA: [TGX, WYH],
FEV: [TGX, WYH, UNQ, OIC],
GTJ: [WYH],
KAB: [TGX]}","Node TGX is connected to nodes CYW, HPA, FEV, KAB.
Node WYH is connected to nodes HPA, FEV, GTJ.
Node UNQ is connected to nodes ZOF, FEV.
Node OIC is connected to nodes CYW, LEX, ZOF, FEV.
Node CYW is connected to nodes TGX, OIC.
Node LEX is connected to node OIC.
Node ZOF is connected to nodes UNQ, OIC.
Node HPA is connected to nodes TGX, WYH.
Node FEV is connected to nodes TGX, WYH, UNQ, OIC.
Node GTJ is connected to node WYH.
Node KAB is connected to node TGX.","[TGX, WYH, UNQ, OIC, CYW, LEX, ZOF, HPA, FEV, GTJ, KAB]",11,13,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: TGX WYH UNQ OIC.
Nodes set 2 contains: CYW LEX ZOF HPA FEV GTJ KAB.","[(TGX, HPA), (WYH, FEV), (UNQ, ZOF), (OIC, CYW)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node TGX. Updated matching: {CYW: TGX}.
Search from node WYH. Updated matching: {CYW: TGX, HPA: WYH}.
Search from node UNQ. Updated matching: {CYW: TGX, HPA: WYH, ZOF: UNQ}.
Search from node OIC. Updated matching: {CYW: OIC, HPA: TGX, ZOF: UNQ, FEV: WYH}.
So the maximum matching is ",4,7,9
