task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
clustering_coefficient,"[(EHE, CPJ), (EHE, FGZ), (EHE, ZDU), (EHE, AID), (EHE, HFE), (CPJ, HFE), (CPJ, JZV), (CPJ, OZK), (FGZ, OZK), (FGZ, HFE), (FGZ, JZV), (FGZ, KTR), (ZDU, AID), (ZDU, YCI), (ZDU, XKA), (AID, OZK), (AID, YCI), (HFE, XKA), (JZV, KTR), (KTR, XKA), (KTR, YCI), (XKA, YCI)]","{EHE: [CPJ, FGZ, ZDU, AID, HFE],
CPJ: [EHE, HFE, JZV, OZK],
FGZ: [EHE, OZK, HFE, JZV, KTR],
ZDU: [EHE, AID, YCI, XKA],
AID: [EHE, OZK, YCI, ZDU],
HFE: [EHE, CPJ, FGZ, XKA],
JZV: [CPJ, FGZ, KTR],
OZK: [CPJ, FGZ, AID],
KTR: [FGZ, JZV, XKA, YCI],
XKA: [KTR, YCI, ZDU, HFE],
YCI: [KTR, AID, XKA, ZDU]}","Node EHE is connected to nodes CPJ, FGZ, ZDU, AID, HFE.
Node CPJ is connected to nodes EHE, HFE, JZV, OZK.
Node FGZ is connected to nodes EHE, OZK, HFE, JZV, KTR.
Node ZDU is connected to nodes EHE, AID, YCI, XKA.
Node AID is connected to nodes EHE, OZK, YCI, ZDU.
Node HFE is connected to nodes EHE, CPJ, FGZ, XKA.
Node JZV is connected to nodes CPJ, FGZ, KTR.
Node OZK is connected to nodes CPJ, FGZ, AID.
Node KTR is connected to nodes FGZ, JZV, XKA, YCI.
Node XKA is connected to nodes KTR, YCI, ZDU, HFE.
Node YCI is connected to nodes KTR, AID, XKA, ZDU.","[OZK, JZV, AID, KTR, YCI, EHE, HFE, XKA, FGZ, ZDU, CPJ]",11,22,False,What is the clustering coefficient of node HFE?,0.3333,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node HFE's neighbors are [EHE, CPJ, FGZ, XKA]. There are 2 edges between them: [(EHE, CPJ), (EHE, FGZ)].
Node HFE's degree is 4.
So the the clustering coefficient of node HFE is 2 * 2 / (4 * (4 - 1)) = ","('[0.3333, 0.0000, 0.5298, 0.9514]',)",0,0
clustering_coefficient,"[(OXX, SUF), (OXX, AYF), (OXX, PKT), (OXX, AML), (SUF, TNU), (SUF, PKT), (SUF, MAE), (AYF, PKT), (AYF, MAE), (AYF, QRF), (PKT, MAE), (PKT, FSD), (AML, TNU), (AML, MAE), (TNU, QXH), (TNU, FSD), (MAE, QRF), (MAE, FSD), (QXH, FSD), (FSD, QRF)]","{OXX: [SUF, AYF, PKT, AML],
SUF: [OXX, TNU, PKT, MAE],
AYF: [OXX, PKT, MAE, QRF],
PKT: [OXX, SUF, MAE, AYF, FSD],
AML: [OXX, TNU, MAE],
TNU: [SUF, QXH, AML, FSD],
MAE: [SUF, PKT, QRF, AML, AYF, FSD],
QXH: [TNU, FSD],
FSD: [TNU, PKT, MAE, QRF, QXH],
QRF: [MAE, AYF, FSD]}","Node OXX is connected to nodes SUF, AYF, PKT, AML.
Node SUF is connected to nodes OXX, TNU, PKT, MAE.
Node AYF is connected to nodes OXX, PKT, MAE, QRF.
Node PKT is connected to nodes OXX, SUF, MAE, AYF, FSD.
Node AML is connected to nodes OXX, TNU, MAE.
Node TNU is connected to nodes SUF, QXH, AML, FSD.
Node MAE is connected to nodes SUF, PKT, QRF, AML, AYF, FSD.
Node QXH is connected to nodes TNU, FSD.
Node FSD is connected to nodes TNU, PKT, MAE, QRF, QXH.
Node QRF is connected to nodes MAE, AYF, FSD.","[OXX, PKT, AML, TNU, MAE, QXH, SUF, FSD, AYF, QRF]",10,20,False,What is the clustering coefficient of node PKT?,0.5,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node PKT's neighbors are [OXX, SUF, MAE, AYF, FSD]. There are 5 edges between them: [(OXX, SUF), (OXX, AYF), (SUF, MAE), (MAE, AYF), (MAE, FSD)].
Node PKT's degree is 5.
So the the clustering coefficient of node PKT is 2 * 5 / (5 * (5 - 1)) = ","('[0.0000, 0.2221, 0.9309, 0.5000]',)",3,1
clustering_coefficient,"[(PSE, IVE), (PSE, NXW), (PSE, AAP), (PSE, ABK), (PSE, VXU), (PSE, RCP), (IVE, VXU), (IVE, FGY), (IVE, OEI), (IVE, JPX), (IVE, LIT), (NXW, AAP), (NXW, MDZ), (AAP, ABK), (AAP, VXU), (ABK, RCP), (ABK, WRJ), (ABK, CDJ), (ABK, LIT), (ABK, MDZ), (ABK, VXU), (ABK, OEI), (VXU, RCP), (VXU, WRJ), (VXU, CDJ), (VXU, JPX), (RCP, CDJ), (RCP, OEI), (RCP, MDZ), (FGY, CDJ), (FGY, OEI), (OEI, LIT), (OEI, MDZ)]","{PSE: [IVE, NXW, AAP, ABK, VXU, RCP],
IVE: [PSE, VXU, FGY, OEI, JPX, LIT],
NXW: [PSE, AAP, MDZ],
AAP: [PSE, ABK, VXU, NXW],
ABK: [PSE, RCP, WRJ, CDJ, LIT, MDZ, VXU, OEI, AAP],
VXU: [PSE, IVE, ABK, RCP, WRJ, CDJ, JPX, AAP],
RCP: [PSE, ABK, VXU, CDJ, OEI, MDZ],
FGY: [IVE, CDJ, OEI],
OEI: [IVE, ABK, RCP, LIT, MDZ, FGY],
JPX: [IVE, VXU],
LIT: [IVE, ABK, OEI],
WRJ: [ABK, VXU],
CDJ: [ABK, RCP, VXU, FGY],
MDZ: [ABK, RCP, NXW, OEI]}","Node PSE is connected to nodes IVE, NXW, AAP, ABK, VXU, RCP.
Node IVE is connected to nodes PSE, VXU, FGY, OEI, JPX, LIT.
Node NXW is connected to nodes PSE, AAP, MDZ.
Node AAP is connected to nodes PSE, ABK, VXU, NXW.
Node ABK is connected to nodes PSE, RCP, WRJ, CDJ, LIT, MDZ, VXU, OEI, AAP.
Node VXU is connected to nodes PSE, IVE, ABK, RCP, WRJ, CDJ, JPX, AAP.
Node RCP is connected to nodes PSE, ABK, VXU, CDJ, OEI, MDZ.
Node FGY is connected to nodes IVE, CDJ, OEI.
Node OEI is connected to nodes IVE, ABK, RCP, LIT, MDZ, FGY.
Node JPX is connected to nodes IVE, VXU.
Node LIT is connected to nodes IVE, ABK, OEI.
Node WRJ is connected to nodes ABK, VXU.
Node CDJ is connected to nodes ABK, RCP, VXU, FGY.
Node MDZ is connected to nodes ABK, RCP, NXW, OEI.","[IVE, RCP, VXU, ABK, AAP, OEI, LIT, NXW, JPX, FGY, WRJ, CDJ, MDZ, PSE]",14,33,False,What is the clustering coefficient of node VXU?,0.3571,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node VXU's neighbors are [PSE, IVE, ABK, RCP, WRJ, CDJ, JPX, AAP]. There are 10 edges between them: [(PSE, IVE), (PSE, ABK), (PSE, RCP), (PSE, AAP), (IVE, JPX), (ABK, RCP), (ABK, WRJ), (ABK, CDJ), (ABK, AAP), (RCP, CDJ)].
Node VXU's degree is 8.
So the the clustering coefficient of node VXU is 2 * 10 / (8 * (8 - 1)) = ","('[0.1914, 0.3571, 0.0825, 0.0000]',)",1,2
clustering_coefficient,"[(GMD, FUZ), (GMD, UYZ), (FUZ, PVN), (UYZ, DAI), (PVN, GDX), (GDX, FWD), (FWD, LVG), (IWA, DAI), (IWA, NOT), (NOT, ZGL), (ZGL, LVG)]","{GMD: [FUZ, UYZ],
FUZ: [GMD, PVN],
UYZ: [GMD, DAI],
PVN: [FUZ, GDX],
GDX: [PVN, FWD],
FWD: [GDX, LVG],
IWA: [DAI, NOT],
DAI: [IWA, UYZ],
NOT: [IWA, ZGL],
ZGL: [NOT, LVG],
LVG: [ZGL, FWD]}","Node GMD is connected to nodes FUZ, UYZ.
Node FUZ is connected to nodes GMD, PVN.
Node UYZ is connected to nodes GMD, DAI.
Node PVN is connected to nodes FUZ, GDX.
Node GDX is connected to nodes PVN, FWD.
Node FWD is connected to nodes GDX, LVG.
Node IWA is connected to nodes DAI, NOT.
Node DAI is connected to nodes IWA, UYZ.
Node NOT is connected to nodes IWA, ZGL.
Node ZGL is connected to nodes NOT, LVG.
Node LVG is connected to nodes ZGL, FWD.","[ZGL, IWA, GDX, DAI, GMD, UYZ, LVG, NOT, FUZ, FWD, PVN]",11,11,False,What is the clustering coefficient of node IWA?,0.0,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node IWA's neighbors are [DAI, NOT]. There are 0 edges between them: [].
Node IWA's degree is 2.
So the the clustering coefficient of node IWA is 2 * 0 / (2 * (2 - 1)) = ","('[0.9841, 0.7329, 0.0000, 0.9360]',)",2,3
clustering_coefficient,"[(MXL, HKZ), (MXL, CBE), (MXL, BQX), (HKZ, ZHQ), (HKZ, AEZ), (CBE, BQX), (CBE, QGI), (BQX, RVE), (BQX, AGX), (BQX, SYH), (BQX, ZHQ), (BQX, ATV), (BQX, OKX), (BQX, XYM), (BQX, OZV), (ZHQ, RVE), (ZHQ, XYM), (ZHQ, OKX), (AEZ, SYH), (AGX, XYM), (SYH, OZV), (ATV, XYM), (OKX, SLD), (XYM, SLD), (XYM, OZV), (OZV, QGI)]","{MXL: [HKZ, CBE, BQX],
HKZ: [MXL, ZHQ, AEZ],
CBE: [MXL, BQX, QGI],
BQX: [MXL, RVE, AGX, SYH, ZHQ, ATV, OKX, XYM, CBE, OZV],
ZHQ: [HKZ, BQX, RVE, XYM, OKX],
AEZ: [HKZ, SYH],
RVE: [BQX, ZHQ],
AGX: [BQX, XYM],
SYH: [BQX, AEZ, OZV],
ATV: [BQX, XYM],
OKX: [BQX, ZHQ, SLD],
XYM: [BQX, ZHQ, SLD, ATV, OZV, AGX],
OZV: [BQX, XYM, SYH, QGI],
SLD: [XYM, OKX],
QGI: [CBE, OZV]}","Node MXL is connected to nodes HKZ, CBE, BQX.
Node HKZ is connected to nodes MXL, ZHQ, AEZ.
Node CBE is connected to nodes MXL, BQX, QGI.
Node BQX is connected to nodes MXL, RVE, AGX, SYH, ZHQ, ATV, OKX, XYM, CBE, OZV.
Node ZHQ is connected to nodes HKZ, BQX, RVE, XYM, OKX.
Node AEZ is connected to nodes HKZ, SYH.
Node RVE is connected to nodes BQX, ZHQ.
Node AGX is connected to nodes BQX, XYM.
Node SYH is connected to nodes BQX, AEZ, OZV.
Node ATV is connected to nodes BQX, XYM.
Node OKX is connected to nodes BQX, ZHQ, SLD.
Node XYM is connected to nodes BQX, ZHQ, SLD, ATV, OZV, AGX.
Node OZV is connected to nodes BQX, XYM, SYH, QGI.
Node SLD is connected to nodes XYM, OKX.
Node QGI is connected to nodes CBE, OZV.","[SLD, MXL, AEZ, AGX, BQX, CBE, ATV, ZHQ, SYH, RVE, OZV, OKX, QGI, XYM, HKZ]",15,26,False,What is the clustering coefficient of node ZHQ?,0.3,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node ZHQ's neighbors are [HKZ, BQX, RVE, XYM, OKX]. There are 3 edges between them: [(BQX, RVE), (BQX, XYM), (BQX, OKX)].
Node ZHQ's degree is 5.
So the the clustering coefficient of node ZHQ is 2 * 3 / (5 * (5 - 1)) = ","('[0.2750, 0.0000, 0.3000, 0.8948]',)",2,4
clustering_coefficient,"[(DHP, FBZ), (FBZ, KCL), (FBZ, OQG), (FBZ, YBZ), (FBZ, VOC), (FBZ, WGX), (YJQ, KCL), (YJQ, NBS), (YJQ, DBT), (KCL, JDD), (KCL, DBT), (NBS, OQG), (DBT, FYQ), (JDD, FYQ), (JDD, MRN), (JDD, WGX), (FYQ, YBZ), (YBZ, NFR), (YBZ, VOC), (MRN, WGX), (WGX, OQG), (WGX, VOC), (VOC, NFR)]","{DHP: [FBZ],
FBZ: [DHP, KCL, OQG, YBZ, VOC, WGX],
YJQ: [KCL, NBS, DBT],
KCL: [YJQ, JDD, FBZ, DBT],
NBS: [YJQ, OQG],
DBT: [YJQ, KCL, FYQ],
JDD: [KCL, FYQ, MRN, WGX],
FYQ: [JDD, YBZ, DBT],
YBZ: [FYQ, FBZ, NFR, VOC],
MRN: [JDD, WGX],
WGX: [JDD, OQG, MRN, FBZ, VOC],
OQG: [NBS, FBZ, WGX],
VOC: [FBZ, NFR, YBZ, WGX],
NFR: [YBZ, VOC]}","Node DHP is connected to node FBZ.
Node FBZ is connected to nodes DHP, KCL, OQG, YBZ, VOC, WGX.
Node YJQ is connected to nodes KCL, NBS, DBT.
Node KCL is connected to nodes YJQ, JDD, FBZ, DBT.
Node NBS is connected to nodes YJQ, OQG.
Node DBT is connected to nodes YJQ, KCL, FYQ.
Node JDD is connected to nodes KCL, FYQ, MRN, WGX.
Node FYQ is connected to nodes JDD, YBZ, DBT.
Node YBZ is connected to nodes FYQ, FBZ, NFR, VOC.
Node MRN is connected to nodes JDD, WGX.
Node WGX is connected to nodes JDD, OQG, MRN, FBZ, VOC.
Node OQG is connected to nodes NBS, FBZ, WGX.
Node VOC is connected to nodes FBZ, NFR, YBZ, WGX.
Node NFR is connected to nodes YBZ, VOC.","[VOC, FBZ, DBT, DHP, NBS, OQG, JDD, FYQ, YJQ, KCL, MRN, NFR, WGX, YBZ]",14,23,False,What is the clustering coefficient of node YBZ?,0.3333,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node YBZ's neighbors are [FYQ, FBZ, NFR, VOC]. There are 2 edges between them: [(FBZ, VOC), (NFR, VOC)].
Node YBZ's degree is 4.
So the the clustering coefficient of node YBZ is 2 * 2 / (4 * (4 - 1)) = ","('[0.2061, 0.7781, 0.0000, 0.3333]',)",3,5
clustering_coefficient,"[(AOW, GYP), (AOW, TOY), (AOW, LGZ), (AOW, KQM), (AOW, KEA), (AOW, XRD), (GYP, JYU), (GYP, ZHN), (GYP, ZSZ), (GYP, LGZ), (GYP, KEA), (GYP, XRD), (TOY, ZHN), (TOY, KEA), (TOY, TUJ), (TOY, SMQ), (TOY, XRD), (LGZ, JYU), (LGZ, ZHN), (LGZ, TUJ), (KQM, KEA), (KQM, TUJ), (KEA, ZSZ), (XRD, YKE), (JYU, ZHN), (JYU, TUJ), (JYU, SMQ), (ZHN, YKE), (TUJ, WYR), (SMQ, YKE), (YKE, WYR), (YKE, ZSZ)]","{AOW: [GYP, TOY, LGZ, KQM, KEA, XRD],
GYP: [AOW, JYU, ZHN, ZSZ, LGZ, KEA, XRD],
TOY: [AOW, ZHN, KEA, TUJ, SMQ, XRD],
LGZ: [AOW, JYU, ZHN, GYP, TUJ],
KQM: [AOW, KEA, TUJ],
KEA: [AOW, GYP, ZSZ, TOY, KQM],
XRD: [AOW, GYP, TOY, YKE],
JYU: [ZHN, GYP, LGZ, TUJ, SMQ],
ZHN: [JYU, GYP, TOY, LGZ, YKE],
TUJ: [JYU, WYR, TOY, LGZ, KQM],
SMQ: [JYU, TOY, YKE],
YKE: [ZHN, WYR, ZSZ, SMQ, XRD],
ZSZ: [GYP, YKE, KEA],
WYR: [YKE, TUJ]}","Node AOW is connected to nodes GYP, TOY, LGZ, KQM, KEA, XRD.
Node GYP is connected to nodes AOW, JYU, ZHN, ZSZ, LGZ, KEA, XRD.
Node TOY is connected to nodes AOW, ZHN, KEA, TUJ, SMQ, XRD.
Node LGZ is connected to nodes AOW, JYU, ZHN, GYP, TUJ.
Node KQM is connected to nodes AOW, KEA, TUJ.
Node KEA is connected to nodes AOW, GYP, ZSZ, TOY, KQM.
Node XRD is connected to nodes AOW, GYP, TOY, YKE.
Node JYU is connected to nodes ZHN, GYP, LGZ, TUJ, SMQ.
Node ZHN is connected to nodes JYU, GYP, TOY, LGZ, YKE.
Node TUJ is connected to nodes JYU, WYR, TOY, LGZ, KQM.
Node SMQ is connected to nodes JYU, TOY, YKE.
Node YKE is connected to nodes ZHN, WYR, ZSZ, SMQ, XRD.
Node ZSZ is connected to nodes GYP, YKE, KEA.
Node WYR is connected to nodes YKE, TUJ.","[KEA, KQM, YKE, LGZ, XRD, WYR, JYU, TUJ, ZHN, GYP, TOY, SMQ, ZSZ, AOW]",14,32,False,What is the clustering coefficient of node LGZ?,0.5,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node LGZ's neighbors are [AOW, JYU, ZHN, GYP, TUJ]. There are 5 edges between them: [(AOW, GYP), (JYU, ZHN), (JYU, GYP), (JYU, TUJ), (ZHN, GYP)].
Node LGZ's degree is 5.
So the the clustering coefficient of node LGZ is 2 * 5 / (5 * (5 - 1)) = ","('[0.5000, 0.0000, 0.2107, 0.5780]',)",0,6
clustering_coefficient,"[(RKC, MGU), (RKC, FYM), (RKC, BWK), (RKC, GCO), (RKC, EVP), (MGU, GCO), (MGU, BWK), (FYM, GCO), (BWK, WLA), (BWK, PIW), (GCO, EVP), (WLA, PIW)]","{RKC: [MGU, FYM, BWK, GCO, EVP],
MGU: [RKC, GCO, BWK],
FYM: [RKC, GCO],
BWK: [RKC, MGU, WLA, PIW],
GCO: [RKC, MGU, FYM, EVP],
EVP: [RKC, GCO],
WLA: [BWK, PIW],
PIW: [BWK, WLA]}","Node RKC is connected to nodes MGU, FYM, BWK, GCO, EVP.
Node MGU is connected to nodes RKC, GCO, BWK.
Node FYM is connected to nodes RKC, GCO.
Node BWK is connected to nodes RKC, MGU, WLA, PIW.
Node GCO is connected to nodes RKC, MGU, FYM, EVP.
Node EVP is connected to nodes RKC, GCO.
Node WLA is connected to nodes BWK, PIW.
Node PIW is connected to nodes BWK, WLA.","[PIW, RKC, EVP, MGU, BWK, WLA, FYM, GCO]",8,12,False,What is the clustering coefficient of node PIW?,1.0,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node PIW's neighbors are [BWK, WLA]. There are 1 edges between them: [(BWK, WLA)].
Node PIW's degree is 2.
So the the clustering coefficient of node PIW is 2 * 1 / (2 * (2 - 1)) = ","('[0.0000, 1.0000, 0.1680, 0.4927]',)",1,7
clustering_coefficient,"[(BEI, VMV), (BEI, XLJ), (BEI, SGR), (BEI, HCE), (VMV, BUY), (VMV, NIE), (VMV, SGR), (VMV, BEI), (XLJ, SGR), (XLJ, NHZ), (SGR, BEI), (SGR, HGX), (SGR, NIE), (SGR, XLJ), (SGR, YIQ), (SGR, PZR), (HCE, BEI), (HCE, NIE), (HCE, SGR), (BUY, NIE), (BUY, UKC), (BUY, IUR), (BUY, XLJ), (BUY, SGR), (BUY, NHZ), (BUY, AJL), (BUY, IKM), (BUY, HCE), (BUY, BEI), (NIE, UKC), (NIE, BUY), (HGX, IUR), (HGX, XLJ), (HGX, NHZ), (IUR, PZR), (IUR, HCE), (IUR, HGX), (NHZ, PZR), (UKC, IUR), (UKC, PZR), (UKC, NHZ), (AJL, IKM), (AJL, HCE), (AJL, HGX), (AJL, IUR), (AJL, YIQ), (AJL, PZR), (AJL, SGR), (IKM, HCE), (IKM, BUY), (IKM, NIE), (IKM, UKC), (PZR, SGR), (PZR, NIE), (PZR, XLJ), (PZR, YIQ), (YIQ, PZR), (YIQ, NHZ), (YIQ, AJL), (YIQ, IUR)]","{BEI: [VMV, XLJ, SGR, HCE],
VMV: [BUY, NIE, SGR, BEI],
XLJ: [SGR, NHZ],
SGR: [BEI, HGX, NIE, XLJ, YIQ, PZR],
HCE: [BEI, NIE, SGR],
BUY: [NIE, UKC, IUR, XLJ, SGR, NHZ, AJL, IKM, HCE, BEI],
NIE: [UKC, BUY],
HGX: [IUR, XLJ, NHZ],
IUR: [PZR, HCE, HGX],
NHZ: [PZR],
UKC: [IUR, PZR, NHZ],
AJL: [IKM, HCE, HGX, IUR, YIQ, PZR, SGR],
IKM: [HCE, BUY, NIE, UKC],
PZR: [SGR, NIE, XLJ, YIQ],
YIQ: [PZR, NHZ, AJL, IUR]}","Node BEI is connected to nodes VMV, XLJ, SGR, HCE.
Node VMV is connected to nodes BUY, NIE, SGR, BEI.
Node XLJ is connected to nodes SGR, NHZ.
Node SGR is connected to nodes BEI, HGX, NIE, XLJ, YIQ, PZR.
Node HCE is connected to nodes BEI, NIE, SGR.
Node BUY is connected to nodes NIE, UKC, IUR, XLJ, SGR, NHZ, AJL, IKM, HCE, BEI.
Node NIE is connected to nodes UKC, BUY.
Node HGX is connected to nodes IUR, XLJ, NHZ.
Node IUR is connected to nodes PZR, HCE, HGX.
Node NHZ is connected to node PZR.
Node UKC is connected to nodes IUR, PZR, NHZ.
Node AJL is connected to nodes IKM, HCE, HGX, IUR, YIQ, PZR, SGR.
Node IKM is connected to nodes HCE, BUY, NIE, UKC.
Node PZR is connected to nodes SGR, NIE, XLJ, YIQ.
Node YIQ is connected to nodes PZR, NHZ, AJL, IUR.","[YIQ, HCE, BUY, BEI, NHZ, NIE, PZR, IKM, UKC, AJL, IUR, VMV, SGR, HGX, XLJ]",15,60,True,"What is the clustering coefficient of node NIE? For a directed graph, we consider a node's successors as its neighbors.",0.5,"Let's calculate the clustering coefficient step by step.
For a directed graph, the clustering coefficient for a node u is T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the out-degree of u.
Node NIE's neighbors are [UKC, BUY]. There are 1 edges between them: [(BUY, UKC)].
Node NIE's out-degree is 2.
So the the clustering coefficient of node NIE is 1 / (2 * (2 - 1)) = ","('[0.5000, 0.0000, 0.8656, 0.0316]',)",0,8
clustering_coefficient,"[(ZME, VEC), (ZME, RMA), (ZME, NBZ), (ZME, UUQ), (ZME, VKK), (VEC, WJP), (VEC, TIP), (VEC, RMA), (VEC, NBZ), (VEC, UUQ), (VEC, VKK), (VEC, XNK), (RMA, NBZ), (NBZ, JQW), (NBZ, UUQ), (NBZ, VKK), (NBZ, XNK), (UUQ, VKK), (UUQ, QRN), (UUQ, UBG), (VKK, JQW), (VKK, XNK), (WJP, JQW), (WJP, QRN), (TIP, JQW), (TIP, UBG), (JQW, QRN)]","{ZME: [VEC, RMA, NBZ, UUQ, VKK],
VEC: [ZME, WJP, TIP, RMA, NBZ, UUQ, VKK, XNK],
RMA: [ZME, VEC, NBZ],
NBZ: [ZME, VEC, JQW, RMA, UUQ, VKK, XNK],
UUQ: [ZME, VEC, NBZ, VKK, QRN, UBG],
VKK: [ZME, VEC, JQW, NBZ, UUQ, XNK],
WJP: [VEC, JQW, QRN],
TIP: [VEC, JQW, UBG],
XNK: [VEC, NBZ, VKK],
JQW: [WJP, TIP, NBZ, VKK, QRN],
QRN: [WJP, JQW, UUQ],
UBG: [TIP, UUQ]}","Node ZME is connected to nodes VEC, RMA, NBZ, UUQ, VKK.
Node VEC is connected to nodes ZME, WJP, TIP, RMA, NBZ, UUQ, VKK, XNK.
Node RMA is connected to nodes ZME, VEC, NBZ.
Node NBZ is connected to nodes ZME, VEC, JQW, RMA, UUQ, VKK, XNK.
Node UUQ is connected to nodes ZME, VEC, NBZ, VKK, QRN, UBG.
Node VKK is connected to nodes ZME, VEC, JQW, NBZ, UUQ, XNK.
Node WJP is connected to nodes VEC, JQW, QRN.
Node TIP is connected to nodes VEC, JQW, UBG.
Node XNK is connected to nodes VEC, NBZ, VKK.
Node JQW is connected to nodes WJP, TIP, NBZ, VKK, QRN.
Node QRN is connected to nodes WJP, JQW, UUQ.
Node UBG is connected to nodes TIP, UUQ.","[RMA, TIP, QRN, UUQ, VKK, ZME, UBG, VEC, NBZ, WJP, XNK, JQW]",12,27,False,What is the clustering coefficient of node QRN?,0.3333,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node QRN's neighbors are [WJP, JQW, UUQ]. There are 1 edges between them: [(WJP, JQW)].
Node QRN's degree is 3.
So the the clustering coefficient of node QRN is 2 * 1 / (3 * (3 - 1)) = ","('[0.0000, 0.3610, 0.3870, 0.3333]',)",3,9
