task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
clustering_coefficient,"[(<5>, <10>), (<5>, <8>), (<5>, <9>), (<5>, <2>), (<5>, <6>), (<10>, <6>), (<10>, <1>), (<10>, <0>), (<8>, <0>), (<8>, <6>), (<8>, <1>), (<8>, <3>), (<9>, <2>), (<9>, <4>), (<9>, <7>), (<2>, <0>), (<2>, <4>), (<6>, <7>), (<1>, <3>), (<3>, <7>), (<3>, <4>), (<7>, <4>)]","{<5>: [<10>, <8>, <9>, <2>, <6>],
<10>: [<5>, <6>, <1>, <0>],
<8>: [<5>, <0>, <6>, <1>, <3>],
<9>: [<5>, <2>, <4>, <7>],
<2>: [<5>, <0>, <4>, <9>],
<6>: [<5>, <10>, <8>, <7>],
<1>: [<10>, <8>, <3>],
<0>: [<10>, <8>, <2>],
<3>: [<8>, <1>, <7>, <4>],
<7>: [<3>, <4>, <9>, <6>],
<4>: [<3>, <2>, <7>, <9>]}","Node <5> is connected to nodes <10>, <8>, <9>, <2>, <6>.
Node <10> is connected to nodes <5>, <6>, <1>, <0>.
Node <8> is connected to nodes <5>, <0>, <6>, <1>, <3>.
Node <9> is connected to nodes <5>, <2>, <4>, <7>.
Node <2> is connected to nodes <5>, <0>, <4>, <9>.
Node <6> is connected to nodes <5>, <10>, <8>, <7>.
Node <1> is connected to nodes <10>, <8>, <3>.
Node <0> is connected to nodes <10>, <8>, <2>.
Node <3> is connected to nodes <8>, <1>, <7>, <4>.
Node <7> is connected to nodes <3>, <4>, <9>, <6>.
Node <4> is connected to nodes <3>, <2>, <7>, <9>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>, <8>, <9>, <10>]",11,22,False,What is the clustering coefficient of node <6>?,0.3333,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node <6>'s neighbors are [<5>, <10>, <8>, <7>]. There are 2 edges between them: [(<5>, <10>), (<5>, <8>)].
Node <6>'s degree is 4.
So the the clustering coefficient of node <6> is 2 * 2 / (4 * (4 - 1)) = ","('[0.3333, 0.0000, 0.5298, 0.9514]',)",0,0
clustering_coefficient,"[(<0>, <6>), (<0>, <8>), (<0>, <1>), (<0>, <2>), (<6>, <3>), (<6>, <1>), (<6>, <4>), (<8>, <1>), (<8>, <4>), (<8>, <9>), (<1>, <4>), (<1>, <7>), (<2>, <3>), (<2>, <4>), (<3>, <5>), (<3>, <7>), (<4>, <9>), (<4>, <7>), (<5>, <7>), (<7>, <9>)]","{<0>: [<6>, <8>, <1>, <2>],
<6>: [<0>, <3>, <1>, <4>],
<8>: [<0>, <1>, <4>, <9>],
<1>: [<0>, <6>, <4>, <8>, <7>],
<2>: [<0>, <3>, <4>],
<3>: [<6>, <5>, <2>, <7>],
<4>: [<6>, <1>, <9>, <2>, <8>, <7>],
<5>: [<3>, <7>],
<7>: [<3>, <1>, <4>, <9>, <5>],
<9>: [<4>, <8>, <7>]}","Node <0> is connected to nodes <6>, <8>, <1>, <2>.
Node <6> is connected to nodes <0>, <3>, <1>, <4>.
Node <8> is connected to nodes <0>, <1>, <4>, <9>.
Node <1> is connected to nodes <0>, <6>, <4>, <8>, <7>.
Node <2> is connected to nodes <0>, <3>, <4>.
Node <3> is connected to nodes <6>, <5>, <2>, <7>.
Node <4> is connected to nodes <6>, <1>, <9>, <2>, <8>, <7>.
Node <5> is connected to nodes <3>, <7>.
Node <7> is connected to nodes <3>, <1>, <4>, <9>, <5>.
Node <9> is connected to nodes <4>, <8>, <7>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>, <8>, <9>]",10,20,False,What is the clustering coefficient of node <1>?,0.5000,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node <1>'s neighbors are [<0>, <6>, <4>, <8>, <7>]. There are 5 edges between them: [(<0>, <6>), (<0>, <8>), (<6>, <4>), (<4>, <8>), (<4>, <7>)].
Node <1>'s degree is 5.
So the the clustering coefficient of node <1> is 2 * 5 / (5 * (5 - 1)) = ","('[0.0000, 0.2221, 0.9309, 0.5000]',)",3,1
clustering_coefficient,"[(<13>, <0>), (<13>, <7>), (<13>, <4>), (<13>, <3>), (<13>, <2>), (<13>, <1>), (<0>, <2>), (<0>, <9>), (<0>, <5>), (<0>, <8>), (<0>, <6>), (<7>, <4>), (<7>, <12>), (<4>, <3>), (<4>, <2>), (<3>, <1>), (<3>, <10>), (<3>, <11>), (<3>, <6>), (<3>, <12>), (<3>, <2>), (<3>, <5>), (<2>, <1>), (<2>, <10>), (<2>, <11>), (<2>, <8>), (<1>, <11>), (<1>, <5>), (<1>, <12>), (<9>, <11>), (<9>, <5>), (<5>, <6>), (<5>, <12>)]","{<13>: [<0>, <7>, <4>, <3>, <2>, <1>],
<0>: [<13>, <2>, <9>, <5>, <8>, <6>],
<7>: [<13>, <4>, <12>],
<4>: [<13>, <3>, <2>, <7>],
<3>: [<13>, <1>, <10>, <11>, <6>, <12>, <2>, <5>, <4>],
<2>: [<13>, <0>, <3>, <1>, <10>, <11>, <8>, <4>],
<1>: [<13>, <3>, <2>, <11>, <5>, <12>],
<9>: [<0>, <11>, <5>],
<5>: [<0>, <3>, <1>, <6>, <12>, <9>],
<8>: [<0>, <2>],
<6>: [<0>, <3>, <5>],
<10>: [<3>, <2>],
<11>: [<3>, <1>, <2>, <9>],
<12>: [<3>, <1>, <7>, <5>]}","Node <13> is connected to nodes <0>, <7>, <4>, <3>, <2>, <1>.
Node <0> is connected to nodes <13>, <2>, <9>, <5>, <8>, <6>.
Node <7> is connected to nodes <13>, <4>, <12>.
Node <4> is connected to nodes <13>, <3>, <2>, <7>.
Node <3> is connected to nodes <13>, <1>, <10>, <11>, <6>, <12>, <2>, <5>, <4>.
Node <2> is connected to nodes <13>, <0>, <3>, <1>, <10>, <11>, <8>, <4>.
Node <1> is connected to nodes <13>, <3>, <2>, <11>, <5>, <12>.
Node <9> is connected to nodes <0>, <11>, <5>.
Node <5> is connected to nodes <0>, <3>, <1>, <6>, <12>, <9>.
Node <8> is connected to nodes <0>, <2>.
Node <6> is connected to nodes <0>, <3>, <5>.
Node <10> is connected to nodes <3>, <2>.
Node <11> is connected to nodes <3>, <1>, <2>, <9>.
Node <12> is connected to nodes <3>, <1>, <7>, <5>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>, <8>, <9>, <10>, <11>, <12>, <13>]",14,33,False,What is the clustering coefficient of node <2>?,0.3571,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node <2>'s neighbors are [<13>, <0>, <3>, <1>, <10>, <11>, <8>, <4>]. There are 10 edges between them: [(<13>, <0>), (<13>, <3>), (<13>, <1>), (<13>, <4>), (<0>, <8>), (<3>, <1>), (<3>, <10>), (<3>, <11>), (<3>, <4>), (<1>, <11>)].
Node <2>'s degree is 8.
So the the clustering coefficient of node <2> is 2 * 10 / (8 * (8 - 1)) = ","('[0.1914, 0.3571, 0.0825, 0.0000]',)",1,2
clustering_coefficient,"[(<4>, <8>), (<4>, <5>), (<8>, <10>), (<5>, <3>), (<10>, <2>), (<2>, <9>), (<9>, <6>), (<1>, <3>), (<1>, <7>), (<7>, <0>), (<0>, <6>)]","{<4>: [<8>, <5>],
<8>: [<4>, <10>],
<5>: [<4>, <3>],
<10>: [<8>, <2>],
<2>: [<10>, <9>],
<9>: [<2>, <6>],
<1>: [<3>, <7>],
<3>: [<1>, <5>],
<7>: [<1>, <0>],
<0>: [<7>, <6>],
<6>: [<0>, <9>]}","Node <4> is connected to nodes <8>, <5>.
Node <8> is connected to nodes <4>, <10>.
Node <5> is connected to nodes <4>, <3>.
Node <10> is connected to nodes <8>, <2>.
Node <2> is connected to nodes <10>, <9>.
Node <9> is connected to nodes <2>, <6>.
Node <1> is connected to nodes <3>, <7>.
Node <3> is connected to nodes <1>, <5>.
Node <7> is connected to nodes <1>, <0>.
Node <0> is connected to nodes <7>, <6>.
Node <6> is connected to nodes <0>, <9>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>, <8>, <9>, <10>]",11,11,False,What is the clustering coefficient of node <1>?,0.0000,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node <1>'s neighbors are [<3>, <7>]. There are 0 edges between them: [].
Node <1>'s degree is 2.
So the the clustering coefficient of node <1> is 2 * 0 / (2 * (2 - 1)) = ","('[0.9841, 0.7329, 0.0000, 0.9360]',)",2,3
clustering_coefficient,"[(<1>, <14>), (<1>, <5>), (<1>, <4>), (<14>, <7>), (<14>, <2>), (<5>, <4>), (<5>, <12>), (<4>, <9>), (<4>, <3>), (<4>, <8>), (<4>, <7>), (<4>, <6>), (<4>, <11>), (<4>, <13>), (<4>, <10>), (<7>, <9>), (<7>, <13>), (<7>, <11>), (<2>, <8>), (<3>, <13>), (<8>, <10>), (<6>, <13>), (<11>, <0>), (<13>, <0>), (<13>, <10>), (<10>, <12>)]","{<1>: [<14>, <5>, <4>],
<14>: [<1>, <7>, <2>],
<5>: [<1>, <4>, <12>],
<4>: [<1>, <9>, <3>, <8>, <7>, <6>, <11>, <13>, <5>, <10>],
<7>: [<14>, <4>, <9>, <13>, <11>],
<2>: [<14>, <8>],
<9>: [<4>, <7>],
<3>: [<4>, <13>],
<8>: [<4>, <2>, <10>],
<6>: [<4>, <13>],
<11>: [<4>, <7>, <0>],
<13>: [<4>, <7>, <0>, <6>, <10>, <3>],
<10>: [<4>, <13>, <8>, <12>],
<0>: [<13>, <11>],
<12>: [<5>, <10>]}","Node <1> is connected to nodes <14>, <5>, <4>.
Node <14> is connected to nodes <1>, <7>, <2>.
Node <5> is connected to nodes <1>, <4>, <12>.
Node <4> is connected to nodes <1>, <9>, <3>, <8>, <7>, <6>, <11>, <13>, <5>, <10>.
Node <7> is connected to nodes <14>, <4>, <9>, <13>, <11>.
Node <2> is connected to nodes <14>, <8>.
Node <9> is connected to nodes <4>, <7>.
Node <3> is connected to nodes <4>, <13>.
Node <8> is connected to nodes <4>, <2>, <10>.
Node <6> is connected to nodes <4>, <13>.
Node <11> is connected to nodes <4>, <7>, <0>.
Node <13> is connected to nodes <4>, <7>, <0>, <6>, <10>, <3>.
Node <10> is connected to nodes <4>, <13>, <8>, <12>.
Node <0> is connected to nodes <13>, <11>.
Node <12> is connected to nodes <5>, <10>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>, <8>, <9>, <10>, <11>, <12>, <13>, <14>]",15,26,False,What is the clustering coefficient of node <7>?,0.3000,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node <7>'s neighbors are [<14>, <4>, <9>, <13>, <11>]. There are 3 edges between them: [(<4>, <9>), (<4>, <13>), (<4>, <11>)].
Node <7>'s degree is 5.
So the the clustering coefficient of node <7> is 2 * 3 / (5 * (5 - 1)) = ","('[0.2750, 0.0000, 0.3000, 0.8948]',)",2,4
clustering_coefficient,"[(<3>, <1>), (<1>, <9>), (<1>, <5>), (<1>, <13>), (<1>, <0>), (<1>, <12>), (<8>, <9>), (<8>, <4>), (<8>, <2>), (<9>, <6>), (<9>, <2>), (<4>, <5>), (<2>, <7>), (<6>, <7>), (<6>, <10>), (<6>, <12>), (<7>, <13>), (<13>, <11>), (<13>, <0>), (<10>, <12>), (<12>, <5>), (<12>, <0>), (<0>, <11>)]","{<3>: [<1>],
<1>: [<3>, <9>, <5>, <13>, <0>, <12>],
<8>: [<9>, <4>, <2>],
<9>: [<8>, <6>, <1>, <2>],
<4>: [<8>, <5>],
<2>: [<8>, <9>, <7>],
<6>: [<9>, <7>, <10>, <12>],
<7>: [<6>, <13>, <2>],
<13>: [<7>, <1>, <11>, <0>],
<10>: [<6>, <12>],
<12>: [<6>, <5>, <10>, <1>, <0>],
<5>: [<4>, <1>, <12>],
<0>: [<1>, <11>, <13>, <12>],
<11>: [<13>, <0>]}","Node <3> is connected to node <1>.
Node <1> is connected to nodes <3>, <9>, <5>, <13>, <0>, <12>.
Node <8> is connected to nodes <9>, <4>, <2>.
Node <9> is connected to nodes <8>, <6>, <1>, <2>.
Node <4> is connected to nodes <8>, <5>.
Node <2> is connected to nodes <8>, <9>, <7>.
Node <6> is connected to nodes <9>, <7>, <10>, <12>.
Node <7> is connected to nodes <6>, <13>, <2>.
Node <13> is connected to nodes <7>, <1>, <11>, <0>.
Node <10> is connected to nodes <6>, <12>.
Node <12> is connected to nodes <6>, <5>, <10>, <1>, <0>.
Node <5> is connected to nodes <4>, <1>, <12>.
Node <0> is connected to nodes <1>, <11>, <13>, <12>.
Node <11> is connected to nodes <13>, <0>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>, <8>, <9>, <10>, <11>, <12>, <13>]",14,23,False,What is the clustering coefficient of node <13>?,0.3333,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node <13>'s neighbors are [<7>, <1>, <11>, <0>]. There are 2 edges between them: [(<1>, <0>), (<11>, <0>)].
Node <13>'s degree is 4.
So the the clustering coefficient of node <13> is 2 * 2 / (4 * (4 - 1)) = ","('[0.2061, 0.7781, 0.0000, 0.3333]',)",3,5
clustering_coefficient,"[(<13>, <9>), (<13>, <10>), (<13>, <3>), (<13>, <1>), (<13>, <0>), (<13>, <4>), (<9>, <6>), (<9>, <8>), (<9>, <12>), (<9>, <3>), (<9>, <0>), (<9>, <4>), (<10>, <8>), (<10>, <0>), (<10>, <7>), (<10>, <11>), (<10>, <4>), (<3>, <6>), (<3>, <8>), (<3>, <7>), (<1>, <0>), (<1>, <7>), (<0>, <12>), (<4>, <2>), (<6>, <8>), (<6>, <7>), (<6>, <11>), (<8>, <2>), (<7>, <5>), (<11>, <2>), (<2>, <5>), (<2>, <12>)]","{<13>: [<9>, <10>, <3>, <1>, <0>, <4>],
<9>: [<13>, <6>, <8>, <12>, <3>, <0>, <4>],
<10>: [<13>, <8>, <0>, <7>, <11>, <4>],
<3>: [<13>, <6>, <8>, <9>, <7>],
<1>: [<13>, <0>, <7>],
<0>: [<13>, <9>, <12>, <10>, <1>],
<4>: [<13>, <9>, <10>, <2>],
<6>: [<8>, <9>, <3>, <7>, <11>],
<8>: [<6>, <9>, <10>, <3>, <2>],
<7>: [<6>, <5>, <10>, <3>, <1>],
<11>: [<6>, <10>, <2>],
<2>: [<8>, <5>, <12>, <11>, <4>],
<12>: [<9>, <2>, <0>],
<5>: [<2>, <7>]}","Node <13> is connected to nodes <9>, <10>, <3>, <1>, <0>, <4>.
Node <9> is connected to nodes <13>, <6>, <8>, <12>, <3>, <0>, <4>.
Node <10> is connected to nodes <13>, <8>, <0>, <7>, <11>, <4>.
Node <3> is connected to nodes <13>, <6>, <8>, <9>, <7>.
Node <1> is connected to nodes <13>, <0>, <7>.
Node <0> is connected to nodes <13>, <9>, <12>, <10>, <1>.
Node <4> is connected to nodes <13>, <9>, <10>, <2>.
Node <6> is connected to nodes <8>, <9>, <3>, <7>, <11>.
Node <8> is connected to nodes <6>, <9>, <10>, <3>, <2>.
Node <7> is connected to nodes <6>, <5>, <10>, <3>, <1>.
Node <11> is connected to nodes <6>, <10>, <2>.
Node <2> is connected to nodes <8>, <5>, <12>, <11>, <4>.
Node <12> is connected to nodes <9>, <2>, <0>.
Node <5> is connected to nodes <2>, <7>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>, <8>, <9>, <10>, <11>, <12>, <13>]",14,32,False,What is the clustering coefficient of node <3>?,0.5000,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node <3>'s neighbors are [<13>, <6>, <8>, <9>, <7>]. There are 5 edges between them: [(<13>, <9>), (<6>, <8>), (<6>, <9>), (<6>, <7>), (<8>, <9>)].
Node <3>'s degree is 5.
So the the clustering coefficient of node <3> is 2 * 5 / (5 * (5 - 1)) = ","('[0.5000, 0.0000, 0.2107, 0.5780]',)",0,6
clustering_coefficient,"[(<1>, <3>), (<1>, <6>), (<1>, <4>), (<1>, <7>), (<1>, <2>), (<3>, <7>), (<3>, <4>), (<6>, <7>), (<4>, <5>), (<4>, <0>), (<7>, <2>), (<5>, <0>)]","{<1>: [<3>, <6>, <4>, <7>, <2>],
<3>: [<1>, <7>, <4>],
<6>: [<1>, <7>],
<4>: [<1>, <3>, <5>, <0>],
<7>: [<1>, <3>, <6>, <2>],
<2>: [<1>, <7>],
<5>: [<4>, <0>],
<0>: [<4>, <5>]}","Node <1> is connected to nodes <3>, <6>, <4>, <7>, <2>.
Node <3> is connected to nodes <1>, <7>, <4>.
Node <6> is connected to nodes <1>, <7>.
Node <4> is connected to nodes <1>, <3>, <5>, <0>.
Node <7> is connected to nodes <1>, <3>, <6>, <2>.
Node <2> is connected to nodes <1>, <7>.
Node <5> is connected to nodes <4>, <0>.
Node <0> is connected to nodes <4>, <5>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>]",8,12,False,What is the clustering coefficient of node <0>?,1.0000,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node <0>'s neighbors are [<4>, <5>]. There are 1 edges between them: [(<4>, <5>)].
Node <0>'s degree is 2.
So the the clustering coefficient of node <0> is 2 * 1 / (2 * (2 - 1)) = ","('[0.0000, 1.0000, 0.1680, 0.4927]',)",1,7
clustering_coefficient,"[(<3>, <11>), (<3>, <14>), (<3>, <12>), (<3>, <1>), (<11>, <2>), (<11>, <5>), (<11>, <12>), (<11>, <3>), (<14>, <12>), (<14>, <4>), (<12>, <3>), (<12>, <13>), (<12>, <5>), (<12>, <14>), (<12>, <0>), (<12>, <6>), (<1>, <3>), (<1>, <5>), (<1>, <12>), (<2>, <5>), (<2>, <8>), (<2>, <10>), (<2>, <14>), (<2>, <12>), (<2>, <4>), (<2>, <9>), (<2>, <7>), (<2>, <1>), (<2>, <3>), (<5>, <8>), (<5>, <2>), (<13>, <10>), (<13>, <14>), (<13>, <4>), (<10>, <6>), (<10>, <1>), (<10>, <13>), (<4>, <6>), (<8>, <10>), (<8>, <6>), (<8>, <4>), (<9>, <7>), (<9>, <1>), (<9>, <13>), (<9>, <10>), (<9>, <0>), (<9>, <6>), (<9>, <12>), (<7>, <1>), (<7>, <2>), (<7>, <5>), (<7>, <8>), (<6>, <12>), (<6>, <5>), (<6>, <14>), (<6>, <0>), (<0>, <6>), (<0>, <4>), (<0>, <9>), (<0>, <10>)]","{<3>: [<11>, <14>, <12>, <1>],
<11>: [<2>, <5>, <12>, <3>],
<14>: [<12>, <4>],
<12>: [<3>, <13>, <5>, <14>, <0>, <6>],
<1>: [<3>, <5>, <12>],
<2>: [<5>, <8>, <10>, <14>, <12>, <4>, <9>, <7>, <1>, <3>],
<5>: [<8>, <2>],
<13>: [<10>, <14>, <4>],
<10>: [<6>, <1>, <13>],
<4>: [<6>],
<8>: [<10>, <6>, <4>],
<9>: [<7>, <1>, <13>, <10>, <0>, <6>, <12>],
<7>: [<1>, <2>, <5>, <8>],
<6>: [<12>, <5>, <14>, <0>],
<0>: [<6>, <4>, <9>, <10>]}","Node <3> is connected to nodes <11>, <14>, <12>, <1>.
Node <11> is connected to nodes <2>, <5>, <12>, <3>.
Node <14> is connected to nodes <12>, <4>.
Node <12> is connected to nodes <3>, <13>, <5>, <14>, <0>, <6>.
Node <1> is connected to nodes <3>, <5>, <12>.
Node <2> is connected to nodes <5>, <8>, <10>, <14>, <12>, <4>, <9>, <7>, <1>, <3>.
Node <5> is connected to nodes <8>, <2>.
Node <13> is connected to nodes <10>, <14>, <4>.
Node <10> is connected to nodes <6>, <1>, <13>.
Node <4> is connected to node <6>.
Node <8> is connected to nodes <10>, <6>, <4>.
Node <9> is connected to nodes <7>, <1>, <13>, <10>, <0>, <6>, <12>.
Node <7> is connected to nodes <1>, <2>, <5>, <8>.
Node <6> is connected to nodes <12>, <5>, <14>, <0>.
Node <0> is connected to nodes <6>, <4>, <9>, <10>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>, <8>, <9>, <10>, <11>, <12>, <13>, <14>]",15,60,True,"What is the clustering coefficient of node <5>? For a directed graph, we consider a node's successors as its neighbors.",0.5000,"Let's calculate the clustering coefficient step by step.
For a directed graph, the clustering coefficient for a node u is T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the out-degree of u.
Node <5>'s neighbors are [<8>, <2>]. There are 1 edges between them: [(<2>, <8>)].
Node <5>'s out-degree is 2.
So the the clustering coefficient of node <5> is 1 / (2 * (2 - 1)) = ","('[0.5000, 0.0000, 0.8656, 0.0316]',)",0,8
clustering_coefficient,"[(<5>, <7>), (<5>, <0>), (<5>, <8>), (<5>, <3>), (<5>, <4>), (<7>, <9>), (<7>, <1>), (<7>, <0>), (<7>, <8>), (<7>, <3>), (<7>, <4>), (<7>, <10>), (<0>, <8>), (<8>, <11>), (<8>, <3>), (<8>, <4>), (<8>, <10>), (<3>, <4>), (<3>, <2>), (<3>, <6>), (<4>, <11>), (<4>, <10>), (<9>, <11>), (<9>, <2>), (<1>, <11>), (<1>, <6>), (<11>, <2>)]","{<5>: [<7>, <0>, <8>, <3>, <4>],
<7>: [<5>, <9>, <1>, <0>, <8>, <3>, <4>, <10>],
<0>: [<5>, <7>, <8>],
<8>: [<5>, <7>, <11>, <0>, <3>, <4>, <10>],
<3>: [<5>, <7>, <8>, <4>, <2>, <6>],
<4>: [<5>, <7>, <11>, <8>, <3>, <10>],
<9>: [<7>, <11>, <2>],
<1>: [<7>, <11>, <6>],
<10>: [<7>, <8>, <4>],
<11>: [<9>, <1>, <8>, <4>, <2>],
<2>: [<9>, <11>, <3>],
<6>: [<1>, <3>]}","Node <5> is connected to nodes <7>, <0>, <8>, <3>, <4>.
Node <7> is connected to nodes <5>, <9>, <1>, <0>, <8>, <3>, <4>, <10>.
Node <0> is connected to nodes <5>, <7>, <8>.
Node <8> is connected to nodes <5>, <7>, <11>, <0>, <3>, <4>, <10>.
Node <3> is connected to nodes <5>, <7>, <8>, <4>, <2>, <6>.
Node <4> is connected to nodes <5>, <7>, <11>, <8>, <3>, <10>.
Node <9> is connected to nodes <7>, <11>, <2>.
Node <1> is connected to nodes <7>, <11>, <6>.
Node <10> is connected to nodes <7>, <8>, <4>.
Node <11> is connected to nodes <9>, <1>, <8>, <4>, <2>.
Node <2> is connected to nodes <9>, <11>, <3>.
Node <6> is connected to nodes <1>, <3>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>, <8>, <9>, <10>, <11>]",12,27,False,What is the clustering coefficient of node <2>?,0.3333,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node <2>'s neighbors are [<9>, <11>, <3>]. There are 1 edges between them: [(<9>, <11>)].
Node <2>'s degree is 3.
So the the clustering coefficient of node <2> is 2 * 1 / (3 * (3 - 1)) = ","('[0.0000, 0.3610, 0.3870, 0.3333]',)",3,9
