task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
common_neighbor,"[(BVJ, BRQ), (BVJ, ZIQ), (BVJ, MUQ), (BVJ, NAU), (BVJ, ROY), (BVJ, OZW), (BVJ, XXR), (BRQ, DXU), (BRQ, ZIQ), (BRQ, XXR), (BRQ, ROY), (ZIQ, MUQ), (MUQ, XXR), (MUQ, OZW), (NAU, OZW), (ROY, XXR), (OZW, ZNO), (OZW, DXU), (XXR, ZNO), (XXR, DXU), (DXU, ZNO)]","{BVJ: [BRQ, ZIQ, MUQ, NAU, ROY, OZW, XXR],
BRQ: [BVJ, DXU, ZIQ, XXR, ROY],
ZIQ: [BVJ, BRQ, MUQ],
MUQ: [BVJ, XXR, OZW, ZIQ],
NAU: [BVJ, OZW],
ROY: [BVJ, BRQ, XXR],
OZW: [BVJ, MUQ, ZNO, DXU, NAU],
XXR: [BVJ, BRQ, MUQ, ZNO, ROY, DXU],
DXU: [BRQ, XXR, OZW, ZNO],
ZNO: [XXR, OZW, DXU]}","Node BVJ is connected to nodes BRQ, ZIQ, MUQ, NAU, ROY, OZW, XXR.
Node BRQ is connected to nodes BVJ, DXU, ZIQ, XXR, ROY.
Node ZIQ is connected to nodes BVJ, BRQ, MUQ.
Node MUQ is connected to nodes BVJ, XXR, OZW, ZIQ.
Node NAU is connected to nodes BVJ, OZW.
Node ROY is connected to nodes BVJ, BRQ, XXR.
Node OZW is connected to nodes BVJ, MUQ, ZNO, DXU, NAU.
Node XXR is connected to nodes BVJ, BRQ, MUQ, ZNO, ROY, DXU.
Node DXU is connected to nodes BRQ, XXR, OZW, ZNO.
Node ZNO is connected to nodes XXR, OZW, DXU.","[MUQ, BRQ, OZW, XXR, ZIQ, ZNO, ROY, BVJ, NAU, DXU]",10,21,False,Calculate the number of common neighbors of node NAU and node DXU. ,1,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node NAU are [BVJ, OZW].
Secondly, the neighbors of node DXU are [BRQ, XXR, OZW, ZNO].
Common neighbors of node NAU and node DXU: [OZW], which contains 1 nodes.
So the number of common neighbors is ","('[8, 1, 0, 5]',)",1,0
common_neighbor,"[(TQO, HSO), (HSO, QJZ), (QJZ, MZI), (TPY, WFG), (TPY, GWI), (WFG, MZI), (GWI, URF), (MZI, XNZ), (PRD, URF), (PRD, AKW), (AKW, XNZ)]","{TQO: [HSO],
HSO: [TQO, QJZ],
QJZ: [HSO, MZI],
TPY: [WFG, GWI],
WFG: [TPY, MZI],
GWI: [TPY, URF],
MZI: [WFG, XNZ, QJZ],
PRD: [URF, AKW],
URF: [PRD, GWI],
AKW: [PRD, XNZ],
XNZ: [MZI, AKW]}","Node TQO is connected to node HSO.
Node HSO is connected to nodes TQO, QJZ.
Node QJZ is connected to nodes HSO, MZI.
Node TPY is connected to nodes WFG, GWI.
Node WFG is connected to nodes TPY, MZI.
Node GWI is connected to nodes TPY, URF.
Node MZI is connected to nodes WFG, XNZ, QJZ.
Node PRD is connected to nodes URF, AKW.
Node URF is connected to nodes PRD, GWI.
Node AKW is connected to nodes PRD, XNZ.
Node XNZ is connected to nodes MZI, AKW.","[TPY, GWI, MZI, QJZ, XNZ, HSO, AKW, TQO, URF, WFG, PRD]",11,11,False,Calculate the number of common neighbors of node TQO and node PRD. ,0,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node TQO are [HSO].
Secondly, the neighbors of node PRD are [URF, AKW].
Common neighbors of node TQO and node PRD: [], which contains 0 nodes.
So the number of common neighbors is ","('[9, 0, 4, 8]',)",1,1
common_neighbor,"[(JSZ, GIT), (JSZ, TIQ), (JSZ, LDH), (JSZ, SMZ), (GIT, VFO), (TIQ, HTB), (TIQ, LDH), (TIQ, SMZ), (TIQ, VFO), (LDH, ASS), (LDH, KSF), (LDH, HTB), (LDH, SMZ), (SMZ, KTD), (SMZ, KSF), (VFO, KTD), (VFO, ASS), (VFO, WNA), (VFO, VLR), (NUQ, KTD), (NUQ, KSF), (NUQ, VLR), (NUQ, HNY), (KSF, HNY), (VLR, ASS), (VLR, WNA), (HNY, ASS), (HTB, WNA)]","{JSZ: [GIT, TIQ, LDH, SMZ],
GIT: [JSZ, VFO],
TIQ: [JSZ, HTB, LDH, SMZ, VFO],
LDH: [JSZ, TIQ, ASS, KSF, HTB, SMZ],
SMZ: [JSZ, KTD, TIQ, LDH, KSF],
VFO: [GIT, KTD, TIQ, ASS, WNA, VLR],
NUQ: [KTD, KSF, VLR, HNY],
KTD: [NUQ, SMZ, VFO],
KSF: [NUQ, LDH, SMZ, HNY],
VLR: [NUQ, ASS, WNA, VFO],
HNY: [NUQ, ASS, KSF],
HTB: [TIQ, LDH, WNA],
ASS: [LDH, HNY, VLR, VFO],
WNA: [HTB, VFO, VLR]}","Node JSZ is connected to nodes GIT, TIQ, LDH, SMZ.
Node GIT is connected to nodes JSZ, VFO.
Node TIQ is connected to nodes JSZ, HTB, LDH, SMZ, VFO.
Node LDH is connected to nodes JSZ, TIQ, ASS, KSF, HTB, SMZ.
Node SMZ is connected to nodes JSZ, KTD, TIQ, LDH, KSF.
Node VFO is connected to nodes GIT, KTD, TIQ, ASS, WNA, VLR.
Node NUQ is connected to nodes KTD, KSF, VLR, HNY.
Node KTD is connected to nodes NUQ, SMZ, VFO.
Node KSF is connected to nodes NUQ, LDH, SMZ, HNY.
Node VLR is connected to nodes NUQ, ASS, WNA, VFO.
Node HNY is connected to nodes NUQ, ASS, KSF.
Node HTB is connected to nodes TIQ, LDH, WNA.
Node ASS is connected to nodes LDH, HNY, VLR, VFO.
Node WNA is connected to nodes HTB, VFO, VLR.","[SMZ, JSZ, VLR, WNA, GIT, HTB, VFO, KSF, NUQ, ASS, LDH, TIQ, KTD, HNY]",14,28,False,Calculate the number of common neighbors of node VFO and node VLR. ,2,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node VFO are [GIT, KTD, TIQ, ASS, WNA, VLR].
Secondly, the neighbors of node VLR are [NUQ, ASS, WNA, VFO].
Common neighbors of node VFO and node VLR: [ASS, WNA], which contains 2 nodes.
So the number of common neighbors is ","('[5, 0, 2, 7]',)",2,2
common_neighbor,"[(IQN, HIJ), (HIJ, VKU), (HIJ, CRL), (HIJ, IQN), (HIJ, UKN), (UKN, IQN), (VKU, IWN), (VKU, UKN), (VKU, HIJ), (CRL, UKN), (XSC, CRL), (XSC, IQN), (XSC, UKN), (RMS, IQN)]","{IQN: [HIJ],
HIJ: [VKU, CRL, IQN, UKN],
UKN: [IQN],
VKU: [IWN, UKN, HIJ],
CRL: [UKN],
XSC: [CRL, IQN, UKN],
IWN: [],
RMS: [IQN]}","Node IQN is connected to node HIJ.
Node HIJ is connected to nodes VKU, CRL, IQN, UKN.
Node UKN is connected to node IQN.
Node VKU is connected to nodes IWN, UKN, HIJ.
Node CRL is connected to node UKN.
Node XSC is connected to nodes CRL, IQN, UKN.
Node RMS is connected to node IQN.","[XSC, HIJ, CRL, IWN, VKU, RMS, UKN, IQN]",8,14,True,"Calculate the number of common neighbors of node IQN and node XSC. In the context of a directed graph, we consider a node's successors as its neighbors. ",0,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node IQN are [HIJ].
Secondly, the neighbors of node XSC are [CRL, IQN, UKN].
Common neighbors of node IQN and node XSC: [], which contains 0 nodes.
So the number of common neighbors is ","('[9, 6, 8, 0]',)",3,3
common_neighbor,"[(NCL, YCP), (NCL, LTK), (NCL, JMF), (NCL, TNY), (NCL, PJL), (YCP, YBN), (LTK, ECJ), (JMF, PJL), (TNY, YBN), (TNY, RJA), (TNY, ECJ), (PJL, YBN), (PJL, ECJ), (PJL, VST), (PJL, RJA), (PJL, LKT), (YBN, LKT), (ECJ, VST)]","{NCL: [YCP, LTK, JMF, TNY, PJL],
YCP: [NCL, YBN],
LTK: [NCL, ECJ],
JMF: [NCL, PJL],
TNY: [NCL, YBN, RJA, ECJ],
PJL: [NCL, YBN, ECJ, VST, JMF, RJA, LKT],
YBN: [YCP, TNY, LKT, PJL],
RJA: [TNY, PJL],
ECJ: [TNY, PJL, VST, LTK],
LKT: [YBN, PJL],
VST: [PJL, ECJ]}","Node NCL is connected to nodes YCP, LTK, JMF, TNY, PJL.
Node YCP is connected to nodes NCL, YBN.
Node LTK is connected to nodes NCL, ECJ.
Node JMF is connected to nodes NCL, PJL.
Node TNY is connected to nodes NCL, YBN, RJA, ECJ.
Node PJL is connected to nodes NCL, YBN, ECJ, VST, JMF, RJA, LKT.
Node YBN is connected to nodes YCP, TNY, LKT, PJL.
Node RJA is connected to nodes TNY, PJL.
Node ECJ is connected to nodes TNY, PJL, VST, LTK.
Node LKT is connected to nodes YBN, PJL.
Node VST is connected to nodes PJL, ECJ.","[PJL, NCL, JMF, LTK, RJA, TNY, ECJ, LKT, YCP, YBN, VST]",11,18,False,Calculate the number of common neighbors of node NCL and node PJL. ,1,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node NCL are [YCP, LTK, JMF, TNY, PJL].
Secondly, the neighbors of node PJL are [NCL, YBN, ECJ, VST, JMF, RJA, LKT].
Common neighbors of node NCL and node PJL: [JMF], which contains 1 nodes.
So the number of common neighbors is ","('[0, 10, 5, 1]',)",3,4
common_neighbor,"[(XIH, GRP), (XIH, BFS), (XIH, ZLB), (XIH, YDS), (XIH, BAG), (XIH, UVX), (XIH, ECD), (XIH, SSG), (GRP, BLI), (GRP, YDS), (GRP, BAG), (GRP, UVX), (GRP, YJN), (GRP, SSG), (BFS, ZLB), (BFS, YDS), (BFS, BAG), (BFS, ECD), (BFS, SSG), (ZLB, BLI), (ZLB, FVN), (ZLB, BXB), (ZLB, YDS), (ZLB, UKU), (ZLB, BAG), (ZLB, UVX), (ZLB, YJN), (ZLB, ECD), (ZLB, SSG), (YDS, UAI), (YDS, BAG), (YDS, UVX), (YDS, YJN), (YDS, ECD), (YDS, SSG), (BAG, BLI), (BAG, UKU), (BAG, UVX), (BAG, YJN), (BAG, SSG), (UVX, FVN), (UVX, UAI), (UVX, BXB), (UVX, UKU), (UVX, YJN), (UVX, SSG), (ECD, BLI), (ECD, FVN), (ECD, UAI), (ECD, BXB), (ECD, UKU), (ECD, YJN), (ECD, SSG), (SSG, FVN), (SSG, UAI), (SSG, BXB), (SSG, YJN), (BLI, UAI), (BLI, BXB), (BLI, UKU), (BLI, YJN), (UAI, BXB), (BXB, FVN), (BXB, UKU), (BXB, YJN), (UKU, FVN), (UKU, YJN)]","{XIH: [GRP, BFS, ZLB, YDS, BAG, UVX, ECD, SSG],
GRP: [XIH, BLI, YDS, BAG, UVX, YJN, SSG],
BFS: [XIH, ZLB, YDS, BAG, ECD, SSG],
ZLB: [XIH, BLI, FVN, BFS, BXB, YDS, UKU, BAG, UVX, YJN, ECD, SSG],
YDS: [XIH, GRP, BFS, UAI, ZLB, BAG, UVX, YJN, ECD, SSG],
BAG: [XIH, BLI, GRP, BFS, ZLB, YDS, UKU, UVX, YJN, SSG],
UVX: [XIH, FVN, GRP, UAI, BXB, ZLB, YDS, UKU, BAG, YJN, SSG],
ECD: [XIH, BLI, FVN, BFS, UAI, BXB, ZLB, YDS, UKU, YJN, SSG],
SSG: [XIH, FVN, GRP, BFS, UAI, BXB, ZLB, YDS, BAG, UVX, YJN, ECD],
BLI: [GRP, UAI, BXB, ZLB, UKU, BAG, YJN, ECD],
UAI: [BLI, BXB, YDS, UVX, ECD, SSG],
BXB: [BLI, FVN, UAI, ZLB, UKU, UVX, YJN, ECD, SSG],
UKU: [BLI, FVN, BXB, ZLB, BAG, UVX, YJN, ECD],
YJN: [BLI, GRP, BXB, ZLB, YDS, UKU, BAG, UVX, ECD, SSG],
FVN: [BXB, ZLB, UKU, UVX, ECD, SSG]}","Node XIH is connected to nodes GRP, BFS, ZLB, YDS, BAG, UVX, ECD, SSG.
Node GRP is connected to nodes XIH, BLI, YDS, BAG, UVX, YJN, SSG.
Node BFS is connected to nodes XIH, ZLB, YDS, BAG, ECD, SSG.
Node ZLB is connected to nodes XIH, BLI, FVN, BFS, BXB, YDS, UKU, BAG, UVX, YJN, ECD, SSG.
Node YDS is connected to nodes XIH, GRP, BFS, UAI, ZLB, BAG, UVX, YJN, ECD, SSG.
Node BAG is connected to nodes XIH, BLI, GRP, BFS, ZLB, YDS, UKU, UVX, YJN, SSG.
Node UVX is connected to nodes XIH, FVN, GRP, UAI, BXB, ZLB, YDS, UKU, BAG, YJN, SSG.
Node ECD is connected to nodes XIH, BLI, FVN, BFS, UAI, BXB, ZLB, YDS, UKU, YJN, SSG.
Node SSG is connected to nodes XIH, FVN, GRP, BFS, UAI, BXB, ZLB, YDS, BAG, UVX, YJN, ECD.
Node BLI is connected to nodes GRP, UAI, BXB, ZLB, UKU, BAG, YJN, ECD.
Node UAI is connected to nodes BLI, BXB, YDS, UVX, ECD, SSG.
Node BXB is connected to nodes BLI, FVN, UAI, ZLB, UKU, UVX, YJN, ECD, SSG.
Node UKU is connected to nodes BLI, FVN, BXB, ZLB, BAG, UVX, YJN, ECD.
Node YJN is connected to nodes BLI, GRP, BXB, ZLB, YDS, UKU, BAG, UVX, ECD, SSG.
Node FVN is connected to nodes BXB, ZLB, UKU, UVX, ECD, SSG.","[GRP, BAG, BLI, FVN, UAI, SSG, ZLB, UKU, ECD, YDS, XIH, BXB, YJN, UVX, BFS]",15,67,False,Calculate the number of common neighbors of node GRP and node BFS. ,4,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node GRP are [XIH, BLI, YDS, BAG, UVX, YJN, SSG].
Secondly, the neighbors of node BFS are [XIH, ZLB, YDS, BAG, ECD, SSG].
Common neighbors of node GRP and node BFS: [BAG, XIH, SSG, YDS], which contains 4 nodes.
So the number of common neighbors is ","('[8, 9, 4, 0]',)",2,5
common_neighbor,"[(TMT, KPU), (TMT, DKL), (TMT, BAD), (TMT, OHG), (TMT, DQO), (KPU, IIS), (KPU, TGY), (KPU, GYP), (KPU, CKJ), (DKL, TVV), (DKL, AUC), (DKL, BAD), (BAD, GYP), (BAD, HTU), (BAD, OHG), (OHG, HTU), (DQO, TVV), (DQO, KIY), (DQO, HTU), (IIS, GYP), (IIS, HTU), (IIS, TGY), (TGY, CKJ), (TGY, AUC), (GYP, HTU), (TVV, KIY), (TVV, NRJ), (AUC, HTU), (KIY, HTU), (KIY, NRJ)]","{TMT: [KPU, DKL, BAD, OHG, DQO],
KPU: [TMT, IIS, TGY, GYP, CKJ],
DKL: [TMT, TVV, AUC, BAD],
BAD: [TMT, DKL, GYP, HTU, OHG],
OHG: [TMT, BAD, HTU],
DQO: [TMT, TVV, KIY, HTU],
IIS: [KPU, GYP, HTU, TGY],
TGY: [KPU, IIS, CKJ, AUC],
GYP: [KPU, BAD, IIS, HTU],
CKJ: [KPU, TGY],
TVV: [DKL, KIY, NRJ, DQO],
AUC: [DKL, HTU, TGY],
KIY: [TVV, HTU, DQO, NRJ],
NRJ: [TVV, KIY],
HTU: [KIY, BAD, GYP, IIS, AUC, OHG, DQO]}","Node TMT is connected to nodes KPU, DKL, BAD, OHG, DQO.
Node KPU is connected to nodes TMT, IIS, TGY, GYP, CKJ.
Node DKL is connected to nodes TMT, TVV, AUC, BAD.
Node BAD is connected to nodes TMT, DKL, GYP, HTU, OHG.
Node OHG is connected to nodes TMT, BAD, HTU.
Node DQO is connected to nodes TMT, TVV, KIY, HTU.
Node IIS is connected to nodes KPU, GYP, HTU, TGY.
Node TGY is connected to nodes KPU, IIS, CKJ, AUC.
Node GYP is connected to nodes KPU, BAD, IIS, HTU.
Node CKJ is connected to nodes KPU, TGY.
Node TVV is connected to nodes DKL, KIY, NRJ, DQO.
Node AUC is connected to nodes DKL, HTU, TGY.
Node KIY is connected to nodes TVV, HTU, DQO, NRJ.
Node NRJ is connected to nodes TVV, KIY.
Node HTU is connected to nodes KIY, BAD, GYP, IIS, AUC, OHG, DQO.","[OHG, NRJ, IIS, AUC, BAD, TGY, DQO, KPU, CKJ, KIY, DKL, GYP, TVV, TMT, HTU]",15,30,False,Calculate the number of common neighbors of node AUC and node KIY. ,1,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node AUC are [DKL, HTU, TGY].
Secondly, the neighbors of node KIY are [TVV, HTU, DQO, NRJ].
Common neighbors of node AUC and node KIY: [HTU], which contains 1 nodes.
So the number of common neighbors is ","('[5, 1, 0, 6]',)",1,6
common_neighbor,"[(RYP, QAK), (RYP, RRI), (RYP, UGK), (RYP, FAR), (RYP, FPG), (RYP, KMN), (QAK, DAB), (QAK, BBK), (QAK, FAR), (QAK, QHK), (QAK, KMN), (RRI, DAB), (RRI, BLA), (RRI, BBK), (RRI, GII), (RRI, UGK), (RRI, QHK), (RRI, FPG), (UGK, DAB), (UGK, BLA), (UGK, QHK), (UGK, KMN), (FAR, DAB), (FAR, BLA), (FAR, QHK), (FPG, BLA), (FPG, QHK), (KMN, BLA), (KMN, MFH), (DAB, GII), (DAB, QHK), (GII, BLA), (GII, QHK), (QHK, BBK), (BLA, BBK), (BLA, MFH), (BBK, MFH)]","{RYP: [QAK, RRI, UGK, FAR, FPG, KMN],
QAK: [RYP, DAB, BBK, FAR, QHK, KMN],
RRI: [RYP, DAB, BLA, BBK, GII, UGK, QHK, FPG],
UGK: [RYP, DAB, BLA, RRI, QHK, KMN],
FAR: [RYP, DAB, BLA, QAK, QHK],
FPG: [RYP, BLA, RRI, QHK],
KMN: [RYP, BLA, QAK, UGK, MFH],
DAB: [QAK, GII, RRI, UGK, FAR, QHK],
GII: [DAB, BLA, RRI, QHK],
QHK: [DAB, BBK, QAK, GII, RRI, UGK, FAR, FPG],
BLA: [BBK, GII, RRI, UGK, MFH, FAR, FPG, KMN],
BBK: [BLA, QAK, RRI, MFH, QHK],
MFH: [BLA, BBK, KMN]}","Node RYP is connected to nodes QAK, RRI, UGK, FAR, FPG, KMN.
Node QAK is connected to nodes RYP, DAB, BBK, FAR, QHK, KMN.
Node RRI is connected to nodes RYP, DAB, BLA, BBK, GII, UGK, QHK, FPG.
Node UGK is connected to nodes RYP, DAB, BLA, RRI, QHK, KMN.
Node FAR is connected to nodes RYP, DAB, BLA, QAK, QHK.
Node FPG is connected to nodes RYP, BLA, RRI, QHK.
Node KMN is connected to nodes RYP, BLA, QAK, UGK, MFH.
Node DAB is connected to nodes QAK, GII, RRI, UGK, FAR, QHK.
Node GII is connected to nodes DAB, BLA, RRI, QHK.
Node QHK is connected to nodes DAB, BBK, QAK, GII, RRI, UGK, FAR, FPG.
Node BLA is connected to nodes BBK, GII, RRI, UGK, MFH, FAR, FPG, KMN.
Node BBK is connected to nodes BLA, QAK, RRI, MFH, QHK.
Node MFH is connected to nodes BLA, BBK, KMN.","[RRI, DAB, MFH, FPG, RYP, GII, KMN, BBK, FAR, QAK, UGK, QHK, BLA]",13,37,False,Calculate the number of common neighbors of node BBK and node QHK. ,2,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node BBK are [BLA, QAK, RRI, MFH, QHK].
Secondly, the neighbors of node QHK are [DAB, BBK, QAK, GII, RRI, UGK, FAR, FPG].
Common neighbors of node BBK and node QHK: [RRI, QAK], which contains 2 nodes.
So the number of common neighbors is ","('[2, 7, 9, 0]',)",0,7
common_neighbor,"[(UKT, OOL), (UKT, KQE), (UKT, JIQ), (UKT, EWQ), (UKT, ZUL), (UKT, XBI), (UKT, OSP), (UKT, DAQ), (OOL, KQE), (OOL, JIQ), (OOL, ZUL), (OOL, OSP), (OOL, DAQ), (OOL, ZVX), (KQE, JIQ), (KQE, XBI), (KQE, DAQ), (JIQ, BSX), (JIQ, LAK), (JIQ, XBI), (JIQ, DAQ), (EWQ, BSX), (EWQ, XBI), (EWQ, DAQ), (EWQ, ZVX), (EWQ, QUA), (ZUL, QJV), (ZUL, DAQ), (ZUL, ZVX), (ZUL, IZA), (ZUL, QUA), (XBI, LAK), (XBI, OSP), (XBI, IZA), (OSP, BSX), (DAQ, BSX), (DAQ, IZA), (ZVX, BSX), (LAK, QUA), (QUA, QJV), (QUA, IZA)]","{UKT: [OOL, KQE, JIQ, EWQ, ZUL, XBI, OSP, DAQ],
OOL: [UKT, KQE, JIQ, ZUL, OSP, DAQ, ZVX],
KQE: [UKT, OOL, JIQ, XBI, DAQ],
JIQ: [UKT, OOL, KQE, BSX, LAK, XBI, DAQ],
EWQ: [UKT, BSX, XBI, DAQ, ZVX, QUA],
ZUL: [UKT, OOL, QJV, DAQ, ZVX, IZA, QUA],
XBI: [UKT, KQE, JIQ, LAK, EWQ, OSP, IZA],
OSP: [UKT, OOL, BSX, XBI],
DAQ: [UKT, OOL, KQE, JIQ, BSX, EWQ, ZUL, IZA],
ZVX: [OOL, BSX, EWQ, ZUL],
BSX: [JIQ, EWQ, OSP, DAQ, ZVX],
LAK: [JIQ, XBI, QUA],
QUA: [LAK, EWQ, ZUL, QJV, IZA],
QJV: [ZUL, QUA],
IZA: [ZUL, XBI, DAQ, QUA]}","Node UKT is connected to nodes OOL, KQE, JIQ, EWQ, ZUL, XBI, OSP, DAQ.
Node OOL is connected to nodes UKT, KQE, JIQ, ZUL, OSP, DAQ, ZVX.
Node KQE is connected to nodes UKT, OOL, JIQ, XBI, DAQ.
Node JIQ is connected to nodes UKT, OOL, KQE, BSX, LAK, XBI, DAQ.
Node EWQ is connected to nodes UKT, BSX, XBI, DAQ, ZVX, QUA.
Node ZUL is connected to nodes UKT, OOL, QJV, DAQ, ZVX, IZA, QUA.
Node XBI is connected to nodes UKT, KQE, JIQ, LAK, EWQ, OSP, IZA.
Node OSP is connected to nodes UKT, OOL, BSX, XBI.
Node DAQ is connected to nodes UKT, OOL, KQE, JIQ, BSX, EWQ, ZUL, IZA.
Node ZVX is connected to nodes OOL, BSX, EWQ, ZUL.
Node BSX is connected to nodes JIQ, EWQ, OSP, DAQ, ZVX.
Node LAK is connected to nodes JIQ, XBI, QUA.
Node QUA is connected to nodes LAK, EWQ, ZUL, QJV, IZA.
Node QJV is connected to nodes ZUL, QUA.
Node IZA is connected to nodes ZUL, XBI, DAQ, QUA.","[QJV, LAK, QUA, EWQ, XBI, UKT, ZUL, BSX, DAQ, ZVX, OOL, JIQ, OSP, KQE, IZA]",15,41,False,Calculate the number of common neighbors of node QJV and node ZUL. ,1,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node QJV are [ZUL, QUA].
Secondly, the neighbors of node ZUL are [UKT, OOL, QJV, DAQ, ZVX, IZA, QUA].
Common neighbors of node QJV and node ZUL: [QUA], which contains 1 nodes.
So the number of common neighbors is ","('[0, 1, 6, 9]',)",1,8
common_neighbor,"[(PAD, SJA), (PAD, ZYP), (PAD, YAO), (PAD, FZQ), (PAD, QCJ), (PAD, OLG), (OLG, XOW)]","{PAD: [SJA, ZYP, YAO, FZQ, QCJ, OLG],
SJA: [PAD],
ZYP: [PAD],
YAO: [PAD],
FZQ: [PAD],
QCJ: [PAD],
OLG: [PAD, XOW],
XOW: [OLG]}","Node PAD is connected to nodes SJA, ZYP, YAO, FZQ, QCJ, OLG.
Node SJA is connected to node PAD.
Node ZYP is connected to node PAD.
Node YAO is connected to node PAD.
Node FZQ is connected to node PAD.
Node QCJ is connected to node PAD.
Node OLG is connected to nodes PAD, XOW.
Node XOW is connected to node OLG.","[XOW, ZYP, OLG, SJA, QCJ, PAD, YAO, FZQ]",8,7,False,Calculate the number of common neighbors of node QCJ and node OLG. ,1,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node QCJ are [PAD].
Secondly, the neighbors of node OLG are [PAD, XOW].
Common neighbors of node QCJ and node OLG: [PAD], which contains 1 nodes.
So the number of common neighbors is ","('[1, 10, 4, 0]',)",0,9
