task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,cc_node_ratio,id
connected_component,"[(6, 2), (2, 6), (2, 5), (3, 4), (3, 5), (3, 7), (3, 6), (5, 0), (5, 3), (7, 1), (7, 3), (7, 4), (0, 6), (0, 7), (1, 3), (1, 7)]","{6: [2],
2: [6, 5],
3: [4, 5, 7, 6],
4: [],
5: [0, 3],
7: [1, 3, 4],
0: [6, 7],
1: [3, 7]}","Node 6 is connected to node 2.
Node 2 is connected to nodes 6, 5.
Node 3 is connected to nodes 4, 5, 7, 6.
Node 5 is connected to nodes 0, 3.
Node 7 is connected to nodes 1, 3, 4.
Node 0 is connected to nodes 6, 7.
Node 1 is connected to nodes 3, 7.","[0, 1, 2, 3, 4, 5, 6, 7]",8,16,True,Find the strongly connected component containing node 1. ,"[7, 2, 6, 0, 5, 3, 1]","Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node 1.
Visit neighbor node 3.
Search from node 3.
Visit neighbor node 4.
Search from node 4.
Node 4 is a root node, find a new strongly connected component: [4].
Visit neighbor node 5.
Search from node 5.
Visit neighbor node 0.
Search from node 0.
Visit neighbor node 6.
Search from node 6.
Visit neighbor node 2.
Search from node 2.
Visit neighbor node 7.
Search from node 7.
Node 1 is a root node, find a new strongly connected component: [7, 2, 6, 0, 5, 3, 1].
So the strongly connected component containing node 1 is ",0.875,0
connected_component,"[(1, 2), (1, 7), (1, 6), (1, 4), (2, 9), (2, 8), (2, 1), (7, 0), (7, 1), (6, 4), (6, 5), (9, 3), (9, 8), (9, 4), (8, 4), (0, 7), (3, 6), (3, 1), (5, 4), (5, 2), (5, 3)]","{1: [2, 7, 6, 4],
2: [9, 8, 1],
7: [0, 1],
6: [4, 5],
4: [],
9: [3, 8, 4],
8: [4],
0: [7],
3: [6, 1],
5: [4, 2, 3]}","Node 1 is connected to nodes 2, 7, 6, 4.
Node 2 is connected to nodes 9, 8, 1.
Node 7 is connected to nodes 0, 1.
Node 6 is connected to nodes 4, 5.
Node 9 is connected to nodes 3, 8, 4.
Node 8 is connected to node 4.
Node 0 is connected to node 7.
Node 3 is connected to nodes 6, 1.
Node 5 is connected to nodes 4, 2, 3.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,21,True,Find the strongly connected component containing node 6. ,"[0, 7, 1, 3, 9, 2, 5, 6]","Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node 6.
Visit neighbor node 4.
Search from node 4.
Node 4 is a root node, find a new strongly connected component: [4].
Visit neighbor node 5.
Search from node 5.
Visit neighbor node 2.
Search from node 2.
Visit neighbor node 8.
Search from node 8.
Node 8 is a root node, find a new strongly connected component: [8].
Visit neighbor node 9.
Search from node 9.
Visit neighbor node 3.
Search from node 3.
Visit neighbor node 1.
Search from node 1.
Visit neighbor node 7.
Search from node 7.
Visit neighbor node 0.
Search from node 0.
Node 6 is a root node, find a new strongly connected component: [0, 7, 1, 3, 9, 2, 5, 6].
So the strongly connected component containing node 6 is ",0.8,1
connected_component,"[(6, 8), (6, 7), (8, 4), (7, 8), (5, 3), (5, 1), (5, 2), (5, 6), (3, 4), (3, 6), (3, 5), (1, 6), (1, 5), (1, 8), (2, 5), (4, 5), (4, 3), (0, 8), (0, 3), (0, 4), (0, 2)]","{6: [8, 7],
8: [4],
7: [8],
5: [3, 1, 2, 6],
3: [4, 6, 5],
1: [6, 5, 8],
2: [5],
4: [5, 3],
0: [8, 3, 4, 2]}","Node 6 is connected to nodes 8, 7.
Node 8 is connected to node 4.
Node 7 is connected to node 8.
Node 5 is connected to nodes 3, 1, 2, 6.
Node 3 is connected to nodes 4, 6, 5.
Node 1 is connected to nodes 6, 5, 8.
Node 2 is connected to node 5.
Node 4 is connected to nodes 5, 3.
Node 0 is connected to nodes 8, 3, 4, 2.","[0, 1, 2, 3, 4, 5, 6, 7, 8]",9,21,True,Find the strongly connected component containing node 0. ,[0],"Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node 0.
Visit neighbor node 8.
Search from node 8.
Visit neighbor node 4.
Search from node 4.
Visit neighbor node 3.
Search from node 3.
Visit neighbor node 5.
Search from node 5.
Visit neighbor node 1.
Search from node 1.
Visit neighbor node 6.
Search from node 6.
Visit neighbor node 7.
Search from node 7.
Visit neighbor node 2.
Search from node 2.
Node 8 is a root node, find a new strongly connected component: [2, 7, 6, 1, 5, 3, 4, 8].
Node 0 is a root node, find a new strongly connected component: [0].
So the strongly connected component containing node 0 is ",0.1111111111111111,2
connected_component,"[(10, 7), (10, 14), (10, 13), (10, 4), (10, 11), (7, 13), (7, 11), (7, 6), (7, 1), (14, 8), (14, 0), (13, 6), (13, 7), (13, 0), (4, 11), (4, 6), (4, 1), (4, 8), (4, 5), (11, 5), (11, 4), (2, 6), (2, 0), (2, 13), (2, 4), (6, 5), (6, 11), (6, 10), (0, 14), (0, 13), (5, 1), (5, 9), (1, 0), (1, 13), (1, 4), (3, 14), (3, 4), (3, 11), (3, 10), (8, 0), (8, 14), (8, 13), (8, 6), (8, 1), (8, 7), (12, 4), (12, 11), (12, 2), (12, 1), (9, 6)]","{10: [7, 14, 13, 4, 11],
7: [13, 11, 6, 1],
14: [8, 0],
13: [6, 7, 0],
4: [11, 6, 1, 8, 5],
11: [5, 4],
2: [6, 0, 13, 4],
6: [5, 11, 10],
0: [14, 13],
5: [1, 9],
1: [0, 13, 4],
3: [14, 4, 11, 10],
8: [0, 14, 13, 6, 1, 7],
12: [4, 11, 2, 1],
9: [6]}","Node 10 is connected to nodes 7, 14, 13, 4, 11.
Node 7 is connected to nodes 13, 11, 6, 1.
Node 14 is connected to nodes 8, 0.
Node 13 is connected to nodes 6, 7, 0.
Node 4 is connected to nodes 11, 6, 1, 8, 5.
Node 11 is connected to nodes 5, 4.
Node 2 is connected to nodes 6, 0, 13, 4.
Node 6 is connected to nodes 5, 11, 10.
Node 0 is connected to nodes 14, 13.
Node 5 is connected to nodes 1, 9.
Node 1 is connected to nodes 0, 13, 4.
Node 3 is connected to nodes 14, 4, 11, 10.
Node 8 is connected to nodes 0, 14, 13, 6, 1, 7.
Node 12 is connected to nodes 4, 11, 2, 1.
Node 9 is connected to node 6.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",15,50,True,Find the strongly connected component containing node 14. ,"[7, 11, 9, 5, 1, 4, 10, 6, 13, 0, 8, 14]","Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node 14.
Visit neighbor node 8.
Search from node 8.
Visit neighbor node 0.
Search from node 0.
Visit neighbor node 13.
Search from node 13.
Visit neighbor node 6.
Search from node 6.
Visit neighbor node 10.
Search from node 10.
Visit neighbor node 4.
Search from node 4.
Visit neighbor node 1.
Search from node 1.
Visit neighbor node 5.
Search from node 5.
Visit neighbor node 9.
Search from node 9.
Visit neighbor node 11.
Search from node 11.
Visit neighbor node 7.
Search from node 7.
Node 14 is a root node, find a new strongly connected component: [7, 11, 9, 5, 1, 4, 10, 6, 13, 0, 8, 14].
So the strongly connected component containing node 14 is ",0.8,3
connected_component,"[(8, 0), (8, 5), (8, 6), (6, 5), (1, 4), (1, 0), (1, 8), (4, 2), (4, 3), (2, 5), (2, 8), (2, 4), (2, 0), (3, 7), (3, 9), (3, 4), (7, 5), (9, 8), (9, 1), (9, 4), (9, 2), (9, 7)]","{8: [0, 5, 6],
0: [],
5: [],
6: [5],
1: [4, 0, 8],
4: [2, 3],
2: [5, 8, 4, 0],
3: [7, 9, 4],
7: [5],
9: [8, 1, 4, 2, 7]}","Node 8 is connected to nodes 0, 5, 6.
Node 6 is connected to node 5.
Node 1 is connected to nodes 4, 0, 8.
Node 4 is connected to nodes 2, 3.
Node 2 is connected to nodes 5, 8, 4, 0.
Node 3 is connected to nodes 7, 9, 4.
Node 7 is connected to node 5.
Node 9 is connected to nodes 8, 1, 4, 2, 7.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,22,True,Find the strongly connected component containing node 5. ,[5],"Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node 5.
Node 5 is a root node, find a new strongly connected component: [5].
So the strongly connected component containing node 5 is ",0.1,4
connected_component,"[(6, 1), (6, 2), (6, 3), (6, 0), (1, 3), (2, 9), (3, 1), (0, 9), (0, 2), (14, 12), (14, 3), (14, 8), (14, 6), (12, 4), (12, 3), (12, 13), (12, 11), (10, 7), (7, 3), (7, 11), (7, 6), (11, 9), (4, 9), (4, 14), (13, 0), (13, 10), (5, 14), (9, 13), (9, 6), (9, 14)]","{6: [1, 2, 3, 0],
1: [3],
2: [9],
3: [1],
0: [9, 2],
14: [12, 3, 8, 6],
12: [4, 3, 13, 11],
8: [],
10: [7],
7: [3, 11, 6],
11: [9],
4: [9, 14],
13: [0, 10],
5: [14],
9: [13, 6, 14]}","Node 6 is connected to nodes 1, 2, 3, 0.
Node 1 is connected to node 3.
Node 2 is connected to node 9.
Node 3 is connected to node 1.
Node 0 is connected to nodes 9, 2.
Node 14 is connected to nodes 12, 3, 8, 6.
Node 12 is connected to nodes 4, 3, 13, 11.
Node 10 is connected to node 7.
Node 7 is connected to nodes 3, 11, 6.
Node 11 is connected to node 9.
Node 4 is connected to nodes 9, 14.
Node 13 is connected to nodes 0, 10.
Node 5 is connected to node 14.
Node 9 is connected to nodes 13, 6, 14.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",15,30,True,Find the strongly connected component containing node 13. ,"[7, 10, 4, 11, 12, 14, 2, 6, 9, 0, 13]","Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node 13.
Visit neighbor node 0.
Search from node 0.
Visit neighbor node 9.
Search from node 9.
Visit neighbor node 6.
Search from node 6.
Visit neighbor node 1.
Search from node 1.
Visit neighbor node 3.
Search from node 3.
Node 1 is a root node, find a new strongly connected component: [3, 1].
Visit neighbor node 2.
Search from node 2.
Visit neighbor node 14.
Search from node 14.
Visit neighbor node 8.
Search from node 8.
Node 8 is a root node, find a new strongly connected component: [8].
Visit neighbor node 12.
Search from node 12.
Visit neighbor node 11.
Search from node 11.
Visit neighbor node 4.
Search from node 4.
Visit neighbor node 10.
Search from node 10.
Visit neighbor node 7.
Search from node 7.
Node 13 is a root node, find a new strongly connected component: [7, 10, 4, 11, 12, 14, 2, 6, 9, 0, 13].
So the strongly connected component containing node 13 is ",0.7333333333333333,5
connected_component,"[(7, 3), (7, 1), (7, 0), (3, 2), (3, 7), (1, 2), (1, 7), (0, 2), (0, 1), (8, 6), (8, 3), (8, 0), (6, 2), (6, 8), (2, 5), (5, 2), (5, 7), (5, 6), (4, 7), (4, 8), (4, 2)]","{7: [3, 1, 0],
3: [2, 7],
1: [2, 7],
0: [2, 1],
8: [6, 3, 0],
6: [2, 8],
2: [5],
5: [2, 7, 6],
4: [7, 8, 2]}","Node 7 is connected to nodes 3, 1, 0.
Node 3 is connected to nodes 2, 7.
Node 1 is connected to nodes 2, 7.
Node 0 is connected to nodes 2, 1.
Node 8 is connected to nodes 6, 3, 0.
Node 6 is connected to nodes 2, 8.
Node 2 is connected to node 5.
Node 5 is connected to nodes 2, 7, 6.
Node 4 is connected to nodes 7, 8, 2.","[0, 1, 2, 3, 4, 5, 6, 7, 8]",9,21,True,Find the strongly connected component containing node 2. ,"[3, 7, 1, 0, 8, 6, 5, 2]","Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node 2.
Visit neighbor node 5.
Search from node 5.
Visit neighbor node 6.
Search from node 6.
Visit neighbor node 8.
Search from node 8.
Visit neighbor node 0.
Search from node 0.
Visit neighbor node 1.
Search from node 1.
Visit neighbor node 7.
Search from node 7.
Visit neighbor node 3.
Search from node 3.
Node 2 is a root node, find a new strongly connected component: [3, 7, 1, 0, 8, 6, 5, 2].
So the strongly connected component containing node 2 is ",0.8888888888888888,6
connected_component,"[(10, 2), (10, 7), (10, 0), (10, 11), (2, 7), (2, 6), (2, 11), (2, 10), (7, 5), (7, 6), (7, 10), (7, 2), (0, 11), (0, 1), (0, 8), (11, 2), (11, 7), (6, 2), (6, 9), (9, 2), (5, 6), (5, 11), (1, 3), (1, 5), (1, 6), (3, 5), (3, 6), (3, 9), (3, 1), (3, 0), (8, 11), (8, 9), (4, 0)]","{10: [2, 7, 0, 11],
2: [7, 6, 11, 10],
7: [5, 6, 10, 2],
0: [11, 1, 8],
11: [2, 7],
6: [2, 9],
9: [2],
5: [6, 11],
1: [3, 5, 6],
3: [5, 6, 9, 1, 0],
8: [11, 9],
4: [0]}","Node 10 is connected to nodes 2, 7, 0, 11.
Node 2 is connected to nodes 7, 6, 11, 10.
Node 7 is connected to nodes 5, 6, 10, 2.
Node 0 is connected to nodes 11, 1, 8.
Node 11 is connected to nodes 2, 7.
Node 6 is connected to nodes 2, 9.
Node 9 is connected to node 2.
Node 5 is connected to nodes 6, 11.
Node 1 is connected to nodes 3, 5, 6.
Node 3 is connected to nodes 5, 6, 9, 1, 0.
Node 8 is connected to nodes 11, 9.
Node 4 is connected to node 0.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",12,33,True,Find the strongly connected component containing node 4. ,[4],"Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node 4.
Visit neighbor node 0.
Search from node 0.
Visit neighbor node 8.
Search from node 8.
Visit neighbor node 9.
Search from node 9.
Visit neighbor node 2.
Search from node 2.
Visit neighbor node 10.
Search from node 10.
Visit neighbor node 11.
Search from node 11.
Visit neighbor node 7.
Search from node 7.
Visit neighbor node 5.
Search from node 5.
Visit neighbor node 6.
Search from node 6.
Visit neighbor node 1.
Search from node 1.
Visit neighbor node 3.
Search from node 3.
Node 0 is a root node, find a new strongly connected component: [3, 1, 6, 5, 7, 11, 10, 2, 9, 8, 0].
Node 4 is a root node, find a new strongly connected component: [4].
So the strongly connected component containing node 4 is ",0.0833333333333333,7
connected_component,"[(6, 5), (5, 0), (5, 9), (0, 9), (10, 11), (10, 1), (11, 7), (1, 2), (1, 4), (7, 3), (3, 2), (4, 8)]","{6: [5],
5: [6, 0, 9],
0: [5, 9],
9: [5, 0],
10: [11, 1],
11: [10, 7],
1: [10, 2, 4],
7: [11, 3],
3: [7, 2],
2: [3, 1],
4: [8, 1],
8: [4]}","Node 6 is connected to node 5.
Node 5 is connected to nodes 6, 0, 9.
Node 0 is connected to nodes 5, 9.
Node 9 is connected to nodes 5, 0.
Node 10 is connected to nodes 11, 1.
Node 11 is connected to nodes 10, 7.
Node 1 is connected to nodes 10, 2, 4.
Node 7 is connected to nodes 11, 3.
Node 3 is connected to nodes 7, 2.
Node 2 is connected to nodes 3, 1.
Node 4 is connected to nodes 8, 1.
Node 8 is connected to node 4.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",12,12,False,Find the connected component containing node 6. ,"[6, 5, 9, 0]","Let's find the connected component step by step, and we can use Depth-First Search.
Visit node 6, add it to the connected component. The current connected component is [6].
Visit node 5, add it to the connected component. The current connected component is [6, 5].
Visit node 9, add it to the connected component. The current connected component is [6, 5, 9].
Visit node 0, add it to the connected component. The current connected component is [6, 5, 9, 0].
Thus, the connected component containing node 6 is ",0.3333333333333333,8
connected_component,"[(4, 5), (4, 2), (4, 1), (4, 9), (5, 3), (5, 0), (5, 9), (2, 10), (2, 0), (2, 9), (1, 6), (1, 9), (9, 8), (9, 10), (9, 0), (9, 7), (3, 7), (3, 10), (0, 6), (0, 8), (6, 10), (10, 8), (10, 7), (7, 8)]","{4: [5, 2, 1, 9],
5: [4, 3, 0, 9],
2: [4, 10, 0, 9],
1: [4, 6, 9],
9: [4, 5, 1, 8, 10, 0, 7, 2],
3: [5, 7, 10],
0: [5, 6, 8, 2, 9],
6: [1, 10, 0],
10: [6, 3, 8, 7, 2, 9],
7: [3, 8, 10, 9],
8: [10, 0, 7, 9]}","Node 4 is connected to nodes 5, 2, 1, 9.
Node 5 is connected to nodes 4, 3, 0, 9.
Node 2 is connected to nodes 4, 10, 0, 9.
Node 1 is connected to nodes 4, 6, 9.
Node 9 is connected to nodes 4, 5, 1, 8, 10, 0, 7, 2.
Node 3 is connected to nodes 5, 7, 10.
Node 0 is connected to nodes 5, 6, 8, 2, 9.
Node 6 is connected to nodes 1, 10, 0.
Node 10 is connected to nodes 6, 3, 8, 7, 2, 9.
Node 7 is connected to nodes 3, 8, 10, 9.
Node 8 is connected to nodes 10, 0, 7, 9.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",11,24,False,Find the connected component containing node 1. ,"[1, 6, 10, 9, 8, 7, 3, 5, 4, 2, 0]","Let's find the connected component step by step, and we can use Depth-First Search.
Visit node 1, add it to the connected component. The current connected component is [1].
Visit node 6, add it to the connected component. The current connected component is [1, 6].
Visit node 10, add it to the connected component. The current connected component is [1, 6, 10].
Visit node 9, add it to the connected component. The current connected component is [1, 6, 10, 9].
Visit node 8, add it to the connected component. The current connected component is [1, 6, 10, 9, 8].
Visit node 7, add it to the connected component. The current connected component is [1, 6, 10, 9, 8, 7].
Visit node 3, add it to the connected component. The current connected component is [1, 6, 10, 9, 8, 7, 3].
Visit node 5, add it to the connected component. The current connected component is [1, 6, 10, 9, 8, 7, 3, 5].
Visit node 4, add it to the connected component. The current connected component is [1, 6, 10, 9, 8, 7, 3, 5, 4].
Visit node 2, add it to the connected component. The current connected component is [1, 6, 10, 9, 8, 7, 3, 5, 4, 2].
Visit node 0, add it to the connected component. The current connected component is [1, 6, 10, 9, 8, 7, 3, 5, 4, 2, 0].
Thus, the connected component containing node 1 is ",1.0,9
