task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,cc_node_ratio,id
connected_component,"[(MRQ, UTF), (UTF, MRQ), (UTF, VSE), (YZJ, YTU), (YZJ, VSE), (YZJ, YVS), (YZJ, MRQ), (VSE, YQD), (VSE, YZJ), (YVS, QND), (YVS, YZJ), (YVS, YTU), (YQD, MRQ), (YQD, YVS), (QND, YZJ), (QND, YVS)]","{MRQ: [UTF],
UTF: [MRQ, VSE],
YZJ: [YTU, VSE, YVS, MRQ],
YTU: [],
VSE: [YQD, YZJ],
YVS: [QND, YZJ, YTU],
YQD: [MRQ, YVS],
QND: [YZJ, YVS]}","Node MRQ is connected to node UTF.
Node UTF is connected to nodes MRQ, VSE.
Node YZJ is connected to nodes YTU, VSE, YVS, MRQ.
Node VSE is connected to nodes YQD, YZJ.
Node YVS is connected to nodes QND, YZJ, YTU.
Node YQD is connected to nodes MRQ, YVS.
Node QND is connected to nodes YZJ, YVS.","[YQD, QND, UTF, YZJ, YTU, VSE, MRQ, YVS]",8,16,True,Find the strongly connected component containing node QND. ,"[YVS, UTF, MRQ, YQD, VSE, YZJ, QND]","Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node QND.
Visit neighbor node YZJ.
Search from node YZJ.
Visit neighbor node YTU.
Search from node YTU.
Node YTU is a root node, find a new strongly connected component: [YTU].
Visit neighbor node VSE.
Search from node VSE.
Visit neighbor node YQD.
Search from node YQD.
Visit neighbor node MRQ.
Search from node MRQ.
Visit neighbor node UTF.
Search from node UTF.
Visit neighbor node YVS.
Search from node YVS.
Node QND is a root node, find a new strongly connected component: [YVS, UTF, MRQ, YQD, VSE, YZJ, QND].
So the strongly connected component containing node QND is ",0.875,0
connected_component,"[(HJB, AGR), (HJB, KJG), (HJB, DTV), (HJB, ZHH), (AGR, NQS), (AGR, YWW), (AGR, HJB), (KJG, SDN), (KJG, HJB), (DTV, ZHH), (DTV, QRL), (NQS, VSM), (NQS, YWW), (NQS, ZHH), (YWW, ZHH), (SDN, KJG), (VSM, DTV), (VSM, HJB), (QRL, ZHH), (QRL, AGR), (QRL, VSM)]","{HJB: [AGR, KJG, DTV, ZHH],
AGR: [NQS, YWW, HJB],
KJG: [SDN, HJB],
DTV: [ZHH, QRL],
ZHH: [],
NQS: [VSM, YWW, ZHH],
YWW: [ZHH],
SDN: [KJG],
VSM: [DTV, HJB],
QRL: [ZHH, AGR, VSM]}","Node HJB is connected to nodes AGR, KJG, DTV, ZHH.
Node AGR is connected to nodes NQS, YWW, HJB.
Node KJG is connected to nodes SDN, HJB.
Node DTV is connected to nodes ZHH, QRL.
Node NQS is connected to nodes VSM, YWW, ZHH.
Node YWW is connected to node ZHH.
Node SDN is connected to node KJG.
Node VSM is connected to nodes DTV, HJB.
Node QRL is connected to nodes ZHH, AGR, VSM.","[SDN, HJB, AGR, VSM, ZHH, QRL, DTV, KJG, YWW, NQS]",10,21,True,Find the strongly connected component containing node DTV. ,"[SDN, KJG, HJB, VSM, NQS, AGR, QRL, DTV]","Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node DTV.
Visit neighbor node ZHH.
Search from node ZHH.
Node ZHH is a root node, find a new strongly connected component: [ZHH].
Visit neighbor node QRL.
Search from node QRL.
Visit neighbor node AGR.
Search from node AGR.
Visit neighbor node YWW.
Search from node YWW.
Node YWW is a root node, find a new strongly connected component: [YWW].
Visit neighbor node NQS.
Search from node NQS.
Visit neighbor node VSM.
Search from node VSM.
Visit neighbor node HJB.
Search from node HJB.
Visit neighbor node KJG.
Search from node KJG.
Visit neighbor node SDN.
Search from node SDN.
Node DTV is a root node, find a new strongly connected component: [SDN, KJG, HJB, VSM, NQS, AGR, QRL, DTV].
So the strongly connected component containing node DTV is ",0.8,1
connected_component,"[(QXI, FJM), (QXI, FFE), (FJM, HPG), (FFE, FJM), (RBZ, YPH), (RBZ, PPU), (RBZ, YQA), (RBZ, QXI), (YPH, HPG), (YPH, QXI), (YPH, RBZ), (PPU, QXI), (PPU, RBZ), (PPU, FJM), (YQA, RBZ), (HPG, RBZ), (HPG, YPH), (RPZ, FJM), (RPZ, YPH), (RPZ, HPG), (RPZ, YQA)]","{QXI: [FJM, FFE],
FJM: [HPG],
FFE: [FJM],
RBZ: [YPH, PPU, YQA, QXI],
YPH: [HPG, QXI, RBZ],
PPU: [QXI, RBZ, FJM],
YQA: [RBZ],
HPG: [RBZ, YPH],
RPZ: [FJM, YPH, HPG, YQA]}","Node QXI is connected to nodes FJM, FFE.
Node FJM is connected to node HPG.
Node FFE is connected to node FJM.
Node RBZ is connected to nodes YPH, PPU, YQA, QXI.
Node YPH is connected to nodes HPG, QXI, RBZ.
Node PPU is connected to nodes QXI, RBZ, FJM.
Node YQA is connected to node RBZ.
Node HPG is connected to nodes RBZ, YPH.
Node RPZ is connected to nodes FJM, YPH, HPG, YQA.","[RPZ, PPU, YQA, YPH, HPG, RBZ, QXI, FFE, FJM]",9,21,True,Find the strongly connected component containing node RPZ. ,[RPZ],"Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node RPZ.
Visit neighbor node FJM.
Search from node FJM.
Visit neighbor node HPG.
Search from node HPG.
Visit neighbor node YPH.
Search from node YPH.
Visit neighbor node RBZ.
Search from node RBZ.
Visit neighbor node PPU.
Search from node PPU.
Visit neighbor node QXI.
Search from node QXI.
Visit neighbor node FFE.
Search from node FFE.
Visit neighbor node YQA.
Search from node YQA.
Node FJM is a root node, find a new strongly connected component: [YQA, FFE, QXI, PPU, RBZ, YPH, HPG, FJM].
Node RPZ is a root node, find a new strongly connected component: [RPZ].
So the strongly connected component containing node RPZ is ",0.1111111111111111,2
connected_component,"[(BJN, XZP), (BJN, WJX), (BJN, AGJ), (BJN, APX), (BJN, KOV), (XZP, AGJ), (XZP, KOV), (XZP, DHI), (XZP, EWP), (WJX, BLS), (WJX, JFZ), (AGJ, DHI), (AGJ, XZP), (AGJ, JFZ), (APX, KOV), (APX, DHI), (APX, EWP), (APX, BLS), (APX, KJB), (KOV, KJB), (KOV, APX), (IRZ, DHI), (IRZ, JFZ), (IRZ, AGJ), (IRZ, APX), (DHI, KJB), (DHI, KOV), (DHI, BJN), (JFZ, WJX), (JFZ, AGJ), (KJB, EWP), (KJB, OBS), (EWP, JFZ), (EWP, AGJ), (EWP, APX), (QUN, WJX), (QUN, APX), (QUN, KOV), (QUN, BJN), (BLS, JFZ), (BLS, WJX), (BLS, AGJ), (BLS, DHI), (BLS, EWP), (BLS, XZP), (FRV, APX), (FRV, KOV), (FRV, IRZ), (FRV, EWP), (OBS, DHI)]","{BJN: [XZP, WJX, AGJ, APX, KOV],
XZP: [AGJ, KOV, DHI, EWP],
WJX: [BLS, JFZ],
AGJ: [DHI, XZP, JFZ],
APX: [KOV, DHI, EWP, BLS, KJB],
KOV: [KJB, APX],
IRZ: [DHI, JFZ, AGJ, APX],
DHI: [KJB, KOV, BJN],
JFZ: [WJX, AGJ],
KJB: [EWP, OBS],
EWP: [JFZ, AGJ, APX],
QUN: [WJX, APX, KOV, BJN],
BLS: [JFZ, WJX, AGJ, DHI, EWP, XZP],
FRV: [APX, KOV, IRZ, EWP],
OBS: [DHI]}","Node BJN is connected to nodes XZP, WJX, AGJ, APX, KOV.
Node XZP is connected to nodes AGJ, KOV, DHI, EWP.
Node WJX is connected to nodes BLS, JFZ.
Node AGJ is connected to nodes DHI, XZP, JFZ.
Node APX is connected to nodes KOV, DHI, EWP, BLS, KJB.
Node KOV is connected to nodes KJB, APX.
Node IRZ is connected to nodes DHI, JFZ, AGJ, APX.
Node DHI is connected to nodes KJB, KOV, BJN.
Node JFZ is connected to nodes WJX, AGJ.
Node KJB is connected to nodes EWP, OBS.
Node EWP is connected to nodes JFZ, AGJ, APX.
Node QUN is connected to nodes WJX, APX, KOV, BJN.
Node BLS is connected to nodes JFZ, WJX, AGJ, DHI, EWP, XZP.
Node FRV is connected to nodes APX, KOV, IRZ, EWP.
Node OBS is connected to node DHI.","[JFZ, EWP, IRZ, QUN, APX, KJB, DHI, XZP, BLS, OBS, BJN, KOV, FRV, AGJ, WJX]",15,50,True,Find the strongly connected component containing node WJX. ,"[XZP, KOV, OBS, KJB, EWP, APX, BJN, DHI, AGJ, JFZ, BLS, WJX]","Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node WJX.
Visit neighbor node BLS.
Search from node BLS.
Visit neighbor node JFZ.
Search from node JFZ.
Visit neighbor node AGJ.
Search from node AGJ.
Visit neighbor node DHI.
Search from node DHI.
Visit neighbor node BJN.
Search from node BJN.
Visit neighbor node APX.
Search from node APX.
Visit neighbor node EWP.
Search from node EWP.
Visit neighbor node KJB.
Search from node KJB.
Visit neighbor node OBS.
Search from node OBS.
Visit neighbor node KOV.
Search from node KOV.
Visit neighbor node XZP.
Search from node XZP.
Node WJX is a root node, find a new strongly connected component: [XZP, KOV, OBS, KJB, EWP, APX, BJN, DHI, AGJ, JFZ, BLS, WJX].
So the strongly connected component containing node WJX is ",0.8,3
connected_component,"[(IMD, VGL), (IMD, PPB), (IMD, NNQ), (NNQ, PPB), (ZLD, UII), (ZLD, VGL), (ZLD, IMD), (UII, CDV), (UII, CHG), (CDV, PPB), (CDV, IMD), (CDV, UII), (CDV, VGL), (CHG, VJB), (CHG, BFU), (CHG, UII), (VJB, PPB), (BFU, IMD), (BFU, ZLD), (BFU, UII), (BFU, CDV), (BFU, VJB)]","{IMD: [VGL, PPB, NNQ],
VGL: [],
PPB: [],
NNQ: [PPB],
ZLD: [UII, VGL, IMD],
UII: [CDV, CHG],
CDV: [PPB, IMD, UII, VGL],
CHG: [VJB, BFU, UII],
VJB: [PPB],
BFU: [IMD, ZLD, UII, CDV, VJB]}","Node IMD is connected to nodes VGL, PPB, NNQ.
Node NNQ is connected to node PPB.
Node ZLD is connected to nodes UII, VGL, IMD.
Node UII is connected to nodes CDV, CHG.
Node CDV is connected to nodes PPB, IMD, UII, VGL.
Node CHG is connected to nodes VJB, BFU, UII.
Node VJB is connected to node PPB.
Node BFU is connected to nodes IMD, ZLD, UII, CDV, VJB.","[VGL, ZLD, CDV, CHG, UII, PPB, NNQ, VJB, IMD, BFU]",10,22,True,Find the strongly connected component containing node PPB. ,[PPB],"Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node PPB.
Node PPB is a root node, find a new strongly connected component: [PPB].
So the strongly connected component containing node PPB is ",0.1,4
connected_component,"[(AYA, QDG), (AYA, KYZ), (AYA, LUK), (AYA, BNX), (QDG, LUK), (KYZ, CFF), (LUK, QDG), (BNX, CFF), (BNX, KYZ), (YTL, RHV), (YTL, LUK), (YTL, JDV), (YTL, AYA), (RHV, HCG), (RHV, LUK), (RHV, CCD), (RHV, LEK), (GAY, KVC), (KVC, LUK), (KVC, LEK), (KVC, AYA), (LEK, CFF), (HCG, CFF), (HCG, YTL), (CCD, BNX), (CCD, GAY), (CQH, YTL), (CFF, CCD), (CFF, AYA), (CFF, YTL)]","{AYA: [QDG, KYZ, LUK, BNX],
QDG: [LUK],
KYZ: [CFF],
LUK: [QDG],
BNX: [CFF, KYZ],
YTL: [RHV, LUK, JDV, AYA],
RHV: [HCG, LUK, CCD, LEK],
JDV: [],
GAY: [KVC],
KVC: [LUK, LEK, AYA],
LEK: [CFF],
HCG: [CFF, YTL],
CCD: [BNX, GAY],
CQH: [YTL],
CFF: [CCD, AYA, YTL]}","Node AYA is connected to nodes QDG, KYZ, LUK, BNX.
Node QDG is connected to node LUK.
Node KYZ is connected to node CFF.
Node LUK is connected to node QDG.
Node BNX is connected to nodes CFF, KYZ.
Node YTL is connected to nodes RHV, LUK, JDV, AYA.
Node RHV is connected to nodes HCG, LUK, CCD, LEK.
Node GAY is connected to node KVC.
Node KVC is connected to nodes LUK, LEK, AYA.
Node LEK is connected to node CFF.
Node HCG is connected to nodes CFF, YTL.
Node CCD is connected to nodes BNX, GAY.
Node CQH is connected to node YTL.
Node CFF is connected to nodes CCD, AYA, YTL.","[BNX, QDG, KYZ, LUK, HCG, CQH, AYA, KVC, JDV, CFF, GAY, LEK, RHV, CCD, YTL]",15,30,True,Find the strongly connected component containing node CCD. ,"[KVC, GAY, HCG, LEK, RHV, YTL, KYZ, AYA, CFF, BNX, CCD]","Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node CCD.
Visit neighbor node BNX.
Search from node BNX.
Visit neighbor node CFF.
Search from node CFF.
Visit neighbor node AYA.
Search from node AYA.
Visit neighbor node QDG.
Search from node QDG.
Visit neighbor node LUK.
Search from node LUK.
Node QDG is a root node, find a new strongly connected component: [LUK, QDG].
Visit neighbor node KYZ.
Search from node KYZ.
Visit neighbor node YTL.
Search from node YTL.
Visit neighbor node JDV.
Search from node JDV.
Node JDV is a root node, find a new strongly connected component: [JDV].
Visit neighbor node RHV.
Search from node RHV.
Visit neighbor node LEK.
Search from node LEK.
Visit neighbor node HCG.
Search from node HCG.
Visit neighbor node GAY.
Search from node GAY.
Visit neighbor node KVC.
Search from node KVC.
Node CCD is a root node, find a new strongly connected component: [KVC, GAY, HCG, LEK, RHV, YTL, KYZ, AYA, CFF, BNX, CCD].
So the strongly connected component containing node CCD is ",0.7333333333333333,5
connected_component,"[(EEO, TPF), (EEO, LUK), (EEO, NNJ), (TPF, ISB), (TPF, EEO), (LUK, ISB), (LUK, EEO), (NNJ, ISB), (NNJ, LUK), (JPP, GUG), (JPP, TPF), (JPP, NNJ), (GUG, ISB), (GUG, JPP), (ISB, XIH), (XIH, ISB), (XIH, EEO), (XIH, GUG), (WXF, EEO), (WXF, JPP), (WXF, ISB)]","{EEO: [TPF, LUK, NNJ],
TPF: [ISB, EEO],
LUK: [ISB, EEO],
NNJ: [ISB, LUK],
JPP: [GUG, TPF, NNJ],
GUG: [ISB, JPP],
ISB: [XIH],
XIH: [ISB, EEO, GUG],
WXF: [EEO, JPP, ISB]}","Node EEO is connected to nodes TPF, LUK, NNJ.
Node TPF is connected to nodes ISB, EEO.
Node LUK is connected to nodes ISB, EEO.
Node NNJ is connected to nodes ISB, LUK.
Node JPP is connected to nodes GUG, TPF, NNJ.
Node GUG is connected to nodes ISB, JPP.
Node ISB is connected to node XIH.
Node XIH is connected to nodes ISB, EEO, GUG.
Node WXF is connected to nodes EEO, JPP, ISB.","[NNJ, LUK, ISB, TPF, WXF, XIH, GUG, EEO, JPP]",9,21,True,Find the strongly connected component containing node ISB. ,"[TPF, EEO, LUK, NNJ, JPP, GUG, XIH, ISB]","Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node ISB.
Visit neighbor node XIH.
Search from node XIH.
Visit neighbor node GUG.
Search from node GUG.
Visit neighbor node JPP.
Search from node JPP.
Visit neighbor node NNJ.
Search from node NNJ.
Visit neighbor node LUK.
Search from node LUK.
Visit neighbor node EEO.
Search from node EEO.
Visit neighbor node TPF.
Search from node TPF.
Node ISB is a root node, find a new strongly connected component: [TPF, EEO, LUK, NNJ, JPP, GUG, XIH, ISB].
So the strongly connected component containing node ISB is ",0.8888888888888888,6
connected_component,"[(WBU, MFD), (WBU, TAD), (WBU, BGK), (WBU, GZP), (MFD, TAD), (MFD, GTL), (MFD, GZP), (MFD, WBU), (TAD, DSL), (TAD, GTL), (TAD, WBU), (TAD, MFD), (BGK, GZP), (BGK, XPS), (BGK, YEV), (GZP, MFD), (GZP, TAD), (GTL, MFD), (GTL, TUE), (TUE, MFD), (DSL, GTL), (DSL, GZP), (XPS, BYX), (XPS, DSL), (XPS, GTL), (BYX, DSL), (BYX, GTL), (BYX, TUE), (BYX, XPS), (BYX, BGK), (YEV, GZP), (YEV, TUE), (OBU, BGK)]","{WBU: [MFD, TAD, BGK, GZP],
MFD: [TAD, GTL, GZP, WBU],
TAD: [DSL, GTL, WBU, MFD],
BGK: [GZP, XPS, YEV],
GZP: [MFD, TAD],
GTL: [MFD, TUE],
TUE: [MFD],
DSL: [GTL, GZP],
XPS: [BYX, DSL, GTL],
BYX: [DSL, GTL, TUE, XPS, BGK],
YEV: [GZP, TUE],
OBU: [BGK]}","Node WBU is connected to nodes MFD, TAD, BGK, GZP.
Node MFD is connected to nodes TAD, GTL, GZP, WBU.
Node TAD is connected to nodes DSL, GTL, WBU, MFD.
Node BGK is connected to nodes GZP, XPS, YEV.
Node GZP is connected to nodes MFD, TAD.
Node GTL is connected to nodes MFD, TUE.
Node TUE is connected to node MFD.
Node DSL is connected to nodes GTL, GZP.
Node XPS is connected to nodes BYX, DSL, GTL.
Node BYX is connected to nodes DSL, GTL, TUE, XPS, BGK.
Node YEV is connected to nodes GZP, TUE.
Node OBU is connected to node BGK.","[BGK, XPS, MFD, BYX, OBU, DSL, GTL, TAD, YEV, TUE, WBU, GZP]",12,33,True,Find the strongly connected component containing node OBU. ,[OBU],"Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node OBU.
Visit neighbor node BGK.
Search from node BGK.
Visit neighbor node YEV.
Search from node YEV.
Visit neighbor node TUE.
Search from node TUE.
Visit neighbor node MFD.
Search from node MFD.
Visit neighbor node WBU.
Search from node WBU.
Visit neighbor node GZP.
Search from node GZP.
Visit neighbor node TAD.
Search from node TAD.
Visit neighbor node DSL.
Search from node DSL.
Visit neighbor node GTL.
Search from node GTL.
Visit neighbor node XPS.
Search from node XPS.
Visit neighbor node BYX.
Search from node BYX.
Node BGK is a root node, find a new strongly connected component: [BYX, XPS, GTL, DSL, TAD, GZP, WBU, MFD, TUE, YEV, BGK].
Node OBU is a root node, find a new strongly connected component: [OBU].
So the strongly connected component containing node OBU is ",0.0833333333333333,7
connected_component,"[(XYM, YIO), (YIO, ROH), (YIO, AYK), (ROH, AYK), (CAV, IPY), (CAV, KSI), (IPY, IKY), (KSI, EKT), (KSI, DLS), (IKY, FVZ), (FVZ, EKT), (DLS, BGL)]","{XYM: [YIO],
YIO: [XYM, ROH, AYK],
ROH: [YIO, AYK],
AYK: [YIO, ROH],
CAV: [IPY, KSI],
IPY: [CAV, IKY],
KSI: [CAV, EKT, DLS],
IKY: [IPY, FVZ],
FVZ: [IKY, EKT],
EKT: [FVZ, KSI],
DLS: [BGL, KSI],
BGL: [DLS]}","Node XYM is connected to node YIO.
Node YIO is connected to nodes XYM, ROH, AYK.
Node ROH is connected to nodes YIO, AYK.
Node AYK is connected to nodes YIO, ROH.
Node CAV is connected to nodes IPY, KSI.
Node IPY is connected to nodes CAV, IKY.
Node KSI is connected to nodes CAV, EKT, DLS.
Node IKY is connected to nodes IPY, FVZ.
Node FVZ is connected to nodes IKY, EKT.
Node EKT is connected to nodes FVZ, KSI.
Node DLS is connected to nodes BGL, KSI.
Node BGL is connected to node DLS.","[ROH, KSI, EKT, FVZ, DLS, YIO, XYM, IKY, BGL, AYK, CAV, IPY]",12,12,False,Find the connected component containing node XYM. ,"[XYM, YIO, AYK, ROH]","Let's find the connected component step by step, and we can use Depth-First Search.
Visit node XYM, add it to the connected component. The current connected component is [XYM].
Visit node YIO, add it to the connected component. The current connected component is [XYM, YIO].
Visit node AYK, add it to the connected component. The current connected component is [XYM, YIO, AYK].
Visit node ROH, add it to the connected component. The current connected component is [XYM, YIO, AYK, ROH].
Thus, the connected component containing node XYM is ",0.3333333333333333,8
connected_component,"[(ENO, QKF), (ENO, GEK), (ENO, EVH), (ENO, JVY), (QKF, GYH), (QKF, ROD), (QKF, JVY), (GEK, FYC), (GEK, ROD), (GEK, JVY), (EVH, WKN), (EVH, JVY), (JVY, UCT), (JVY, FYC), (JVY, ROD), (JVY, XSG), (GYH, XSG), (GYH, FYC), (ROD, WKN), (ROD, UCT), (WKN, FYC), (FYC, UCT), (FYC, XSG), (XSG, UCT)]","{ENO: [QKF, GEK, EVH, JVY],
QKF: [ENO, GYH, ROD, JVY],
GEK: [ENO, FYC, ROD, JVY],
EVH: [ENO, WKN, JVY],
JVY: [ENO, QKF, EVH, UCT, FYC, ROD, XSG, GEK],
GYH: [QKF, XSG, FYC],
ROD: [QKF, WKN, UCT, GEK, JVY],
WKN: [EVH, FYC, ROD],
FYC: [WKN, GYH, UCT, XSG, GEK, JVY],
XSG: [GYH, UCT, FYC, JVY],
UCT: [FYC, ROD, XSG, JVY]}","Node ENO is connected to nodes QKF, GEK, EVH, JVY.
Node QKF is connected to nodes ENO, GYH, ROD, JVY.
Node GEK is connected to nodes ENO, FYC, ROD, JVY.
Node EVH is connected to nodes ENO, WKN, JVY.
Node JVY is connected to nodes ENO, QKF, EVH, UCT, FYC, ROD, XSG, GEK.
Node GYH is connected to nodes QKF, XSG, FYC.
Node ROD is connected to nodes QKF, WKN, UCT, GEK, JVY.
Node WKN is connected to nodes EVH, FYC, ROD.
Node FYC is connected to nodes WKN, GYH, UCT, XSG, GEK, JVY.
Node XSG is connected to nodes GYH, UCT, FYC, JVY.
Node UCT is connected to nodes FYC, ROD, XSG, JVY.","[ROD, EVH, GEK, GYH, ENO, QKF, WKN, XSG, UCT, JVY, FYC]",11,24,False,Find the connected component containing node EVH. ,"[EVH, WKN, FYC, JVY, UCT, XSG, GYH, QKF, ENO, GEK, ROD]","Let's find the connected component step by step, and we can use Depth-First Search.
Visit node EVH, add it to the connected component. The current connected component is [EVH].
Visit node WKN, add it to the connected component. The current connected component is [EVH, WKN].
Visit node FYC, add it to the connected component. The current connected component is [EVH, WKN, FYC].
Visit node JVY, add it to the connected component. The current connected component is [EVH, WKN, FYC, JVY].
Visit node UCT, add it to the connected component. The current connected component is [EVH, WKN, FYC, JVY, UCT].
Visit node XSG, add it to the connected component. The current connected component is [EVH, WKN, FYC, JVY, UCT, XSG].
Visit node GYH, add it to the connected component. The current connected component is [EVH, WKN, FYC, JVY, UCT, XSG, GYH].
Visit node QKF, add it to the connected component. The current connected component is [EVH, WKN, FYC, JVY, UCT, XSG, GYH, QKF].
Visit node ENO, add it to the connected component. The current connected component is [EVH, WKN, FYC, JVY, UCT, XSG, GYH, QKF, ENO].
Visit node GEK, add it to the connected component. The current connected component is [EVH, WKN, FYC, JVY, UCT, XSG, GYH, QKF, ENO, GEK].
Visit node ROD, add it to the connected component. The current connected component is [EVH, WKN, FYC, JVY, UCT, XSG, GYH, QKF, ENO, GEK, ROD].
Thus, the connected component containing node EVH is ",1.0,9
