task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
connectivity,"[(KCV, WGZ), (KCV, IER), (WGZ, VGS), (IER, NCY), (VGS, ZYV), (VGS, DEB), (QRJ, WSB), (QRJ, TSI), (WSB, ZYV), (TSI, PHN), (PIS, PHN), (DEB, NCY)]","{KCV: [WGZ, IER],
WGZ: [KCV, VGS],
IER: [KCV, NCY],
VGS: [WGZ, ZYV, DEB],
QRJ: [WSB, TSI],
WSB: [QRJ, ZYV],
TSI: [QRJ, PHN],
ZYV: [WSB, VGS],
PIS: [PHN],
PHN: [PIS, TSI],
DEB: [VGS, NCY],
NCY: [IER, DEB]}","Node KCV is connected to nodes WGZ, IER.
Node WGZ is connected to nodes KCV, VGS.
Node IER is connected to nodes KCV, NCY.
Node VGS is connected to nodes WGZ, ZYV, DEB.
Node QRJ is connected to nodes WSB, TSI.
Node WSB is connected to nodes QRJ, ZYV.
Node TSI is connected to nodes QRJ, PHN.
Node ZYV is connected to nodes WSB, VGS.
Node PIS is connected to node PHN.
Node PHN is connected to nodes PIS, TSI.
Node DEB is connected to nodes VGS, NCY.
Node NCY is connected to nodes IER, DEB.","[PIS, VGS, NCY, QRJ, WGZ, IER, DEB, ZYV, KCV, PHN, WSB, TSI]",12,12,False,Is there a path between node PIS and node WGZ?,Yes,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node PIS is [PIS, PHN, TSI, QRJ, WSB, ZYV, VGS, DEB, NCY, IER, KCV, WGZ].
Node WGZ is in the traversal, so the answer is ","('[Yes, No]',)",0,0
connectivity,"[(JJI, YWG), (JJI, VKG), (VKG, CDQ), (VKG, ISR), (RMQ, YWG), (QQC, GXX), (QQC, KKO), (QQC, NQS), (GXX, VZC), (KKO, BPG), (KKO, UGT), (NQS, CBO), (NQS, JJI), (NQS, RMQ), (NQS, QQC), (CDQ, UGT), (CDQ, KKO), (CDQ, VKG), (CDQ, QQC), (UGT, ISR), (UGT, JJI), (ISR, VZC), (ISR, NQS), (ISR, QQC), (VAX, JJI), (VAX, QQC), (CBO, VKG), (CBO, QQC), (CBO, NQS)]","{JJI: [YWG, VKG],
YWG: [],
VKG: [CDQ, ISR],
RMQ: [YWG],
QQC: [GXX, KKO, NQS],
GXX: [VZC],
KKO: [BPG, UGT],
NQS: [CBO, JJI, RMQ, QQC],
VZC: [],
CDQ: [UGT, KKO, VKG, QQC],
UGT: [ISR, JJI],
ISR: [VZC, NQS, QQC],
BPG: [],
VAX: [JJI, QQC],
CBO: [VKG, QQC, NQS]}","Node JJI is connected to nodes YWG, VKG.
Node VKG is connected to nodes CDQ, ISR.
Node RMQ is connected to node YWG.
Node QQC is connected to nodes GXX, KKO, NQS.
Node GXX is connected to node VZC.
Node KKO is connected to nodes BPG, UGT.
Node NQS is connected to nodes CBO, JJI, RMQ, QQC.
Node CDQ is connected to nodes UGT, KKO, VKG, QQC.
Node UGT is connected to nodes ISR, JJI.
Node ISR is connected to nodes VZC, NQS, QQC.
Node VAX is connected to nodes JJI, QQC.
Node CBO is connected to nodes VKG, QQC, NQS.","[VKG, CDQ, JJI, CBO, YWG, NQS, BPG, KKO, VAX, VZC, ISR, QQC, UGT, GXX, RMQ]",15,29,True,Is there a directed path from node YWG to node CBO?,No,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node YWG is [YWG].
Node CBO is not in the traversal, so the answer is ","('[Yes, No]',)",1,1
connectivity,"[(UDA, UQR), (UDA, GYJ), (UQR, ANI), (UQR, MIE), (UQR, IFA), (GYJ, QKV), (GYJ, SQH), (GYJ, UQR), (GYJ, ANI), (GYJ, MIE), (QKV, IFA), (QKV, GIM), (QKV, WDI), (QKV, MIE), (QKV, UDA), (IFA, GIM), (IFA, UQR), (IFA, WDI), (IFA, ANI), (IFA, QKV), (GIM, UDA), (GIM, XJW), (WDI, QKV), (WDI, RQB), (WDI, GIM), (MIE, UDA), (MIE, GIM), (RQB, XJW), (RQB, IFA), (RQB, WDI), (RQB, ANI), (RQB, GYJ), (XJW, SQH), (XJW, ANI), (XJW, MIE), (XJW, UDA), (XJW, QKV), (ANI, UDA), (ANI, SQH), (ANI, IFA), (SQH, IFA), (SQH, MIE), (SQH, GYJ), (SQH, UDA), (SQH, RQB)]","{UDA: [UQR, GYJ],
UQR: [ANI, MIE, IFA],
GYJ: [QKV, SQH, UQR, ANI, MIE],
QKV: [IFA, GIM, WDI, MIE, UDA],
IFA: [GIM, UQR, WDI, ANI, QKV],
GIM: [UDA, XJW],
WDI: [QKV, RQB, GIM],
MIE: [UDA, GIM],
RQB: [XJW, IFA, WDI, ANI, GYJ],
XJW: [SQH, ANI, MIE, UDA, QKV],
ANI: [UDA, SQH, IFA],
SQH: [IFA, MIE, GYJ, UDA, RQB]}","Node UDA is connected to nodes UQR, GYJ.
Node UQR is connected to nodes ANI, MIE, IFA.
Node GYJ is connected to nodes QKV, SQH, UQR, ANI, MIE.
Node QKV is connected to nodes IFA, GIM, WDI, MIE, UDA.
Node IFA is connected to nodes GIM, UQR, WDI, ANI, QKV.
Node GIM is connected to nodes UDA, XJW.
Node WDI is connected to nodes QKV, RQB, GIM.
Node MIE is connected to nodes UDA, GIM.
Node RQB is connected to nodes XJW, IFA, WDI, ANI, GYJ.
Node XJW is connected to nodes SQH, ANI, MIE, UDA, QKV.
Node ANI is connected to nodes UDA, SQH, IFA.
Node SQH is connected to nodes IFA, MIE, GYJ, UDA, RQB.","[IFA, ANI, QKV, GIM, RQB, GYJ, MIE, SQH, UQR, XJW, UDA, WDI]",12,45,True,Is there a directed path from node GIM to node XJW?,Yes,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node GIM is [GIM, XJW, QKV, UDA, GYJ, MIE, ANI, IFA, WDI, RQB, UQR, SQH].
Node XJW is in the traversal, so the answer is ","('[Yes, No]',)",0,2
connectivity,"[(QWM, THS), (QWM, QFW), (QWM, HHB), (THS, HHB), (THS, HGZ), (THS, QYU), (THS, QWM), (QFW, QYU), (HHB, QFW), (HGZ, QYU), (QYU, CBL), (YID, RHX), (YID, ZHS), (YID, CST), (RHX, GWK), (RHX, HGZ), (RHX, YID), (ZHS, HGZ), (ZHS, THS), (CST, QFW), (CST, HGZ)]","{QWM: [THS, QFW, HHB],
THS: [HHB, HGZ, QYU, QWM],
QFW: [QYU],
HHB: [QFW],
HGZ: [QYU],
QYU: [CBL],
YID: [RHX, ZHS, CST],
RHX: [GWK, HGZ, YID],
ZHS: [HGZ, THS],
CST: [QFW, HGZ],
GWK: [],
CBL: []}","Node QWM is connected to nodes THS, QFW, HHB.
Node THS is connected to nodes HHB, HGZ, QYU, QWM.
Node QFW is connected to node QYU.
Node HHB is connected to node QFW.
Node HGZ is connected to node QYU.
Node QYU is connected to node CBL.
Node YID is connected to nodes RHX, ZHS, CST.
Node RHX is connected to nodes GWK, HGZ, YID.
Node ZHS is connected to nodes HGZ, THS.
Node CST is connected to nodes QFW, HGZ.","[HHB, CBL, GWK, YID, QWM, ZHS, CST, HGZ, QFW, QYU, THS, RHX]",12,21,True,Is there a directed path from node THS to node ZHS?,No,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node THS is [THS, QWM, HHB, QFW, QYU, CBL, HGZ].
Node ZHS is not in the traversal, so the answer is ","('[Yes, No]',)",1,3
connectivity,"[(GZD, EYS), (GZD, HCU), (GZD, RLG), (GZD, PQS), (HCU, SFK), (RLG, LGT), (PQS, CXO), (PQS, EWH), (PQS, JHL), (SFK, GFW), (GFW, RVO), (GFW, NIO)]","{GZD: [EYS, HCU, RLG, PQS],
EYS: [GZD],
HCU: [GZD, SFK],
RLG: [GZD, LGT],
PQS: [GZD, CXO, EWH, JHL],
CXO: [PQS],
EWH: [PQS],
JHL: [PQS],
SFK: [HCU, GFW],
GFW: [SFK, RVO, NIO],
LGT: [RLG],
RVO: [GFW],
NIO: [GFW]}","Node GZD is connected to nodes EYS, HCU, RLG, PQS.
Node EYS is connected to node GZD.
Node HCU is connected to nodes GZD, SFK.
Node RLG is connected to nodes GZD, LGT.
Node PQS is connected to nodes GZD, CXO, EWH, JHL.
Node CXO is connected to node PQS.
Node EWH is connected to node PQS.
Node JHL is connected to node PQS.
Node SFK is connected to nodes HCU, GFW.
Node GFW is connected to nodes SFK, RVO, NIO.
Node LGT is connected to node RLG.
Node RVO is connected to node GFW.
Node NIO is connected to node GFW.","[GZD, NIO, RVO, PQS, EYS, CXO, EWH, LGT, JHL, GFW, SFK, RLG, HCU]",13,12,False,Is there a path between node GFW and node NIO?,Yes,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node GFW is [GFW, NIO, RVO, SFK, HCU, GZD, PQS, JHL, EWH, CXO, RLG, LGT, EYS].
Node NIO is in the traversal, so the answer is ","('[Yes, No]',)",0,4
connectivity,"[(DPN, FMJ), (DPN, TQF), (DPN, IOP), (FMJ, UPS), (FMJ, TQF), (TQF, LOQ), (TQF, UPS), (UPS, VAR), (UPS, MRP), (UPS, IOP), (VAR, MRP), (MRP, LOQ), (MRP, UPS), (KAP, DPN), (KAP, UPS), (KAP, TQF)]","{DPN: [FMJ, TQF, IOP],
FMJ: [UPS, TQF],
TQF: [LOQ, UPS],
IOP: [],
UPS: [VAR, MRP, IOP],
VAR: [MRP],
MRP: [LOQ, UPS],
LOQ: [],
KAP: [DPN, UPS, TQF]}","Node DPN is connected to nodes FMJ, TQF, IOP.
Node FMJ is connected to nodes UPS, TQF.
Node TQF is connected to nodes LOQ, UPS.
Node UPS is connected to nodes VAR, MRP, IOP.
Node VAR is connected to node MRP.
Node MRP is connected to nodes LOQ, UPS.
Node KAP is connected to nodes DPN, UPS, TQF.","[MRP, KAP, VAR, DPN, LOQ, FMJ, IOP, TQF, UPS]",9,16,True,Is there a directed path from node TQF to node DPN?,No,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node TQF is [TQF, UPS, IOP, MRP, LOQ, VAR].
Node DPN is not in the traversal, so the answer is ","('[Yes, No]',)",1,5
connectivity,"[(XNK, UKB), (XNK, KXL), (XNK, OLR), (XNK, WZC), (XNK, UXL), (XNK, EFN), (UKB, KXL), (UKB, OLR), (UKB, WZC), (UKB, TQY), (UKB, FAR), (KXL, OLR), (KXL, WZC), (KXL, MNE), (KXL, UXL), (KXL, EFN), (KXL, TQY), (KXL, FAR), (OLR, QPD), (OLR, PWC), (OLR, TQY), (WZC, QPD), (WZC, MNE), (WZC, EMI), (WZC, EFN), (WZC, TQY), (WZC, FAR), (WZC, MLN), (UXL, MNE), (UXL, PWC), (UXL, EFN), (UXL, MLN), (EFN, QPD), (EFN, MNE), (EFN, PWC), (EFN, TQY), (EFN, FAR), (TQY, MLN), (FAR, MNE), (FAR, MLN), (MNE, PWC), (QPD, MLN), (MLN, PWC), (PWC, EMI)]","{XNK: [UKB, KXL, OLR, WZC, UXL, EFN],
UKB: [XNK, KXL, OLR, WZC, TQY, FAR],
KXL: [XNK, UKB, OLR, WZC, MNE, UXL, EFN, TQY, FAR],
OLR: [XNK, UKB, KXL, QPD, PWC, TQY],
WZC: [XNK, UKB, KXL, QPD, MNE, EMI, EFN, TQY, FAR, MLN],
UXL: [XNK, KXL, MNE, PWC, EFN, MLN],
EFN: [XNK, KXL, QPD, WZC, MNE, UXL, PWC, TQY, FAR],
TQY: [UKB, KXL, OLR, WZC, EFN, MLN],
FAR: [UKB, KXL, WZC, MNE, EFN, MLN],
MNE: [KXL, WZC, UXL, PWC, EFN, FAR],
QPD: [OLR, WZC, EFN, MLN],
MLN: [QPD, WZC, UXL, PWC, TQY, FAR],
PWC: [OLR, MNE, UXL, EMI, EFN, MLN],
EMI: [WZC, PWC]}","Node XNK is connected to nodes UKB, KXL, OLR, WZC, UXL, EFN.
Node UKB is connected to nodes XNK, KXL, OLR, WZC, TQY, FAR.
Node KXL is connected to nodes XNK, UKB, OLR, WZC, MNE, UXL, EFN, TQY, FAR.
Node OLR is connected to nodes XNK, UKB, KXL, QPD, PWC, TQY.
Node WZC is connected to nodes XNK, UKB, KXL, QPD, MNE, EMI, EFN, TQY, FAR, MLN.
Node UXL is connected to nodes XNK, KXL, MNE, PWC, EFN, MLN.
Node EFN is connected to nodes XNK, KXL, QPD, WZC, MNE, UXL, PWC, TQY, FAR.
Node TQY is connected to nodes UKB, KXL, OLR, WZC, EFN, MLN.
Node FAR is connected to nodes UKB, KXL, WZC, MNE, EFN, MLN.
Node MNE is connected to nodes KXL, WZC, UXL, PWC, EFN, FAR.
Node QPD is connected to nodes OLR, WZC, EFN, MLN.
Node MLN is connected to nodes QPD, WZC, UXL, PWC, TQY, FAR.
Node PWC is connected to nodes OLR, MNE, UXL, EMI, EFN, MLN.
Node EMI is connected to nodes WZC, PWC.","[UKB, EFN, FAR, MLN, XNK, MNE, KXL, UXL, EMI, WZC, QPD, OLR, TQY, PWC]",14,44,False,Is there a path between node TQY and node KXL?,Yes,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node TQY is [TQY, MLN, FAR, EFN, PWC, EMI, WZC, MNE, UXL, KXL, OLR, QPD, UKB, XNK].
Node KXL is in the traversal, so the answer is ","('[Yes, No]',)",0,6
connectivity,"[(ZVB, QFM), (QFM, DUY), (QFM, FMS), (YJM, LJY), (LJY, DUY), (LJY, RPJ), (LJY, ORB), (FBD, SKU), (FBD, ORB), (FBD, DUY), (FBD, QFM), (SKU, RPJ), (ORB, SKU), (DUY, SKU), (DUY, LJY), (RPJ, MDX), (RPJ, ORB), (MDX, ORB), (MDX, LJY), (URK, LJY), (URK, MDX), (YDG, ZVB), (YDG, YJM), (YDG, MDX), (FMS, YDG)]","{ZVB: [QFM],
QFM: [DUY, FMS],
YJM: [LJY],
LJY: [DUY, RPJ, ORB],
FBD: [SKU, ORB, DUY, QFM],
SKU: [RPJ],
ORB: [SKU],
DUY: [SKU, LJY],
RPJ: [MDX, ORB],
MDX: [ORB, LJY],
URK: [LJY, MDX],
YDG: [ZVB, YJM, MDX],
FMS: [YDG]}","Node ZVB is connected to node QFM.
Node QFM is connected to nodes DUY, FMS.
Node YJM is connected to node LJY.
Node LJY is connected to nodes DUY, RPJ, ORB.
Node FBD is connected to nodes SKU, ORB, DUY, QFM.
Node SKU is connected to node RPJ.
Node ORB is connected to node SKU.
Node DUY is connected to nodes SKU, LJY.
Node RPJ is connected to nodes MDX, ORB.
Node MDX is connected to nodes ORB, LJY.
Node URK is connected to nodes LJY, MDX.
Node YDG is connected to nodes ZVB, YJM, MDX.
Node FMS is connected to node YDG.","[SKU, FBD, YDG, ZVB, URK, YJM, LJY, ORB, MDX, QFM, RPJ, FMS, DUY]",13,25,True,Is there a directed path from node MDX to node ZVB?,No,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node MDX is [MDX, LJY, ORB, SKU, RPJ, DUY].
Node ZVB is not in the traversal, so the answer is ","('[Yes, No]',)",1,7
connectivity,"[(BYF, PBX), (BYF, QBW), (BYF, WIN), (BYF, BQI), (BYF, AWZ), (BYF, AUJ), (BYF, EKM), (BYF, DVK), (BYF, XNW), (BYF, MVH), (PBX, XNW), (QBW, AUJ), (QBW, BQI), (QBW, ECO), (QBW, MSE), (WIN, MSE), (AWZ, MSE), (EKM, MSE), (EKM, WUW), (DVK, MSE), (XNW, ECO), (XNW, MSE), (MVH, MSE), (MSE, WUW)]","{BYF: [PBX, QBW, WIN, BQI, AWZ, AUJ, EKM, DVK, XNW, MVH],
PBX: [BYF, XNW],
QBW: [BYF, AUJ, BQI, ECO, MSE],
WIN: [BYF, MSE],
BQI: [BYF, QBW],
AWZ: [BYF, MSE],
AUJ: [BYF, QBW],
EKM: [BYF, MSE, WUW],
DVK: [BYF, MSE],
XNW: [BYF, PBX, ECO, MSE],
MVH: [BYF, MSE],
ECO: [QBW, XNW],
MSE: [QBW, XNW, DVK, WIN, EKM, MVH, WUW, AWZ],
WUW: [MSE, EKM]}","Node BYF is connected to nodes PBX, QBW, WIN, BQI, AWZ, AUJ, EKM, DVK, XNW, MVH.
Node PBX is connected to nodes BYF, XNW.
Node QBW is connected to nodes BYF, AUJ, BQI, ECO, MSE.
Node WIN is connected to nodes BYF, MSE.
Node BQI is connected to nodes BYF, QBW.
Node AWZ is connected to nodes BYF, MSE.
Node AUJ is connected to nodes BYF, QBW.
Node EKM is connected to nodes BYF, MSE, WUW.
Node DVK is connected to nodes BYF, MSE.
Node XNW is connected to nodes BYF, PBX, ECO, MSE.
Node MVH is connected to nodes BYF, MSE.
Node ECO is connected to nodes QBW, XNW.
Node MSE is connected to nodes QBW, XNW, DVK, WIN, EKM, MVH, WUW, AWZ.
Node WUW is connected to nodes MSE, EKM.","[MVH, ECO, MSE, DVK, EKM, XNW, BYF, WUW, AWZ, BQI, QBW, WIN, AUJ, PBX]",14,24,False,Is there a path between node EKM and node AWZ?,Yes,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node EKM is [EKM, WUW, MSE, AWZ, BYF, MVH, XNW, ECO, QBW, BQI, AUJ, PBX, DVK, WIN].
Node AWZ is in the traversal, so the answer is ","('[Yes, No]',)",0,8
connectivity,"[(GFC, DUP), (DUP, UWP), (DUP, LUI), (UWP, XKI), (LUI, XKI), (YRI, WNO), (YRI, QCU), (WNO, QCU)]","{GFC: [DUP],
DUP: [GFC, UWP, LUI],
UWP: [DUP, XKI],
LUI: [DUP, XKI],
XKI: [UWP, LUI],
YRI: [WNO, QCU],
WNO: [YRI, QCU],
QCU: [YRI, WNO]}","Node GFC is connected to node DUP.
Node DUP is connected to nodes GFC, UWP, LUI.
Node UWP is connected to nodes DUP, XKI.
Node LUI is connected to nodes DUP, XKI.
Node XKI is connected to nodes UWP, LUI.
Node YRI is connected to nodes WNO, QCU.
Node WNO is connected to nodes YRI, QCU.
Node QCU is connected to nodes YRI, WNO.","[WNO, DUP, UWP, YRI, GFC, XKI, LUI, QCU]",8,8,False,Is there a path between node YRI and node DUP?,No,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node YRI is [YRI, QCU, WNO].
Node DUP is not in the traversal, so the answer is ","('[Yes, No]',)",1,9
