task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
degree,"[(WTK, UON), (WTK, NDY), (WTK, BYO), (WTK, ZBD), (WTK, EAQ), (WTK, WHQ), (WTK, XKU), (BYO, LQN), (WHQ, VBT), (XKU, BIO), (XSJ, BIM), (XSJ, VBT), (VBT, TLY), (BIO, OXQ)]","{WTK: [UON, NDY, BYO, ZBD, EAQ, WHQ, XKU],
UON: [WTK],
NDY: [WTK],
BYO: [WTK, LQN],
ZBD: [WTK],
EAQ: [WTK],
WHQ: [WTK, VBT],
XKU: [WTK, BIO],
XSJ: [BIM, VBT],
BIM: [XSJ],
VBT: [XSJ, TLY, WHQ],
BIO: [OXQ, XKU],
OXQ: [BIO],
TLY: [VBT],
LQN: [BYO]}","Node WTK is connected to nodes UON, NDY, BYO, ZBD, EAQ, WHQ, XKU.
Node UON is connected to node WTK.
Node NDY is connected to node WTK.
Node BYO is connected to nodes WTK, LQN.
Node ZBD is connected to node WTK.
Node EAQ is connected to node WTK.
Node WHQ is connected to nodes WTK, VBT.
Node XKU is connected to nodes WTK, BIO.
Node XSJ is connected to nodes BIM, VBT.
Node BIM is connected to node XSJ.
Node VBT is connected to nodes XSJ, TLY, WHQ.
Node BIO is connected to nodes OXQ, XKU.
Node OXQ is connected to node BIO.
Node TLY is connected to node VBT.
Node LQN is connected to node BYO.","[XSJ, UON, BIM, WTK, ZBD, EAQ, OXQ, BYO, LQN, NDY, WHQ, VBT, BIO, TLY, XKU]",15,14,False,What is the degree of node VBT?,3,"Let's solve this problem step by step.
The neighbors of node VBT are: [XSJ, TLY, WHQ], and there are 3 neighbor nodes.
So the degree of node VBT is ","('[0, 8, 5, 3]',)",3,0
degree,"[(VHG, KTD), (VHG, XJN), (VHG, KNB), (VHG, HGR), (KTD, YQU), (XJN, VFT), (XJN, DIY), (XJN, YQU), (XJN, DBC), (XJN, DKL), (XJN, KNB), (XJN, NSZ), (XJN, XOS), (XJN, PEC), (KNB, VFT), (KNB, YQU), (KNB, XOS), (KNB, JUN), (KNB, SIQ), (KNB, NSZ), (KNB, PEC), (HGR, XOS), (VFT, JUN), (VFT, DIY), (VFT, DKL), (JUN, SIQ)]","{VHG: [KTD, XJN, KNB, HGR],
KTD: [VHG, YQU],
XJN: [VHG, VFT, DIY, YQU, DBC, DKL, KNB, NSZ, XOS, PEC],
KNB: [VHG, XJN, VFT, YQU, XOS, JUN, SIQ, NSZ, PEC],
HGR: [VHG, XOS],
YQU: [KTD, XJN, KNB],
VFT: [XJN, KNB, JUN, DIY, DKL],
DIY: [XJN, VFT],
DBC: [XJN],
DKL: [XJN, VFT],
NSZ: [XJN, KNB],
XOS: [XJN, HGR, KNB],
PEC: [XJN, KNB],
JUN: [VFT, KNB, SIQ],
SIQ: [KNB, JUN]}","Node VHG is connected to nodes KTD, XJN, KNB, HGR.
Node KTD is connected to nodes VHG, YQU.
Node XJN is connected to nodes VHG, VFT, DIY, YQU, DBC, DKL, KNB, NSZ, XOS, PEC.
Node KNB is connected to nodes VHG, XJN, VFT, YQU, XOS, JUN, SIQ, NSZ, PEC.
Node HGR is connected to nodes VHG, XOS.
Node YQU is connected to nodes KTD, XJN, KNB.
Node VFT is connected to nodes XJN, KNB, JUN, DIY, DKL.
Node DIY is connected to nodes XJN, VFT.
Node DBC is connected to node XJN.
Node DKL is connected to nodes XJN, VFT.
Node NSZ is connected to nodes XJN, KNB.
Node XOS is connected to nodes XJN, HGR, KNB.
Node PEC is connected to nodes XJN, KNB.
Node JUN is connected to nodes VFT, KNB, SIQ.
Node SIQ is connected to nodes KNB, JUN.","[NSZ, PEC, YQU, DBC, XJN, HGR, JUN, KNB, KTD, VHG, DIY, XOS, DKL, VFT, SIQ]",15,26,False,What is the degree of node DBC?,1,"Let's solve this problem step by step.
The neighbors of node DBC are: [XJN], and there are 1 neighbor nodes.
So the degree of node DBC is ","('[4, 1, 0, 6]',)",1,1
degree,"[(MWX, MTA), (MWX, UJX), (MWX, UTG), (MWX, ZFK), (MWX, RJW), (MWX, MTQ), (MTA, ZFK), (UJX, HYW), (UJX, ZFK), (UTG, URZ), (UTG, MTQ), (UTG, ZFK), (ZFK, RJW), (RJW, HYW)]","{MWX: [MTA, UJX, UTG, ZFK, RJW, MTQ],
MTA: [MWX, ZFK],
UJX: [MWX, HYW, ZFK],
UTG: [MWX, URZ, MTQ, ZFK],
ZFK: [MWX, MTA, UJX, UTG, RJW],
RJW: [MWX, HYW, ZFK],
MTQ: [MWX, UTG],
HYW: [UJX, RJW],
URZ: [UTG]}","Node MWX is connected to nodes MTA, UJX, UTG, ZFK, RJW, MTQ.
Node MTA is connected to nodes MWX, ZFK.
Node UJX is connected to nodes MWX, HYW, ZFK.
Node UTG is connected to nodes MWX, URZ, MTQ, ZFK.
Node ZFK is connected to nodes MWX, MTA, UJX, UTG, RJW.
Node RJW is connected to nodes MWX, HYW, ZFK.
Node MTQ is connected to nodes MWX, UTG.
Node HYW is connected to nodes UJX, RJW.
Node URZ is connected to node UTG.","[RJW, MTQ, UJX, UTG, MTA, HYW, ZFK, URZ, MWX]",9,14,False,What is the degree of node ZFK?,5,"Let's solve this problem step by step.
The neighbors of node ZFK are: [MWX, MTA, UJX, UTG, RJW], and there are 5 neighbor nodes.
So the degree of node ZFK is ","('[0, 5, 4, 3]',)",1,2
degree,"[(LGP, TUK), (LGP, JJQ), (LGP, SEB), (LGP, HZW), (TUK, IHJ), (TUK, YHB), (TUK, UDA), (TUK, TEH), (TUK, SEB), (TUK, HZW), (JJQ, YHB), (JJQ, UDA), (JJQ, SEB), (JJQ, MLT), (SEB, IHJ), (SEB, MLT), (HZW, TEH), (HZW, MLT), (IHJ, UDA), (IHJ, MLT), (YHB, UDA), (YHB, TEH), (YHB, MLT), (UDA, MLT), (TEH, MLT)]","{LGP: [TUK, JJQ, SEB, HZW],
TUK: [LGP, IHJ, YHB, UDA, TEH, SEB, HZW],
JJQ: [LGP, YHB, UDA, SEB, MLT],
SEB: [LGP, TUK, IHJ, JJQ, MLT],
HZW: [LGP, TUK, TEH, MLT],
IHJ: [TUK, UDA, SEB, MLT],
YHB: [TUK, UDA, TEH, JJQ, MLT],
UDA: [TUK, IHJ, YHB, JJQ, MLT],
TEH: [TUK, YHB, MLT, HZW],
MLT: [IHJ, YHB, UDA, TEH, JJQ, SEB, HZW]}","Node LGP is connected to nodes TUK, JJQ, SEB, HZW.
Node TUK is connected to nodes LGP, IHJ, YHB, UDA, TEH, SEB, HZW.
Node JJQ is connected to nodes LGP, YHB, UDA, SEB, MLT.
Node SEB is connected to nodes LGP, TUK, IHJ, JJQ, MLT.
Node HZW is connected to nodes LGP, TUK, TEH, MLT.
Node IHJ is connected to nodes TUK, UDA, SEB, MLT.
Node YHB is connected to nodes TUK, UDA, TEH, JJQ, MLT.
Node UDA is connected to nodes TUK, IHJ, YHB, JJQ, MLT.
Node TEH is connected to nodes TUK, YHB, MLT, HZW.
Node MLT is connected to nodes IHJ, YHB, UDA, TEH, JJQ, SEB, HZW.","[TUK, MLT, YHB, HZW, TEH, LGP, UDA, IHJ, SEB, JJQ]",10,25,False,What is the degree of node SEB?,5,"Let's solve this problem step by step.
The neighbors of node SEB are: [LGP, TUK, IHJ, JJQ, MLT], and there are 5 neighbor nodes.
So the degree of node SEB is ","('[8, 2, 5, 0]',)",2,3
degree,"[(HBJ, EOP), (HBJ, LAN), (HBJ, WAA), (EOP, VFG), (EOP, QOE), (EOP, HBJ), (LAN, HBJ), (LAN, HDO), (LAN, VLL), (HDO, YMV), (HDO, WAA), (HDO, WWA), (YMV, VFG), (YMV, KWI), (YMV, QOE), (YMV, HDO), (YMV, VLL), (VFG, WAA), (VFG, HBJ), (VFG, HDO), (VFG, EOP), (VFG, YMV), (QOE, HBJ), (QOE, WWA), (VLL, VFG), (VLL, WAA), (VLL, QOE), (VLL, HBJ), (VLL, HDO), (VLL, EOP), (KWI, LAN), (KWI, YKQ), (YKQ, WAA), (YKQ, HBJ), (YKQ, EOP), (YKQ, VLL), (YKQ, YMV)]","{HBJ: [EOP, LAN, WAA],
EOP: [VFG, QOE, HBJ],
LAN: [HBJ, HDO, VLL],
WAA: [],
HDO: [YMV, WAA, WWA],
YMV: [VFG, KWI, QOE, HDO, VLL],
WWA: [],
VFG: [WAA, HBJ, HDO, EOP, YMV],
QOE: [HBJ, WWA],
VLL: [VFG, WAA, QOE, HBJ, HDO, EOP],
KWI: [LAN, YKQ],
YKQ: [WAA, HBJ, EOP, VLL, YMV]}","Node HBJ is connected to nodes EOP, LAN, WAA.
Node EOP is connected to nodes VFG, QOE, HBJ.
Node LAN is connected to nodes HBJ, HDO, VLL.
Node HDO is connected to nodes YMV, WAA, WWA.
Node YMV is connected to nodes VFG, KWI, QOE, HDO, VLL.
Node VFG is connected to nodes WAA, HBJ, HDO, EOP, YMV.
Node QOE is connected to nodes HBJ, WWA.
Node VLL is connected to nodes VFG, WAA, QOE, HBJ, HDO, EOP.
Node KWI is connected to nodes LAN, YKQ.
Node YKQ is connected to nodes WAA, HBJ, EOP, VLL, YMV.","[VFG, HDO, WWA, QOE, YKQ, WAA, YMV, LAN, HBJ, VLL, EOP, KWI]",12,37,True,What is the out-degree of node VLL?,6,"Let's solve this problem step by step.
The successors of node VLL are: [VFG, WAA, QOE, HBJ, HDO, EOP], and there are 6 successor nodes.
So the degree of node VLL is ","('[2, 0, 4, 6]',)",3,4
degree,"[(KIY, WFE), (KIY, UWA), (UWA, NYZ), (UWA, KIY), (UWA, ASJ), (UWA, AZE), (ASJ, WJB), (ASJ, UNJ), (ASJ, CXI), (WJB, GSJ), (UNJ, AWQ), (UNJ, IBR), (CXI, UWA), (CXI, UNJ), (CXI, AHH), (GSJ, AZE), (GSJ, AWQ), (AWQ, GSJ), (AZE, UDX), (UDX, NYZ), (UDX, WJB), (UDX, AWQ), (AHH, AWQ), (OUV, KIY), (OUV, ASJ), (OUV, UDX)]","{KIY: [WFE, UWA],
WFE: [],
UWA: [NYZ, KIY, ASJ, AZE],
ASJ: [WJB, UNJ, CXI],
WJB: [GSJ],
UNJ: [AWQ, IBR],
CXI: [UWA, UNJ, AHH],
GSJ: [AZE, AWQ],
AWQ: [GSJ],
IBR: [],
AZE: [UDX],
UDX: [NYZ, WJB, AWQ],
AHH: [AWQ],
NYZ: [],
OUV: [KIY, ASJ, UDX]}","Node KIY is connected to nodes WFE, UWA.
Node UWA is connected to nodes NYZ, KIY, ASJ, AZE.
Node ASJ is connected to nodes WJB, UNJ, CXI.
Node WJB is connected to node GSJ.
Node UNJ is connected to nodes AWQ, IBR.
Node CXI is connected to nodes UWA, UNJ, AHH.
Node GSJ is connected to nodes AZE, AWQ.
Node AWQ is connected to node GSJ.
Node AZE is connected to node UDX.
Node UDX is connected to nodes NYZ, WJB, AWQ.
Node AHH is connected to node AWQ.
Node OUV is connected to nodes KIY, ASJ, UDX.","[CXI, UWA, IBR, OUV, AHH, KIY, NYZ, AWQ, UNJ, WJB, AZE, GSJ, UDX, WFE, ASJ]",15,26,True,What is the out-degree of node ASJ?,3,"Let's solve this problem step by step.
The successors of node ASJ are: [WJB, UNJ, CXI], and there are 3 successor nodes.
So the degree of node ASJ is ","('[3, 5, 10, 0]',)",0,5
degree,"[(USG, FAN), (FAN, EQK), (FAN, LML), (FAN, IOH), (FAN, UMF), (EQK, IMN), (LML, OGW), (LML, QKF), (LML, FAN), (LML, FJP), (LML, STU), (IOH, UMF), (IOH, EQK), (IOH, STU), (UMF, OGW), (UMF, USG), (UMF, STU), (UMF, IMN), (IMN, USG), (IMN, EQK), (IMN, STU), (IMN, LML), (FJP, LML), (FJP, IOH), (FJP, IMN), (FJP, OGW), (FJP, QKF), (FJP, USG), (OGW, USG), (QKF, EQK), (QKF, FJP), (QKF, SFX), (QKF, VGA), (QKF, IMN), (QKF, UMF), (QKF, OGW), (STU, LML), (STU, IMN), (STU, EQK), (VGA, OGW), (VGA, USG), (VGA, STU), (VGA, LML)]","{USG: [FAN],
FAN: [EQK, LML, IOH, UMF],
EQK: [IMN],
LML: [OGW, QKF, FAN, FJP, STU],
IOH: [UMF, EQK, STU],
UMF: [OGW, USG, STU, IMN],
IMN: [USG, EQK, STU, LML],
FJP: [LML, IOH, IMN, OGW, QKF, USG],
OGW: [USG],
QKF: [EQK, FJP, SFX, VGA, IMN, UMF, OGW],
STU: [LML, IMN, EQK],
VGA: [OGW, USG, STU, LML],
SFX: []}","Node USG is connected to node FAN.
Node FAN is connected to nodes EQK, LML, IOH, UMF.
Node EQK is connected to node IMN.
Node LML is connected to nodes OGW, QKF, FAN, FJP, STU.
Node IOH is connected to nodes UMF, EQK, STU.
Node UMF is connected to nodes OGW, USG, STU, IMN.
Node IMN is connected to nodes USG, EQK, STU, LML.
Node FJP is connected to nodes LML, IOH, IMN, OGW, QKF, USG.
Node OGW is connected to node USG.
Node QKF is connected to nodes EQK, FJP, SFX, VGA, IMN, UMF, OGW.
Node STU is connected to nodes LML, IMN, EQK.
Node VGA is connected to nodes OGW, USG, STU, LML.","[EQK, FAN, VGA, UMF, OGW, SFX, STU, IMN, IOH, USG, QKF, LML, FJP]",13,43,True,What is the out-degree of node QKF?,7,"Let's solve this problem step by step.
The successors of node QKF are: [EQK, FJP, SFX, VGA, IMN, UMF, OGW], and there are 7 successor nodes.
So the degree of node QKF is ","('[7, 0, 5, 4]',)",0,6
degree,"[(NMU, MLW), (NMU, ITW), (NMU, KGQ), (NMU, ABN), (MLW, GAJ), (MLW, ACE), (MLW, KCW), (MLW, NTN), (MLW, WES), (MLW, WFU), (MLW, KGQ), (ITW, ACE), (ITW, ESH), (ITW, LJA), (ITW, WES), (ITW, KGQ), (KGQ, GAJ), (KGQ, KCW), (KGQ, NTN), (KGQ, WES), (KGQ, ABN), (ABN, ESH), (ABN, NTN), (ABN, LJA), (ABN, WFU), (GAJ, ACE), (GAJ, ESH), (GAJ, KCW), (GAJ, NTN), (GAJ, LJA), (ACE, NTN), (ACE, WFU), (KCW, WES), (NTN, ESH), (NTN, LJA), (WES, ESH)]","{NMU: [MLW, ITW, KGQ, ABN],
MLW: [NMU, GAJ, ACE, KCW, NTN, WES, WFU, KGQ],
ITW: [NMU, ACE, ESH, LJA, WES, KGQ],
KGQ: [NMU, MLW, GAJ, ITW, KCW, NTN, WES, ABN],
ABN: [NMU, ESH, NTN, LJA, WFU, KGQ],
GAJ: [MLW, ACE, ESH, KCW, NTN, LJA, KGQ],
ACE: [MLW, GAJ, ITW, NTN, WFU],
KCW: [MLW, GAJ, WES, KGQ],
NTN: [MLW, GAJ, ACE, ESH, LJA, KGQ, ABN],
WES: [MLW, ITW, ESH, KCW, KGQ],
WFU: [MLW, ACE, ABN],
ESH: [GAJ, ITW, NTN, WES, ABN],
LJA: [GAJ, ITW, NTN, ABN]}","Node NMU is connected to nodes MLW, ITW, KGQ, ABN.
Node MLW is connected to nodes NMU, GAJ, ACE, KCW, NTN, WES, WFU, KGQ.
Node ITW is connected to nodes NMU, ACE, ESH, LJA, WES, KGQ.
Node KGQ is connected to nodes NMU, MLW, GAJ, ITW, KCW, NTN, WES, ABN.
Node ABN is connected to nodes NMU, ESH, NTN, LJA, WFU, KGQ.
Node GAJ is connected to nodes MLW, ACE, ESH, KCW, NTN, LJA, KGQ.
Node ACE is connected to nodes MLW, GAJ, ITW, NTN, WFU.
Node KCW is connected to nodes MLW, GAJ, WES, KGQ.
Node NTN is connected to nodes MLW, GAJ, ACE, ESH, LJA, KGQ, ABN.
Node WES is connected to nodes MLW, ITW, ESH, KCW, KGQ.
Node WFU is connected to nodes MLW, ACE, ABN.
Node ESH is connected to nodes GAJ, ITW, NTN, WES, ABN.
Node LJA is connected to nodes GAJ, ITW, NTN, ABN.","[MLW, KCW, ESH, GAJ, NMU, LJA, NTN, ITW, KGQ, WES, ABN, WFU, ACE]",13,36,False,What is the degree of node WFU?,3,"Let's solve this problem step by step.
The neighbors of node WFU are: [MLW, ACE, ABN], and there are 3 neighbor nodes.
So the degree of node WFU is ","('[2, 0, 10, 3]',)",3,7
degree,"[(BHH, OSK), (BHH, TDO), (BHH, QMC), (BHH, RHF), (OSK, UHQ), (OSK, RHF), (OSK, TDO), (TDO, UHQ), (TDO, KIP), (TDO, PLN), (TDO, QMC), (QMC, TKK), (QMC, KIP), (QMC, PLN), (RHF, UHQ), (RHF, KIP), (UHQ, KIP), (KIP, TKK), (KIP, RPL), (TKK, RPL)]","{BHH: [OSK, TDO, QMC, RHF],
OSK: [BHH, UHQ, RHF, TDO],
TDO: [BHH, OSK, UHQ, KIP, PLN, QMC],
QMC: [BHH, TKK, KIP, PLN, TDO],
RHF: [BHH, OSK, UHQ, KIP],
UHQ: [OSK, KIP, RHF, TDO],
KIP: [UHQ, RHF, TKK, TDO, QMC, RPL],
TKK: [KIP, RPL, QMC],
RPL: [TKK, KIP],
PLN: [TDO, QMC]}","Node BHH is connected to nodes OSK, TDO, QMC, RHF.
Node OSK is connected to nodes BHH, UHQ, RHF, TDO.
Node TDO is connected to nodes BHH, OSK, UHQ, KIP, PLN, QMC.
Node QMC is connected to nodes BHH, TKK, KIP, PLN, TDO.
Node RHF is connected to nodes BHH, OSK, UHQ, KIP.
Node UHQ is connected to nodes OSK, KIP, RHF, TDO.
Node KIP is connected to nodes UHQ, RHF, TKK, TDO, QMC, RPL.
Node TKK is connected to nodes KIP, RPL, QMC.
Node RPL is connected to nodes TKK, KIP.
Node PLN is connected to nodes TDO, QMC.","[RHF, OSK, TDO, QMC, TKK, BHH, PLN, KIP, UHQ, RPL]",10,20,False,What is the degree of node BHH?,4,"Let's solve this problem step by step.
The neighbors of node BHH are: [OSK, TDO, QMC, RHF], and there are 4 neighbor nodes.
So the degree of node BHH is ","('[0, 7, 4, 9]',)",2,8
degree,"[(TST, XZY), (TST, HGD), (HGD, KFB), (KFB, XEW), (KFB, NYE), (KFB, JCL), (KFB, JSB), (KFB, FYA), (KFB, XUT), (KFB, QXR), (XEW, UOD), (FYA, VIN), (FYA, ONJ)]","{TST: [XZY, HGD],
XZY: [TST],
HGD: [TST, KFB],
KFB: [XEW, HGD, NYE, JCL, JSB, FYA, XUT, QXR],
XEW: [KFB, UOD],
NYE: [KFB],
JCL: [KFB],
JSB: [KFB],
FYA: [KFB, VIN, ONJ],
XUT: [KFB],
QXR: [KFB],
UOD: [XEW],
VIN: [FYA],
ONJ: [FYA]}","Node TST is connected to nodes XZY, HGD.
Node XZY is connected to node TST.
Node HGD is connected to nodes TST, KFB.
Node KFB is connected to nodes XEW, HGD, NYE, JCL, JSB, FYA, XUT, QXR.
Node XEW is connected to nodes KFB, UOD.
Node NYE is connected to node KFB.
Node JCL is connected to node KFB.
Node JSB is connected to node KFB.
Node FYA is connected to nodes KFB, VIN, ONJ.
Node XUT is connected to node KFB.
Node QXR is connected to node KFB.
Node UOD is connected to node XEW.
Node VIN is connected to node FYA.
Node ONJ is connected to node FYA.","[KFB, FYA, QXR, TST, NYE, JSB, XUT, ONJ, XEW, XZY, VIN, HGD, UOD, JCL]",14,13,False,What is the degree of node HGD?,2,"Let's solve this problem step by step.
The neighbors of node HGD are: [TST, KFB], and there are 2 neighbor nodes.
So the degree of node HGD is ","('[2, 9, 0, 3]',)",0,9
