task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
edge,"[(EVI, RFY), (EVI, MWO), (EVI, TSI), (RFY, LCE), (RFY, ROY), (MWO, LCE), (MWO, PVT), (MWO, WDN), (TSI, ODH), (LCE, PVT), (LCE, WBG), (ROY, EVI), (PVT, WBG), (ODH, WDN), (ODH, MWO), (ODH, XZG), (ODH, LCE), (WDN, TSI), (WDN, XZG), (XZG, LCE), (XZG, PVT), (GKA, WBG), (ZNZ, ROY)]","{EVI: [RFY, MWO, TSI],
RFY: [LCE, ROY],
MWO: [LCE, PVT, WDN],
TSI: [ODH],
LCE: [PVT, WBG],
ROY: [EVI],
PVT: [WBG],
WBG: [],
ODH: [WDN, MWO, XZG, LCE],
WDN: [TSI, XZG],
XZG: [LCE, PVT],
GKA: [WBG],
ZNZ: [ROY]}","Node EVI is connected to nodes RFY, MWO, TSI.
Node RFY is connected to nodes LCE, ROY.
Node MWO is connected to nodes LCE, PVT, WDN.
Node TSI is connected to node ODH.
Node LCE is connected to nodes PVT, WBG.
Node ROY is connected to node EVI.
Node PVT is connected to node WBG.
Node ODH is connected to nodes WDN, MWO, XZG, LCE.
Node WDN is connected to nodes TSI, XZG.
Node XZG is connected to nodes LCE, PVT.
Node GKA is connected to node WBG.
Node ZNZ is connected to node ROY.","[TSI, WBG, ODH, GKA, XZG, RFY, ROY, EVI, ZNZ, LCE, WDN, PVT, MWO]",13,23,True,Is there a directed edge from node MWO to node XZG?,No,"Let's do it step by step.
The successors of node MWO are: [LCE, PVT, WDN], which does not contain node XZG. So the answer is ","('[Yes, No]',)",1,0
edge,"[(MSP, VOB), (MSP, NWT), (MSP, QAC), (MSP, UWO), (MSP, MES), (VOB, VJJ), (NWT, CEI), (UWO, SHC), (MES, TTV), (VJJ, XCO), (XCO, PJQ)]","{MSP: [VOB, NWT, QAC, UWO, MES],
VOB: [MSP, VJJ],
NWT: [MSP, CEI],
QAC: [MSP],
UWO: [MSP, SHC],
MES: [MSP, TTV],
VJJ: [VOB, XCO],
XCO: [VJJ, PJQ],
PJQ: [XCO],
CEI: [NWT],
SHC: [UWO],
TTV: [MES]}","Node MSP is connected to nodes VOB, NWT, QAC, UWO, MES.
Node VOB is connected to nodes MSP, VJJ.
Node NWT is connected to nodes MSP, CEI.
Node QAC is connected to node MSP.
Node UWO is connected to nodes MSP, SHC.
Node MES is connected to nodes MSP, TTV.
Node VJJ is connected to nodes VOB, XCO.
Node XCO is connected to nodes VJJ, PJQ.
Node PJQ is connected to node XCO.
Node CEI is connected to node NWT.
Node SHC is connected to node UWO.
Node TTV is connected to node MES.","[CEI, UWO, NWT, TTV, PJQ, MES, SHC, VJJ, XCO, MSP, VOB, QAC]",12,11,False,Is there an edge between node MES and node SHC?,No,"Let's do it step by step.
The neighbors of node MES are: [MSP, TTV], which does not contain node SHC. So the answer is ","('[Yes, No]',)",1,1
edge,"[(GKD, XWO), (GKD, HBU), (GKD, QMJ), (XWO, WCE), (XWO, UKN), (XWO, GGU), (XWO, LFQ), (HBU, UKN), (HBU, MUQ), (QMJ, ZZW), (QMJ, WCE), (QMJ, LFQ), (QMJ, GGU), (WCE, ZZW), (WCE, GGU), (UKN, MUQ), (GGU, MUQ), (LFQ, MUQ), (LFQ, TEO), (MUQ, TEO), (MUQ, XDK), (TEO, ZZW), (TEO, XDK), (XDK, ZZW)]","{GKD: [XWO, HBU, QMJ],
XWO: [GKD, WCE, UKN, GGU, LFQ],
HBU: [GKD, UKN, MUQ],
QMJ: [GKD, ZZW, WCE, LFQ, GGU],
WCE: [XWO, QMJ, ZZW, GGU],
UKN: [XWO, MUQ, HBU],
GGU: [XWO, MUQ, QMJ, WCE],
LFQ: [XWO, MUQ, QMJ, TEO],
MUQ: [UKN, TEO, XDK, GGU, LFQ, HBU],
TEO: [MUQ, ZZW, LFQ, XDK],
XDK: [MUQ, ZZW, TEO],
ZZW: [QMJ, WCE, XDK, TEO]}","Node GKD is connected to nodes XWO, HBU, QMJ.
Node XWO is connected to nodes GKD, WCE, UKN, GGU, LFQ.
Node HBU is connected to nodes GKD, UKN, MUQ.
Node QMJ is connected to nodes GKD, ZZW, WCE, LFQ, GGU.
Node WCE is connected to nodes XWO, QMJ, ZZW, GGU.
Node UKN is connected to nodes XWO, MUQ, HBU.
Node GGU is connected to nodes XWO, MUQ, QMJ, WCE.
Node LFQ is connected to nodes XWO, MUQ, QMJ, TEO.
Node MUQ is connected to nodes UKN, TEO, XDK, GGU, LFQ, HBU.
Node TEO is connected to nodes MUQ, ZZW, LFQ, XDK.
Node XDK is connected to nodes MUQ, ZZW, TEO.
Node ZZW is connected to nodes QMJ, WCE, XDK, TEO.","[GGU, UKN, XWO, HBU, QMJ, WCE, LFQ, MUQ, TEO, ZZW, GKD, XDK]",12,24,False,Is there an edge between node GKD and node WCE?,No,"Let's do it step by step.
The neighbors of node GKD are: [XWO, HBU, QMJ], which does not contain node WCE. So the answer is ","('[Yes, No]',)",1,2
edge,"[(JEP, SZN), (JEP, FWK), (JEP, WIL), (JEP, RSZ), (JEP, TKF), (JEP, VSO), (JEP, GMR), (JEP, DVL), (SZN, SUB), (SZN, WIL), (SZN, RSZ), (SZN, TKF), (SZN, VSO), (SZN, GMR), (SZN, VMH), (SZN, BGK), (FWK, SUB), (FWK, CLM), (FWK, EUA), (FWK, WIL), (FWK, TKF), (FWK, VSO), (FWK, GMR), (FWK, VMH), (FWK, BGK), (WIL, CLM), (WIL, EUA), (WIL, TKF), (WIL, GMR), (WIL, BGK), (WIL, DVL), (RSZ, SUB), (RSZ, EUA), (RSZ, TKF), (RSZ, VSO), (RSZ, GMR), (RSZ, DVL), (TKF, SUB), (TKF, CLM), (TKF, EUA), (TKF, VSO), (TKF, GMR), (TKF, VMH), (TKF, BGK), (TKF, DVL), (VSO, SUB), (VSO, CLM), (VSO, EUA), (VSO, GMR), (VSO, VMH), (VSO, BGK), (VSO, DVL), (GMR, SUB), (GMR, EUA), (GMR, VMH), (GMR, BGK), (GMR, DVL), (DVL, SUB), (DVL, CLM), (DVL, VMH), (DVL, BGK), (SUB, CLM), (SUB, EUA), (SUB, BGK), (CLM, EUA), (CLM, VMH), (CLM, BGK), (EUA, VMH), (EUA, BGK), (BGK, VMH)]","{JEP: [SZN, FWK, WIL, RSZ, TKF, VSO, GMR, DVL],
SZN: [JEP, SUB, WIL, RSZ, TKF, VSO, GMR, VMH, BGK],
FWK: [JEP, SUB, CLM, EUA, WIL, TKF, VSO, GMR, VMH, BGK],
WIL: [JEP, CLM, EUA, SZN, FWK, TKF, GMR, BGK, DVL],
RSZ: [JEP, SUB, EUA, SZN, TKF, VSO, GMR, DVL],
TKF: [JEP, SUB, CLM, EUA, SZN, FWK, WIL, RSZ, VSO, GMR, VMH, BGK, DVL],
VSO: [JEP, SUB, CLM, EUA, SZN, FWK, RSZ, TKF, GMR, VMH, BGK, DVL],
GMR: [JEP, SUB, EUA, SZN, FWK, WIL, RSZ, TKF, VSO, VMH, BGK, DVL],
DVL: [JEP, SUB, CLM, WIL, RSZ, TKF, VSO, GMR, VMH, BGK],
SUB: [CLM, EUA, SZN, FWK, RSZ, TKF, VSO, GMR, BGK, DVL],
CLM: [SUB, EUA, FWK, WIL, TKF, VSO, VMH, BGK, DVL],
EUA: [SUB, CLM, FWK, WIL, RSZ, TKF, VSO, GMR, VMH, BGK],
BGK: [SUB, CLM, EUA, SZN, FWK, WIL, TKF, VSO, GMR, VMH, DVL],
VMH: [CLM, EUA, SZN, FWK, TKF, VSO, GMR, BGK, DVL]}","Node JEP is connected to nodes SZN, FWK, WIL, RSZ, TKF, VSO, GMR, DVL.
Node SZN is connected to nodes JEP, SUB, WIL, RSZ, TKF, VSO, GMR, VMH, BGK.
Node FWK is connected to nodes JEP, SUB, CLM, EUA, WIL, TKF, VSO, GMR, VMH, BGK.
Node WIL is connected to nodes JEP, CLM, EUA, SZN, FWK, TKF, GMR, BGK, DVL.
Node RSZ is connected to nodes JEP, SUB, EUA, SZN, TKF, VSO, GMR, DVL.
Node TKF is connected to nodes JEP, SUB, CLM, EUA, SZN, FWK, WIL, RSZ, VSO, GMR, VMH, BGK, DVL.
Node VSO is connected to nodes JEP, SUB, CLM, EUA, SZN, FWK, RSZ, TKF, GMR, VMH, BGK, DVL.
Node GMR is connected to nodes JEP, SUB, EUA, SZN, FWK, WIL, RSZ, TKF, VSO, VMH, BGK, DVL.
Node DVL is connected to nodes JEP, SUB, CLM, WIL, RSZ, TKF, VSO, GMR, VMH, BGK.
Node SUB is connected to nodes CLM, EUA, SZN, FWK, RSZ, TKF, VSO, GMR, BGK, DVL.
Node CLM is connected to nodes SUB, EUA, FWK, WIL, TKF, VSO, VMH, BGK, DVL.
Node EUA is connected to nodes SUB, CLM, FWK, WIL, RSZ, TKF, VSO, GMR, VMH, BGK.
Node BGK is connected to nodes SUB, CLM, EUA, SZN, FWK, WIL, TKF, VSO, GMR, VMH, DVL.
Node VMH is connected to nodes CLM, EUA, SZN, FWK, TKF, VSO, GMR, BGK, DVL.","[SUB, SZN, JEP, GMR, DVL, EUA, FWK, WIL, RSZ, VSO, TKF, CLM, VMH, BGK]",14,70,False,Is there an edge between node GMR and node FWK?,Yes,"Let's do it step by step.
The neighbors of node GMR are: [JEP, SUB, EUA, SZN, FWK, WIL, RSZ, TKF, VSO, VMH, BGK, DVL], which contains node FWK. So the answer is ","('[Yes, No]',)",0,3
edge,"[(NAY, YVU), (NAY, PJQ), (YVU, PBU), (PJQ, ZRX), (PBU, ZTF), (PBU, OVK), (ZRX, CWC), (CWC, WXB), (WXB, KNZ), (KNZ, EDE), (EDE, ZTF)]","{NAY: [YVU, PJQ],
YVU: [NAY, PBU],
PJQ: [NAY, ZRX],
PBU: [YVU, ZTF, OVK],
ZRX: [PJQ, CWC],
CWC: [ZRX, WXB],
WXB: [KNZ, CWC],
KNZ: [WXB, EDE],
EDE: [KNZ, ZTF],
ZTF: [EDE, PBU],
OVK: [PBU]}","Node NAY is connected to nodes YVU, PJQ.
Node YVU is connected to nodes NAY, PBU.
Node PJQ is connected to nodes NAY, ZRX.
Node PBU is connected to nodes YVU, ZTF, OVK.
Node ZRX is connected to nodes PJQ, CWC.
Node CWC is connected to nodes ZRX, WXB.
Node WXB is connected to nodes KNZ, CWC.
Node KNZ is connected to nodes WXB, EDE.
Node EDE is connected to nodes KNZ, ZTF.
Node ZTF is connected to nodes EDE, PBU.
Node OVK is connected to node PBU.","[EDE, ZRX, YVU, NAY, OVK, PBU, KNZ, CWC, WXB, PJQ, ZTF]",11,11,False,Is there an edge between node ZTF and node CWC?,No,"Let's do it step by step.
The neighbors of node ZTF are: [EDE, PBU], which does not contain node CWC. So the answer is ","('[Yes, No]',)",1,4
edge,"[(HAO, TFT), (HAO, LBT), (HAO, BSF), (TFT, LBT), (TFT, BSF), (TFT, SYM), (LBT, ITZ), (BSF, LBT), (SYM, BSF), (ITZ, GQE), (ZIC, ITZ), (GQE, ITZ), (GQE, SYM), (GQE, ZIC)]","{HAO: [TFT, LBT, BSF],
TFT: [LBT, BSF, SYM],
LBT: [ITZ],
BSF: [LBT],
SYM: [BSF],
ITZ: [GQE],
ZIC: [ITZ],
GQE: [ITZ, SYM, ZIC]}","Node HAO is connected to nodes TFT, LBT, BSF.
Node TFT is connected to nodes LBT, BSF, SYM.
Node LBT is connected to node ITZ.
Node BSF is connected to node LBT.
Node SYM is connected to node BSF.
Node ITZ is connected to node GQE.
Node ZIC is connected to node ITZ.
Node GQE is connected to nodes ITZ, SYM, ZIC.","[GQE, TFT, HAO, ITZ, LBT, SYM, ZIC, BSF]",8,14,True,Is there a directed edge from node LBT to node ITZ?,Yes,"Let's do it step by step.
The successors of node LBT are: [ITZ], which contains node ITZ. So the answer is ","('[Yes, No]',)",0,5
edge,"[(QPF, HKG), (HKG, DSI), (HKG, LOA), (HKG, ELX), (HKG, QPF), (XOL, HKG), (XOL, HJN), (XOL, DSI), (XOL, LWO), (HJN, DSI), (HJN, LWO), (HJN, LOA), (HJN, XOL), (HJN, HKG), (HJN, ELQ), (DSI, LWO), (DSI, LOA), (DSI, QPF), (DSI, HJN), (LWO, LOA), (LWO, QPF), (LWO, ELQ), (LOA, HJN), (ELX, ELQ), (ELQ, LOA), (ELQ, ELX), (ELQ, VOX), (ELQ, XOL), (ELQ, HKG), (VOX, QPF), (VOX, XOL), (VOX, ELQ), (VOX, DSI), (VOX, LOA), (VOX, ELX)]","{QPF: [HKG],
HKG: [DSI, LOA, ELX, QPF],
XOL: [HKG, HJN, DSI, LWO],
HJN: [DSI, LWO, LOA, XOL, HKG, ELQ],
DSI: [LWO, LOA, QPF, HJN],
LWO: [LOA, QPF, ELQ],
LOA: [HJN],
ELX: [ELQ],
ELQ: [LOA, ELX, VOX, XOL, HKG],
VOX: [QPF, XOL, ELQ, DSI, LOA, ELX]}","Node QPF is connected to node HKG.
Node HKG is connected to nodes DSI, LOA, ELX, QPF.
Node XOL is connected to nodes HKG, HJN, DSI, LWO.
Node HJN is connected to nodes DSI, LWO, LOA, XOL, HKG, ELQ.
Node DSI is connected to nodes LWO, LOA, QPF, HJN.
Node LWO is connected to nodes LOA, QPF, ELQ.
Node LOA is connected to node HJN.
Node ELX is connected to node ELQ.
Node ELQ is connected to nodes LOA, ELX, VOX, XOL, HKG.
Node VOX is connected to nodes QPF, XOL, ELQ, DSI, LOA, ELX.","[XOL, LOA, QPF, ELQ, HKG, ELX, HJN, DSI, LWO, VOX]",10,35,True,Is there a directed edge from node VOX to node ELX?,Yes,"Let's do it step by step.
The successors of node VOX are: [QPF, XOL, ELQ, DSI, LOA, ELX], which contains node ELX. So the answer is ","('[Yes, No]',)",0,6
edge,"[(QUG, QGH), (QUG, VVW), (VVW, FHX), (VVW, GWT), (VVW, VPX), (VVW, XMF), (VVW, QAB), (VVW, KAW), (VVW, TUY), (VVW, GFN), (KAW, XQN), (KAW, KOZ), (KAW, EIT), (KOZ, ZNI)]","{QUG: [QGH, VVW],
QGH: [QUG],
VVW: [QUG, FHX, GWT, VPX, XMF, QAB, KAW, TUY, GFN],
FHX: [VVW],
GWT: [VVW],
VPX: [VVW],
XMF: [VVW],
QAB: [VVW],
KAW: [VVW, XQN, KOZ, EIT],
TUY: [VVW],
GFN: [VVW],
XQN: [KAW],
KOZ: [KAW, ZNI],
EIT: [KAW],
ZNI: [KOZ]}","Node QUG is connected to nodes QGH, VVW.
Node QGH is connected to node QUG.
Node VVW is connected to nodes QUG, FHX, GWT, VPX, XMF, QAB, KAW, TUY, GFN.
Node FHX is connected to node VVW.
Node GWT is connected to node VVW.
Node VPX is connected to node VVW.
Node XMF is connected to node VVW.
Node QAB is connected to node VVW.
Node KAW is connected to nodes VVW, XQN, KOZ, EIT.
Node TUY is connected to node VVW.
Node GFN is connected to node VVW.
Node XQN is connected to node KAW.
Node KOZ is connected to nodes KAW, ZNI.
Node EIT is connected to node KAW.
Node ZNI is connected to node KOZ.","[VVW, QAB, TUY, KOZ, VPX, GFN, QGH, KAW, GWT, ZNI, XQN, QUG, EIT, FHX, XMF]",15,14,False,Is there an edge between node FHX and node GFN?,No,"Let's do it step by step.
The neighbors of node FHX are: [VVW], which does not contain node GFN. So the answer is ","('[Yes, No]',)",1,7
edge,"[(KOC, GRT), (KOC, QHZ), (KOC, MGD), (GRT, QJP), (GRT, TYV), (GRT, RUL), (GRT, NCP), (GRT, MGD), (QHZ, MGD), (MGD, NCP), (MGD, RUL), (MGD, ZCP), (QJP, NCP), (QJP, TYV), (QJP, SXZ), (RUL, XPI), (NCP, XPI), (SXZ, XPI)]","{KOC: [GRT, QHZ, MGD],
GRT: [KOC, QJP, TYV, RUL, NCP, MGD],
QHZ: [KOC, MGD],
MGD: [KOC, GRT, NCP, RUL, ZCP, QHZ],
QJP: [GRT, NCP, TYV, SXZ],
TYV: [GRT, QJP],
RUL: [GRT, MGD, XPI],
NCP: [GRT, QJP, MGD, XPI],
SXZ: [QJP, XPI],
XPI: [NCP, RUL, SXZ],
ZCP: [MGD]}","Node KOC is connected to nodes GRT, QHZ, MGD.
Node GRT is connected to nodes KOC, QJP, TYV, RUL, NCP, MGD.
Node QHZ is connected to nodes KOC, MGD.
Node MGD is connected to nodes KOC, GRT, NCP, RUL, ZCP, QHZ.
Node QJP is connected to nodes GRT, NCP, TYV, SXZ.
Node TYV is connected to nodes GRT, QJP.
Node RUL is connected to nodes GRT, MGD, XPI.
Node NCP is connected to nodes GRT, QJP, MGD, XPI.
Node SXZ is connected to nodes QJP, XPI.
Node XPI is connected to nodes NCP, RUL, SXZ.
Node ZCP is connected to node MGD.","[GRT, XPI, NCP, QHZ, MGD, RUL, QJP, ZCP, TYV, KOC, SXZ]",11,18,False,Is there an edge between node ZCP and node KOC?,No,"Let's do it step by step.
The neighbors of node ZCP are: [MGD], which does not contain node KOC. So the answer is ","('[Yes, No]',)",1,8
edge,"[(UNR, JLN), (UNR, LIA), (UNR, GOR), (UNR, ZBT), (UNR, YQQ), (JLN, EZU), (JLN, ZBT), (JLN, YQQ), (JLN, KIS), (LIA, EZU), (LIA, GOR), (LIA, ZBT), (LIA, YQQ), (LIA, SIX), (LIA, KIS), (GOR, EZU), (GOR, ZBT), (GOR, YQQ), (GOR, SIX), (GOR, KIS), (ZBT, EZU), (ZBT, YQQ), (ZBT, SIX), (ZBT, KIS), (YQQ, KIS), (EZU, SIX), (EZU, KIS)]","{UNR: [JLN, LIA, GOR, ZBT, YQQ],
JLN: [UNR, EZU, ZBT, YQQ, KIS],
LIA: [UNR, EZU, GOR, ZBT, YQQ, SIX, KIS],
GOR: [UNR, EZU, LIA, ZBT, YQQ, SIX, KIS],
ZBT: [UNR, JLN, EZU, LIA, GOR, YQQ, SIX, KIS],
YQQ: [UNR, JLN, LIA, GOR, ZBT, KIS],
EZU: [JLN, LIA, GOR, ZBT, SIX, KIS],
KIS: [JLN, EZU, LIA, GOR, ZBT, YQQ],
SIX: [EZU, LIA, GOR, ZBT]}","Node UNR is connected to nodes JLN, LIA, GOR, ZBT, YQQ.
Node JLN is connected to nodes UNR, EZU, ZBT, YQQ, KIS.
Node LIA is connected to nodes UNR, EZU, GOR, ZBT, YQQ, SIX, KIS.
Node GOR is connected to nodes UNR, EZU, LIA, ZBT, YQQ, SIX, KIS.
Node ZBT is connected to nodes UNR, JLN, EZU, LIA, GOR, YQQ, SIX, KIS.
Node YQQ is connected to nodes UNR, JLN, LIA, GOR, ZBT, KIS.
Node EZU is connected to nodes JLN, LIA, GOR, ZBT, SIX, KIS.
Node KIS is connected to nodes JLN, EZU, LIA, GOR, ZBT, YQQ.
Node SIX is connected to nodes EZU, LIA, GOR, ZBT.","[LIA, SIX, GOR, JLN, UNR, EZU, YQQ, ZBT, KIS]",9,27,False,Is there an edge between node KIS and node LIA?,Yes,"Let's do it step by step.
The neighbors of node KIS are: [JLN, EZU, LIA, GOR, ZBT, YQQ], which contains node LIA. So the answer is ","('[Yes, No]',)",0,9
