task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,id
hamiltonian_path,"[(SKJ, OFQ), (SKJ, YEW), (SKJ, IGO), (OFQ, NZQ), (YEW, IGO), (YEW, JTM), (IGO, IFI), (IGO, JTM), (IGO, UWH), (IFI, UWH), (JTM, UWH)]","{SKJ: [OFQ, YEW, IGO],
OFQ: [SKJ, NZQ],
YEW: [SKJ, IGO, JTM],
IGO: [SKJ, IFI, JTM, UWH, YEW],
NZQ: [OFQ],
IFI: [IGO, UWH],
JTM: [IGO, YEW, UWH],
UWH: [IGO, IFI, JTM]}","Node SKJ is connected to nodes OFQ, YEW, IGO.
Node OFQ is connected to nodes SKJ, NZQ.
Node YEW is connected to nodes SKJ, IGO, JTM.
Node IGO is connected to nodes SKJ, IFI, JTM, UWH, YEW.
Node NZQ is connected to node OFQ.
Node IFI is connected to nodes IGO, UWH.
Node JTM is connected to nodes IGO, YEW, UWH.
Node UWH is connected to nodes IGO, IFI, JTM.","[UWH, JTM, YEW, IGO, OFQ, NZQ, IFI, SKJ]",8,11,False,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[IGO, IFI, UWH, JTM, YEW, SKJ, OFQ, NZQ]",0
hamiltonian_path,"[(YVO, XUR), (YVO, GKX), (YVO, IJR), (YVO, DPV), (XUR, LIQ), (XUR, DPV), (XUR, PDH), (GKX, NUQ), (GKX, GVQ), (IJR, XQL), (IJR, XUR), (DPV, DBC), (DPV, XUR), (LIQ, XUR), (LIQ, XQL), (LIQ, GVQ), (LIQ, DPV), (PDH, HPZ), (PDH, GVQ), (NUQ, YVO), (NUQ, GKX), (NUQ, DPV), (NUQ, HEB), (NUQ, XQL), (NUQ, IJR), (HEB, BAT), (HEB, YVO), (HEB, GVQ), (XQL, GKX), (XQL, PDH), (XQL, HPZ), (XQL, LIQ), (XQL, HEB), (XQL, YVO), (HPZ, HEB), (HPZ, LIQ), (HPZ, IJR), (HPZ, XUR), (BAT, PDH), (BAT, GKX), (BAT, HPZ), (GVQ, XUR), (GVQ, HEB), (DBC, YVO), (DBC, XQL), (DBC, PDH), (DBC, HPZ)]","{YVO: [XUR, GKX, IJR, DPV],
XUR: [LIQ, DPV, PDH],
GKX: [NUQ, GVQ],
IJR: [XQL, XUR],
DPV: [DBC, XUR],
LIQ: [XUR, XQL, GVQ, DPV],
PDH: [HPZ, GVQ],
NUQ: [YVO, GKX, DPV, HEB, XQL, IJR],
HEB: [BAT, YVO, GVQ],
XQL: [GKX, PDH, HPZ, LIQ, HEB, YVO],
HPZ: [HEB, LIQ, IJR, XUR],
BAT: [PDH, GKX, HPZ],
GVQ: [XUR, HEB],
DBC: [YVO, XQL, PDH, HPZ]}","Node YVO is connected to nodes XUR, GKX, IJR, DPV.
Node XUR is connected to nodes LIQ, DPV, PDH.
Node GKX is connected to nodes NUQ, GVQ.
Node IJR is connected to nodes XQL, XUR.
Node DPV is connected to nodes DBC, XUR.
Node LIQ is connected to nodes XUR, XQL, GVQ, DPV.
Node PDH is connected to nodes HPZ, GVQ.
Node NUQ is connected to nodes YVO, GKX, DPV, HEB, XQL, IJR.
Node HEB is connected to nodes BAT, YVO, GVQ.
Node XQL is connected to nodes GKX, PDH, HPZ, LIQ, HEB, YVO.
Node HPZ is connected to nodes HEB, LIQ, IJR, XUR.
Node BAT is connected to nodes PDH, GKX, HPZ.
Node GVQ is connected to nodes XUR, HEB.
Node DBC is connected to nodes YVO, XQL, PDH, HPZ.","[LIQ, PDH, BAT, DPV, YVO, GVQ, GKX, XQL, DBC, NUQ, HPZ, IJR, HEB, XUR]",14,47,True,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[DBC, HPZ, LIQ, XQL, YVO, IJR, XUR, PDH, GVQ, HEB, BAT, GKX, NUQ, DPV]",1
hamiltonian_path,"[(RHX, AYE), (RHX, TIA), (RHX, OGF), (RHX, SYK), (AYE, TIA), (AYE, RZJ), (AYE, OGF), (TIA, RHX), (TIA, DJQ), (TIA, OGF), (OGF, HUT), (OGF, CPQ), (OGF, RZJ), (OGF, AYE), (OGF, MOX), (OGF, DJQ), (OGF, TJF), (OGF, RHX), (SYK, RHX), (SYK, MOX), (SYK, HEP), (SYK, OGF), (SYK, CPQ), (RZJ, VTE), (RZJ, EGR), (RZJ, CPQ), (RZJ, TJF), (RZJ, MOX), (RZJ, TIA), (RZJ, SYK), (VTE, HEP), (VTE, OGF), (VTE, SYK), (EGR, TIA), (EGR, RZJ), (EGR, OGF), (EGR, MOX), (EGR, PRA), (EGR, VTE), (CPQ, VTE), (CPQ, DJQ), (CPQ, TIA), (CPQ, MOX), (CPQ, SYK), (CPQ, RHX), (CPQ, PRA), (TJF, CPQ), (TJF, PRA), (TJF, RHX), (TJF, DJQ), (MOX, HUT), (MOX, TJF), (MOX, OGF), (MOX, DJQ), (MOX, AYE), (MOX, HEP), (HEP, EGR), (HEP, PRA), (HEP, TIA), (HEP, RZJ), (HEP, OGF), (HUT, EGR), (HUT, AYE), (HUT, OGF), (HUT, TIA), (HUT, VTE), (DJQ, TJF), (DJQ, EGR), (PRA, TIA), (PRA, DJQ), (PRA, HUT), (PRA, SYK)]","{RHX: [AYE, TIA, OGF, SYK],
AYE: [TIA, RZJ, OGF],
TIA: [RHX, DJQ, OGF],
OGF: [HUT, CPQ, RZJ, AYE, MOX, DJQ, TJF, RHX],
SYK: [RHX, MOX, HEP, OGF, CPQ],
RZJ: [VTE, EGR, CPQ, TJF, MOX, TIA, SYK],
VTE: [HEP, OGF, SYK],
EGR: [TIA, RZJ, OGF, MOX, PRA, VTE],
CPQ: [VTE, DJQ, TIA, MOX, SYK, RHX, PRA],
TJF: [CPQ, PRA, RHX, DJQ],
MOX: [HUT, TJF, OGF, DJQ, AYE, HEP],
HEP: [EGR, PRA, TIA, RZJ, OGF],
HUT: [EGR, AYE, OGF, TIA, VTE],
DJQ: [TJF, EGR],
PRA: [TIA, DJQ, HUT, SYK]}","Node RHX is connected to nodes AYE, TIA, OGF, SYK.
Node AYE is connected to nodes TIA, RZJ, OGF.
Node TIA is connected to nodes RHX, DJQ, OGF.
Node OGF is connected to nodes HUT, CPQ, RZJ, AYE, MOX, DJQ, TJF, RHX.
Node SYK is connected to nodes RHX, MOX, HEP, OGF, CPQ.
Node RZJ is connected to nodes VTE, EGR, CPQ, TJF, MOX, TIA, SYK.
Node VTE is connected to nodes HEP, OGF, SYK.
Node EGR is connected to nodes TIA, RZJ, OGF, MOX, PRA, VTE.
Node CPQ is connected to nodes VTE, DJQ, TIA, MOX, SYK, RHX, PRA.
Node TJF is connected to nodes CPQ, PRA, RHX, DJQ.
Node MOX is connected to nodes HUT, TJF, OGF, DJQ, AYE, HEP.
Node HEP is connected to nodes EGR, PRA, TIA, RZJ, OGF.
Node HUT is connected to nodes EGR, AYE, OGF, TIA, VTE.
Node DJQ is connected to nodes TJF, EGR.
Node PRA is connected to nodes TIA, DJQ, HUT, SYK.","[RZJ, AYE, EGR, RHX, MOX, DJQ, TJF, VTE, HUT, OGF, HEP, PRA, CPQ, SYK, TIA]",15,72,True,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[PRA, DJQ, TJF, RHX, AYE, TIA, OGF, HUT, VTE, SYK, CPQ, MOX, HEP, RZJ, EGR]",2
hamiltonian_path,"[(FSR, IVC), (FSR, SIU), (FSR, UKY), (IVC, LDP), (IVC, YCC), (SIU, GCR), (SIU, IFR), (UKY, YCC), (UKY, LDP), (UKY, OUM), (UKY, LOL), (UKY, GCR), (UKY, JJJ), (LDP, GCR), (LDP, YVM), (YCC, FJB), (YCC, LOL), (FJB, IFR), (LOL, YVM), (OUM, OSV), (OUM, YVM), (GCR, JJJ), (GCR, YVM), (JJJ, OSV), (YVM, IFR), (IFR, OSV)]","{FSR: [IVC, SIU, UKY],
IVC: [FSR, LDP, YCC],
SIU: [FSR, GCR, IFR],
UKY: [FSR, YCC, LDP, OUM, LOL, GCR, JJJ],
LDP: [IVC, UKY, GCR, YVM],
YCC: [IVC, UKY, FJB, LOL],
FJB: [YCC, IFR],
LOL: [YCC, UKY, YVM],
OUM: [UKY, OSV, YVM],
GCR: [UKY, SIU, LDP, JJJ, YVM],
JJJ: [UKY, GCR, OSV],
YVM: [GCR, IFR, LDP, OUM, LOL],
IFR: [SIU, FJB, YVM, OSV],
OSV: [IFR, OUM, JJJ]}","Node FSR is connected to nodes IVC, SIU, UKY.
Node IVC is connected to nodes FSR, LDP, YCC.
Node SIU is connected to nodes FSR, GCR, IFR.
Node UKY is connected to nodes FSR, YCC, LDP, OUM, LOL, GCR, JJJ.
Node LDP is connected to nodes IVC, UKY, GCR, YVM.
Node YCC is connected to nodes IVC, UKY, FJB, LOL.
Node FJB is connected to nodes YCC, IFR.
Node LOL is connected to nodes YCC, UKY, YVM.
Node OUM is connected to nodes UKY, OSV, YVM.
Node GCR is connected to nodes UKY, SIU, LDP, JJJ, YVM.
Node JJJ is connected to nodes UKY, GCR, OSV.
Node YVM is connected to nodes GCR, IFR, LDP, OUM, LOL.
Node IFR is connected to nodes SIU, FJB, YVM, OSV.
Node OSV is connected to nodes IFR, OUM, JJJ.","[IVC, JJJ, FJB, SIU, GCR, YCC, YVM, UKY, LDP, LOL, IFR, OSV, OUM, FSR]",14,26,False,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[FJB, YCC, LOL, UKY, JJJ, GCR, SIU, FSR, IVC, LDP, YVM, OUM, OSV, IFR]",3
hamiltonian_path,"[(EZE, SSO), (EZE, FMO), (EZE, AYY), (EZE, DYK), (EZE, JJK), (SSO, WFU), (SSO, FRR), (SSO, IIB), (FMO, JJK), (FMO, IIB), (AYY, JJK), (AYY, FRR), (AYY, CAH), (DYK, WFU), (DYK, RZN), (DYK, JNB), (JJK, WFU), (JJK, RZN), (JJK, TXC), (JJK, XNG), (IIB, CNC), (IIB, CAH), (TXC, CNC), (TXC, JNB), (XNG, CNC), (CAH, JNB)]","{EZE: [SSO, FMO, AYY, DYK, JJK],
SSO: [EZE, WFU, FRR, IIB],
FMO: [EZE, JJK, IIB],
AYY: [EZE, JJK, FRR, CAH],
DYK: [EZE, WFU, RZN, JNB],
JJK: [EZE, WFU, RZN, FMO, AYY, TXC, XNG],
WFU: [SSO, JJK, DYK],
FRR: [SSO, AYY],
IIB: [SSO, FMO, CNC, CAH],
RZN: [JJK, DYK],
TXC: [JJK, CNC, JNB],
XNG: [JJK, CNC],
CNC: [XNG, IIB, TXC],
CAH: [AYY, JNB, IIB],
JNB: [CAH, TXC, DYK]}","Node EZE is connected to nodes SSO, FMO, AYY, DYK, JJK.
Node SSO is connected to nodes EZE, WFU, FRR, IIB.
Node FMO is connected to nodes EZE, JJK, IIB.
Node AYY is connected to nodes EZE, JJK, FRR, CAH.
Node DYK is connected to nodes EZE, WFU, RZN, JNB.
Node JJK is connected to nodes EZE, WFU, RZN, FMO, AYY, TXC, XNG.
Node WFU is connected to nodes SSO, JJK, DYK.
Node FRR is connected to nodes SSO, AYY.
Node IIB is connected to nodes SSO, FMO, CNC, CAH.
Node RZN is connected to nodes JJK, DYK.
Node TXC is connected to nodes JJK, CNC, JNB.
Node XNG is connected to nodes JJK, CNC.
Node CNC is connected to nodes XNG, IIB, TXC.
Node CAH is connected to nodes AYY, JNB, IIB.
Node JNB is connected to nodes CAH, TXC, DYK.","[CAH, TXC, CNC, RZN, EZE, SSO, AYY, XNG, DYK, WFU, IIB, FMO, JNB, FRR, JJK]",15,26,False,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[WFU, JJK, RZN, DYK, EZE, FMO, IIB, SSO, FRR, AYY, CAH, JNB, TXC, CNC, XNG]",4
hamiltonian_path,"[(TNZ, GHS), (TNZ, IIW), (TNZ, KYS), (GHS, ULI), (IIW, UTO), (IIW, EKS), (IIW, KYS), (IIW, LHM), (KYS, YIH), (ULI, PON), (UTO, EKS), (UTO, PON), (EKS, FDM), (FDM, YIH), (FDM, XOP), (YIH, YJP), (YJP, XOP), (XOP, SNH)]","{TNZ: [GHS, IIW, KYS],
GHS: [TNZ, ULI],
IIW: [TNZ, UTO, EKS, KYS, LHM],
KYS: [TNZ, YIH, IIW],
ULI: [GHS, PON],
UTO: [EKS, IIW, PON],
EKS: [UTO, IIW, FDM],
PON: [UTO, ULI],
FDM: [EKS, YIH, XOP],
YIH: [YJP, KYS, FDM],
YJP: [YIH, XOP],
XOP: [YJP, SNH, FDM],
LHM: [IIW],
SNH: [XOP]}","Node TNZ is connected to nodes GHS, IIW, KYS.
Node GHS is connected to nodes TNZ, ULI.
Node IIW is connected to nodes TNZ, UTO, EKS, KYS, LHM.
Node KYS is connected to nodes TNZ, YIH, IIW.
Node ULI is connected to nodes GHS, PON.
Node UTO is connected to nodes EKS, IIW, PON.
Node EKS is connected to nodes UTO, IIW, FDM.
Node PON is connected to nodes UTO, ULI.
Node FDM is connected to nodes EKS, YIH, XOP.
Node YIH is connected to nodes YJP, KYS, FDM.
Node YJP is connected to nodes YIH, XOP.
Node XOP is connected to nodes YJP, SNH, FDM.
Node LHM is connected to node IIW.
Node SNH is connected to node XOP.","[YIH, SNH, XOP, ULI, GHS, EKS, IIW, TNZ, FDM, KYS, UTO, PON, YJP, LHM]",14,18,False,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[LHM, IIW, KYS, TNZ, GHS, ULI, PON, UTO, EKS, FDM, YIH, YJP, XOP, SNH]",5
hamiltonian_path,"[(TAG, VOJ), (TAG, MTD), (TAG, QVP), (VOJ, OLX), (MTD, PWD), (MTD, SXK), (QVP, CAJ), (QVP, BYS), (QVP, SXK), (OLX, MTD), (OLX, BYS), (OLX, TAG), (BYS, PWD), (PWD, MTD), (PWD, SXK), (PWD, OLX), (SXK, VOJ), (SXK, MTD), (CAJ, MTD), (CAJ, OLX)]","{TAG: [VOJ, MTD, QVP],
VOJ: [OLX],
MTD: [PWD, SXK],
QVP: [CAJ, BYS, SXK],
OLX: [MTD, BYS, TAG],
BYS: [PWD],
PWD: [MTD, SXK, OLX],
SXK: [VOJ, MTD],
CAJ: [MTD, OLX]}","Node TAG is connected to nodes VOJ, MTD, QVP.
Node VOJ is connected to node OLX.
Node MTD is connected to nodes PWD, SXK.
Node QVP is connected to nodes CAJ, BYS, SXK.
Node OLX is connected to nodes MTD, BYS, TAG.
Node BYS is connected to node PWD.
Node PWD is connected to nodes MTD, SXK, OLX.
Node SXK is connected to nodes VOJ, MTD.
Node CAJ is connected to nodes MTD, OLX.","[SXK, BYS, CAJ, QVP, PWD, TAG, OLX, MTD, VOJ]",9,20,True,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[BYS, PWD, SXK, VOJ, OLX, TAG, QVP, CAJ, MTD]",6
hamiltonian_path,"[(ORC, YGN), (ORC, VWD), (ORC, ZLK), (ORC, CAV), (YGN, NSI), (YGN, OJP), (YGN, SGL), (YGN, LQU), (YGN, WAU), (YGN, SYF), (YGN, QLK), (YGN, CKL), (YGN, GFA), (VWD, WAU), (VWD, OJP), (VWD, CAV), (ZLK, VWD), (ZLK, WAU), (ZLK, YGN), (ZLK, CAV), (ZLK, CKL), (ZLK, ORC), (CAV, GFA), (CAV, SGL), (CAV, ZLK), (CAV, ORC), (CAV, OJP), (CAV, CKL), (CAV, QLK), (NSI, CKL), (NSI, QLK), (NSI, SYF), (NSI, SGL), (OJP, CAV), (OJP, ZLK), (OJP, VWD), (OJP, WAU), (OJP, NSI), (SGL, NSI), (SGL, ORC), (LQU, GFA), (LQU, CAV), (LQU, OJP), (WAU, GFA), (WAU, YGN), (WAU, SGL), (WAU, NSI), (SYF, LQU), (SYF, NSI), (SYF, YGN), (QLK, SYF), (QLK, SGL), (QLK, GFA), (QLK, CAV), (QLK, CKL), (QLK, OJP), (QLK, ORC), (QLK, VWD), (QLK, LQU), (QLK, WAU), (CKL, SYF), (CKL, WAU), (CKL, ZLK), (GFA, OJP), (GFA, YGN), (GFA, WAU), (GFA, SYF)]","{ORC: [YGN, VWD, ZLK, CAV],
YGN: [NSI, OJP, SGL, LQU, WAU, SYF, QLK, CKL, GFA],
VWD: [WAU, OJP, CAV],
ZLK: [VWD, WAU, YGN, CAV, CKL, ORC],
CAV: [GFA, SGL, ZLK, ORC, OJP, CKL, QLK],
NSI: [CKL, QLK, SYF, SGL],
OJP: [CAV, ZLK, VWD, WAU, NSI],
SGL: [NSI, ORC],
LQU: [GFA, CAV, OJP],
WAU: [GFA, YGN, SGL, NSI],
SYF: [LQU, NSI, YGN],
QLK: [SYF, SGL, GFA, CAV, CKL, OJP, ORC, VWD, LQU, WAU],
CKL: [SYF, WAU, ZLK],
GFA: [OJP, YGN, WAU, SYF]}","Node ORC is connected to nodes YGN, VWD, ZLK, CAV.
Node YGN is connected to nodes NSI, OJP, SGL, LQU, WAU, SYF, QLK, CKL, GFA.
Node VWD is connected to nodes WAU, OJP, CAV.
Node ZLK is connected to nodes VWD, WAU, YGN, CAV, CKL, ORC.
Node CAV is connected to nodes GFA, SGL, ZLK, ORC, OJP, CKL, QLK.
Node NSI is connected to nodes CKL, QLK, SYF, SGL.
Node OJP is connected to nodes CAV, ZLK, VWD, WAU, NSI.
Node SGL is connected to nodes NSI, ORC.
Node LQU is connected to nodes GFA, CAV, OJP.
Node WAU is connected to nodes GFA, YGN, SGL, NSI.
Node SYF is connected to nodes LQU, NSI, YGN.
Node QLK is connected to nodes SYF, SGL, GFA, CAV, CKL, OJP, ORC, VWD, LQU, WAU.
Node CKL is connected to nodes SYF, WAU, ZLK.
Node GFA is connected to nodes OJP, YGN, WAU, SYF.","[VWD, GFA, YGN, OJP, SYF, QLK, SGL, CAV, ORC, NSI, LQU, CKL, WAU, ZLK]",14,67,True,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[CKL, SYF, YGN, LQU, GFA, OJP, NSI, QLK, VWD, CAV, ORC, ZLK, WAU, SGL]",7
hamiltonian_path,"[(RWC, FZH), (RWC, ZGC), (RWC, QYI), (RWC, VOF), (FZH, ZGC), (FZH, UOG), (FZH, SIF), (ZGC, VOF), (ZGC, QYI), (ZGC, UOG), (QYI, EJG), (QYI, UOG), (VOF, EJG), (UOG, TYB), (SIF, EJG), (SIF, TYB), (EJG, TYB)]","{RWC: [FZH, ZGC, QYI, VOF],
FZH: [RWC, ZGC, UOG, SIF],
ZGC: [RWC, FZH, VOF, QYI, UOG],
QYI: [RWC, EJG, ZGC, UOG],
VOF: [RWC, EJG, ZGC],
UOG: [FZH, ZGC, QYI, TYB],
SIF: [FZH, EJG, TYB],
EJG: [VOF, QYI, SIF, TYB],
TYB: [EJG, UOG, SIF]}","Node RWC is connected to nodes FZH, ZGC, QYI, VOF.
Node FZH is connected to nodes RWC, ZGC, UOG, SIF.
Node ZGC is connected to nodes RWC, FZH, VOF, QYI, UOG.
Node QYI is connected to nodes RWC, EJG, ZGC, UOG.
Node VOF is connected to nodes RWC, EJG, ZGC.
Node UOG is connected to nodes FZH, ZGC, QYI, TYB.
Node SIF is connected to nodes FZH, EJG, TYB.
Node EJG is connected to nodes VOF, QYI, SIF, TYB.
Node TYB is connected to nodes EJG, UOG, SIF.","[TYB, UOG, FZH, QYI, RWC, SIF, ZGC, EJG, VOF]",9,17,False,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[EJG, QYI, RWC, VOF, ZGC, UOG, TYB, SIF, FZH]",8
hamiltonian_path,"[(VIN, GIU), (VIN, TJE), (VIN, MDU), (VIN, MVH), (GIU, SVA), (GIU, RZL), (TJE, SVA), (TJE, GJJ), (TJE, PRA), (TJE, EIF), (TJE, QAT), (MDU, MVH), (MDU, RWJ), (MVH, SVA), (MVH, RWJ), (MVH, RZL), (SVA, QAT), (QAT, PRA), (GJJ, RFS), (PRA, TLH), (EIF, RFS), (EIF, TLH)]","{VIN: [GIU, TJE, MDU, MVH],
GIU: [VIN, SVA, RZL],
TJE: [VIN, SVA, GJJ, PRA, EIF, QAT],
MDU: [VIN, MVH, RWJ],
MVH: [VIN, SVA, MDU, RWJ, RZL],
SVA: [GIU, MVH, QAT, TJE],
RZL: [GIU, MVH],
QAT: [SVA, TJE, PRA],
GJJ: [TJE, RFS],
PRA: [TJE, QAT, TLH],
EIF: [TJE, RFS, TLH],
RFS: [GJJ, EIF],
RWJ: [MVH, MDU],
TLH: [PRA, EIF]}","Node VIN is connected to nodes GIU, TJE, MDU, MVH.
Node GIU is connected to nodes VIN, SVA, RZL.
Node TJE is connected to nodes VIN, SVA, GJJ, PRA, EIF, QAT.
Node MDU is connected to nodes VIN, MVH, RWJ.
Node MVH is connected to nodes VIN, SVA, MDU, RWJ, RZL.
Node SVA is connected to nodes GIU, MVH, QAT, TJE.
Node RZL is connected to nodes GIU, MVH.
Node QAT is connected to nodes SVA, TJE, PRA.
Node GJJ is connected to nodes TJE, RFS.
Node PRA is connected to nodes TJE, QAT, TLH.
Node EIF is connected to nodes TJE, RFS, TLH.
Node RFS is connected to nodes GJJ, EIF.
Node RWJ is connected to nodes MVH, MDU.
Node TLH is connected to nodes PRA, EIF.","[GJJ, MVH, QAT, RWJ, RFS, TJE, TLH, GIU, MDU, PRA, SVA, VIN, RZL, EIF]",14,22,False,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[EIF, RFS, GJJ, TJE, VIN, MDU, RWJ, MVH, RZL, GIU, SVA, QAT, PRA, TLH]",9
