task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
neighbor,"[(TSM, AWI), (TSM, ZTU), (TSM, LWU), (TSM, IOJ), (TSM, UNL), (TSM, ANS), (TSM, HWM), (TSM, SFS), (AWI, ZTU), (AWI, QUK), (AWI, LWU), (AWI, BST), (AWI, IOJ), (AWI, UNL), (AWI, WLT), (AWI, ANS), (AWI, HWM), (AWI, HPG), (ZTU, QUK), (ZTU, LWU), (ZTU, UNL), (ZTU, ANS), (ZTU, HWM), (LWU, QUK), (LWU, WLT), (LWU, HWM), (LWU, HPG), (IOJ, BST), (IOJ, UNL), (IOJ, HWM), (IOJ, SFS), (IOJ, CEG), (UNL, QUK), (UNL, BST), (UNL, WLT), (UNL, ANS), (UNL, SFS), (UNL, HPG), (UNL, CEG), (ANS, BST), (ANS, WLT), (ANS, HWM), (ANS, SFS), (HWM, BST), (HWM, SFS), (HWM, HPG), (SFS, WLT), (SFS, HPG), (SFS, CEG), (QUK, HPG), (QUK, CEG), (BST, WLT), (BST, CEG), (WLT, CEG)]","{TSM: [AWI, ZTU, LWU, IOJ, UNL, ANS, HWM, SFS],
AWI: [TSM, ZTU, QUK, LWU, BST, IOJ, UNL, WLT, ANS, HWM, HPG],
ZTU: [TSM, AWI, QUK, LWU, UNL, ANS, HWM],
LWU: [TSM, AWI, ZTU, QUK, WLT, HWM, HPG],
IOJ: [TSM, AWI, BST, UNL, HWM, SFS, CEG],
UNL: [TSM, AWI, ZTU, QUK, BST, IOJ, WLT, ANS, SFS, HPG, CEG],
ANS: [TSM, AWI, ZTU, BST, UNL, WLT, HWM, SFS],
HWM: [TSM, AWI, ZTU, LWU, BST, IOJ, ANS, SFS, HPG],
SFS: [TSM, IOJ, UNL, WLT, ANS, HWM, HPG, CEG],
QUK: [AWI, ZTU, LWU, UNL, HPG, CEG],
BST: [AWI, IOJ, UNL, WLT, ANS, HWM, CEG],
WLT: [AWI, LWU, BST, UNL, ANS, SFS, CEG],
HPG: [AWI, QUK, LWU, UNL, HWM, SFS],
CEG: [QUK, BST, IOJ, UNL, WLT, SFS]}","Node TSM is connected to nodes AWI, ZTU, LWU, IOJ, UNL, ANS, HWM, SFS.
Node AWI is connected to nodes TSM, ZTU, QUK, LWU, BST, IOJ, UNL, WLT, ANS, HWM, HPG.
Node ZTU is connected to nodes TSM, AWI, QUK, LWU, UNL, ANS, HWM.
Node LWU is connected to nodes TSM, AWI, ZTU, QUK, WLT, HWM, HPG.
Node IOJ is connected to nodes TSM, AWI, BST, UNL, HWM, SFS, CEG.
Node UNL is connected to nodes TSM, AWI, ZTU, QUK, BST, IOJ, WLT, ANS, SFS, HPG, CEG.
Node ANS is connected to nodes TSM, AWI, ZTU, BST, UNL, WLT, HWM, SFS.
Node HWM is connected to nodes TSM, AWI, ZTU, LWU, BST, IOJ, ANS, SFS, HPG.
Node SFS is connected to nodes TSM, IOJ, UNL, WLT, ANS, HWM, HPG, CEG.
Node QUK is connected to nodes AWI, ZTU, LWU, UNL, HPG, CEG.
Node BST is connected to nodes AWI, IOJ, UNL, WLT, ANS, HWM, CEG.
Node WLT is connected to nodes AWI, LWU, BST, UNL, ANS, SFS, CEG.
Node HPG is connected to nodes AWI, QUK, LWU, UNL, HWM, SFS.
Node CEG is connected to nodes QUK, BST, IOJ, UNL, WLT, SFS.","[IOJ, HWM, SFS, QUK, TSM, CEG, ZTU, BST, HPG, AWI, UNL, ANS, LWU, WLT]",14,54,False,Which are the neighbor nodes of node AWI? ,"[TSM, ZTU, QUK, LWU, BST, IOJ, UNL, WLT, ANS, HWM, HPG]","Let's solve it step by step.
Node AWI connects to nodes [TSM, ZTU, QUK, LWU, BST, IOJ, UNL, WLT, ANS, HWM, HPG], so the neighbors of node AWI are ","('[[LWU, HWM, WLT, SFS, UNL, ZTU, BST, IOJ, TSM, HPG], [SFS, UNL, QUK, ANS, CEG], [TSM, ZTU, QUK, LWU, BST, IOJ, UNL, WLT, ANS, HWM, HPG], [BST, HPG, AWI, CEG, LWU, SFS, WLT, ZTU, IOJ, TSM, QUK, UNL, ANS]]',)",2,0
neighbor,"[(ZUB, NNF), (ZUB, VNX), (ZUB, IIC), (NNF, EUE), (VNX, AWM), (VNX, OCX), (VNX, PSD), (IIC, AWM), (IIC, VON), (IIC, VNX), (IKU, OCX), (IKU, PSD), (OCX, PSD), (OCX, KIM), (OCX, IDU), (PSD, IKU), (PSD, YAU), (YAU, VON), (VON, EUE), (EUE, IDU), (EUE, PSD), (EUE, IIC), (EUE, AWM), (IDU, PSD), (IDU, VNX), (IDU, AWM), (IDU, ZUB), (IDU, VON), (AWM, OCX), (AWM, AAU), (AAU, VNX)]","{ZUB: [NNF, VNX, IIC],
NNF: [EUE],
VNX: [AWM, OCX, PSD],
IIC: [AWM, VON, VNX],
IKU: [OCX, PSD],
OCX: [PSD, KIM, IDU],
PSD: [IKU, YAU],
YAU: [VON],
VON: [EUE],
EUE: [IDU, PSD, IIC, AWM],
IDU: [PSD, VNX, AWM, ZUB, VON],
AWM: [OCX, AAU],
KIM: [],
AAU: [VNX]}","Node ZUB is connected to nodes NNF, VNX, IIC.
Node NNF is connected to node EUE.
Node VNX is connected to nodes AWM, OCX, PSD.
Node IIC is connected to nodes AWM, VON, VNX.
Node IKU is connected to nodes OCX, PSD.
Node OCX is connected to nodes PSD, KIM, IDU.
Node PSD is connected to nodes IKU, YAU.
Node YAU is connected to node VON.
Node VON is connected to node EUE.
Node EUE is connected to nodes IDU, PSD, IIC, AWM.
Node IDU is connected to nodes PSD, VNX, AWM, ZUB, VON.
Node AWM is connected to nodes OCX, AAU.
Node AAU is connected to node VNX.","[AWM, IKU, YAU, ZUB, IIC, KIM, VON, OCX, IDU, NNF, AAU, VNX, PSD, EUE]",14,31,True,"Which are the neighbor nodes of node ZUB? In the context of a directed graph, we consider a node's successors as its neighbors. ","[NNF, VNX, IIC]","Let's solve it step by step.
Node ZUB connects to nodes [NNF, VNX, IIC], so the neighbors of node ZUB are ","('[[YAU], [NNF, VNX, IIC], [AWM, IIC, KIM, IKU, OCX, VNX, IDU], [NNF, IKU, VNX, AWM, EUE, IIC, KIM, OCX]]',)",1,1
neighbor,"[(MTJ, FYJ), (MTJ, NML), (NML, UIW), (NML, CWN), (NML, NNI), (UIW, ORW), (UIW, XLT), (CWN, CYW)]","{MTJ: [FYJ, NML],
FYJ: [MTJ],
NML: [MTJ, UIW, CWN, NNI],
UIW: [NML, ORW, XLT],
CWN: [NML, CYW],
NNI: [NML],
ORW: [UIW],
XLT: [UIW],
CYW: [CWN]}","Node MTJ is connected to nodes FYJ, NML.
Node FYJ is connected to node MTJ.
Node NML is connected to nodes MTJ, UIW, CWN, NNI.
Node UIW is connected to nodes NML, ORW, XLT.
Node CWN is connected to nodes NML, CYW.
Node NNI is connected to node NML.
Node ORW is connected to node UIW.
Node XLT is connected to node UIW.
Node CYW is connected to node CWN.","[MTJ, XLT, CWN, CYW, NML, NNI, FYJ, UIW, ORW]",9,8,False,Which are the neighbor nodes of node CWN? ,"[NML, CYW]","Let's solve it step by step.
Node CWN connects to nodes [NML, CYW], so the neighbors of node CWN are ","('[[CYW, NML, MTJ, ORW], [], [FYJ, UIW, XLT, ORW, CWN, CYW], [NML, CYW]]',)",3,2
neighbor,"[(EWT, UFV), (EWT, KBP), (UFV, LHT), (KBP, EWT), (KBP, ESA), (LHT, LHU), (LHT, UFV), (LHT, JKW), (LHT, TXY), (LHU, LHT), (JKW, EWT), (JKW, TXY), (JKW, LHT), (JKW, OMO), (DVE, KBP), (OMO, KBP), (ESA, JKW), (ESA, UFV)]","{EWT: [UFV, KBP],
UFV: [LHT],
KBP: [EWT, ESA],
LHT: [LHU, UFV, JKW, TXY],
LHU: [LHT],
JKW: [EWT, TXY, LHT, OMO],
TXY: [],
DVE: [KBP],
OMO: [KBP],
ESA: [JKW, UFV]}","Node EWT is connected to nodes UFV, KBP.
Node UFV is connected to node LHT.
Node KBP is connected to nodes EWT, ESA.
Node LHT is connected to nodes LHU, UFV, JKW, TXY.
Node LHU is connected to node LHT.
Node JKW is connected to nodes EWT, TXY, LHT, OMO.
Node DVE is connected to node KBP.
Node OMO is connected to node KBP.
Node ESA is connected to nodes JKW, UFV.","[OMO, LHT, KBP, ESA, UFV, JKW, DVE, LHU, EWT, TXY]",10,18,True,"Which are the neighbor nodes of node UFV? In the context of a directed graph, we consider a node's successors as its neighbors. ",[LHT],"Let's solve it step by step.
Node UFV connects to nodes [LHT], so the neighbors of node UFV are ","('[[], [], [LHT], []]',)",2,3
neighbor,"[(DKW, DIU), (DKW, ZUS), (DKW, QUA), (DKW, MNT), (DKW, NAN), (DIU, HKQ), (DIU, MNT), (DIU, LFW), (DIU, NAN), (ZUS, QUA), (ZUS, LFW), (ZUS, JNX), (QUA, MNT), (QUA, MXG), (QUA, LFW), (MNT, TDY), (MNT, LFW), (MNT, JNX), (MNT, NAN), (NAN, TDY), (NAN, XNL), (NAN, MXG), (NAN, LFW), (HKQ, TDY), (HKQ, JNX), (LFW, LYL), (LFW, MXG), (JNX, XNL)]","{DKW: [DIU, ZUS, QUA, MNT, NAN],
DIU: [DKW, HKQ, MNT, LFW, NAN],
ZUS: [DKW, QUA, LFW, JNX],
QUA: [DKW, ZUS, MNT, MXG, LFW],
MNT: [DKW, DIU, TDY, QUA, LFW, JNX, NAN],
NAN: [DKW, DIU, TDY, XNL, MNT, MXG, LFW],
HKQ: [DIU, TDY, JNX],
LFW: [DIU, ZUS, LYL, QUA, MNT, MXG, NAN],
JNX: [ZUS, XNL, HKQ, MNT],
LYL: [LFW],
TDY: [HKQ, MNT, NAN],
XNL: [JNX, NAN],
MXG: [QUA, LFW, NAN]}","Node DKW is connected to nodes DIU, ZUS, QUA, MNT, NAN.
Node DIU is connected to nodes DKW, HKQ, MNT, LFW, NAN.
Node ZUS is connected to nodes DKW, QUA, LFW, JNX.
Node QUA is connected to nodes DKW, ZUS, MNT, MXG, LFW.
Node MNT is connected to nodes DKW, DIU, TDY, QUA, LFW, JNX, NAN.
Node NAN is connected to nodes DKW, DIU, TDY, XNL, MNT, MXG, LFW.
Node HKQ is connected to nodes DIU, TDY, JNX.
Node LFW is connected to nodes DIU, ZUS, LYL, QUA, MNT, MXG, NAN.
Node JNX is connected to nodes ZUS, XNL, HKQ, MNT.
Node LYL is connected to node LFW.
Node TDY is connected to nodes HKQ, MNT, NAN.
Node XNL is connected to nodes JNX, NAN.
Node MXG is connected to nodes QUA, LFW, NAN.","[QUA, NAN, HKQ, MXG, LYL, MNT, XNL, DIU, LFW, TDY, JNX, ZUS, DKW]",13,28,False,Which are the neighbor nodes of node JNX? ,"[ZUS, XNL, HKQ, MNT]","Let's solve it step by step.
Node JNX connects to nodes [ZUS, XNL, HKQ, MNT], so the neighbors of node JNX are ","('[[MNT, ZUS], [ZUS, XNL, HKQ, MNT], [QUA, HKQ, LFW, JNX], [QUA, XNL]]',)",1,4
neighbor,"[(FMG, VPE), (FMG, JVG), (FMG, RDR), (FMG, JRT), (FMG, MBA), (FMG, IPF), (FMG, LLE), (FMG, SRS), (FMG, FSO), (FMG, MVG), (FMG, KQH), (FMG, FNK), (VPE, JVG), (VPE, MBA), (VPE, IPF), (VPE, LLE), (VPE, MVG), (VPE, KQH), (JVG, RDR), (JVG, JRT), (JVG, IPF), (JVG, LLE), (JVG, SRS), (JVG, FSO), (JVG, MVG), (JVG, KQH), (JVG, ZQI), (JVG, FNK), (RDR, JRT), (RDR, MBA), (RDR, UDJ), (RDR, LLE), (RDR, SRS), (RDR, FSO), (RDR, MVG), (RDR, KQH), (RDR, ZQI), (RDR, FNK), (JRT, UDJ), (JRT, IPF), (JRT, SRS), (JRT, FSO), (JRT, MVG), (JRT, KQH), (JRT, ZQI), (JRT, FNK), (MBA, UDJ), (MBA, IPF), (MBA, LLE), (MBA, SRS), (MBA, FSO), (MBA, KQH), (MBA, FNK), (IPF, UDJ), (IPF, SRS), (IPF, MVG), (IPF, KQH), (IPF, ZQI), (LLE, UDJ), (LLE, FSO), (LLE, MVG), (LLE, KQH), (LLE, ZQI), (LLE, FNK), (SRS, UDJ), (SRS, FSO), (SRS, MVG), (SRS, KQH), (SRS, ZQI), (SRS, FNK), (FSO, UDJ), (FSO, MVG), (FSO, KQH), (FSO, ZQI), (FSO, FNK), (MVG, UDJ), (MVG, KQH), (MVG, ZQI), (MVG, FNK), (KQH, UDJ), (KQH, ZQI), (KQH, FNK), (ZQI, UDJ)]","{FMG: [VPE, JVG, RDR, JRT, MBA, IPF, LLE, SRS, FSO, MVG, KQH, FNK],
VPE: [FMG, JVG, MBA, IPF, LLE, MVG, KQH],
JVG: [FMG, VPE, RDR, JRT, IPF, LLE, SRS, FSO, MVG, KQH, ZQI, FNK],
RDR: [FMG, JVG, JRT, MBA, UDJ, LLE, SRS, FSO, MVG, KQH, ZQI, FNK],
JRT: [FMG, JVG, RDR, UDJ, IPF, SRS, FSO, MVG, KQH, ZQI, FNK],
MBA: [FMG, VPE, RDR, UDJ, IPF, LLE, SRS, FSO, KQH, FNK],
IPF: [FMG, VPE, JVG, JRT, MBA, UDJ, SRS, MVG, KQH, ZQI],
LLE: [FMG, VPE, JVG, RDR, MBA, UDJ, FSO, MVG, KQH, ZQI, FNK],
SRS: [FMG, JVG, RDR, JRT, MBA, UDJ, IPF, FSO, MVG, KQH, ZQI, FNK],
FSO: [FMG, JVG, RDR, JRT, MBA, UDJ, LLE, SRS, MVG, KQH, ZQI, FNK],
MVG: [FMG, VPE, JVG, RDR, JRT, UDJ, IPF, LLE, SRS, FSO, KQH, ZQI, FNK],
KQH: [FMG, VPE, JVG, RDR, JRT, MBA, UDJ, IPF, LLE, SRS, FSO, MVG, ZQI, FNK],
FNK: [FMG, JVG, RDR, JRT, MBA, LLE, SRS, FSO, MVG, KQH],
ZQI: [JVG, RDR, JRT, UDJ, IPF, LLE, SRS, FSO, MVG, KQH],
UDJ: [RDR, JRT, MBA, IPF, LLE, SRS, FSO, MVG, KQH, ZQI]}","Node FMG is connected to nodes VPE, JVG, RDR, JRT, MBA, IPF, LLE, SRS, FSO, MVG, KQH, FNK.
Node VPE is connected to nodes FMG, JVG, MBA, IPF, LLE, MVG, KQH.
Node JVG is connected to nodes FMG, VPE, RDR, JRT, IPF, LLE, SRS, FSO, MVG, KQH, ZQI, FNK.
Node RDR is connected to nodes FMG, JVG, JRT, MBA, UDJ, LLE, SRS, FSO, MVG, KQH, ZQI, FNK.
Node JRT is connected to nodes FMG, JVG, RDR, UDJ, IPF, SRS, FSO, MVG, KQH, ZQI, FNK.
Node MBA is connected to nodes FMG, VPE, RDR, UDJ, IPF, LLE, SRS, FSO, KQH, FNK.
Node IPF is connected to nodes FMG, VPE, JVG, JRT, MBA, UDJ, SRS, MVG, KQH, ZQI.
Node LLE is connected to nodes FMG, VPE, JVG, RDR, MBA, UDJ, FSO, MVG, KQH, ZQI, FNK.
Node SRS is connected to nodes FMG, JVG, RDR, JRT, MBA, UDJ, IPF, FSO, MVG, KQH, ZQI, FNK.
Node FSO is connected to nodes FMG, JVG, RDR, JRT, MBA, UDJ, LLE, SRS, MVG, KQH, ZQI, FNK.
Node MVG is connected to nodes FMG, VPE, JVG, RDR, JRT, UDJ, IPF, LLE, SRS, FSO, KQH, ZQI, FNK.
Node KQH is connected to nodes FMG, VPE, JVG, RDR, JRT, MBA, UDJ, IPF, LLE, SRS, FSO, MVG, ZQI, FNK.
Node FNK is connected to nodes FMG, JVG, RDR, JRT, MBA, LLE, SRS, FSO, MVG, KQH.
Node ZQI is connected to nodes JVG, RDR, JRT, UDJ, IPF, LLE, SRS, FSO, MVG, KQH.
Node UDJ is connected to nodes RDR, JRT, MBA, IPF, LLE, SRS, FSO, MVG, KQH, ZQI.","[KQH, FSO, FNK, ZQI, RDR, LLE, UDJ, FMG, MVG, JRT, IPF, JVG, MBA, SRS, VPE]",15,83,False,Which are the neighbor nodes of node ZQI? ,"[JVG, RDR, JRT, UDJ, IPF, LLE, SRS, FSO, MVG, KQH]","Let's solve it step by step.
Node ZQI connects to nodes [JVG, RDR, JRT, UDJ, IPF, LLE, SRS, FSO, MVG, KQH], so the neighbors of node ZQI are ","('[[FSO, UDJ, LLE, JRT, RDR, FMG], [VPE, KQH, ZQI, MVG, JRT, JVG, LLE, FNK, UDJ, FSO, SRS, MBA, FMG], [VPE, ZQI, RDR, IPF, FMG], [JVG, RDR, JRT, UDJ, IPF, LLE, SRS, FSO, MVG, KQH]]',)",3,5
neighbor,"[(FLK, DYF), (FLK, DDP), (DYF, FLK), (DYF, VXN), (DDP, FLK), (DDP, VXN), (DDP, XKC), (DDP, RKT), (DDP, DYF), (VXN, TVM), (VXN, RWQ), (TVM, DYF), (TVM, DDP), (RWQ, XKC), (RWQ, RKT), (XKC, VXN), (XKC, TVM), (RKT, DDP), (RKT, VXN), (TYY, TVM), (TYY, XKC), (TYY, RKT), (TYY, DYF)]","{FLK: [DYF, DDP],
DYF: [FLK, VXN],
DDP: [FLK, VXN, XKC, RKT, DYF],
VXN: [TVM, RWQ],
TVM: [DYF, DDP],
RWQ: [XKC, RKT],
XKC: [VXN, TVM],
RKT: [DDP, VXN],
TYY: [TVM, XKC, RKT, DYF]}","Node FLK is connected to nodes DYF, DDP.
Node DYF is connected to nodes FLK, VXN.
Node DDP is connected to nodes FLK, VXN, XKC, RKT, DYF.
Node VXN is connected to nodes TVM, RWQ.
Node TVM is connected to nodes DYF, DDP.
Node RWQ is connected to nodes XKC, RKT.
Node XKC is connected to nodes VXN, TVM.
Node RKT is connected to nodes DDP, VXN.
Node TYY is connected to nodes TVM, XKC, RKT, DYF.","[RKT, TVM, XKC, VXN, DDP, TYY, RWQ, DYF, FLK]",9,23,True,"Which are the neighbor nodes of node DYF? In the context of a directed graph, we consider a node's successors as its neighbors. ","[FLK, VXN]","Let's solve it step by step.
Node DYF connects to nodes [FLK, VXN], so the neighbors of node DYF are ","('[[RKT, RWQ, DYF, TYY], [TVM, RKT, RWQ, XKC, DYF, VXN], [VXN, RWQ, FLK], [FLK, VXN]]',)",3,6
neighbor,"[(BQJ, SWF), (BQJ, EOQ), (BQJ, YAS), (BQJ, GPT), (SWF, KKR), (SWF, IVI), (EOQ, BGJ), (EOQ, GPT), (EOQ, DQY), (EOQ, TKI), (YAS, BGJ), (YAS, KKR), (GPT, BGJ), (GPT, KKR), (GPT, DQY), (GPT, ALJ), (GPT, BUH), (KKR, BGJ), (KKR, IVI), (KKR, DQY), (KKR, BUH), (IVI, BGJ), (IVI, BUH), (BUH, ALJ), (BUH, TKI), (DQY, ALJ), (ALJ, TKI)]","{BQJ: [SWF, EOQ, YAS, GPT],
SWF: [BQJ, KKR, IVI],
EOQ: [BQJ, BGJ, GPT, DQY, TKI],
YAS: [BQJ, BGJ, KKR],
GPT: [BQJ, BGJ, KKR, DQY, ALJ, EOQ, BUH],
KKR: [SWF, BGJ, IVI, GPT, DQY, YAS, BUH],
IVI: [SWF, BGJ, BUH, KKR],
BGJ: [IVI, GPT, EOQ, YAS, KKR],
BUH: [IVI, GPT, KKR, ALJ, TKI],
DQY: [GPT, KKR, EOQ, ALJ],
ALJ: [GPT, DQY, BUH, TKI],
TKI: [EOQ, BUH, ALJ]}","Node BQJ is connected to nodes SWF, EOQ, YAS, GPT.
Node SWF is connected to nodes BQJ, KKR, IVI.
Node EOQ is connected to nodes BQJ, BGJ, GPT, DQY, TKI.
Node YAS is connected to nodes BQJ, BGJ, KKR.
Node GPT is connected to nodes BQJ, BGJ, KKR, DQY, ALJ, EOQ, BUH.
Node KKR is connected to nodes SWF, BGJ, IVI, GPT, DQY, YAS, BUH.
Node IVI is connected to nodes SWF, BGJ, BUH, KKR.
Node BGJ is connected to nodes IVI, GPT, EOQ, YAS, KKR.
Node BUH is connected to nodes IVI, GPT, KKR, ALJ, TKI.
Node DQY is connected to nodes GPT, KKR, EOQ, ALJ.
Node ALJ is connected to nodes GPT, DQY, BUH, TKI.
Node TKI is connected to nodes EOQ, BUH, ALJ.","[TKI, IVI, ALJ, BGJ, GPT, DQY, BUH, EOQ, YAS, BQJ, SWF, KKR]",12,27,False,Which are the neighbor nodes of node TKI? ,"[EOQ, BUH, ALJ]","Let's solve it step by step.
Node TKI connects to nodes [EOQ, BUH, ALJ], so the neighbors of node TKI are ","('[[IVI, EOQ, DQY, KKR, SWF, BQJ, ALJ, BGJ, GPT, BUH], [SWF, BQJ], [EOQ, BUH, ALJ], [SWF, BQJ, TKI, DQY]]',)",2,7
neighbor,"[(YAA, VZZ), (YAA, RZS), (YAA, RYP), (YAA, QWQ), (YAA, USP), (USP, OKM), (USP, GDO)]","{YAA: [VZZ, RZS, RYP, QWQ, USP],
VZZ: [YAA],
RZS: [YAA],
RYP: [YAA],
QWQ: [YAA],
USP: [YAA, OKM, GDO],
OKM: [USP],
GDO: [USP]}","Node YAA is connected to nodes VZZ, RZS, RYP, QWQ, USP.
Node VZZ is connected to node YAA.
Node RZS is connected to node YAA.
Node RYP is connected to node YAA.
Node QWQ is connected to node YAA.
Node USP is connected to nodes YAA, OKM, GDO.
Node OKM is connected to node USP.
Node GDO is connected to node USP.","[GDO, USP, RZS, RYP, YAA, VZZ, QWQ, OKM]",8,7,False,Which are the neighbor nodes of node VZZ? ,[YAA],"Let's solve it step by step.
Node VZZ connects to nodes [YAA], so the neighbors of node VZZ are ","('[[YAA], [RYP, VZZ, QWQ, GDO, USP, OKM], [USP, RZS, RYP, YAA, OKM, QWQ, GDO], []]',)",0,8
neighbor,"[(PFY, AFJ), (PFY, GRX), (PFY, XTR), (PFY, ADT), (AFJ, IBV), (AFJ, GRX), (AFJ, ADT), (AFJ, PFY), (GRX, WVC), (GRX, PFY), (GRX, AEK), (GRX, IBV), (GRX, TMP), (GRX, FTV), (XTR, PZK), (XTR, FTY), (XTR, TMP), (XTR, WVC), (ADT, PFY), (ADT, PZK), (ADT, AFJ), (ADT, TMP), (ADT, XTR), (YJX, FTY), (YJX, FTV), (YJX, WVC), (FTY, AFJ), (FTY, FTV), (FTY, GRX), (FTV, GRX), (FTV, PZK), (FTV, TMP), (WVC, ADT), (WVC, AFJ), (PZK, FTY), (AEK, IBV), (AEK, FTV), (AEK, GRX), (AEK, SGI), (IBV, GRX), (IBV, PZK), (IBV, AEK), (IBV, FTY), (IBV, AFJ), (SGI, FTY), (SGI, IBV), (TMP, SGI), (TMP, WVC), (TMP, ADT)]","{PFY: [AFJ, GRX, XTR, ADT],
AFJ: [IBV, GRX, ADT, PFY],
GRX: [WVC, PFY, AEK, IBV, TMP, FTV],
XTR: [PZK, FTY, TMP, WVC],
ADT: [PFY, PZK, AFJ, TMP, XTR],
YJX: [FTY, FTV, WVC],
FTY: [AFJ, FTV, GRX],
FTV: [GRX, PZK, TMP],
WVC: [ADT, AFJ],
PZK: [FTY],
AEK: [IBV, FTV, GRX, SGI],
IBV: [GRX, PZK, AEK, FTY, AFJ],
SGI: [FTY, IBV],
TMP: [SGI, WVC, ADT]}","Node PFY is connected to nodes AFJ, GRX, XTR, ADT.
Node AFJ is connected to nodes IBV, GRX, ADT, PFY.
Node GRX is connected to nodes WVC, PFY, AEK, IBV, TMP, FTV.
Node XTR is connected to nodes PZK, FTY, TMP, WVC.
Node ADT is connected to nodes PFY, PZK, AFJ, TMP, XTR.
Node YJX is connected to nodes FTY, FTV, WVC.
Node FTY is connected to nodes AFJ, FTV, GRX.
Node FTV is connected to nodes GRX, PZK, TMP.
Node WVC is connected to nodes ADT, AFJ.
Node PZK is connected to node FTY.
Node AEK is connected to nodes IBV, FTV, GRX, SGI.
Node IBV is connected to nodes GRX, PZK, AEK, FTY, AFJ.
Node SGI is connected to nodes FTY, IBV.
Node TMP is connected to nodes SGI, WVC, ADT.","[PZK, AEK, SGI, YJX, AFJ, WVC, XTR, PFY, ADT, GRX, TMP, IBV, FTY, FTV]",14,49,True,"Which are the neighbor nodes of node TMP? In the context of a directed graph, we consider a node's successors as its neighbors. ","[SGI, WVC, ADT]","Let's solve it step by step.
Node TMP connects to nodes [SGI, WVC, ADT], so the neighbors of node TMP are ","('[[FTY, SGI, WVC], [TMP, PFY, PZK, WVC, YJX, FTV, AEK, XTR, ADT, AFJ, FTY], [PZK, FTV, TMP, AEK, FTY], [SGI, WVC, ADT]]',)",3,9
