task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
predecessor,"[(MLC, AIP), (MLC, AJL), (MLC, EGG), (AIP, CYI), (AIP, WMK), (AIP, EGG), (AJL, OZP), (AJL, KUT), (AJL, JDC), (CYI, AXI), (CYI, WMK), (CYI, MLC), (CYI, KUT), (WMK, AXI), (KUT, DSC), (KUT, JDC), (KUT, AXI), (DSC, JDC), (DSC, OZP), (DSC, EGG), (DSC, AIP), (JDC, OZP), (AXI, WMK), (AXI, KUT), (OZP, UES), (OZP, EGG), (OZP, AJL), (UES, QWU), (QWU, MLC), (QWU, AJL)]","{MLC: [AIP, AJL, EGG],
AIP: [CYI, WMK, EGG],
AJL: [OZP, KUT, JDC],
EGG: [],
CYI: [AXI, WMK, MLC, KUT],
WMK: [AXI],
KUT: [DSC, JDC, AXI],
DSC: [JDC, OZP, EGG, AIP],
JDC: [OZP],
AXI: [WMK, KUT],
OZP: [UES, EGG, AJL],
UES: [QWU],
QWU: [MLC, AJL]}","Node MLC is connected to nodes AIP, AJL, EGG.
Node AIP is connected to nodes CYI, WMK, EGG.
Node AJL is connected to nodes OZP, KUT, JDC.
Node CYI is connected to nodes AXI, WMK, MLC, KUT.
Node WMK is connected to node AXI.
Node KUT is connected to nodes DSC, JDC, AXI.
Node DSC is connected to nodes JDC, OZP, EGG, AIP.
Node JDC is connected to node OZP.
Node AXI is connected to nodes WMK, KUT.
Node OZP is connected to nodes UES, EGG, AJL.
Node UES is connected to node QWU.
Node QWU is connected to nodes MLC, AJL.","[JDC, DSC, OZP, WMK, MLC, EGG, CYI, AXI, KUT, AIP, AJL, UES, QWU]",13,30,True,Which are the predecessor nodes of node AXI? A predecessor of n is a node m such that there exists a directed edge from m to n.,"[KUT, CYI, WMK]","Let's solve it step by step.
Nodes [KUT, CYI, WMK] connect to node AXI, so the predecessor nodes of node AXI are ","('[[DSC, AJL, EGG, JDC, MLC, WMK, OZP, KUT], [OZP, WMK, AXI, MLC], [KUT, CYI, WMK], [JDC, DSC, KUT]]',)",2,0
predecessor,"[(SFD, UWB), (SFD, SOP), (UWB, CRR), (UWB, YWF), (SOP, SES), (GJK, CRR), (CRR, RBT), (UKI, UAQ), (UAQ, KFG), (UAQ, UKI), (RBT, CRR), (SES, SOP), (YWF, SFD), (KFG, SOP), (KFG, GJK), (KFG, UKI), (KFG, CRR)]","{SFD: [UWB, SOP],
UWB: [CRR, YWF],
SOP: [SES],
GJK: [CRR],
CRR: [RBT],
UKI: [UAQ],
UAQ: [KFG, UKI],
RBT: [CRR],
SES: [SOP],
YWF: [SFD],
KFG: [SOP, GJK, UKI, CRR]}","Node SFD is connected to nodes UWB, SOP.
Node UWB is connected to nodes CRR, YWF.
Node SOP is connected to node SES.
Node GJK is connected to node CRR.
Node CRR is connected to node RBT.
Node UKI is connected to node UAQ.
Node UAQ is connected to nodes KFG, UKI.
Node RBT is connected to node CRR.
Node SES is connected to node SOP.
Node YWF is connected to node SFD.
Node KFG is connected to nodes SOP, GJK, UKI, CRR.","[SFD, SES, UWB, KFG, GJK, UKI, RBT, SOP, CRR, YWF, UAQ]",11,17,True,Which are the predecessor nodes of node CRR? A predecessor of n is a node m such that there exists a directed edge from m to n.,"[GJK, UWB, KFG, RBT]","Let's solve it step by step.
Nodes [GJK, UWB, KFG, RBT] connect to node CRR, so the predecessor nodes of node CRR are ","('[[SFD, UKI, KFG, GJK, UAQ, RBT, YWF, SES, SOP], [YWF, UAQ, SES, UKI], [], [GJK, UWB, KFG, RBT]]',)",3,1
predecessor,"[(RDD, XKC), (XKC, ESH), (SGO, RDD), (ESH, XEB), (ESH, NLX), (ESH, SGO), (ESH, MOU), (XEB, NLX), (XEB, MOU), (NLX, SGO), (NLX, MOU), (NLX, YDK), (YDK, XKC), (YDK, RDD), (YDK, MOU), (UGN, XKC), (UGN, SGO)]","{RDD: [XKC],
XKC: [ESH],
SGO: [RDD],
ESH: [XEB, NLX, SGO, MOU],
XEB: [NLX, MOU],
NLX: [SGO, MOU, YDK],
MOU: [],
YDK: [XKC, RDD, MOU],
UGN: [XKC, SGO]}","Node RDD is connected to node XKC.
Node XKC is connected to node ESH.
Node SGO is connected to node RDD.
Node ESH is connected to nodes XEB, NLX, SGO, MOU.
Node XEB is connected to nodes NLX, MOU.
Node NLX is connected to nodes SGO, MOU, YDK.
Node YDK is connected to nodes XKC, RDD, MOU.
Node UGN is connected to nodes XKC, SGO.","[UGN, XEB, MOU, YDK, ESH, NLX, XKC, SGO, RDD]",9,17,True,Which are the predecessor nodes of node XEB? A predecessor of n is a node m such that there exists a directed edge from m to n.,[ESH],"Let's solve it step by step.
Nodes [ESH] connect to node XEB, so the predecessor nodes of node XEB are ","('[[MOU, RDD, YDK], [ESH], [NLX, ESH, MOU], [NLX, MOU, XKC, UGN, ESH, SGO, YDK]]',)",1,2
predecessor,"[(CZU, DVI), (CZU, QIZ), (CZU, ADC), (DVI, ZFD), (QIZ, QHN), (QIZ, XZU), (ADC, QIZ), (ZFD, ELF), (ELF, QIZ), (ELF, ADC), (ELF, CZU), (CYJ, QIZ), (CYJ, ZFD), (QHN, CYJ), (XZU, IPT), (XZU, ADC), (XZU, DVI), (XZU, ELF), (XZU, QIZ), (JWT, QHN), (IPT, ADC), (IPT, CYJ), (IPT, JWT), (IPT, XZU)]","{CZU: [DVI, QIZ, ADC],
DVI: [ZFD],
QIZ: [QHN, XZU],
ADC: [QIZ],
ZFD: [ELF],
ELF: [QIZ, ADC, CZU],
CYJ: [QIZ, ZFD],
QHN: [CYJ],
XZU: [IPT, ADC, DVI, ELF, QIZ],
JWT: [QHN],
IPT: [ADC, CYJ, JWT, XZU]}","Node CZU is connected to nodes DVI, QIZ, ADC.
Node DVI is connected to node ZFD.
Node QIZ is connected to nodes QHN, XZU.
Node ADC is connected to node QIZ.
Node ZFD is connected to node ELF.
Node ELF is connected to nodes QIZ, ADC, CZU.
Node CYJ is connected to nodes QIZ, ZFD.
Node QHN is connected to node CYJ.
Node XZU is connected to nodes IPT, ADC, DVI, ELF, QIZ.
Node JWT is connected to node QHN.
Node IPT is connected to nodes ADC, CYJ, JWT, XZU.","[XZU, DVI, QHN, IPT, ZFD, CYJ, JWT, QIZ, ADC, ELF, CZU]",11,24,True,Which are the predecessor nodes of node XZU? A predecessor of n is a node m such that there exists a directed edge from m to n.,"[QIZ, IPT]","Let's solve it step by step.
Nodes [QIZ, IPT] connect to node XZU, so the predecessor nodes of node XZU are ","('[[ADC, JWT], [QIZ, IPT], [CZU, QHN, XZU, CYJ, JWT, IPT, QIZ], [ZFD, ADC, CYJ, CZU, XZU, IPT, QIZ, ELF, JWT]]',)",1,3
predecessor,"[(GXR, FGS), (GXR, DKY), (GXR, FBA), (GXR, TIA), (GXR, YHC), (FGS, FBA), (FGS, YHC), (FGS, GXR), (DKY, RDI), (DKY, GXR), (FBA, TIA), (FBA, GXR), (FBA, FGS), (FBA, WET), (TIA, FGS), (TIA, DKY), (TIA, RDI), (TIA, WET), (YHC, DKY), (YHC, RDI), (LDJ, FBA), (LDJ, TIA), (RDI, WET), (RDI, WLM), (WET, FBA), (WET, TIA), (WET, YHC), (WET, FGS), (WET, WLM)]","{GXR: [FGS, DKY, FBA, TIA, YHC],
FGS: [FBA, YHC, GXR],
DKY: [RDI, GXR],
FBA: [TIA, GXR, FGS, WET],
TIA: [FGS, DKY, RDI, WET],
YHC: [DKY, RDI],
LDJ: [FBA, TIA],
RDI: [WET, WLM],
WET: [FBA, TIA, YHC, FGS, WLM],
WLM: []}","Node GXR is connected to nodes FGS, DKY, FBA, TIA, YHC.
Node FGS is connected to nodes FBA, YHC, GXR.
Node DKY is connected to nodes RDI, GXR.
Node FBA is connected to nodes TIA, GXR, FGS, WET.
Node TIA is connected to nodes FGS, DKY, RDI, WET.
Node YHC is connected to nodes DKY, RDI.
Node LDJ is connected to nodes FBA, TIA.
Node RDI is connected to nodes WET, WLM.
Node WET is connected to nodes FBA, TIA, YHC, FGS, WLM.","[LDJ, GXR, TIA, WLM, FGS, RDI, YHC, WET, DKY, FBA]",10,29,True,Which are the predecessor nodes of node GXR? A predecessor of n is a node m such that there exists a directed edge from m to n.,"[FGS, DKY, FBA]","Let's solve it step by step.
Nodes [FGS, DKY, FBA] connect to node GXR, so the predecessor nodes of node GXR are ","('[[WET, GXR, TIA, FGS, WLM, YHC, FBA], [FGS, WLM, DKY, YHC], [FGS, DKY, FBA], [RDI, TIA]]',)",2,4
predecessor,"[(NRZ, JPO), (NRZ, UYV), (NRZ, EDR), (JPO, UYV), (JPO, EDR), (JPO, QCP), (JPO, NRZ), (JPO, NOV), (UYV, EDR), (UYV, QCP), (UYV, NRZ), (UYV, WLO), (EDR, QCP), (EDR, JPO), (EDR, UYV), (WLO, NOV), (WLO, JPO), (WLO, RME), (WLO, UYV), (WLO, QCP), (NOV, JPO), (NOV, RME), (NOV, QCP), (NOV, NRZ), (NOV, WLO), (RME, UYV), (RME, NRZ), (RME, NOV), (RME, JPO), (QCP, NOV), (QCP, JPO), (QCP, RME), (QCP, EDR)]","{NRZ: [JPO, UYV, EDR],
JPO: [UYV, EDR, QCP, NRZ, NOV],
UYV: [EDR, QCP, NRZ, WLO],
EDR: [QCP, JPO, UYV],
WLO: [NOV, JPO, RME, UYV, QCP],
NOV: [JPO, RME, QCP, NRZ, WLO],
RME: [UYV, NRZ, NOV, JPO],
QCP: [NOV, JPO, RME, EDR]}","Node NRZ is connected to nodes JPO, UYV, EDR.
Node JPO is connected to nodes UYV, EDR, QCP, NRZ, NOV.
Node UYV is connected to nodes EDR, QCP, NRZ, WLO.
Node EDR is connected to nodes QCP, JPO, UYV.
Node WLO is connected to nodes NOV, JPO, RME, UYV, QCP.
Node NOV is connected to nodes JPO, RME, QCP, NRZ, WLO.
Node RME is connected to nodes UYV, NRZ, NOV, JPO.
Node QCP is connected to nodes NOV, JPO, RME, EDR.","[NOV, JPO, RME, QCP, EDR, NRZ, UYV, WLO]",8,33,True,Which are the predecessor nodes of node RME? A predecessor of n is a node m such that there exists a directed edge from m to n.,"[WLO, NOV, QCP]","Let's solve it step by step.
Nodes [WLO, NOV, QCP] connect to node RME, so the predecessor nodes of node RME are ","('[[UYV, QCP, JPO, RME, NOV], [NRZ, QCP, JPO], [WLO, NOV, QCP], [NRZ, RME, UYV, EDR, QCP, WLO, NOV]]',)",2,5
predecessor,"[(IIU, JKB), (IIU, PVK), (IIU, FID), (JKB, RZS), (JKB, NJK), (PVK, JRC), (PVK, HIY), (PVK, ELE), (PVK, HTB), (FID, XQD), (HIY, ELE), (HIY, PVK), (HIY, FID), (ELE, XQD), (XQD, HTB), (XQD, PVK), (RZS, HIY), (RZS, ELE), (RZS, JKB), (RZS, XQD), (RZS, JRC), (HTB, PVK), (HTB, IIU), (HTB, ELE), (JRC, FID), (JRC, HTB), (JRC, XQD)]","{IIU: [JKB, PVK, FID],
JKB: [RZS, NJK],
PVK: [JRC, HIY, ELE, HTB],
FID: [XQD],
HIY: [ELE, PVK, FID],
ELE: [XQD],
XQD: [HTB, PVK],
RZS: [HIY, ELE, JKB, XQD, JRC],
NJK: [],
HTB: [PVK, IIU, ELE],
JRC: [FID, HTB, XQD]}","Node IIU is connected to nodes JKB, PVK, FID.
Node JKB is connected to nodes RZS, NJK.
Node PVK is connected to nodes JRC, HIY, ELE, HTB.
Node FID is connected to node XQD.
Node HIY is connected to nodes ELE, PVK, FID.
Node ELE is connected to node XQD.
Node XQD is connected to nodes HTB, PVK.
Node RZS is connected to nodes HIY, ELE, JKB, XQD, JRC.
Node HTB is connected to nodes PVK, IIU, ELE.
Node JRC is connected to nodes FID, HTB, XQD.","[XQD, HTB, ELE, RZS, IIU, HIY, JKB, PVK, JRC, FID, NJK]",11,27,True,Which are the predecessor nodes of node JRC? A predecessor of n is a node m such that there exists a directed edge from m to n.,"[PVK, RZS]","Let's solve it step by step.
Nodes [PVK, RZS] connect to node JRC, so the predecessor nodes of node JRC are ","('[[PVK], [XQD, RZS, JKB, ELE, PVK, HIY, HTB, FID, JRC, IIU], [ELE, HTB, PVK, JRC, NJK, IIU, JKB], [PVK, RZS]]',)",3,6
predecessor,"[(TFJ, LLW), (TFJ, DOY), (DOY, ANU), (CDJ, BBX), (CDJ, PLP), (CDJ, TFJ), (BBX, ZOR), (BBX, NQF), (BBX, UNR), (PLP, PKJ), (PLP, BBX), (PLP, DOY), (NQF, HOY), (NQF, PLP), (NQF, TFJ), (NQF, LLW), (HOY, ANU), (HOY, ZOR), (HOY, LLW), (HOY, PKJ), (UNR, ZOR), (ZOR, HOY), (PKJ, HOY), (ANU, PLP), (ANU, LLW), (ANU, NQF), (ANU, PKJ)]","{TFJ: [LLW, DOY],
LLW: [],
DOY: [ANU],
CDJ: [BBX, PLP, TFJ],
BBX: [ZOR, NQF, UNR],
PLP: [PKJ, BBX, DOY],
NQF: [HOY, PLP, TFJ, LLW],
HOY: [ANU, ZOR, LLW, PKJ],
UNR: [ZOR],
ZOR: [HOY],
PKJ: [HOY],
ANU: [PLP, LLW, NQF, PKJ]}","Node TFJ is connected to nodes LLW, DOY.
Node DOY is connected to node ANU.
Node CDJ is connected to nodes BBX, PLP, TFJ.
Node BBX is connected to nodes ZOR, NQF, UNR.
Node PLP is connected to nodes PKJ, BBX, DOY.
Node NQF is connected to nodes HOY, PLP, TFJ, LLW.
Node HOY is connected to nodes ANU, ZOR, LLW, PKJ.
Node UNR is connected to node ZOR.
Node ZOR is connected to node HOY.
Node PKJ is connected to node HOY.
Node ANU is connected to nodes PLP, LLW, NQF, PKJ.","[BBX, TFJ, HOY, CDJ, ANU, PLP, DOY, LLW, ZOR, NQF, UNR, PKJ]",12,27,True,Which are the predecessor nodes of node NQF? A predecessor of n is a node m such that there exists a directed edge from m to n.,"[BBX, ANU]","Let's solve it step by step.
Nodes [BBX, ANU] connect to node NQF, so the predecessor nodes of node NQF are ","('[[LLW, PLP, PKJ, ZOR, BBX, UNR, CDJ, HOY, NQF, DOY], [PKJ, ZOR, UNR, HOY, CDJ, TFJ, BBX, LLW, NQF, ANU, DOY], [BBX, ANU], [BBX, ZOR, UNR]]',)",2,7
predecessor,"[(VOO, SAI), (VOO, ISX), (VOO, KYA), (VOO, EBM), (SAI, BZU), (SAI, EBM), (ISX, KYA), (ISX, SJP), (ISX, BZU), (KYA, EBM), (KYA, LUO), (KYA, VOO), (KYA, SAI), (KYA, FEK), (KYA, BZU), (KYA, ISX), (EBM, VOO), (EBM, SAI), (EBM, SJP), (EBM, BZU), (EBM, AAE), (EBM, KYA), (BZU, YWN), (BZU, VOO), (BZU, SJP), (SJP, SBR), (SJP, EBM), (SJP, LUO), (SBR, EBM), (SBR, LUO), (SBR, VOO), (SBR, SAI), (SBR, ISX), (LUO, SAI), (LUO, AAE), (FEK, AAE), (FEK, SBR), (FEK, KYA), (FEK, LUO), (FEK, VOO), (FEK, SAI), (AAE, SBR), (AAE, YWN), (AAE, FEK), (YWN, AAE)]","{VOO: [SAI, ISX, KYA, EBM],
SAI: [BZU, EBM],
ISX: [KYA, SJP, BZU],
KYA: [EBM, LUO, VOO, SAI, FEK, BZU, ISX],
EBM: [VOO, SAI, SJP, BZU, AAE, KYA],
BZU: [YWN, VOO, SJP],
SJP: [SBR, EBM, LUO],
SBR: [EBM, LUO, VOO, SAI, ISX],
LUO: [SAI, AAE],
FEK: [AAE, SBR, KYA, LUO, VOO, SAI],
AAE: [SBR, YWN, FEK],
YWN: [AAE]}","Node VOO is connected to nodes SAI, ISX, KYA, EBM.
Node SAI is connected to nodes BZU, EBM.
Node ISX is connected to nodes KYA, SJP, BZU.
Node KYA is connected to nodes EBM, LUO, VOO, SAI, FEK, BZU, ISX.
Node EBM is connected to nodes VOO, SAI, SJP, BZU, AAE, KYA.
Node BZU is connected to nodes YWN, VOO, SJP.
Node SJP is connected to nodes SBR, EBM, LUO.
Node SBR is connected to nodes EBM, LUO, VOO, SAI, ISX.
Node LUO is connected to nodes SAI, AAE.
Node FEK is connected to nodes AAE, SBR, KYA, LUO, VOO, SAI.
Node AAE is connected to nodes SBR, YWN, FEK.
Node YWN is connected to node AAE.","[SJP, SBR, ISX, FEK, EBM, AAE, VOO, SAI, LUO, YWN, KYA, BZU]",12,45,True,Which are the predecessor nodes of node VOO? A predecessor of n is a node m such that there exists a directed edge from m to n.,"[FEK, BZU, SBR, KYA, EBM]","Let's solve it step by step.
Nodes [FEK, BZU, SBR, KYA, EBM] connect to node VOO, so the predecessor nodes of node VOO are ","('[[FEK, BZU, SBR, KYA, EBM], [AAE, VOO, SJP, SBR, EBM], [AAE], [SBR, VOO, SAI, SJP, KYA, FEK, YWN, EBM, AAE, LUO]]',)",0,8
predecessor,"[(YEE, CKZ), (YEE, HVQ), (CKZ, EEB), (CKZ, NPW), (HVQ, ZRW), (HVQ, EEB), (HVQ, CKZ), (FXA, ZRW), (ZRW, FXA), (EEB, BEN), (EEB, YEE), (NPW, CKZ), (NPW, HVQ), (NPW, ZRW), (NPW, BEN), (NPW, YEE)]","{YEE: [CKZ, HVQ],
CKZ: [EEB, NPW],
HVQ: [ZRW, EEB, CKZ],
FXA: [ZRW],
ZRW: [FXA],
EEB: [BEN, YEE],
BEN: [],
NPW: [CKZ, HVQ, ZRW, BEN, YEE]}","Node YEE is connected to nodes CKZ, HVQ.
Node CKZ is connected to nodes EEB, NPW.
Node HVQ is connected to nodes ZRW, EEB, CKZ.
Node FXA is connected to node ZRW.
Node ZRW is connected to node FXA.
Node EEB is connected to nodes BEN, YEE.
Node NPW is connected to nodes CKZ, HVQ, ZRW, BEN, YEE.","[CKZ, BEN, YEE, FXA, NPW, ZRW, HVQ, EEB]",8,16,True,Which are the predecessor nodes of node FXA? A predecessor of n is a node m such that there exists a directed edge from m to n.,[ZRW],"Let's solve it step by step.
Nodes [ZRW] connect to node FXA, so the predecessor nodes of node FXA are ","('[[CKZ, NPW, YEE, FXA, EEB], [ZRW], [EEB, HVQ, BEN, YEE, FXA, CKZ], [FXA, ZRW, HVQ]]',)",1,9
