task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
BFS,"[(ZZB, MIM), (ZZB, CNM), (MIM, TCK), (MIM, YNS), (CNM, ZZB), (CNM, VYD), (CNM, YWQ), (CNM, MIM), (VYD, YWQ), (VYD, MIM), (VYD, CNM), (YWQ, MIM), (YWQ, TCK), (YWQ, VYD), (TCK, YNS), (TCK, ZZB), (TCK, MIM), (YNS, ZZB), (YNS, VYD), (YNS, YWQ), (YNS, MIM), (YNS, TCK), (YNS, CNM)]","{ZZB: [MIM, CNM],
MIM: [TCK, YNS],
CNM: [ZZB, VYD, YWQ, MIM],
VYD: [YWQ, MIM, CNM],
YWQ: [MIM, TCK, VYD],
TCK: [YNS, ZZB, MIM],
YNS: [ZZB, VYD, YWQ, MIM, TCK, CNM]}","Node ZZB is connected to nodes MIM, CNM.
Node MIM is connected to nodes TCK, YNS.
Node CNM is connected to nodes ZZB, VYD, YWQ, MIM.
Node VYD is connected to nodes YWQ, MIM, CNM.
Node YWQ is connected to nodes MIM, TCK, VYD.
Node TCK is connected to nodes YNS, ZZB, MIM.
Node YNS is connected to nodes ZZB, VYD, YWQ, MIM, TCK, CNM.","[CNM, ZZB, VYD, TCK, YWQ, YNS, MIM]",7,23,True,"Start from node CNM, output a sequence of traversal in breadth-first search (BFS) order.","[CNM, ZZB, VYD, YWQ, MIM, TCK, YNS]","Let's run breadth-first search (BFS) step by step.
Visit node CNM. Unvisited neighbors of node CNM are [ZZB, VYD, YWQ, MIM].
Visit node ZZB. 
Visit node VYD. 
Visit node YWQ. Unvisited neighbors of node YWQ are [TCK].
Visit node MIM. Unvisited neighbors of node MIM are [YNS].
Visit node TCK. 
Visit node YNS. 
So the BFS traversal is ","('[[CNM, ZZB, VYD, YWQ, MIM, TCK, YNS], [CNM, ZZB, VYD, MIM, TCK, YNS, YWQ], [CNM, MIM, YNS, YWQ, TCK, VYD, ZZB], [CNM, ZZB, TCK, YNS, VYD, YWQ, MIM]]',)",0,0
BFS,"[(YCG, JMV), (YCG, FID), (YCG, JAY), (YCG, MFJ), (YCG, QVP), (JMV, QVP), (JMV, UNC), (JAY, QVP), (JAY, MFJ), (JAY, UNC)]","{YCG: [JMV, FID, JAY, MFJ, QVP],
JMV: [YCG, QVP, UNC],
FID: [YCG],
JAY: [YCG, QVP, MFJ, UNC],
MFJ: [YCG, JAY],
QVP: [YCG, JMV, JAY],
UNC: [JMV, JAY]}","Node YCG is connected to nodes JMV, FID, JAY, MFJ, QVP.
Node JMV is connected to nodes YCG, QVP, UNC.
Node FID is connected to node YCG.
Node JAY is connected to nodes YCG, QVP, MFJ, UNC.
Node MFJ is connected to nodes YCG, JAY.
Node QVP is connected to nodes YCG, JMV, JAY.
Node UNC is connected to nodes JMV, JAY.","[UNC, JMV, MFJ, YCG, JAY, FID, QVP]",7,10,False,"Start from node JMV, output a sequence of traversal in breadth-first search (BFS) order.","[JMV, YCG, QVP, UNC, FID, JAY, MFJ]","Let's run breadth-first search (BFS) step by step.
Visit node JMV. Unvisited neighbors of node JMV are [YCG, QVP, UNC].
Visit node YCG. Unvisited neighbors of node YCG are [FID, JAY, MFJ].
Visit node QVP. 
Visit node UNC. 
Visit node FID. 
Visit node JAY. 
Visit node MFJ. 
So the BFS traversal is ","('[[JMV, YCG, QVP, UNC, FID, JAY, MFJ], [JMV, YCG, QVP, JAY, UNC, MFJ, FID], [JMV, YCG, JAY, MFJ, QVP, UNC, FID], [JMV, MFJ, FID, UNC, JAY, QVP, YCG]]',)",0,1
BFS,"[(XIA, ALL), (XIA, ZKY), (ALL, TSJ), (ALL, DMC), (ZKY, RQD), (DMC, RQD)]","{XIA: [ALL, ZKY],
ALL: [XIA, TSJ, DMC],
ZKY: [XIA, RQD],
TSJ: [ALL],
DMC: [ALL, RQD],
RQD: [DMC, ZKY]}","Node XIA is connected to nodes ALL, ZKY.
Node ALL is connected to nodes XIA, TSJ, DMC.
Node ZKY is connected to nodes XIA, RQD.
Node TSJ is connected to node ALL.
Node DMC is connected to nodes ALL, RQD.
Node RQD is connected to nodes DMC, ZKY.","[RQD, XIA, ALL, TSJ, ZKY, DMC]",6,6,False,"Start from node TSJ, output a sequence of traversal in breadth-first search (BFS) order.","[TSJ, ALL, XIA, DMC, ZKY, RQD]","Let's run breadth-first search (BFS) step by step.
Visit node TSJ. Unvisited neighbors of node TSJ are [ALL].
Visit node ALL. Unvisited neighbors of node ALL are [XIA, DMC].
Visit node XIA. Unvisited neighbors of node XIA are [ZKY].
Visit node DMC. Unvisited neighbors of node DMC are [RQD].
Visit node ZKY. 
Visit node RQD. 
So the BFS traversal is ","('[[TSJ, ALL, XIA, RQD, DMC, ZKY], [TSJ, XIA, RQD, DMC, ALL, ZKY], [TSJ, ALL, XIA, DMC, ZKY, RQD], [TSJ, ALL, ZKY, RQD, XIA, DMC]]',)",2,2
BFS,"[(QLL, YKT), (QLL, XAD), (YKT, XOR), (XAD, NHN), (XAD, VAN), (XOR, VAN), (NHN, RQX)]","{QLL: [YKT, XAD],
YKT: [QLL, XOR],
XAD: [QLL, NHN, VAN],
XOR: [YKT, VAN],
VAN: [XOR, XAD],
NHN: [XAD, RQX],
RQX: [NHN]}","Node QLL is connected to nodes YKT, XAD.
Node YKT is connected to nodes QLL, XOR.
Node XAD is connected to nodes QLL, NHN, VAN.
Node XOR is connected to nodes YKT, VAN.
Node VAN is connected to nodes XOR, XAD.
Node NHN is connected to nodes XAD, RQX.
Node RQX is connected to node NHN.","[YKT, QLL, XAD, XOR, VAN, RQX, NHN]",7,7,False,"Start from node XOR, output a sequence of traversal in breadth-first search (BFS) order.","[XOR, YKT, VAN, QLL, XAD, NHN, RQX]","Let's run breadth-first search (BFS) step by step.
Visit node XOR. Unvisited neighbors of node XOR are [YKT, VAN].
Visit node YKT. Unvisited neighbors of node YKT are [QLL].
Visit node VAN. Unvisited neighbors of node VAN are [XAD].
Visit node QLL. 
Visit node XAD. Unvisited neighbors of node XAD are [NHN].
Visit node NHN. Unvisited neighbors of node NHN are [RQX].
Visit node RQX. 
So the BFS traversal is ","('[[XOR, YKT, VAN, QLL, XAD, NHN, RQX], [XOR, YKT, NHN, RQX, VAN, QLL, XAD], [XOR, QLL, XAD, YKT, NHN, VAN, RQX], [XOR, YKT, VAN, NHN, XAD, RQX, QLL]]',)",0,3
BFS,"[(LXV, CVF), (LXV, SEU), (LXV, HIG), (CVF, HIG), (SEU, HIG), (SEU, YRZ), (HIG, YRZ), (HIG, SEU), (YRZ, SEU), (YRZ, HIG), (YRZ, LXV)]","{LXV: [CVF, SEU, HIG],
CVF: [HIG],
SEU: [HIG, YRZ],
HIG: [YRZ, SEU],
YRZ: [SEU, HIG, LXV]}","Node LXV is connected to nodes CVF, SEU, HIG.
Node CVF is connected to node HIG.
Node SEU is connected to nodes HIG, YRZ.
Node HIG is connected to nodes YRZ, SEU.
Node YRZ is connected to nodes SEU, HIG, LXV.","[CVF, YRZ, HIG, SEU, LXV]",5,11,True,"Start from node CVF, output a sequence of traversal in breadth-first search (BFS) order.","[CVF, HIG, YRZ, SEU, LXV]","Let's run breadth-first search (BFS) step by step.
Visit node CVF. Unvisited neighbors of node CVF are [HIG].
Visit node HIG. Unvisited neighbors of node HIG are [YRZ, SEU].
Visit node YRZ. Unvisited neighbors of node YRZ are [LXV].
Visit node SEU. 
Visit node LXV. 
So the BFS traversal is ","('[[CVF, HIG, YRZ, SEU, LXV], [CVF, LXV, HIG, YRZ, SEU], [CVF, HIG, LXV, SEU, YRZ], [CVF, HIG, SEU, YRZ, LXV]]',)",0,4
BFS,"[(FRH, GBN), (FRH, NNJ), (FRH, MFN), (FRH, XVG), (NNJ, LGS), (MFN, KVI)]","{FRH: [GBN, NNJ, MFN, XVG],
GBN: [FRH],
NNJ: [FRH, LGS],
MFN: [FRH, KVI],
XVG: [FRH],
KVI: [MFN],
LGS: [NNJ]}","Node FRH is connected to nodes GBN, NNJ, MFN, XVG.
Node GBN is connected to node FRH.
Node NNJ is connected to nodes FRH, LGS.
Node MFN is connected to nodes FRH, KVI.
Node XVG is connected to node FRH.
Node KVI is connected to node MFN.
Node LGS is connected to node NNJ.","[LGS, FRH, NNJ, GBN, KVI, MFN, XVG]",7,6,False,"Start from node FRH, output a sequence of traversal in breadth-first search (BFS) order.","[FRH, GBN, NNJ, MFN, XVG, LGS, KVI]","Let's run breadth-first search (BFS) step by step.
Visit node FRH. Unvisited neighbors of node FRH are [GBN, NNJ, MFN, XVG].
Visit node GBN. 
Visit node NNJ. Unvisited neighbors of node NNJ are [LGS].
Visit node MFN. Unvisited neighbors of node MFN are [KVI].
Visit node XVG. 
Visit node LGS. 
Visit node KVI. 
So the BFS traversal is ","('[[FRH, NNJ, MFN, XVG, KVI, GBN, LGS], [FRH, GBN, LGS, KVI, NNJ, MFN, XVG], [FRH, GBN, NNJ, MFN, XVG, LGS, KVI], [FRH, GBN, NNJ, KVI, MFN, XVG, LGS]]',)",2,5
BFS,"[(EFJ, GMZ), (EFJ, SOJ), (EFJ, ZKY), (EFJ, AAD), (GMZ, SOJ), (GMZ, ZKY), (GMZ, AAD), (GMZ, LHO), (SOJ, ZKY), (ZKY, AAD), (ZKY, LHO), (AAD, LHO)]","{EFJ: [GMZ, SOJ, ZKY, AAD],
GMZ: [EFJ, SOJ, ZKY, AAD, LHO],
SOJ: [EFJ, GMZ, ZKY],
ZKY: [EFJ, GMZ, SOJ, AAD, LHO],
AAD: [EFJ, GMZ, ZKY, LHO],
LHO: [GMZ, ZKY, AAD]}","Node EFJ is connected to nodes GMZ, SOJ, ZKY, AAD.
Node GMZ is connected to nodes EFJ, SOJ, ZKY, AAD, LHO.
Node SOJ is connected to nodes EFJ, GMZ, ZKY.
Node ZKY is connected to nodes EFJ, GMZ, SOJ, AAD, LHO.
Node AAD is connected to nodes EFJ, GMZ, ZKY, LHO.
Node LHO is connected to nodes GMZ, ZKY, AAD.","[SOJ, AAD, LHO, EFJ, ZKY, GMZ]",6,12,False,"Start from node EFJ, output a sequence of traversal in breadth-first search (BFS) order.","[EFJ, GMZ, SOJ, ZKY, AAD, LHO]","Let's run breadth-first search (BFS) step by step.
Visit node EFJ. Unvisited neighbors of node EFJ are [GMZ, SOJ, ZKY, AAD].
Visit node GMZ. Unvisited neighbors of node GMZ are [LHO].
Visit node SOJ. 
Visit node ZKY. 
Visit node AAD. 
Visit node LHO. 
So the BFS traversal is ","('[[EFJ, GMZ, SOJ, AAD, ZKY, LHO], [EFJ, GMZ, AAD, LHO, SOJ, ZKY], [EFJ, SOJ, GMZ, ZKY, LHO, AAD], [EFJ, GMZ, SOJ, ZKY, AAD, LHO]]',)",3,6
BFS,"[(VPA, FNX), (VPA, OJO), (VPA, SZT), (FNX, OJO), (FNX, PRK), (FNX, SZT), (OJO, PRK), (OJO, SZT), (OJO, WHJ), (SZT, LUE), (PRK, LUE), (PRK, WHJ), (WHJ, LUE)]","{VPA: [FNX, OJO, SZT],
FNX: [VPA, OJO, PRK, SZT],
OJO: [VPA, FNX, PRK, SZT, WHJ],
SZT: [VPA, FNX, OJO, LUE],
PRK: [FNX, OJO, LUE, WHJ],
WHJ: [OJO, LUE, PRK],
LUE: [PRK, SZT, WHJ]}","Node VPA is connected to nodes FNX, OJO, SZT.
Node FNX is connected to nodes VPA, OJO, PRK, SZT.
Node OJO is connected to nodes VPA, FNX, PRK, SZT, WHJ.
Node SZT is connected to nodes VPA, FNX, OJO, LUE.
Node PRK is connected to nodes FNX, OJO, LUE, WHJ.
Node WHJ is connected to nodes OJO, LUE, PRK.
Node LUE is connected to nodes PRK, SZT, WHJ.","[PRK, FNX, LUE, SZT, WHJ, VPA, OJO]",7,13,False,"Start from node SZT, output a sequence of traversal in breadth-first search (BFS) order.","[SZT, VPA, FNX, OJO, LUE, PRK, WHJ]","Let's run breadth-first search (BFS) step by step.
Visit node SZT. Unvisited neighbors of node SZT are [VPA, FNX, OJO, LUE].
Visit node VPA. 
Visit node FNX. Unvisited neighbors of node FNX are [PRK].
Visit node OJO. Unvisited neighbors of node OJO are [WHJ].
Visit node LUE. 
Visit node PRK. 
Visit node WHJ. 
So the BFS traversal is ","('[[SZT, VPA, FNX, LUE, WHJ, OJO, PRK], [SZT, VPA, PRK, WHJ, FNX, OJO, LUE], [SZT, VPA, FNX, OJO, LUE, PRK, WHJ], [SZT, FNX, WHJ, VPA, LUE, PRK, OJO]]',)",2,7
BFS,"[(ZMA, QMO), (ZMA, MCT), (ZMA, AEP), (QMO, AEP), (MCT, RXQ), (RXQ, NNW)]","{ZMA: [QMO, MCT, AEP],
QMO: [ZMA, AEP],
MCT: [ZMA, RXQ],
AEP: [ZMA, QMO],
RXQ: [MCT, NNW],
NNW: [RXQ]}","Node ZMA is connected to nodes QMO, MCT, AEP.
Node QMO is connected to nodes ZMA, AEP.
Node MCT is connected to nodes ZMA, RXQ.
Node AEP is connected to nodes ZMA, QMO.
Node RXQ is connected to nodes MCT, NNW.
Node NNW is connected to node RXQ.","[RXQ, MCT, ZMA, AEP, QMO, NNW]",6,6,False,"Start from node AEP, output a sequence of traversal in breadth-first search (BFS) order.","[AEP, ZMA, QMO, MCT, RXQ, NNW]","Let's run breadth-first search (BFS) step by step.
Visit node AEP. Unvisited neighbors of node AEP are [ZMA, QMO].
Visit node ZMA. Unvisited neighbors of node ZMA are [MCT].
Visit node QMO. 
Visit node MCT. Unvisited neighbors of node MCT are [RXQ].
Visit node RXQ. Unvisited neighbors of node RXQ are [NNW].
Visit node NNW. 
So the BFS traversal is ","('[[AEP, ZMA, QMO, MCT, RXQ, NNW], [AEP, ZMA, RXQ, NNW, QMO, MCT], [AEP, ZMA, QMO, MCT, RXQ, NNW], [AEP, NNW, RXQ, QMO, MCT, ZMA]]',)",0,8
BFS,"[(MGT, EVF), (MGT, LVG), (EVF, MEH), (LVG, UWL), (MEH, RXA), (UWL, RXA)]","{MGT: [EVF, LVG],
EVF: [MGT, MEH],
LVG: [MGT, UWL],
MEH: [EVF, RXA],
UWL: [LVG, RXA],
RXA: [UWL, MEH]}","Node MGT is connected to nodes EVF, LVG.
Node EVF is connected to nodes MGT, MEH.
Node LVG is connected to nodes MGT, UWL.
Node MEH is connected to nodes EVF, RXA.
Node UWL is connected to nodes LVG, RXA.
Node RXA is connected to nodes UWL, MEH.","[UWL, MGT, MEH, EVF, RXA, LVG]",6,6,False,"Start from node UWL, output a sequence of traversal in breadth-first search (BFS) order.","[UWL, LVG, RXA, MGT, MEH, EVF]","Let's run breadth-first search (BFS) step by step.
Visit node UWL. Unvisited neighbors of node UWL are [LVG, RXA].
Visit node LVG. Unvisited neighbors of node LVG are [MGT].
Visit node RXA. Unvisited neighbors of node RXA are [MEH].
Visit node MGT. Unvisited neighbors of node MGT are [EVF].
Visit node MEH. 
Visit node EVF. 
So the BFS traversal is ","('[[UWL, MGT, LVG, EVF, MEH, RXA], [UWL, LVG, RXA, MGT, MEH, EVF], [UWL, LVG, MEH, EVF, RXA, MGT], [UWL, LVG, RXA, MEH, EVF, MGT]]',)",1,9
