task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
DFS,"[(AKI, PAO), (AKI, TYH), (AKI, XNJ), (AKI, MYE), (AKI, UZY), (PAO, TYH), (PAO, MYE), (TYH, XNJ), (TYH, MYE), (TYH, UZY), (XNJ, UZY), (MYE, UZY)]","{AKI: [PAO, TYH, XNJ, MYE, UZY],
PAO: [AKI, TYH, MYE],
TYH: [AKI, PAO, XNJ, MYE, UZY],
XNJ: [AKI, TYH, UZY],
MYE: [AKI, PAO, TYH, UZY],
UZY: [AKI, TYH, XNJ, MYE]}","Node AKI is connected to nodes PAO, TYH, XNJ, MYE, UZY.
Node PAO is connected to nodes AKI, TYH, MYE.
Node TYH is connected to nodes AKI, PAO, XNJ, MYE, UZY.
Node XNJ is connected to nodes AKI, TYH, UZY.
Node MYE is connected to nodes AKI, PAO, TYH, UZY.
Node UZY is connected to nodes AKI, TYH, XNJ, MYE.","[UZY, TYH, AKI, XNJ, PAO, MYE]",6,12,False,"Start from node TYH, output a sequence of traversal in depth-first search (DFS) order.","[TYH, UZY, MYE, PAO, AKI, XNJ]","Let's run depth-first search (DFS) step by step.
Visit node TYH. Neighors of node TYH: [AKI, PAO, XNJ, MYE, UZY].
Visit node UZY. Neighors of node UZY: [AKI, TYH, XNJ, MYE].
Visit node MYE. Neighors of node MYE: [AKI, PAO, TYH, UZY].
Visit node PAO. Neighors of node PAO: [AKI, TYH, MYE].
Visit node AKI. Neighors of node AKI: [PAO, TYH, XNJ, MYE, UZY].
Visit node XNJ. Neighors of node XNJ: [AKI, TYH, UZY].
So the DFS traversal is ","('[[TYH, UZY, AKI, XNJ, MYE, PAO], [TYH, UZY, MYE, PAO, AKI, XNJ], [TYH, AKI, PAO, UZY, XNJ, MYE], [TYH, UZY, MYE, XNJ, AKI, PAO]]',)",1,0
DFS,"[(XYI, YUA), (XYI, XLK), (XYI, CXE), (XYI, IQC), (YUA, CXE), (YUA, CKJ), (XLK, IQC), (XLK, CKJ), (CXE, IQC), (CXE, NCJ), (CXE, CKJ), (IQC, NCJ), (CKJ, NCJ)]","{XYI: [YUA, XLK, CXE, IQC],
YUA: [XYI, CXE, CKJ],
XLK: [XYI, IQC, CKJ],
CXE: [XYI, YUA, IQC, NCJ, CKJ],
IQC: [XYI, XLK, CXE, NCJ],
CKJ: [YUA, XLK, CXE, NCJ],
NCJ: [CXE, IQC, CKJ]}","Node XYI is connected to nodes YUA, XLK, CXE, IQC.
Node YUA is connected to nodes XYI, CXE, CKJ.
Node XLK is connected to nodes XYI, IQC, CKJ.
Node CXE is connected to nodes XYI, YUA, IQC, NCJ, CKJ.
Node IQC is connected to nodes XYI, XLK, CXE, NCJ.
Node CKJ is connected to nodes YUA, XLK, CXE, NCJ.
Node NCJ is connected to nodes CXE, IQC, CKJ.","[XYI, YUA, XLK, CKJ, IQC, NCJ, CXE]",7,13,False,"Start from node YUA, output a sequence of traversal in depth-first search (DFS) order.","[YUA, CKJ, NCJ, IQC, CXE, XYI, XLK]","Let's run depth-first search (DFS) step by step.
Visit node YUA. Neighors of node YUA: [XYI, CXE, CKJ].
Visit node CKJ. Neighors of node CKJ: [YUA, XLK, CXE, NCJ].
Visit node NCJ. Neighors of node NCJ: [CXE, IQC, CKJ].
Visit node IQC. Neighors of node IQC: [XYI, XLK, CXE, NCJ].
Visit node CXE. Neighors of node CXE: [XYI, YUA, IQC, NCJ, CKJ].
Visit node XYI. Neighors of node XYI: [YUA, XLK, CXE, IQC].
Visit node XLK. Neighors of node XLK: [XYI, IQC, CKJ].
So the DFS traversal is ","('[[YUA, XLK, CXE, CKJ, IQC, NCJ, XYI], [YUA, CKJ, NCJ, IQC, CXE, XYI, XLK], [YUA, CKJ, XYI, XLK, NCJ, IQC, CXE], [YUA, CKJ, NCJ, XYI, CXE, IQC, XLK]]',)",1,1
DFS,"[(LBQ, WSH), (WSH, DOJ), (WSH, NSD), (DOJ, LNK), (NSD, PNI), (NSD, JQS), (PNI, LNK)]","{LBQ: [WSH],
WSH: [LBQ, DOJ, NSD],
DOJ: [WSH, LNK],
NSD: [WSH, PNI, JQS],
PNI: [LNK, NSD],
LNK: [PNI, DOJ],
JQS: [NSD]}","Node LBQ is connected to node WSH.
Node WSH is connected to nodes LBQ, DOJ, NSD.
Node DOJ is connected to nodes WSH, LNK.
Node NSD is connected to nodes WSH, PNI, JQS.
Node PNI is connected to nodes LNK, NSD.
Node LNK is connected to nodes PNI, DOJ.
Node JQS is connected to node NSD.","[LNK, NSD, JQS, PNI, DOJ, LBQ, WSH]",7,7,False,"Start from node LNK, output a sequence of traversal in depth-first search (DFS) order.","[LNK, DOJ, WSH, NSD, JQS, PNI, LBQ]","Let's run depth-first search (DFS) step by step.
Visit node LNK. Neighors of node LNK: [PNI, DOJ].
Visit node DOJ. Neighors of node DOJ: [WSH, LNK].
Visit node WSH. Neighors of node WSH: [LBQ, DOJ, NSD].
Visit node NSD. Neighors of node NSD: [WSH, PNI, JQS].
Visit node JQS. Neighors of node JQS: [NSD].
Visit node PNI. Neighors of node PNI: [LNK, NSD].
Visit node LBQ. Neighors of node LBQ: [WSH].
So the DFS traversal is ","('[[LNK, DOJ, PNI, LBQ, WSH, NSD, JQS], [LNK, DOJ, WSH, NSD, JQS, PNI, LBQ], [LNK, DOJ, WSH, PNI, JQS, LBQ, NSD], [LNK, NSD, WSH, LBQ, JQS, DOJ, PNI]]',)",1,2
DFS,"[(SUH, OWX), (OWX, HNE), (OWX, HJP), (HJP, ONT)]","{SUH: [OWX],
OWX: [SUH, HNE, HJP],
HNE: [OWX],
HJP: [OWX, ONT],
ONT: [HJP]}","Node SUH is connected to node OWX.
Node OWX is connected to nodes SUH, HNE, HJP.
Node HNE is connected to node OWX.
Node HJP is connected to nodes OWX, ONT.
Node ONT is connected to node HJP.","[SUH, OWX, HJP, ONT, HNE]",5,4,False,"Start from node HNE, output a sequence of traversal in depth-first search (DFS) order.","[HNE, OWX, HJP, ONT, SUH]","Let's run depth-first search (DFS) step by step.
Visit node HNE. Neighors of node HNE: [OWX].
Visit node OWX. Neighors of node OWX: [SUH, HNE, HJP].
Visit node HJP. Neighors of node HJP: [OWX, ONT].
Visit node ONT. Neighors of node ONT: [HJP].
Visit node SUH. Neighors of node SUH: [OWX].
So the DFS traversal is ","('[[HNE, SUH, OWX, HJP, ONT], [HNE, SUH, ONT, HJP, OWX], [HNE, OWX, HJP, ONT, SUH], [HNE, OWX, HJP, SUH, ONT]]',)",2,3
DFS,"[(QJI, IFN), (QJI, LHT), (IFN, COE), (LHT, COE), (COE, OLR), (NHT, ALZ), (ALZ, OLR)]","{QJI: [IFN, LHT],
IFN: [QJI, COE],
LHT: [QJI, COE],
COE: [IFN, LHT, OLR],
NHT: [ALZ],
ALZ: [NHT, OLR],
OLR: [ALZ, COE]}","Node QJI is connected to nodes IFN, LHT.
Node IFN is connected to nodes QJI, COE.
Node LHT is connected to nodes QJI, COE.
Node COE is connected to nodes IFN, LHT, OLR.
Node NHT is connected to node ALZ.
Node ALZ is connected to nodes NHT, OLR.
Node OLR is connected to nodes ALZ, COE.","[IFN, COE, LHT, ALZ, NHT, QJI, OLR]",7,7,False,"Start from node ALZ, output a sequence of traversal in depth-first search (DFS) order.","[ALZ, OLR, COE, LHT, QJI, IFN, NHT]","Let's run depth-first search (DFS) step by step.
Visit node ALZ. Neighors of node ALZ: [NHT, OLR].
Visit node OLR. Neighors of node OLR: [ALZ, COE].
Visit node COE. Neighors of node COE: [IFN, LHT, OLR].
Visit node LHT. Neighors of node LHT: [QJI, COE].
Visit node QJI. Neighors of node QJI: [IFN, LHT].
Visit node IFN. Neighors of node IFN: [QJI, COE].
Visit node NHT. Neighors of node NHT: [ALZ].
So the DFS traversal is ","('[[ALZ, OLR, COE, LHT, QJI, IFN, NHT], [ALZ, OLR, IFN, NHT, COE, LHT, QJI], [ALZ, OLR, COE, NHT, QJI, IFN, LHT], [ALZ, IFN, QJI, COE, OLR, LHT, NHT]]',)",0,4
DFS,"[(MDU, CQO), (MDU, HQG), (CQO, HQG), (CQO, MDU), (CQO, QKL), (HQG, ATO), (HQG, MDU), (HQG, XPM), (HQG, CQO), (QKL, ATO), (ATO, QKL), (ATO, HQG), (XPM, HQG)]","{MDU: [CQO, HQG],
CQO: [HQG, MDU, QKL],
HQG: [ATO, MDU, XPM, CQO],
QKL: [ATO],
ATO: [QKL, HQG],
XPM: [HQG]}","Node MDU is connected to nodes CQO, HQG.
Node CQO is connected to nodes HQG, MDU, QKL.
Node HQG is connected to nodes ATO, MDU, XPM, CQO.
Node QKL is connected to node ATO.
Node ATO is connected to nodes QKL, HQG.
Node XPM is connected to node HQG.","[QKL, ATO, CQO, HQG, MDU, XPM]",6,13,True,"Start from node HQG, output a sequence of traversal in depth-first search (DFS) order.","[HQG, CQO, QKL, ATO, MDU, XPM]","Let's run depth-first search (DFS) step by step.
Visit node HQG. Neighors of node HQG: [ATO, MDU, XPM, CQO].
Visit node CQO. Neighors of node CQO: [HQG, MDU, QKL].
Visit node QKL. Neighors of node QKL: [ATO].
Visit node ATO. Neighors of node ATO: [QKL, HQG].
Visit node MDU. Neighors of node MDU: [CQO, HQG].
Visit node XPM. Neighors of node XPM: [HQG].
So the DFS traversal is ","('[[HQG, MDU, CQO, XPM, ATO, QKL], [HQG, CQO, MDU, XPM, QKL, ATO], [HQG, CQO, QKL, ATO, MDU, XPM], [HQG, CQO, QKL, XPM, ATO, MDU]]',)",2,5
DFS,"[(TJX, GIV), (TJX, ERK), (TJX, URO), (TJX, QBW), (TJX, MSJ), (GIV, DTA), (GIV, ERK), (GIV, QBW), (ERK, DTA), (ERK, URO), (ERK, QBW), (URO, DTA), (URO, MSJ), (QBW, DTA), (MSJ, DTA)]","{TJX: [GIV, ERK, URO, QBW, MSJ],
GIV: [TJX, DTA, ERK, QBW],
ERK: [TJX, DTA, GIV, URO, QBW],
URO: [TJX, DTA, ERK, MSJ],
QBW: [TJX, DTA, GIV, ERK],
MSJ: [TJX, DTA, URO],
DTA: [GIV, ERK, URO, QBW, MSJ]}","Node TJX is connected to nodes GIV, ERK, URO, QBW, MSJ.
Node GIV is connected to nodes TJX, DTA, ERK, QBW.
Node ERK is connected to nodes TJX, DTA, GIV, URO, QBW.
Node URO is connected to nodes TJX, DTA, ERK, MSJ.
Node QBW is connected to nodes TJX, DTA, GIV, ERK.
Node MSJ is connected to nodes TJX, DTA, URO.
Node DTA is connected to nodes GIV, ERK, URO, QBW, MSJ.","[DTA, TJX, GIV, MSJ, QBW, URO, ERK]",7,15,False,"Start from node QBW, output a sequence of traversal in depth-first search (DFS) order.","[QBW, ERK, URO, MSJ, DTA, GIV, TJX]","Let's run depth-first search (DFS) step by step.
Visit node QBW. Neighors of node QBW: [TJX, DTA, GIV, ERK].
Visit node ERK. Neighors of node ERK: [TJX, DTA, GIV, URO, QBW].
Visit node URO. Neighors of node URO: [TJX, DTA, ERK, MSJ].
Visit node MSJ. Neighors of node MSJ: [TJX, DTA, URO].
Visit node DTA. Neighors of node DTA: [GIV, ERK, URO, QBW, MSJ].
Visit node GIV. Neighors of node GIV: [TJX, DTA, ERK, QBW].
Visit node TJX. Neighors of node TJX: [GIV, ERK, URO, QBW, MSJ].
So the DFS traversal is ","('[[QBW, ERK, GIV, TJX, URO, MSJ, DTA], [QBW, DTA, GIV, URO, TJX, ERK, MSJ], [QBW, ERK, URO, GIV, MSJ, DTA, TJX], [QBW, ERK, URO, MSJ, DTA, GIV, TJX]]',)",3,6
DFS,"[(AZV, BLH), (AZV, QZA), (QZA, NUA), (QZA, NDP), (QZA, JRE), (NDP, GYL)]","{AZV: [BLH, QZA],
BLH: [AZV],
QZA: [AZV, NUA, NDP, JRE],
NUA: [QZA],
NDP: [QZA, GYL],
JRE: [QZA],
GYL: [NDP]}","Node AZV is connected to nodes BLH, QZA.
Node BLH is connected to node AZV.
Node QZA is connected to nodes AZV, NUA, NDP, JRE.
Node NUA is connected to node QZA.
Node NDP is connected to nodes QZA, GYL.
Node JRE is connected to node QZA.
Node GYL is connected to node NDP.","[GYL, NDP, QZA, BLH, NUA, JRE, AZV]",7,6,False,"Start from node GYL, output a sequence of traversal in depth-first search (DFS) order.","[GYL, NDP, QZA, JRE, NUA, AZV, BLH]","Let's run depth-first search (DFS) step by step.
Visit node GYL. Neighors of node GYL: [NDP].
Visit node NDP. Neighors of node NDP: [QZA, GYL].
Visit node QZA. Neighors of node QZA: [AZV, NUA, NDP, JRE].
Visit node JRE. Neighors of node JRE: [QZA].
Visit node NUA. Neighors of node NUA: [QZA].
Visit node AZV. Neighors of node AZV: [BLH, QZA].
Visit node BLH. Neighors of node BLH: [AZV].
So the DFS traversal is ","('[[GYL, NDP, QZA, NUA, AZV, JRE, BLH], [GYL, NUA, NDP, BLH, QZA, AZV, JRE], [GYL, NDP, AZV, BLH, QZA, JRE, NUA], [GYL, NDP, QZA, JRE, NUA, AZV, BLH]]',)",3,7
DFS,"[(XOA, GKK), (XOA, RLJ), (GKK, PNL), (GKK, NAB), (RLJ, MII), (PNL, NAB)]","{XOA: [GKK, RLJ],
GKK: [XOA, PNL, NAB],
RLJ: [XOA, MII],
PNL: [GKK, NAB],
NAB: [GKK, PNL],
MII: [RLJ]}","Node XOA is connected to nodes GKK, RLJ.
Node GKK is connected to nodes XOA, PNL, NAB.
Node RLJ is connected to nodes XOA, MII.
Node PNL is connected to nodes GKK, NAB.
Node NAB is connected to nodes GKK, PNL.
Node MII is connected to node RLJ.","[GKK, RLJ, NAB, MII, XOA, PNL]",6,6,False,"Start from node XOA, output a sequence of traversal in depth-first search (DFS) order.","[XOA, RLJ, MII, GKK, NAB, PNL]","Let's run depth-first search (DFS) step by step.
Visit node XOA. Neighors of node XOA: [GKK, RLJ].
Visit node RLJ. Neighors of node RLJ: [XOA, MII].
Visit node MII. Neighors of node MII: [RLJ].
Visit node GKK. Neighors of node GKK: [XOA, PNL, NAB].
Visit node NAB. Neighors of node NAB: [GKK, PNL].
Visit node PNL. Neighors of node PNL: [GKK, NAB].
So the DFS traversal is ","('[[XOA, RLJ, MII, GKK, NAB, PNL], [XOA, GKK, MII, RLJ, PNL, NAB], [XOA, RLJ, NAB, PNL, MII, GKK], [XOA, RLJ, MII, GKK, NAB, PNL]]',)",0,8
DFS,"[(KVC, RCO), (KVC, ETD), (KVC, HPD), (KVC, URF), (URF, EVN)]","{KVC: [RCO, ETD, HPD, URF],
RCO: [KVC],
ETD: [KVC],
HPD: [KVC],
URF: [KVC, EVN],
EVN: [URF]}","Node KVC is connected to nodes RCO, ETD, HPD, URF.
Node RCO is connected to node KVC.
Node ETD is connected to node KVC.
Node HPD is connected to node KVC.
Node URF is connected to nodes KVC, EVN.
Node EVN is connected to node URF.","[EVN, HPD, URF, KVC, ETD, RCO]",6,5,False,"Start from node KVC, output a sequence of traversal in depth-first search (DFS) order.","[KVC, URF, EVN, HPD, ETD, RCO]","Let's run depth-first search (DFS) step by step.
Visit node KVC. Neighors of node KVC: [RCO, ETD, HPD, URF].
Visit node URF. Neighors of node URF: [KVC, EVN].
Visit node EVN. Neighors of node EVN: [URF].
Visit node HPD. Neighors of node HPD: [KVC].
Visit node ETD. Neighors of node ETD: [KVC].
Visit node RCO. Neighors of node RCO: [KVC].
So the DFS traversal is ","('[[KVC, URF, EVN, ETD, HPD, RCO], [KVC, URF, ETD, RCO, EVN, HPD], [KVC, URF, EVN, HPD, ETD, RCO], [KVC, HPD, ETD, RCO, URF, EVN]]',)",2,9
