task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,answer_tree,id
MST,"[(GJM, RDN, weight:4), (GJM, XXW, weight:6), (GJM, XHX, weight:5), (XXW, RFU, weight:1), (RFU, ZPT, weight:4), (RFU, CSE, weight:5)]","{GJM: [(RDN, weight:4), (XXW, weight:6), (XHX, weight:5)],
RDN: [(GJM, weight:4)],
XXW: [(GJM, weight:6), (RFU, weight:1)],
XHX: [(GJM, weight:5)],
RFU: [(XXW, weight:1), (ZPT, weight:4), (CSE, weight:5)],
ZPT: [(RFU, weight:4)],
CSE: [(RFU, weight:5)]}","Node GJM is connected to nodes RDN, XXW, XHX.
Node RDN is connected to node GJM.
Node XXW is connected to nodes GJM, RFU.
Node XHX is connected to node GJM.
Node RFU is connected to nodes XXW, ZPT, CSE.
Node ZPT is connected to node RFU.
Node CSE is connected to node RFU.","[RDN, CSE, RFU, ZPT, XXW, GJM, XHX]",7,6,False,Output the total weight of the minimum spanning tree (MST) for this graph.,25,"Let's solve it step by step. We can use the Prim's algorithm. Start from node RDN.
Collected nodes: RDN. The edge with minimum weight we find: (RDN, XXW, weight:5).
Collected nodes: RDN, XXW. The edge with minimum weight we find: (XXW, RFU, weight:1).
Collected nodes: RDN, XXW, RFU. The edge with minimum weight we find: (XXW, XHX, weight:4).
Collected nodes: RDN, XXW, RFU, XHX. The edge with minimum weight we find: (RFU, ZPT, weight:6).
Collected nodes: RDN, XXW, RFU, XHX, ZPT. The edge with minimum weight we find: (ZPT, GJM, weight:4).
Collected nodes: RDN, XXW, RFU, XHX, ZPT, GJM. The edge with minimum weight we find: (ZPT, CSE, weight:5).
These edges make up its minimum spanning tree.
So the total weight of the minimum spanning tree is ","('[27, 28, 25, 0]',)",2,"[(RDN, XXW, weight:5), (XXW, RFU, weight:1), (XXW, XHX, weight:4), (RFU, ZPT, weight:6), (ZPT, GJM, weight:4), (ZPT, CSE, weight:5)]",0
MST,"[(NCN, NIZ, weight:10), (NCN, ZXN, weight:7), (NIZ, GOG, weight:2), (ZXN, MGC, weight:5), (ZXN, XVW, weight:10), (GOG, XVW, weight:4)]","{NCN: [(NIZ, weight:10), (ZXN, weight:7)],
NIZ: [(NCN, weight:10), (GOG, weight:2)],
ZXN: [(NCN, weight:7), (MGC, weight:5), (XVW, weight:10)],
GOG: [(NIZ, weight:2), (XVW, weight:4)],
MGC: [(ZXN, weight:5)],
XVW: [(ZXN, weight:10), (GOG, weight:4)]}","Node NCN is connected to nodes NIZ, ZXN.
Node NIZ is connected to nodes NCN, GOG.
Node ZXN is connected to nodes NCN, MGC, XVW.
Node GOG is connected to nodes NIZ, XVW.
Node MGC is connected to node ZXN.
Node XVW is connected to nodes ZXN, GOG.","[XVW, GOG, MGC, ZXN, NIZ, NCN]",6,6,False,Output the total weight of the minimum spanning tree (MST) for this graph.,28,"Let's solve it step by step. We can use the Prim's algorithm. Start from node XVW.
Collected nodes: XVW. The edge with minimum weight we find: (XVW, GOG, weight:7).
Collected nodes: XVW, GOG. The edge with minimum weight we find: (GOG, ZXN, weight:5).
Collected nodes: XVW, GOG, ZXN. The edge with minimum weight we find: (GOG, NCN, weight:10).
Collected nodes: XVW, GOG, ZXN, NCN. The edge with minimum weight we find: (NCN, NIZ, weight:4).
Collected nodes: XVW, GOG, ZXN, NCN, NIZ. The edge with minimum weight we find: (NIZ, MGC, weight:2).
These edges make up its minimum spanning tree.
So the total weight of the minimum spanning tree is ","('[38, 0, 32, 28]',)",3,"[(XVW, GOG, weight:7), (GOG, ZXN, weight:5), (GOG, NCN, weight:10), (NCN, NIZ, weight:4), (NIZ, MGC, weight:2)]",1
MST,"[(SCW, XPL, weight:5), (SCW, OET, weight:7), (SCW, NCH, weight:9), (SCW, TKI, weight:10)]","{SCW: [(XPL, weight:5), (OET, weight:7), (NCH, weight:9), (TKI, weight:10)],
XPL: [(SCW, weight:5)],
OET: [(SCW, weight:7)],
NCH: [(SCW, weight:9)],
TKI: [(SCW, weight:10)]}","Node SCW is connected to nodes XPL, OET, NCH, TKI.
Node XPL is connected to node SCW.
Node OET is connected to node SCW.
Node NCH is connected to node SCW.
Node TKI is connected to node SCW.","[TKI, OET, NCH, XPL, SCW]",5,4,False,Output the total weight of the minimum spanning tree (MST) for this graph.,31,"Let's solve it step by step. We can use the Prim's algorithm. Start from node TKI.
Collected nodes: TKI. The edge with minimum weight we find: (TKI, NCH, weight:5).
Collected nodes: TKI, NCH. The edge with minimum weight we find: (TKI, XPL, weight:7).
Collected nodes: TKI, NCH, XPL. The edge with minimum weight we find: (TKI, OET, weight:9).
Collected nodes: TKI, NCH, XPL, OET. The edge with minimum weight we find: (TKI, SCW, weight:10).
These edges make up its minimum spanning tree.
So the total weight of the minimum spanning tree is ","('[0, 34, 31, 41]',)",2,"[(TKI, NCH, weight:5), (TKI, XPL, weight:7), (TKI, OET, weight:9), (TKI, SCW, weight:10)]",2
MST,"[(EWL, NAW, weight:8), (EWL, XWD, weight:9), (EWL, FHR, weight:8), (EWL, FZB, weight:4), (NAW, CBF, weight:6), (FHR, YFE, weight:6)]","{EWL: [(NAW, weight:8), (XWD, weight:9), (FHR, weight:8), (FZB, weight:4)],
NAW: [(EWL, weight:8), (CBF, weight:6)],
XWD: [(EWL, weight:9)],
FHR: [(EWL, weight:8), (YFE, weight:6)],
FZB: [(EWL, weight:4)],
CBF: [(NAW, weight:6)],
YFE: [(FHR, weight:6)]}","Node EWL is connected to nodes NAW, XWD, FHR, FZB.
Node NAW is connected to nodes EWL, CBF.
Node XWD is connected to node EWL.
Node FHR is connected to nodes EWL, YFE.
Node FZB is connected to node EWL.
Node CBF is connected to node NAW.
Node YFE is connected to node FHR.","[NAW, FZB, CBF, EWL, YFE, XWD, FHR]",7,6,False,Output the total weight of the minimum spanning tree (MST) for this graph.,41,"Let's solve it step by step. We can use the Prim's algorithm. Start from node NAW.
Collected nodes: NAW. The edge with minimum weight we find: (NAW, FHR, weight:4).
Collected nodes: NAW, FHR. The edge with minimum weight we find: (FHR, EWL, weight:8).
Collected nodes: NAW, FHR, EWL. The edge with minimum weight we find: (EWL, XWD, weight:6).
Collected nodes: NAW, FHR, EWL, XWD. The edge with minimum weight we find: (FHR, YFE, weight:8).
Collected nodes: NAW, FHR, EWL, XWD, YFE. The edge with minimum weight we find: (YFE, FZB, weight:6).
Collected nodes: NAW, FHR, EWL, XWD, YFE, FZB. The edge with minimum weight we find: (FHR, CBF, weight:9).
These edges make up its minimum spanning tree.
So the total weight of the minimum spanning tree is ","('[41, 46, 0, 49]',)",0,"[(NAW, FHR, weight:4), (FHR, EWL, weight:8), (EWL, XWD, weight:6), (FHR, YFE, weight:8), (YFE, FZB, weight:6), (FHR, CBF, weight:9)]",3
MST,"[(IBJ, LFX, weight:7), (IBJ, GIW, weight:8), (LFX, NCX, weight:5), (GIW, AQR, weight:7), (NCX, FIP, weight:8), (AQR, FIP, weight:2)]","{IBJ: [(LFX, weight:7), (GIW, weight:8)],
LFX: [(IBJ, weight:7), (NCX, weight:5)],
GIW: [(IBJ, weight:8), (AQR, weight:7)],
NCX: [(LFX, weight:5), (FIP, weight:8)],
AQR: [(GIW, weight:7), (FIP, weight:2)],
FIP: [(NCX, weight:8), (AQR, weight:2)]}","Node IBJ is connected to nodes LFX, GIW.
Node LFX is connected to nodes IBJ, NCX.
Node GIW is connected to nodes IBJ, AQR.
Node NCX is connected to nodes LFX, FIP.
Node AQR is connected to nodes GIW, FIP.
Node FIP is connected to nodes NCX, AQR.","[NCX, GIW, AQR, FIP, IBJ, LFX]",6,6,False,Output the total weight of the minimum spanning tree (MST) for this graph.,29,"Let's solve it step by step. We can use the Prim's algorithm. Start from node NCX.
Collected nodes: NCX. The edge with minimum weight we find: (NCX, GIW, weight:2).
Collected nodes: NCX, GIW. The edge with minimum weight we find: (GIW, LFX, weight:7).
Collected nodes: NCX, GIW, LFX. The edge with minimum weight we find: (LFX, AQR, weight:8).
Collected nodes: NCX, GIW, LFX, AQR. The edge with minimum weight we find: (AQR, FIP, weight:7).
Collected nodes: NCX, GIW, LFX, AQR, FIP. The edge with minimum weight we find: (FIP, IBJ, weight:5).
These edges make up its minimum spanning tree.
So the total weight of the minimum spanning tree is ","('[35, 29, 0, 36]',)",1,"[(NCX, GIW, weight:2), (GIW, LFX, weight:7), (LFX, AQR, weight:8), (AQR, FIP, weight:7), (FIP, IBJ, weight:5)]",4
MST,"[(KGZ, HAZ, weight:10), (KGZ, XCJ, weight:10), (KGZ, GKM, weight:9), (KGZ, LKW, weight:3), (KGZ, GAF, weight:9), (HAZ, XCJ, weight:9), (HAZ, GKM, weight:3), (HAZ, GAF, weight:5), (XCJ, LKW, weight:8), (XCJ, GAF, weight:3)]","{KGZ: [(HAZ, weight:10), (XCJ, weight:10), (GKM, weight:9), (LKW, weight:3), (GAF, weight:9)],
HAZ: [(KGZ, weight:10), (XCJ, weight:9), (GKM, weight:3), (GAF, weight:5)],
XCJ: [(KGZ, weight:10), (HAZ, weight:9), (LKW, weight:8), (GAF, weight:3)],
GKM: [(KGZ, weight:9), (HAZ, weight:3)],
LKW: [(KGZ, weight:3), (XCJ, weight:8)],
GAF: [(KGZ, weight:9), (HAZ, weight:5), (XCJ, weight:3)]}","Node KGZ is connected to nodes HAZ, XCJ, GKM, LKW, GAF.
Node HAZ is connected to nodes KGZ, XCJ, GKM, GAF.
Node XCJ is connected to nodes KGZ, HAZ, LKW, GAF.
Node GKM is connected to nodes KGZ, HAZ.
Node LKW is connected to nodes KGZ, XCJ.
Node GAF is connected to nodes KGZ, HAZ, XCJ.","[KGZ, HAZ, GAF, XCJ, LKW, GKM]",6,10,False,Output the total weight of the minimum spanning tree (MST) for this graph.,22,"Let's solve it step by step. We can use the Prim's algorithm. Start from node KGZ.
Collected nodes: KGZ. The edge with minimum weight we find: (KGZ, LKW, weight:3).
Collected nodes: KGZ, LKW. The edge with minimum weight we find: (LKW, GKM, weight:8).
Collected nodes: KGZ, LKW, GKM. The edge with minimum weight we find: (GKM, XCJ, weight:3).
Collected nodes: KGZ, LKW, GKM, XCJ. The edge with minimum weight we find: (XCJ, HAZ, weight:5).
Collected nodes: KGZ, LKW, GKM, XCJ, HAZ. The edge with minimum weight we find: (HAZ, GAF, weight:3).
These edges make up its minimum spanning tree.
So the total weight of the minimum spanning tree is ","('[32, 26, 22, 0]',)",2,"[(KGZ, LKW, weight:3), (LKW, GKM, weight:8), (GKM, XCJ, weight:3), (XCJ, HAZ, weight:5), (HAZ, GAF, weight:3)]",5
MST,"[(SRS, FEQ, weight:9), (SRS, MFW, weight:7), (SRS, JKU, weight:2), (SRS, SEQ, weight:6), (FEQ, MFW, weight:7), (FEQ, JKU, weight:9), (FEQ, SEQ, weight:7), (MFW, DPA, weight:8), (MFW, JKU, weight:7), (MFW, SEQ, weight:4), (JKU, DPA, weight:4), (SEQ, DPA, weight:2)]","{SRS: [(FEQ, weight:9), (MFW, weight:7), (JKU, weight:2), (SEQ, weight:6)],
FEQ: [(SRS, weight:9), (MFW, weight:7), (JKU, weight:9), (SEQ, weight:7)],
MFW: [(SRS, weight:7), (FEQ, weight:7), (DPA, weight:8), (JKU, weight:7), (SEQ, weight:4)],
JKU: [(SRS, weight:2), (FEQ, weight:9), (MFW, weight:7), (DPA, weight:4)],
SEQ: [(SRS, weight:6), (FEQ, weight:7), (MFW, weight:4), (DPA, weight:2)],
DPA: [(MFW, weight:8), (JKU, weight:4), (SEQ, weight:2)]}","Node SRS is connected to nodes FEQ, MFW, JKU, SEQ.
Node FEQ is connected to nodes SRS, MFW, JKU, SEQ.
Node MFW is connected to nodes SRS, FEQ, DPA, JKU, SEQ.
Node JKU is connected to nodes SRS, FEQ, MFW, DPA.
Node SEQ is connected to nodes SRS, FEQ, MFW, DPA.
Node DPA is connected to nodes MFW, JKU, SEQ.","[SRS, JKU, FEQ, MFW, DPA, SEQ]",6,12,False,Output the total weight of the minimum spanning tree (MST) for this graph.,19,"Let's solve it step by step. We can use the Prim's algorithm. Start from node SRS.
Collected nodes: SRS. The edge with minimum weight we find: (SRS, FEQ, weight:2).
Collected nodes: SRS, FEQ. The edge with minimum weight we find: (FEQ, SEQ, weight:4).
Collected nodes: SRS, FEQ, SEQ. The edge with minimum weight we find: (SEQ, DPA, weight:2).
Collected nodes: SRS, FEQ, SEQ, DPA. The edge with minimum weight we find: (DPA, JKU, weight:4).
Collected nodes: SRS, FEQ, SEQ, DPA, JKU. The edge with minimum weight we find: (JKU, MFW, weight:7).
These edges make up its minimum spanning tree.
So the total weight of the minimum spanning tree is ","('[26, 19, 21, 0]',)",1,"[(SRS, FEQ, weight:2), (FEQ, SEQ, weight:4), (SEQ, DPA, weight:2), (DPA, JKU, weight:4), (JKU, MFW, weight:7)]",6
MST,"[(QFA, QKG, weight:9), (QFA, OVO, weight:3), (QFA, VBI, weight:9), (QKG, AMW, weight:6), (OVO, URQ, weight:6), (OVO, AMW, weight:8)]","{QFA: [(QKG, weight:9), (OVO, weight:3), (VBI, weight:9)],
QKG: [(QFA, weight:9), (AMW, weight:6)],
OVO: [(QFA, weight:3), (URQ, weight:6), (AMW, weight:8)],
VBI: [(QFA, weight:9)],
AMW: [(QKG, weight:6), (OVO, weight:8)],
URQ: [(OVO, weight:6)]}","Node QFA is connected to nodes QKG, OVO, VBI.
Node QKG is connected to nodes QFA, AMW.
Node OVO is connected to nodes QFA, URQ, AMW.
Node VBI is connected to node QFA.
Node AMW is connected to nodes QKG, OVO.
Node URQ is connected to node OVO.","[QKG, AMW, OVO, VBI, URQ, QFA]",6,6,False,Output the total weight of the minimum spanning tree (MST) for this graph.,32,"Let's solve it step by step. We can use the Prim's algorithm. Start from node QKG.
Collected nodes: QKG. The edge with minimum weight we find: (QKG, QFA, weight:6).
Collected nodes: QKG, QFA. The edge with minimum weight we find: (QKG, OVO, weight:8).
Collected nodes: QKG, QFA, OVO. The edge with minimum weight we find: (OVO, URQ, weight:3).
Collected nodes: QKG, QFA, OVO, URQ. The edge with minimum weight we find: (OVO, AMW, weight:6).
Collected nodes: QKG, QFA, OVO, URQ, AMW. The edge with minimum weight we find: (URQ, VBI, weight:9).
These edges make up its minimum spanning tree.
So the total weight of the minimum spanning tree is ","('[39, 32, 0, 41]',)",1,"[(QKG, QFA, weight:6), (QKG, OVO, weight:8), (OVO, URQ, weight:3), (OVO, AMW, weight:6), (URQ, VBI, weight:9)]",7
MST,"[(RNH, XWV, weight:1), (RNH, NBF, weight:2), (RNH, QGV, weight:6), (XWV, NDU, weight:1), (NBF, NDU, weight:9), (QGV, QVH, weight:10)]","{RNH: [(XWV, weight:1), (NBF, weight:2), (QGV, weight:6)],
XWV: [(RNH, weight:1), (NDU, weight:1)],
NBF: [(RNH, weight:2), (NDU, weight:9)],
QGV: [(RNH, weight:6), (QVH, weight:10)],
NDU: [(XWV, weight:1), (NBF, weight:9)],
QVH: [(QGV, weight:10)]}","Node RNH is connected to nodes XWV, NBF, QGV.
Node XWV is connected to nodes RNH, NDU.
Node NBF is connected to nodes RNH, NDU.
Node QGV is connected to nodes RNH, QVH.
Node NDU is connected to nodes XWV, NBF.
Node QVH is connected to node QGV.","[NBF, RNH, XWV, QVH, NDU, QGV]",6,6,False,Output the total weight of the minimum spanning tree (MST) for this graph.,20,"Let's solve it step by step. We can use the Prim's algorithm. Start from node NBF.
Collected nodes: NBF. The edge with minimum weight we find: (NBF, XWV, weight:1).
Collected nodes: NBF, XWV. The edge with minimum weight we find: (NBF, NDU, weight:1).
Collected nodes: NBF, XWV, NDU. The edge with minimum weight we find: (XWV, RNH, weight:2).
Collected nodes: NBF, XWV, NDU, RNH. The edge with minimum weight we find: (XWV, QVH, weight:6).
Collected nodes: NBF, XWV, NDU, RNH, QVH. The edge with minimum weight we find: (QVH, QGV, weight:10).
These edges make up its minimum spanning tree.
So the total weight of the minimum spanning tree is ","('[20, 0, 29, 23]',)",0,"[(NBF, XWV, weight:1), (NBF, NDU, weight:1), (XWV, RNH, weight:2), (XWV, QVH, weight:6), (QVH, QGV, weight:10)]",8
MST,"[(VMV, FOF, weight:5), (VMV, OXG, weight:10), (FOF, HWO, weight:9), (FOF, VPU, weight:3), (FOF, OXG, weight:9), (FOF, SYH, weight:4), (OXG, HWO, weight:6), (OXG, VPU, weight:5), (OXG, SYH, weight:5), (HWO, VPU, weight:6), (HWO, SYH, weight:8)]","{VMV: [(FOF, weight:5), (OXG, weight:10)],
FOF: [(VMV, weight:5), (HWO, weight:9), (VPU, weight:3), (OXG, weight:9), (SYH, weight:4)],
OXG: [(VMV, weight:10), (FOF, weight:9), (HWO, weight:6), (VPU, weight:5), (SYH, weight:5)],
HWO: [(FOF, weight:9), (OXG, weight:6), (VPU, weight:6), (SYH, weight:8)],
VPU: [(FOF, weight:3), (OXG, weight:5), (HWO, weight:6)],
SYH: [(FOF, weight:4), (OXG, weight:5), (HWO, weight:8)]}","Node VMV is connected to nodes FOF, OXG.
Node FOF is connected to nodes VMV, HWO, VPU, OXG, SYH.
Node OXG is connected to nodes VMV, FOF, HWO, VPU, SYH.
Node HWO is connected to nodes FOF, OXG, VPU, SYH.
Node VPU is connected to nodes FOF, OXG, HWO.
Node SYH is connected to nodes FOF, OXG, HWO.","[FOF, VMV, VPU, SYH, HWO, OXG]",6,11,False,Output the total weight of the minimum spanning tree (MST) for this graph.,23,"Let's solve it step by step. We can use the Prim's algorithm. Start from node FOF.
Collected nodes: FOF. The edge with minimum weight we find: (FOF, VMV, weight:5).
Collected nodes: FOF, VMV. The edge with minimum weight we find: (VMV, OXG, weight:3).
Collected nodes: FOF, VMV, OXG. The edge with minimum weight we find: (VMV, HWO, weight:4).
Collected nodes: FOF, VMV, OXG, HWO. The edge with minimum weight we find: (OXG, SYH, weight:5).
Collected nodes: FOF, VMV, OXG, HWO, SYH. The edge with minimum weight we find: (OXG, VPU, weight:6).
These edges make up its minimum spanning tree.
So the total weight of the minimum spanning tree is ","('[0, 29, 28, 23]',)",3,"[(FOF, VMV, weight:5), (VMV, OXG, weight:3), (VMV, HWO, weight:4), (OXG, SYH, weight:5), (OXG, VPU, weight:6)]",9
