task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,n1,n2,id
bipartite,"[(PBP, MTZ), (IGZ, UBJ), (IGZ, LNA), (IGZ, MTZ)]","{PBP: [MTZ],
IGZ: [UBJ, LNA, MTZ],
UBJ: [IGZ],
LNA: [IGZ],
MTZ: [PBP, IGZ]}","Node PBP is connected to node MTZ.
Node IGZ is connected to nodes UBJ, LNA, MTZ.
Node UBJ is connected to node IGZ.
Node LNA is connected to node IGZ.
Node MTZ is connected to nodes PBP, IGZ.","[PBP, IGZ, UBJ, LNA, MTZ]",5,4,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: PBP IGZ.
Nodes set 2 contains: UBJ LNA MTZ.","[(PBP, MTZ), (IGZ, UBJ)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node PBP. Updated matching: {MTZ: PBP}.
Search from node IGZ. Updated matching: {MTZ: PBP, UBJ: IGZ}.
So the maximum matching is ",2,3,0
bipartite,"[(ZEA, WSL), (ZEA, YCA), (HYS, WSL), (HYS, EJX), (HYS, XBN), (HYS, JHV)]","{ZEA: [WSL, YCA],
HYS: [WSL, EJX, XBN, JHV],
WSL: [ZEA, HYS],
EJX: [HYS],
XBN: [HYS],
YCA: [ZEA],
JHV: [HYS]}","Node ZEA is connected to nodes WSL, YCA.
Node HYS is connected to nodes WSL, EJX, XBN, JHV.
Node WSL is connected to nodes ZEA, HYS.
Node EJX is connected to node HYS.
Node XBN is connected to node HYS.
Node YCA is connected to node ZEA.
Node JHV is connected to node HYS.","[ZEA, HYS, WSL, EJX, XBN, YCA, JHV]",7,6,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: ZEA HYS.
Nodes set 2 contains: WSL EJX XBN YCA JHV.","[(ZEA, YCA), (HYS, WSL)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node ZEA. Updated matching: {WSL: ZEA}.
Search from node HYS. Updated matching: {WSL: HYS, YCA: ZEA}.
So the maximum matching is ",2,5,1
bipartite,"[(VPO, GTL), (VPO, TPM), (BTF, GTL), (BTF, GKZ), (BTF, WYW), (MZQ, WYW)]","{VPO: [GTL, TPM],
BTF: [GTL, GKZ, WYW],
MZQ: [WYW],
GTL: [VPO, BTF],
GKZ: [BTF],
WYW: [BTF, MZQ],
TPM: [VPO]}","Node VPO is connected to nodes GTL, TPM.
Node BTF is connected to nodes GTL, GKZ, WYW.
Node MZQ is connected to node WYW.
Node GTL is connected to nodes VPO, BTF.
Node GKZ is connected to node BTF.
Node WYW is connected to nodes BTF, MZQ.
Node TPM is connected to node VPO.","[VPO, BTF, MZQ, GTL, GKZ, WYW, TPM]",7,6,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: VPO BTF MZQ.
Nodes set 2 contains: GTL GKZ WYW TPM.","[(VPO, TPM), (BTF, GTL), (MZQ, WYW)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node VPO. Updated matching: {GTL: VPO}.
Search from node BTF. Updated matching: {GTL: BTF, TPM: VPO}.
Search from node MZQ. Updated matching: {GTL: BTF, TPM: VPO, WYW: MZQ}.
So the maximum matching is ",3,4,2
bipartite,"[(SHU, ILM), (VJD, BIT), (VJD, JOT), (VJD, ILM)]","{SHU: [ILM],
VJD: [BIT, JOT, ILM],
BIT: [VJD],
JOT: [VJD],
ILM: [SHU, VJD]}","Node SHU is connected to node ILM.
Node VJD is connected to nodes BIT, JOT, ILM.
Node BIT is connected to node VJD.
Node JOT is connected to node VJD.
Node ILM is connected to nodes SHU, VJD.","[SHU, VJD, BIT, JOT, ILM]",5,4,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: SHU VJD.
Nodes set 2 contains: BIT JOT ILM.","[(SHU, ILM), (VJD, BIT)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node SHU. Updated matching: {ILM: SHU}.
Search from node VJD. Updated matching: {ILM: SHU, BIT: VJD}.
So the maximum matching is ",2,3,3
bipartite,"[(SKX, NVS), (SKX, NSY), (SUZ, NVS), (SUZ, ITQ)]","{SKX: [NVS, NSY],
SUZ: [NVS, ITQ],
NVS: [SKX, SUZ],
NSY: [SKX],
ITQ: [SUZ]}","Node SKX is connected to nodes NVS, NSY.
Node SUZ is connected to nodes NVS, ITQ.
Node NVS is connected to nodes SKX, SUZ.
Node NSY is connected to node SKX.
Node ITQ is connected to node SUZ.","[SKX, SUZ, NVS, NSY, ITQ]",5,4,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: SKX SUZ.
Nodes set 2 contains: NVS NSY ITQ.","[(SKX, NSY), (SUZ, NVS)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node SKX. Updated matching: {NVS: SKX}.
Search from node SUZ. Updated matching: {NVS: SUZ, NSY: SKX}.
So the maximum matching is ",2,3,4
bipartite,"[(GSG, KQN), (GSG, AGA), (GSG, UGB), (WMF, GIX), (WMF, QDJ), (WMF, AGA), (WMF, UGB)]","{GSG: [KQN, AGA, UGB],
WMF: [GIX, QDJ, AGA, UGB],
GIX: [WMF],
QDJ: [WMF],
KQN: [GSG],
AGA: [GSG, WMF],
UGB: [GSG, WMF]}","Node GSG is connected to nodes KQN, AGA, UGB.
Node WMF is connected to nodes GIX, QDJ, AGA, UGB.
Node GIX is connected to node WMF.
Node QDJ is connected to node WMF.
Node KQN is connected to node GSG.
Node AGA is connected to nodes GSG, WMF.
Node UGB is connected to nodes GSG, WMF.","[GSG, WMF, GIX, QDJ, KQN, AGA, UGB]",7,7,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: GSG WMF.
Nodes set 2 contains: GIX QDJ KQN AGA UGB.","[(GSG, KQN), (WMF, GIX)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node GSG. Updated matching: {KQN: GSG}.
Search from node WMF. Updated matching: {KQN: GSG, GIX: WMF}.
So the maximum matching is ",2,5,5
bipartite,"[(PQX, SMF), (PQX, IOY), (PQX, SXF), (PQX, FIE)]","{PQX: [SMF, IOY, SXF, FIE],
SMF: [PQX],
IOY: [PQX],
SXF: [PQX],
FIE: [PQX]}","Node PQX is connected to nodes SMF, IOY, SXF, FIE.
Node SMF is connected to node PQX.
Node IOY is connected to node PQX.
Node SXF is connected to node PQX.
Node FIE is connected to node PQX.","[PQX, SMF, IOY, SXF, FIE]",5,4,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: PQX.
Nodes set 2 contains: SMF IOY SXF FIE.","[(PQX, SMF)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node PQX. Updated matching: {SMF: PQX}.
So the maximum matching is ",1,4,6
bipartite,"[(JAR, XCT), (JAR, CMS), (JAR, MGU), (FNL, QJI), (FNL, CMS), (FNL, MGU)]","{JAR: [XCT, CMS, MGU],
FNL: [QJI, CMS, MGU],
XCT: [JAR],
QJI: [FNL],
CMS: [JAR, FNL],
MGU: [JAR, FNL]}","Node JAR is connected to nodes XCT, CMS, MGU.
Node FNL is connected to nodes QJI, CMS, MGU.
Node XCT is connected to node JAR.
Node QJI is connected to node FNL.
Node CMS is connected to nodes JAR, FNL.
Node MGU is connected to nodes JAR, FNL.","[JAR, FNL, XCT, QJI, CMS, MGU]",6,6,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: JAR FNL.
Nodes set 2 contains: XCT QJI CMS MGU.","[(JAR, XCT), (FNL, QJI)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node JAR. Updated matching: {XCT: JAR}.
Search from node FNL. Updated matching: {XCT: JAR, QJI: FNL}.
So the maximum matching is ",2,4,7
bipartite,"[(BLL, LGB), (BLL, CCP), (MDB, YGH), (MDB, LGB), (MDB, FNE), (MDB, QDX)]","{BLL: [LGB, CCP],
MDB: [YGH, LGB, FNE, QDX],
YGH: [MDB],
LGB: [BLL, MDB],
FNE: [MDB],
CCP: [BLL],
QDX: [MDB]}","Node BLL is connected to nodes LGB, CCP.
Node MDB is connected to nodes YGH, LGB, FNE, QDX.
Node YGH is connected to node MDB.
Node LGB is connected to nodes BLL, MDB.
Node FNE is connected to node MDB.
Node CCP is connected to node BLL.
Node QDX is connected to node MDB.","[BLL, MDB, YGH, LGB, FNE, CCP, QDX]",7,6,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: BLL MDB.
Nodes set 2 contains: YGH LGB FNE CCP QDX.","[(BLL, LGB), (MDB, YGH)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node BLL. Updated matching: {LGB: BLL}.
Search from node MDB. Updated matching: {LGB: BLL, YGH: MDB}.
So the maximum matching is ",2,5,8
bipartite,"[(FWT, GJQ), (FWT, UYH), (AJO, GJQ), (AJO, AXL)]","{FWT: [GJQ, UYH],
AJO: [GJQ, AXL],
GJQ: [FWT, AJO],
UYH: [FWT],
AXL: [AJO]}","Node FWT is connected to nodes GJQ, UYH.
Node AJO is connected to nodes GJQ, AXL.
Node GJQ is connected to nodes FWT, AJO.
Node UYH is connected to node FWT.
Node AXL is connected to node AJO.","[FWT, AJO, GJQ, UYH, AXL]",5,4,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: FWT AJO.
Nodes set 2 contains: GJQ UYH AXL.","[(FWT, UYH), (AJO, GJQ)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node FWT. Updated matching: {GJQ: FWT}.
Search from node AJO. Updated matching: {GJQ: AJO, UYH: FWT}.
So the maximum matching is ",2,3,9
bipartite,"[(RAM, VYY), (RAM, ULE), (IHN, HXH), (IHN, QQQ), (IHN, ULE)]","{RAM: [VYY, ULE],
IHN: [HXH, QQQ, ULE],
HXH: [IHN],
VYY: [RAM],
QQQ: [IHN],
ULE: [RAM, IHN]}","Node RAM is connected to nodes VYY, ULE.
Node IHN is connected to nodes HXH, QQQ, ULE.
Node HXH is connected to node IHN.
Node VYY is connected to node RAM.
Node QQQ is connected to node IHN.
Node ULE is connected to nodes RAM, IHN.","[RAM, IHN, HXH, VYY, QQQ, ULE]",6,5,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: RAM IHN.
Nodes set 2 contains: HXH VYY QQQ ULE.","[(RAM, VYY), (IHN, HXH)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node RAM. Updated matching: {VYY: RAM}.
Search from node IHN. Updated matching: {VYY: RAM, HXH: IHN}.
So the maximum matching is ",2,4,10
bipartite,"[(DYJ, QWO), (DYJ, QGT), (TFC, QWO), (TFC, CBI)]","{DYJ: [QWO, QGT],
TFC: [QWO, CBI],
QWO: [DYJ, TFC],
QGT: [DYJ],
CBI: [TFC]}","Node DYJ is connected to nodes QWO, QGT.
Node TFC is connected to nodes QWO, CBI.
Node QWO is connected to nodes DYJ, TFC.
Node QGT is connected to node DYJ.
Node CBI is connected to node TFC.","[DYJ, TFC, QWO, QGT, CBI]",5,4,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: DYJ TFC.
Nodes set 2 contains: QWO QGT CBI.","[(DYJ, QGT), (TFC, QWO)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node DYJ. Updated matching: {QWO: DYJ}.
Search from node TFC. Updated matching: {QWO: TFC, QGT: DYJ}.
So the maximum matching is ",2,3,11
bipartite,"[(MQZ, UGR), (LXT, AIU), (LXT, UXC), (LXT, NUE), (OVK, AIU), (OVK, UGR), (OVK, UXC)]","{MQZ: [UGR],
LXT: [AIU, UXC, NUE],
OVK: [AIU, UGR, UXC],
AIU: [LXT, OVK],
UGR: [MQZ, OVK],
UXC: [LXT, OVK],
NUE: [LXT]}","Node MQZ is connected to node UGR.
Node LXT is connected to nodes AIU, UXC, NUE.
Node OVK is connected to nodes AIU, UGR, UXC.
Node AIU is connected to nodes LXT, OVK.
Node UGR is connected to nodes MQZ, OVK.
Node UXC is connected to nodes LXT, OVK.
Node NUE is connected to node LXT.","[MQZ, LXT, OVK, AIU, UGR, UXC, NUE]",7,7,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: MQZ LXT OVK.
Nodes set 2 contains: AIU UGR UXC NUE.","[(MQZ, UGR), (LXT, UXC), (OVK, AIU)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node MQZ. Updated matching: {UGR: MQZ}.
Search from node LXT. Updated matching: {UGR: MQZ, AIU: LXT}.
Search from node OVK. Updated matching: {UGR: MQZ, AIU: OVK, UXC: LXT}.
So the maximum matching is ",3,4,12
bipartite,"[(ERE, PLF), (MKW, STD), (MKW, PLF), (MKW, WFM), (MKW, NZX)]","{ERE: [PLF],
MKW: [STD, PLF, WFM, NZX],
STD: [MKW],
PLF: [ERE, MKW],
WFM: [MKW],
NZX: [MKW]}","Node ERE is connected to node PLF.
Node MKW is connected to nodes STD, PLF, WFM, NZX.
Node STD is connected to node MKW.
Node PLF is connected to nodes ERE, MKW.
Node WFM is connected to node MKW.
Node NZX is connected to node MKW.","[ERE, MKW, STD, PLF, WFM, NZX]",6,5,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: ERE MKW.
Nodes set 2 contains: STD PLF WFM NZX.","[(ERE, PLF), (MKW, STD)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node ERE. Updated matching: {PLF: ERE}.
Search from node MKW. Updated matching: {PLF: ERE, STD: MKW}.
So the maximum matching is ",2,4,13
bipartite,"[(KNL, ZNO), (KNL, GCO), (KNL, NZD), (LRD, ZNO), (LRD, GCO), (LRD, RPE), (LRD, NZD)]","{KNL: [ZNO, GCO, NZD],
LRD: [ZNO, GCO, RPE, NZD],
ZNO: [KNL, LRD],
GCO: [KNL, LRD],
RPE: [LRD],
NZD: [KNL, LRD]}","Node KNL is connected to nodes ZNO, GCO, NZD.
Node LRD is connected to nodes ZNO, GCO, RPE, NZD.
Node ZNO is connected to nodes KNL, LRD.
Node GCO is connected to nodes KNL, LRD.
Node RPE is connected to node LRD.
Node NZD is connected to nodes KNL, LRD.","[KNL, LRD, ZNO, GCO, RPE, NZD]",6,7,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: KNL LRD.
Nodes set 2 contains: ZNO GCO RPE NZD.","[(KNL, GCO), (LRD, ZNO)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node KNL. Updated matching: {ZNO: KNL}.
Search from node LRD. Updated matching: {ZNO: LRD, GCO: KNL}.
So the maximum matching is ",2,4,14
bipartite,"[(UIW, AXL), (UIW, YYP), (UIW, HRI), (RYB, AXL), (RYB, AJH), (RYB, PTN)]","{UIW: [AXL, YYP, HRI],
RYB: [AXL, AJH, PTN],
AXL: [UIW, RYB],
AJH: [RYB],
YYP: [UIW],
HRI: [UIW],
PTN: [RYB]}","Node UIW is connected to nodes AXL, YYP, HRI.
Node RYB is connected to nodes AXL, AJH, PTN.
Node AXL is connected to nodes UIW, RYB.
Node AJH is connected to node RYB.
Node YYP is connected to node UIW.
Node HRI is connected to node UIW.
Node PTN is connected to node RYB.","[UIW, RYB, AXL, AJH, YYP, HRI, PTN]",7,6,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: UIW RYB.
Nodes set 2 contains: AXL AJH YYP HRI PTN.","[(UIW, YYP), (RYB, AXL)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node UIW. Updated matching: {AXL: UIW}.
Search from node RYB. Updated matching: {AXL: RYB, YYP: UIW}.
So the maximum matching is ",2,5,15
bipartite,"[(LXM, SUB), (LXM, RMN), (JBM, TJU), (JBM, SUB), (JBM, BVN), (JBM, GRT)]","{LXM: [SUB, RMN],
JBM: [TJU, SUB, BVN, GRT],
TJU: [JBM],
SUB: [LXM, JBM],
RMN: [LXM],
BVN: [JBM],
GRT: [JBM]}","Node LXM is connected to nodes SUB, RMN.
Node JBM is connected to nodes TJU, SUB, BVN, GRT.
Node TJU is connected to node JBM.
Node SUB is connected to nodes LXM, JBM.
Node RMN is connected to node LXM.
Node BVN is connected to node JBM.
Node GRT is connected to node JBM.","[LXM, JBM, TJU, SUB, RMN, BVN, GRT]",7,6,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: LXM JBM.
Nodes set 2 contains: TJU SUB RMN BVN GRT.","[(LXM, SUB), (JBM, TJU)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node LXM. Updated matching: {SUB: LXM}.
Search from node JBM. Updated matching: {SUB: LXM, TJU: JBM}.
So the maximum matching is ",2,5,16
