task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,n1,n2,id
bipartite,"[(<0>, <4>), (<1>, <2>), (<1>, <3>), (<1>, <4>)]","{<0>: [<4>],
<1>: [<2>, <3>, <4>],
<2>: [<1>],
<3>: [<1>],
<4>: [<0>, <1>]}","Node <0> is connected to node <4>.
Node <1> is connected to nodes <2>, <3>, <4>.
Node <2> is connected to node <1>.
Node <3> is connected to node <1>.
Node <4> is connected to nodes <0>, <1>.","[<0>, <1>, <2>, <3>, <4>]",5,4,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: <0> <1>.
Nodes set 2 contains: <2> <3> <4>.","[(<0>, <4>), (<1>, <2>)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node <0>. Updated matching: {<4>: <0>}.
Search from node <1>. Updated matching: {<4>: <0>, <2>: <1>}.
So the maximum matching is ",2,3,0
bipartite,"[(<0>, <2>), (<0>, <5>), (<1>, <2>), (<1>, <3>), (<1>, <4>), (<1>, <6>)]","{<0>: [<2>, <5>],
<1>: [<2>, <3>, <4>, <6>],
<2>: [<0>, <1>],
<3>: [<1>],
<4>: [<1>],
<5>: [<0>],
<6>: [<1>]}","Node <0> is connected to nodes <2>, <5>.
Node <1> is connected to nodes <2>, <3>, <4>, <6>.
Node <2> is connected to nodes <0>, <1>.
Node <3> is connected to node <1>.
Node <4> is connected to node <1>.
Node <5> is connected to node <0>.
Node <6> is connected to node <1>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>]",7,6,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: <0> <1>.
Nodes set 2 contains: <2> <3> <4> <5> <6>.","[(<0>, <5>), (<1>, <2>)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node <0>. Updated matching: {<2>: <0>}.
Search from node <1>. Updated matching: {<2>: <1>, <5>: <0>}.
So the maximum matching is ",2,5,1
bipartite,"[(<0>, <3>), (<0>, <6>), (<1>, <3>), (<1>, <4>), (<1>, <5>), (<2>, <5>)]","{<0>: [<3>, <6>],
<1>: [<3>, <4>, <5>],
<2>: [<5>],
<3>: [<0>, <1>],
<4>: [<1>],
<5>: [<1>, <2>],
<6>: [<0>]}","Node <0> is connected to nodes <3>, <6>.
Node <1> is connected to nodes <3>, <4>, <5>.
Node <2> is connected to node <5>.
Node <3> is connected to nodes <0>, <1>.
Node <4> is connected to node <1>.
Node <5> is connected to nodes <1>, <2>.
Node <6> is connected to node <0>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>]",7,6,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: <0> <1> <2>.
Nodes set 2 contains: <3> <4> <5> <6>.","[(<0>, <6>), (<1>, <3>), (<2>, <5>)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node <0>. Updated matching: {<3>: <0>}.
Search from node <1>. Updated matching: {<3>: <1>, <6>: <0>}.
Search from node <2>. Updated matching: {<3>: <1>, <6>: <0>, <5>: <2>}.
So the maximum matching is ",3,4,2
bipartite,"[(<0>, <4>), (<1>, <2>), (<1>, <3>), (<1>, <4>)]","{<0>: [<4>],
<1>: [<2>, <3>, <4>],
<2>: [<1>],
<3>: [<1>],
<4>: [<0>, <1>]}","Node <0> is connected to node <4>.
Node <1> is connected to nodes <2>, <3>, <4>.
Node <2> is connected to node <1>.
Node <3> is connected to node <1>.
Node <4> is connected to nodes <0>, <1>.","[<0>, <1>, <2>, <3>, <4>]",5,4,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: <0> <1>.
Nodes set 2 contains: <2> <3> <4>.","[(<0>, <4>), (<1>, <2>)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node <0>. Updated matching: {<4>: <0>}.
Search from node <1>. Updated matching: {<4>: <0>, <2>: <1>}.
So the maximum matching is ",2,3,3
bipartite,"[(<0>, <2>), (<0>, <3>), (<1>, <2>), (<1>, <4>)]","{<0>: [<2>, <3>],
<1>: [<2>, <4>],
<2>: [<0>, <1>],
<3>: [<0>],
<4>: [<1>]}","Node <0> is connected to nodes <2>, <3>.
Node <1> is connected to nodes <2>, <4>.
Node <2> is connected to nodes <0>, <1>.
Node <3> is connected to node <0>.
Node <4> is connected to node <1>.","[<0>, <1>, <2>, <3>, <4>]",5,4,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: <0> <1>.
Nodes set 2 contains: <2> <3> <4>.","[(<0>, <3>), (<1>, <2>)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node <0>. Updated matching: {<2>: <0>}.
Search from node <1>. Updated matching: {<2>: <1>, <3>: <0>}.
So the maximum matching is ",2,3,4
bipartite,"[(<0>, <4>), (<0>, <5>), (<0>, <6>), (<1>, <2>), (<1>, <3>), (<1>, <5>), (<1>, <6>)]","{<0>: [<4>, <5>, <6>],
<1>: [<2>, <3>, <5>, <6>],
<2>: [<1>],
<3>: [<1>],
<4>: [<0>],
<5>: [<0>, <1>],
<6>: [<0>, <1>]}","Node <0> is connected to nodes <4>, <5>, <6>.
Node <1> is connected to nodes <2>, <3>, <5>, <6>.
Node <2> is connected to node <1>.
Node <3> is connected to node <1>.
Node <4> is connected to node <0>.
Node <5> is connected to nodes <0>, <1>.
Node <6> is connected to nodes <0>, <1>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>]",7,7,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: <0> <1>.
Nodes set 2 contains: <2> <3> <4> <5> <6>.","[(<0>, <4>), (<1>, <2>)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node <0>. Updated matching: {<4>: <0>}.
Search from node <1>. Updated matching: {<4>: <0>, <2>: <1>}.
So the maximum matching is ",2,5,5
bipartite,"[(<0>, <1>), (<0>, <2>), (<0>, <3>), (<0>, <4>)]","{<0>: [<1>, <2>, <3>, <4>],
<1>: [<0>],
<2>: [<0>],
<3>: [<0>],
<4>: [<0>]}","Node <0> is connected to nodes <1>, <2>, <3>, <4>.
Node <1> is connected to node <0>.
Node <2> is connected to node <0>.
Node <3> is connected to node <0>.
Node <4> is connected to node <0>.","[<0>, <1>, <2>, <3>, <4>]",5,4,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: <0>.
Nodes set 2 contains: <1> <2> <3> <4>.","[(<0>, <1>)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node <0>. Updated matching: {<1>: <0>}.
So the maximum matching is ",1,4,6
bipartite,"[(<0>, <2>), (<0>, <4>), (<0>, <5>), (<1>, <3>), (<1>, <4>), (<1>, <5>)]","{<0>: [<2>, <4>, <5>],
<1>: [<3>, <4>, <5>],
<2>: [<0>],
<3>: [<1>],
<4>: [<0>, <1>],
<5>: [<0>, <1>]}","Node <0> is connected to nodes <2>, <4>, <5>.
Node <1> is connected to nodes <3>, <4>, <5>.
Node <2> is connected to node <0>.
Node <3> is connected to node <1>.
Node <4> is connected to nodes <0>, <1>.
Node <5> is connected to nodes <0>, <1>.","[<0>, <1>, <2>, <3>, <4>, <5>]",6,6,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: <0> <1>.
Nodes set 2 contains: <2> <3> <4> <5>.","[(<0>, <2>), (<1>, <3>)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node <0>. Updated matching: {<2>: <0>}.
Search from node <1>. Updated matching: {<2>: <0>, <3>: <1>}.
So the maximum matching is ",2,4,7
bipartite,"[(<0>, <3>), (<0>, <5>), (<1>, <2>), (<1>, <3>), (<1>, <4>), (<1>, <6>)]","{<0>: [<3>, <5>],
<1>: [<2>, <3>, <4>, <6>],
<2>: [<1>],
<3>: [<0>, <1>],
<4>: [<1>],
<5>: [<0>],
<6>: [<1>]}","Node <0> is connected to nodes <3>, <5>.
Node <1> is connected to nodes <2>, <3>, <4>, <6>.
Node <2> is connected to node <1>.
Node <3> is connected to nodes <0>, <1>.
Node <4> is connected to node <1>.
Node <5> is connected to node <0>.
Node <6> is connected to node <1>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>]",7,6,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: <0> <1>.
Nodes set 2 contains: <2> <3> <4> <5> <6>.","[(<0>, <3>), (<1>, <2>)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node <0>. Updated matching: {<3>: <0>}.
Search from node <1>. Updated matching: {<3>: <0>, <2>: <1>}.
So the maximum matching is ",2,5,8
bipartite,"[(<0>, <2>), (<0>, <3>), (<1>, <2>), (<1>, <4>)]","{<0>: [<2>, <3>],
<1>: [<2>, <4>],
<2>: [<0>, <1>],
<3>: [<0>],
<4>: [<1>]}","Node <0> is connected to nodes <2>, <3>.
Node <1> is connected to nodes <2>, <4>.
Node <2> is connected to nodes <0>, <1>.
Node <3> is connected to node <0>.
Node <4> is connected to node <1>.","[<0>, <1>, <2>, <3>, <4>]",5,4,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: <0> <1>.
Nodes set 2 contains: <2> <3> <4>.","[(<0>, <3>), (<1>, <2>)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node <0>. Updated matching: {<2>: <0>}.
Search from node <1>. Updated matching: {<2>: <1>, <3>: <0>}.
So the maximum matching is ",2,3,9
