task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
clustering_coefficient,"[(EHH, ZOQ), (EHH, FRY), (EHH, DWO), (EHH, GUB), (ZOQ, FRY), (FRY, EHH), (FRY, ZOQ), (DWO, EHH), (DWO, ZOQ), (DWO, FRY), (GUB, EHH), (GUB, FRY)]","{EHH: [ZOQ, FRY, DWO, GUB],
ZOQ: [FRY],
FRY: [EHH, ZOQ],
DWO: [EHH, ZOQ, FRY],
GUB: [EHH, FRY]}","Node EHH is connected to nodes ZOQ, FRY, DWO, GUB.
Node ZOQ is connected to node FRY.
Node FRY is connected to nodes EHH, ZOQ.
Node DWO is connected to nodes EHH, ZOQ, FRY.
Node GUB is connected to nodes EHH, FRY.","[GUB, DWO, ZOQ, EHH, FRY]",5,12,True,"What is the clustering coefficient of node EHH? For a directed graph, we consider a node's successors as its neighbors.",0.4167,"Let's calculate the clustering coefficient step by step.
For a directed graph, the clustering coefficient for a node u is T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the out-degree of u.
Node EHH's neighbors are [ZOQ, FRY, DWO, GUB]. There are 5 edges between them: [(ZOQ, FRY), (FRY, ZOQ), (DWO, ZOQ), (DWO, FRY), (GUB, FRY)].
Node EHH's out-degree is 4.
So the the clustering coefficient of node EHH is 5 / (4 * (4 - 1)) = ","('[0.3681, 0.7705, 0.4167, 0.0000]',)",2,0
clustering_coefficient,"[(ARD, RFB), (ARD, UAQ), (RFB, MAX), (RFB, BZX), (UAQ, ARD), (UAQ, BZX), (UAQ, RFB), (FNS, MAX), (MAX, RFB), (BZX, MAG), (BZX, RFB), (BZX, MAX), (BZX, ARD), (MAG, FNS)]","{ARD: [RFB, UAQ],
RFB: [MAX, BZX],
UAQ: [ARD, BZX, RFB],
FNS: [MAX],
MAX: [RFB],
BZX: [MAG, RFB, MAX, ARD],
MAG: [FNS]}","Node ARD is connected to nodes RFB, UAQ.
Node RFB is connected to nodes MAX, BZX.
Node UAQ is connected to nodes ARD, BZX, RFB.
Node FNS is connected to node MAX.
Node MAX is connected to node RFB.
Node BZX is connected to nodes MAG, RFB, MAX, ARD.
Node MAG is connected to node FNS.","[BZX, MAG, UAQ, FNS, RFB, MAX, ARD]",7,14,True,"What is the clustering coefficient of node RFB? For a directed graph, we consider a node's successors as its neighbors.",0.5,"Let's calculate the clustering coefficient step by step.
For a directed graph, the clustering coefficient for a node u is T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the out-degree of u.
Node RFB's neighbors are [MAX, BZX]. There are 1 edges between them: [(BZX, MAX)].
Node RFB's out-degree is 2.
So the the clustering coefficient of node RFB is 1 / (2 * (2 - 1)) = ","('[0.5000, 0.3681, 0.6064, 0.0000]',)",0,1
clustering_coefficient,"[(OJA, DRK), (OJA, WVX), (OJA, AMV), (DRK, WVX), (WVX, RYG), (WVX, AMV), (WVX, OJA), (WVX, DRK), (AMV, DRK), (RYG, AMV), (RYG, DRK), (REJ, OJA), (REJ, DRK), (REJ, WVX), (REJ, RYG)]","{OJA: [DRK, WVX, AMV],
DRK: [WVX],
WVX: [RYG, AMV, OJA, DRK],
AMV: [DRK],
RYG: [AMV, DRK],
REJ: [OJA, DRK, WVX, RYG]}","Node OJA is connected to nodes DRK, WVX, AMV.
Node DRK is connected to node WVX.
Node WVX is connected to nodes RYG, AMV, OJA, DRK.
Node AMV is connected to node DRK.
Node RYG is connected to nodes AMV, DRK.
Node REJ is connected to nodes OJA, DRK, WVX, RYG.","[REJ, DRK, AMV, OJA, RYG, WVX]",6,15,True,"What is the clustering coefficient of node REJ? For a directed graph, we consider a node's successors as its neighbors.",0.5833,"Let's calculate the clustering coefficient step by step.
For a directed graph, the clustering coefficient for a node u is T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the out-degree of u.
Node REJ's neighbors are [OJA, DRK, WVX, RYG]. There are 7 edges between them: [(OJA, DRK), (OJA, WVX), (DRK, WVX), (WVX, OJA), (WVX, DRK), (WVX, RYG), (RYG, DRK)].
Node REJ's out-degree is 4.
So the the clustering coefficient of node REJ is 7 / (4 * (4 - 1)) = ","('[0.5833, 0.9636, 0.8673, 0.0000]',)",0,2
clustering_coefficient,"[(MOK, AHV), (MOK, HMH), (MOK, RCD), (MOK, RBS), (AHV, HMH), (AHV, MNZ), (AHV, RBS), (HMH, MNZ), (HMH, RCD), (HMH, RBS), (RCD, MNZ), (RCD, RBS), (RBS, MNZ)]","{MOK: [AHV, HMH, RCD, RBS],
AHV: [MOK, HMH, MNZ, RBS],
HMH: [MOK, AHV, MNZ, RCD, RBS],
RCD: [MOK, HMH, MNZ, RBS],
RBS: [MOK, AHV, HMH, MNZ, RCD],
MNZ: [AHV, HMH, RCD, RBS]}","Node MOK is connected to nodes AHV, HMH, RCD, RBS.
Node AHV is connected to nodes MOK, HMH, MNZ, RBS.
Node HMH is connected to nodes MOK, AHV, MNZ, RCD, RBS.
Node RCD is connected to nodes MOK, HMH, MNZ, RBS.
Node RBS is connected to nodes MOK, AHV, HMH, MNZ, RCD.
Node MNZ is connected to nodes AHV, HMH, RCD, RBS.","[RCD, MOK, RBS, AHV, MNZ, HMH]",6,13,False,What is the clustering coefficient of node RBS?,0.8,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node RBS's neighbors are [MOK, AHV, HMH, MNZ, RCD]. There are 8 edges between them: [(MOK, AHV), (MOK, HMH), (MOK, RCD), (AHV, HMH), (AHV, MNZ), (HMH, MNZ), (HMH, RCD), (MNZ, RCD)].
Node RBS's degree is 5.
So the the clustering coefficient of node RBS is 2 * 8 / (5 * (5 - 1)) = ","('[0.1218, 0.0000, 0.8000, 0.0550]',)",2,3
clustering_coefficient,"[(LVF, DHC), (LVF, GQA), (LVF, TCL), (GQA, EGR), (TCL, WGO), (WGO, EGR), (WGO, NZR)]","{LVF: [DHC, GQA, TCL],
DHC: [LVF],
GQA: [LVF, EGR],
TCL: [LVF, WGO],
WGO: [EGR, NZR, TCL],
EGR: [WGO, GQA],
NZR: [WGO]}","Node LVF is connected to nodes DHC, GQA, TCL.
Node DHC is connected to node LVF.
Node GQA is connected to nodes LVF, EGR.
Node TCL is connected to nodes LVF, WGO.
Node WGO is connected to nodes EGR, NZR, TCL.
Node EGR is connected to nodes WGO, GQA.
Node NZR is connected to node WGO.","[WGO, EGR, DHC, NZR, TCL, LVF, GQA]",7,7,False,What is the clustering coefficient of node EGR?,0.0,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node EGR's neighbors are [WGO, GQA]. There are 0 edges between them: [].
Node EGR's degree is 2.
So the the clustering coefficient of node EGR is 2 * 0 / (2 * (2 - 1)) = ","('[0.0000, 0.2104, 0.1732, 0.0329]',)",0,4
clustering_coefficient,"[(DEW, MQG), (DEW, EXV), (DEW, VEG), (MQG, VEG), (EXV, AAJ), (EXV, VXV), (EXV, VEG), (VEG, XQW), (VEG, VXV), (AAJ, XQW), (AAJ, VXV)]","{DEW: [MQG, EXV, VEG],
MQG: [DEW, VEG],
EXV: [DEW, AAJ, VXV, VEG],
VEG: [DEW, MQG, EXV, XQW, VXV],
AAJ: [EXV, XQW, VXV],
XQW: [AAJ, VEG],
VXV: [AAJ, EXV, VEG]}","Node DEW is connected to nodes MQG, EXV, VEG.
Node MQG is connected to nodes DEW, VEG.
Node EXV is connected to nodes DEW, AAJ, VXV, VEG.
Node VEG is connected to nodes DEW, MQG, EXV, XQW, VXV.
Node AAJ is connected to nodes EXV, XQW, VXV.
Node XQW is connected to nodes AAJ, VEG.
Node VXV is connected to nodes AAJ, EXV, VEG.","[VXV, AAJ, VEG, XQW, DEW, EXV, MQG]",7,11,False,What is the clustering coefficient of node DEW?,0.6667,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node DEW's neighbors are [MQG, EXV, VEG]. There are 2 edges between them: [(MQG, VEG), (EXV, VEG)].
Node DEW's degree is 3.
So the the clustering coefficient of node DEW is 2 * 2 / (3 * (3 - 1)) = ","('[0.6667, 0.0000, 0.4943, 0.5531]',)",0,5
clustering_coefficient,"[(CGJ, FGR), (CGJ, VOS), (CGJ, FJN), (CGJ, MRG), (CGJ, ECO), (FGR, FJN), (FGR, MRG), (FGR, ECO), (VOS, ECO), (FJN, ECO), (MRG, ECO)]","{CGJ: [FGR, VOS, FJN, MRG, ECO],
FGR: [CGJ, FJN, MRG, ECO],
VOS: [CGJ, ECO],
FJN: [CGJ, FGR, ECO],
MRG: [CGJ, FGR, ECO],
ECO: [CGJ, FGR, VOS, FJN, MRG]}","Node CGJ is connected to nodes FGR, VOS, FJN, MRG, ECO.
Node FGR is connected to nodes CGJ, FJN, MRG, ECO.
Node VOS is connected to nodes CGJ, ECO.
Node FJN is connected to nodes CGJ, FGR, ECO.
Node MRG is connected to nodes CGJ, FGR, ECO.
Node ECO is connected to nodes CGJ, FGR, VOS, FJN, MRG.","[CGJ, VOS, ECO, FJN, FGR, MRG]",6,11,False,What is the clustering coefficient of node MRG?,1.0,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node MRG's neighbors are [CGJ, FGR, ECO]. There are 3 edges between them: [(CGJ, FGR), (CGJ, ECO), (FGR, ECO)].
Node MRG's degree is 3.
So the the clustering coefficient of node MRG is 2 * 3 / (3 * (3 - 1)) = ","('[0.1055, 0.0492, 1.0000, 0.0000]',)",2,6
clustering_coefficient,"[(USZ, MDE), (USZ, UEP), (MDE, VGG), (MDE, YCC), (UEP, JSQ), (VGG, YCC), (JSQ, XAO)]","{USZ: [MDE, UEP],
MDE: [USZ, VGG, YCC],
UEP: [USZ, JSQ],
VGG: [MDE, YCC],
YCC: [MDE, VGG],
JSQ: [UEP, XAO],
XAO: [JSQ]}","Node USZ is connected to nodes MDE, UEP.
Node MDE is connected to nodes USZ, VGG, YCC.
Node UEP is connected to nodes USZ, JSQ.
Node VGG is connected to nodes MDE, YCC.
Node YCC is connected to nodes MDE, VGG.
Node JSQ is connected to nodes UEP, XAO.
Node XAO is connected to node JSQ.","[MDE, YCC, XAO, UEP, USZ, JSQ, VGG]",7,7,False,What is the clustering coefficient of node YCC?,1.0,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node YCC's neighbors are [MDE, VGG]. There are 1 edges between them: [(MDE, VGG)].
Node YCC's degree is 2.
So the the clustering coefficient of node YCC is 2 * 1 / (2 * (2 - 1)) = ","('[0.2880, 0.7905, 1.0000, 0.0000]',)",2,7
clustering_coefficient,"[(TPE, LYO), (TPE, SSV), (TPE, SWS), (LYO, SWS), (SSV, OUP)]","{TPE: [LYO, SSV, SWS],
LYO: [TPE, SWS],
SSV: [TPE, OUP],
SWS: [TPE, LYO],
OUP: [SSV]}","Node TPE is connected to nodes LYO, SSV, SWS.
Node LYO is connected to nodes TPE, SWS.
Node SSV is connected to nodes TPE, OUP.
Node SWS is connected to nodes TPE, LYO.
Node OUP is connected to node SSV.","[OUP, TPE, LYO, SWS, SSV]",5,5,False,What is the clustering coefficient of node TPE?,0.3333,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node TPE's neighbors are [LYO, SSV, SWS]. There are 1 edges between them: [(LYO, SWS)].
Node TPE's degree is 3.
So the the clustering coefficient of node TPE is 2 * 1 / (3 * (3 - 1)) = ","('[0.6948, 0.0857, 0.0000, 0.3333]',)",3,8
clustering_coefficient,"[(UAP, OCH), (OCH, UAP), (OCH, ZCL), (OCH, QMW), (OCH, QVU), (ZCL, QMW), (ZCL, UAP), (QMW, UAP), (QMW, ZCL), (QVU, OCH), (QVU, ZCL)]","{UAP: [OCH],
OCH: [UAP, ZCL, QMW, QVU],
ZCL: [QMW, UAP],
QMW: [UAP, ZCL],
QVU: [OCH, ZCL]}","Node UAP is connected to node OCH.
Node OCH is connected to nodes UAP, ZCL, QMW, QVU.
Node ZCL is connected to nodes QMW, UAP.
Node QMW is connected to nodes UAP, ZCL.
Node QVU is connected to nodes OCH, ZCL.","[QMW, ZCL, QVU, OCH, UAP]",5,11,True,"What is the clustering coefficient of node QVU? For a directed graph, we consider a node's successors as its neighbors.",0.5,"Let's calculate the clustering coefficient step by step.
For a directed graph, the clustering coefficient for a node u is T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the out-degree of u.
Node QVU's neighbors are [OCH, ZCL]. There are 1 edges between them: [(OCH, ZCL)].
Node QVU's out-degree is 2.
So the the clustering coefficient of node QVU is 1 / (2 * (2 - 1)) = ","('[0.6198, 0.5000, 0.2976, 0.0000]',)",1,9
