task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
clustering_coefficient,"[(<3>, <2>), (<3>, <4>), (<3>, <1>), (<3>, <0>), (<2>, <4>), (<4>, <3>), (<4>, <2>), (<1>, <3>), (<1>, <2>), (<1>, <4>), (<0>, <3>), (<0>, <4>)]","{<3>: [<2>, <4>, <1>, <0>],
<2>: [<4>],
<4>: [<3>, <2>],
<1>: [<3>, <2>, <4>],
<0>: [<3>, <4>]}","Node <3> is connected to nodes <2>, <4>, <1>, <0>.
Node <2> is connected to node <4>.
Node <4> is connected to nodes <3>, <2>.
Node <1> is connected to nodes <3>, <2>, <4>.
Node <0> is connected to nodes <3>, <4>.","[<0>, <1>, <2>, <3>, <4>]",5,12,True,"What is the clustering coefficient of node <3>? For a directed graph, we consider a node's successors as its neighbors.",0.4167,"Let's calculate the clustering coefficient step by step.
For a directed graph, the clustering coefficient for a node u is T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the out-degree of u.
Node <3>'s neighbors are [<2>, <4>, <1>, <0>]. There are 5 edges between them: [(<2>, <4>), (<4>, <2>), (<1>, <2>), (<1>, <4>), (<0>, <4>)].
Node <3>'s out-degree is 4.
So the the clustering coefficient of node <3> is 5 / (4 * (4 - 1)) = ","('[0.3681, 0.7705, 0.4167, 0.0000]',)",2,0
clustering_coefficient,"[(<6>, <4>), (<6>, <2>), (<4>, <5>), (<4>, <0>), (<2>, <6>), (<2>, <0>), (<2>, <4>), (<3>, <5>), (<5>, <4>), (<0>, <1>), (<0>, <4>), (<0>, <5>), (<0>, <6>), (<1>, <3>)]","{<6>: [<4>, <2>],
<4>: [<5>, <0>],
<2>: [<6>, <0>, <4>],
<3>: [<5>],
<5>: [<4>],
<0>: [<1>, <4>, <5>, <6>],
<1>: [<3>]}","Node <6> is connected to nodes <4>, <2>.
Node <4> is connected to nodes <5>, <0>.
Node <2> is connected to nodes <6>, <0>, <4>.
Node <3> is connected to node <5>.
Node <5> is connected to node <4>.
Node <0> is connected to nodes <1>, <4>, <5>, <6>.
Node <1> is connected to node <3>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>]",7,14,True,"What is the clustering coefficient of node <4>? For a directed graph, we consider a node's successors as its neighbors.",0.5000,"Let's calculate the clustering coefficient step by step.
For a directed graph, the clustering coefficient for a node u is T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the out-degree of u.
Node <4>'s neighbors are [<5>, <0>]. There are 1 edges between them: [(<0>, <5>)].
Node <4>'s out-degree is 2.
So the the clustering coefficient of node <4> is 1 / (2 * (2 - 1)) = ","('[0.5000, 0.3681, 0.6064, 0.0000]',)",0,1
clustering_coefficient,"[(<3>, <1>), (<3>, <5>), (<3>, <2>), (<1>, <5>), (<5>, <4>), (<5>, <2>), (<5>, <3>), (<5>, <1>), (<2>, <1>), (<4>, <2>), (<4>, <1>), (<0>, <3>), (<0>, <1>), (<0>, <5>), (<0>, <4>)]","{<3>: [<1>, <5>, <2>],
<1>: [<5>],
<5>: [<4>, <2>, <3>, <1>],
<2>: [<1>],
<4>: [<2>, <1>],
<0>: [<3>, <1>, <5>, <4>]}","Node <3> is connected to nodes <1>, <5>, <2>.
Node <1> is connected to node <5>.
Node <5> is connected to nodes <4>, <2>, <3>, <1>.
Node <2> is connected to node <1>.
Node <4> is connected to nodes <2>, <1>.
Node <0> is connected to nodes <3>, <1>, <5>, <4>.","[<0>, <1>, <2>, <3>, <4>, <5>]",6,15,True,"What is the clustering coefficient of node <0>? For a directed graph, we consider a node's successors as its neighbors.",0.5833,"Let's calculate the clustering coefficient step by step.
For a directed graph, the clustering coefficient for a node u is T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the out-degree of u.
Node <0>'s neighbors are [<3>, <1>, <5>, <4>]. There are 7 edges between them: [(<3>, <1>), (<3>, <5>), (<1>, <5>), (<5>, <3>), (<5>, <1>), (<5>, <4>), (<4>, <1>)].
Node <0>'s out-degree is 4.
So the the clustering coefficient of node <0> is 7 / (4 * (4 - 1)) = ","('[0.5833, 0.9636, 0.8673, 0.0000]',)",0,2
clustering_coefficient,"[(<1>, <3>), (<1>, <5>), (<1>, <0>), (<1>, <2>), (<3>, <5>), (<3>, <4>), (<3>, <2>), (<5>, <4>), (<5>, <0>), (<5>, <2>), (<0>, <4>), (<0>, <2>), (<2>, <4>)]","{<1>: [<3>, <5>, <0>, <2>],
<3>: [<1>, <5>, <4>, <2>],
<5>: [<1>, <3>, <4>, <0>, <2>],
<0>: [<1>, <5>, <4>, <2>],
<2>: [<1>, <3>, <5>, <4>, <0>],
<4>: [<3>, <5>, <0>, <2>]}","Node <1> is connected to nodes <3>, <5>, <0>, <2>.
Node <3> is connected to nodes <1>, <5>, <4>, <2>.
Node <5> is connected to nodes <1>, <3>, <4>, <0>, <2>.
Node <0> is connected to nodes <1>, <5>, <4>, <2>.
Node <2> is connected to nodes <1>, <3>, <5>, <4>, <0>.
Node <4> is connected to nodes <3>, <5>, <0>, <2>.","[<0>, <1>, <2>, <3>, <4>, <5>]",6,13,False,What is the clustering coefficient of node <2>?,0.8000,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node <2>'s neighbors are [<1>, <3>, <5>, <4>, <0>]. There are 8 edges between them: [(<1>, <3>), (<1>, <5>), (<1>, <0>), (<3>, <5>), (<3>, <4>), (<5>, <4>), (<5>, <0>), (<4>, <0>)].
Node <2>'s degree is 5.
So the the clustering coefficient of node <2> is 2 * 8 / (5 * (5 - 1)) = ","('[0.1218, 0.0000, 0.8000, 0.0550]',)",2,3
clustering_coefficient,"[(<5>, <2>), (<5>, <6>), (<5>, <4>), (<6>, <1>), (<4>, <0>), (<0>, <1>), (<0>, <3>)]","{<5>: [<2>, <6>, <4>],
<2>: [<5>],
<6>: [<5>, <1>],
<4>: [<5>, <0>],
<0>: [<1>, <3>, <4>],
<1>: [<0>, <6>],
<3>: [<0>]}","Node <5> is connected to nodes <2>, <6>, <4>.
Node <2> is connected to node <5>.
Node <6> is connected to nodes <5>, <1>.
Node <4> is connected to nodes <5>, <0>.
Node <0> is connected to nodes <1>, <3>, <4>.
Node <1> is connected to nodes <0>, <6>.
Node <3> is connected to node <0>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>]",7,7,False,What is the clustering coefficient of node <1>?,0.0000,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node <1>'s neighbors are [<0>, <6>]. There are 0 edges between them: [].
Node <1>'s degree is 2.
So the the clustering coefficient of node <1> is 2 * 0 / (2 * (2 - 1)) = ","('[0.0000, 0.2104, 0.1732, 0.0329]',)",0,4
clustering_coefficient,"[(<4>, <6>), (<4>, <5>), (<4>, <2>), (<6>, <2>), (<5>, <1>), (<5>, <0>), (<5>, <2>), (<2>, <3>), (<2>, <0>), (<1>, <3>), (<1>, <0>)]","{<4>: [<6>, <5>, <2>],
<6>: [<4>, <2>],
<5>: [<4>, <1>, <0>, <2>],
<2>: [<4>, <6>, <5>, <3>, <0>],
<1>: [<5>, <3>, <0>],
<3>: [<1>, <2>],
<0>: [<1>, <5>, <2>]}","Node <4> is connected to nodes <6>, <5>, <2>.
Node <6> is connected to nodes <4>, <2>.
Node <5> is connected to nodes <4>, <1>, <0>, <2>.
Node <2> is connected to nodes <4>, <6>, <5>, <3>, <0>.
Node <1> is connected to nodes <5>, <3>, <0>.
Node <3> is connected to nodes <1>, <2>.
Node <0> is connected to nodes <1>, <5>, <2>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>]",7,11,False,What is the clustering coefficient of node <4>?,0.6667,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node <4>'s neighbors are [<6>, <5>, <2>]. There are 2 edges between them: [(<6>, <2>), (<5>, <2>)].
Node <4>'s degree is 3.
So the the clustering coefficient of node <4> is 2 * 2 / (3 * (3 - 1)) = ","('[0.6667, 0.0000, 0.4943, 0.5531]',)",0,5
clustering_coefficient,"[(<0>, <4>), (<0>, <1>), (<0>, <3>), (<0>, <5>), (<0>, <2>), (<4>, <3>), (<4>, <5>), (<4>, <2>), (<1>, <2>), (<3>, <2>), (<5>, <2>)]","{<0>: [<4>, <1>, <3>, <5>, <2>],
<4>: [<0>, <3>, <5>, <2>],
<1>: [<0>, <2>],
<3>: [<0>, <4>, <2>],
<5>: [<0>, <4>, <2>],
<2>: [<0>, <4>, <1>, <3>, <5>]}","Node <0> is connected to nodes <4>, <1>, <3>, <5>, <2>.
Node <4> is connected to nodes <0>, <3>, <5>, <2>.
Node <1> is connected to nodes <0>, <2>.
Node <3> is connected to nodes <0>, <4>, <2>.
Node <5> is connected to nodes <0>, <4>, <2>.
Node <2> is connected to nodes <0>, <4>, <1>, <3>, <5>.","[<0>, <1>, <2>, <3>, <4>, <5>]",6,11,False,What is the clustering coefficient of node <5>?,1.0000,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node <5>'s neighbors are [<0>, <4>, <2>]. There are 3 edges between them: [(<0>, <4>), (<0>, <2>), (<4>, <2>)].
Node <5>'s degree is 3.
So the the clustering coefficient of node <5> is 2 * 3 / (3 * (3 - 1)) = ","('[0.1055, 0.0492, 1.0000, 0.0000]',)",2,6
clustering_coefficient,"[(<4>, <0>), (<4>, <3>), (<0>, <6>), (<0>, <1>), (<3>, <5>), (<6>, <1>), (<5>, <2>)]","{<4>: [<0>, <3>],
<0>: [<4>, <6>, <1>],
<3>: [<4>, <5>],
<6>: [<0>, <1>],
<1>: [<0>, <6>],
<5>: [<3>, <2>],
<2>: [<5>]}","Node <4> is connected to nodes <0>, <3>.
Node <0> is connected to nodes <4>, <6>, <1>.
Node <3> is connected to nodes <4>, <5>.
Node <6> is connected to nodes <0>, <1>.
Node <1> is connected to nodes <0>, <6>.
Node <5> is connected to nodes <3>, <2>.
Node <2> is connected to node <5>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>]",7,7,False,What is the clustering coefficient of node <1>?,1.0000,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node <1>'s neighbors are [<0>, <6>]. There are 1 edges between them: [(<0>, <6>)].
Node <1>'s degree is 2.
So the the clustering coefficient of node <1> is 2 * 1 / (2 * (2 - 1)) = ","('[0.2880, 0.7905, 1.0000, 0.0000]',)",2,7
clustering_coefficient,"[(<1>, <2>), (<1>, <4>), (<1>, <3>), (<2>, <3>), (<4>, <0>)]","{<1>: [<2>, <4>, <3>],
<2>: [<1>, <3>],
<4>: [<1>, <0>],
<3>: [<1>, <2>],
<0>: [<4>]}","Node <1> is connected to nodes <2>, <4>, <3>.
Node <2> is connected to nodes <1>, <3>.
Node <4> is connected to nodes <1>, <0>.
Node <3> is connected to nodes <1>, <2>.
Node <0> is connected to node <4>.","[<0>, <1>, <2>, <3>, <4>]",5,5,False,What is the clustering coefficient of node <1>?,0.3333,"Let's calculate the clustering coefficient step by step.
For an undirected graph, the clustering coefficient for a node u is 2 * T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the degree of u.
Node <1>'s neighbors are [<2>, <4>, <3>]. There are 1 edges between them: [(<2>, <3>)].
Node <1>'s degree is 3.
So the the clustering coefficient of node <1> is 2 * 1 / (3 * (3 - 1)) = ","('[0.6948, 0.0857, 0.0000, 0.3333]',)",3,8
clustering_coefficient,"[(<4>, <3>), (<3>, <4>), (<3>, <1>), (<3>, <0>), (<3>, <2>), (<1>, <0>), (<1>, <4>), (<0>, <4>), (<0>, <1>), (<2>, <3>), (<2>, <1>)]","{<4>: [<3>],
<3>: [<4>, <1>, <0>, <2>],
<1>: [<0>, <4>],
<0>: [<4>, <1>],
<2>: [<3>, <1>]}","Node <4> is connected to node <3>.
Node <3> is connected to nodes <4>, <1>, <0>, <2>.
Node <1> is connected to nodes <0>, <4>.
Node <0> is connected to nodes <4>, <1>.
Node <2> is connected to nodes <3>, <1>.","[<0>, <1>, <2>, <3>, <4>]",5,11,True,"What is the clustering coefficient of node <2>? For a directed graph, we consider a node's successors as its neighbors.",0.5000,"Let's calculate the clustering coefficient step by step.
For a directed graph, the clustering coefficient for a node u is T / (D * (D - 1)), where T is the number of edges between neighbors of u, and D is the out-degree of u.
Node <2>'s neighbors are [<3>, <1>]. There are 1 edges between them: [(<3>, <1>)].
Node <2>'s out-degree is 2.
So the the clustering coefficient of node <2> is 1 / (2 * (2 - 1)) = ","('[0.6198, 0.5000, 0.2976, 0.0000]',)",1,9
