task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
common_neighbor,"[(VKT, DDK), (VKT, JOK), (VKT, BOM), (VKT, GQI), (DDK, JOK), (DDK, RHN), (DDK, GQI), (DDK, ZQS), (JOK, BOM), (JOK, RHN), (JOK, GQI), (JOK, ZQS), (BOM, RHN), (BOM, GQI), (BOM, ZQS), (GQI, RHN), (GQI, ZQS)]","{VKT: [DDK, JOK, BOM, GQI],
DDK: [VKT, JOK, RHN, GQI, ZQS],
JOK: [VKT, DDK, BOM, RHN, GQI, ZQS],
BOM: [VKT, JOK, RHN, GQI, ZQS],
GQI: [VKT, DDK, JOK, BOM, RHN, ZQS],
RHN: [DDK, JOK, BOM, GQI],
ZQS: [DDK, JOK, BOM, GQI]}","Node VKT is connected to nodes DDK, JOK, BOM, GQI.
Node DDK is connected to nodes VKT, JOK, RHN, GQI, ZQS.
Node JOK is connected to nodes VKT, DDK, BOM, RHN, GQI, ZQS.
Node BOM is connected to nodes VKT, JOK, RHN, GQI, ZQS.
Node GQI is connected to nodes VKT, DDK, JOK, BOM, RHN, ZQS.
Node RHN is connected to nodes DDK, JOK, BOM, GQI.
Node ZQS is connected to nodes DDK, JOK, BOM, GQI.","[RHN, GQI, DDK, VKT, JOK, ZQS, BOM]",7,17,False,Calculate the number of common neighbors of node JOK and node BOM. ,4,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node JOK are [VKT, DDK, BOM, RHN, GQI, ZQS].
Secondly, the neighbors of node BOM are [VKT, JOK, RHN, GQI, ZQS].
Common neighbors of node JOK and node BOM: [RHN, GQI, VKT, ZQS], which contains 4 nodes.
So the number of common neighbors is ","('[8, 4, 0, 10]',)",1,0
common_neighbor,"[(JGU, LUD), (LUD, PEE), (LUD, YSY), (LUD, RIL), (YSY, CAS), (RIL, CAS)]","{JGU: [LUD],
LUD: [JGU, PEE, YSY, RIL],
PEE: [LUD],
YSY: [LUD, CAS],
RIL: [LUD, CAS],
CAS: [YSY, RIL]}","Node JGU is connected to node LUD.
Node LUD is connected to nodes JGU, PEE, YSY, RIL.
Node PEE is connected to node LUD.
Node YSY is connected to nodes LUD, CAS.
Node RIL is connected to nodes LUD, CAS.
Node CAS is connected to nodes YSY, RIL.","[CAS, JGU, PEE, LUD, YSY, RIL]",6,6,False,Calculate the number of common neighbors of node PEE and node JGU. ,1,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node PEE are [LUD].
Secondly, the neighbors of node JGU are [LUD].
Common neighbors of node PEE and node JGU: [LUD], which contains 1 nodes.
So the number of common neighbors is ","('[0, 7, 6, 1]',)",3,1
common_neighbor,"[(QNO, IJH), (QNO, LBC), (QNO, AAD), (QNO, WPW), (IJH, LBC), (IJH, AAD), (IJH, WPW), (LBC, WPW), (LBC, GTJ), (AAD, WPW), (AAD, GTJ), (WPW, GTJ)]","{QNO: [IJH, LBC, AAD, WPW],
IJH: [QNO, LBC, AAD, WPW],
LBC: [QNO, IJH, WPW, GTJ],
AAD: [QNO, IJH, WPW, GTJ],
WPW: [QNO, IJH, LBC, AAD, GTJ],
GTJ: [LBC, AAD, WPW]}","Node QNO is connected to nodes IJH, LBC, AAD, WPW.
Node IJH is connected to nodes QNO, LBC, AAD, WPW.
Node LBC is connected to nodes QNO, IJH, WPW, GTJ.
Node AAD is connected to nodes QNO, IJH, WPW, GTJ.
Node WPW is connected to nodes QNO, IJH, LBC, AAD, GTJ.
Node GTJ is connected to nodes LBC, AAD, WPW.","[AAD, QNO, IJH, WPW, GTJ, LBC]",6,12,False,Calculate the number of common neighbors of node AAD and node WPW. ,3,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node AAD are [QNO, IJH, WPW, GTJ].
Secondly, the neighbors of node WPW are [QNO, IJH, LBC, AAD, GTJ].
Common neighbors of node AAD and node WPW: [QNO, IJH, GTJ], which contains 3 nodes.
So the number of common neighbors is ","('[0, 7, 10, 3]',)",3,2
common_neighbor,"[(IRI, ZCN), (IRI, FWM), (IRI, MTX), (FWM, ITW)]","{IRI: [ZCN, FWM, MTX],
ZCN: [IRI],
FWM: [IRI, ITW],
MTX: [IRI],
ITW: [FWM]}","Node IRI is connected to nodes ZCN, FWM, MTX.
Node ZCN is connected to node IRI.
Node FWM is connected to nodes IRI, ITW.
Node MTX is connected to node IRI.
Node ITW is connected to node FWM.","[MTX, FWM, IRI, ITW, ZCN]",5,4,False,Calculate the number of common neighbors of node MTX and node ZCN. ,1,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node MTX are [IRI].
Secondly, the neighbors of node ZCN are [IRI].
Common neighbors of node MTX and node ZCN: [IRI], which contains 1 nodes.
So the number of common neighbors is ","('[1, 5, 0, 10]',)",0,3
common_neighbor,"[(PUR, ZRW), (PUR, GNW), (ZRW, GNW), (ZRW, JHZ), (ZRW, PUR), (JHZ, SEC), (JHZ, PUR), (WJC, JHZ), (WJC, SEC), (SEC, PUR)]","{PUR: [ZRW, GNW],
ZRW: [GNW, JHZ, PUR],
GNW: [],
JHZ: [SEC, PUR],
WJC: [JHZ, SEC],
SEC: [PUR]}","Node PUR is connected to nodes ZRW, GNW.
Node ZRW is connected to nodes GNW, JHZ, PUR.
Node JHZ is connected to nodes SEC, PUR.
Node WJC is connected to nodes JHZ, SEC.
Node SEC is connected to node PUR.","[ZRW, PUR, SEC, GNW, JHZ, WJC]",6,10,True,"Calculate the number of common neighbors of node PUR and node WJC. In the context of a directed graph, we consider a node's successors as its neighbors. ",0,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node PUR are [ZRW, GNW].
Secondly, the neighbors of node WJC are [JHZ, SEC].
Common neighbors of node PUR and node WJC: [], which contains 0 nodes.
So the number of common neighbors is ","('[0, 6, 9, 4]',)",0,4
common_neighbor,"[(XHV, EHY), (XHV, YGB), (XHV, PYZ), (XHV, QEF), (XHV, JBH), (EHY, YGB), (EHY, PYZ), (EHY, QEF), (YGB, PYZ), (YGB, QEF), (YGB, JBH), (PYZ, JBH), (QEF, JBH)]","{XHV: [EHY, YGB, PYZ, QEF, JBH],
EHY: [XHV, YGB, PYZ, QEF],
YGB: [XHV, EHY, PYZ, QEF, JBH],
PYZ: [XHV, EHY, YGB, JBH],
QEF: [XHV, EHY, YGB, JBH],
JBH: [XHV, YGB, PYZ, QEF]}","Node XHV is connected to nodes EHY, YGB, PYZ, QEF, JBH.
Node EHY is connected to nodes XHV, YGB, PYZ, QEF.
Node YGB is connected to nodes XHV, EHY, PYZ, QEF, JBH.
Node PYZ is connected to nodes XHV, EHY, YGB, JBH.
Node QEF is connected to nodes XHV, EHY, YGB, JBH.
Node JBH is connected to nodes XHV, YGB, PYZ, QEF.","[QEF, YGB, EHY, XHV, PYZ, JBH]",6,13,False,Calculate the number of common neighbors of node XHV and node JBH. ,3,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node XHV are [EHY, YGB, PYZ, QEF, JBH].
Secondly, the neighbors of node JBH are [XHV, YGB, PYZ, QEF].
Common neighbors of node XHV and node JBH: [QEF, YGB, PYZ], which contains 3 nodes.
So the number of common neighbors is ","('[6, 3, 10, 0]',)",1,5
common_neighbor,"[(AFE, DOV), (DOV, ODP), (DOV, GIK), (DOV, APK), (GIK, DOV), (GIK, ODP), (GIK, AFE), (ODP, AFE), (ODP, APK), (APK, ODP), (APK, AFE), (APK, GIK)]","{AFE: [DOV],
DOV: [ODP, GIK, APK],
GIK: [DOV, ODP, AFE],
ODP: [AFE, APK],
APK: [ODP, AFE, GIK]}","Node AFE is connected to node DOV.
Node DOV is connected to nodes ODP, GIK, APK.
Node GIK is connected to nodes DOV, ODP, AFE.
Node ODP is connected to nodes AFE, APK.
Node APK is connected to nodes ODP, AFE, GIK.","[APK, AFE, GIK, ODP, DOV]",5,12,True,"Calculate the number of common neighbors of node GIK and node AFE. In the context of a directed graph, we consider a node's successors as its neighbors. ",1,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node GIK are [DOV, ODP, AFE].
Secondly, the neighbors of node AFE are [DOV].
Common neighbors of node GIK and node AFE: [DOV], which contains 1 nodes.
So the number of common neighbors is ","('[4, 1, 7, 0]',)",1,6
common_neighbor,"[(RVS, ZWC), (RVS, FUH), (ZWC, IOE), (FUH, MNS), (FUH, IOE), (MNS, WSQ)]","{RVS: [ZWC, FUH],
ZWC: [RVS, IOE],
FUH: [RVS, MNS, IOE],
IOE: [ZWC, FUH],
MNS: [FUH, WSQ],
WSQ: [MNS]}","Node RVS is connected to nodes ZWC, FUH.
Node ZWC is connected to nodes RVS, IOE.
Node FUH is connected to nodes RVS, MNS, IOE.
Node IOE is connected to nodes ZWC, FUH.
Node MNS is connected to nodes FUH, WSQ.
Node WSQ is connected to node MNS.","[FUH, ZWC, WSQ, RVS, IOE, MNS]",6,6,False,Calculate the number of common neighbors of node WSQ and node FUH. ,1,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node WSQ are [MNS].
Secondly, the neighbors of node FUH are [RVS, MNS, IOE].
Common neighbors of node WSQ and node FUH: [MNS], which contains 1 nodes.
So the number of common neighbors is ","('[0, 5, 4, 1]',)",3,7
common_neighbor,"[(UCZ, VZW), (UCZ, PLA), (UCZ, XBD), (UCZ, YAM), (PLA, XBD), (PLA, YAM), (XBD, UCZ), (XBD, PLA)]","{UCZ: [VZW, PLA, XBD, YAM],
VZW: [],
PLA: [XBD, YAM],
XBD: [UCZ, PLA],
YAM: []}","Node UCZ is connected to nodes VZW, PLA, XBD, YAM.
Node PLA is connected to nodes XBD, YAM.
Node XBD is connected to nodes UCZ, PLA.","[XBD, VZW, PLA, YAM, UCZ]",5,8,True,"Calculate the number of common neighbors of node XBD and node UCZ. In the context of a directed graph, we consider a node's successors as its neighbors. ",1,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node XBD are [UCZ, PLA].
Secondly, the neighbors of node UCZ are [VZW, PLA, XBD, YAM].
Common neighbors of node XBD and node UCZ: [PLA], which contains 1 nodes.
So the number of common neighbors is ","('[6, 4, 1, 0]',)",2,8
common_neighbor,"[(NNU, AUY), (NNU, ETI), (ETI, OGB), (ETI, WSB), (OGB, WSB), (OGB, AUT)]","{NNU: [AUY, ETI],
AUY: [NNU],
ETI: [NNU, OGB, WSB],
OGB: [WSB, AUT, ETI],
WSB: [OGB, ETI],
AUT: [OGB]}","Node NNU is connected to nodes AUY, ETI.
Node AUY is connected to node NNU.
Node ETI is connected to nodes NNU, OGB, WSB.
Node OGB is connected to nodes WSB, AUT, ETI.
Node WSB is connected to nodes OGB, ETI.
Node AUT is connected to node OGB.","[ETI, OGB, NNU, AUT, WSB, AUY]",6,6,False,Calculate the number of common neighbors of node AUT and node ETI. ,1,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node AUT are [OGB].
Secondly, the neighbors of node ETI are [NNU, OGB, WSB].
Common neighbors of node AUT and node ETI: [OGB], which contains 1 nodes.
So the number of common neighbors is ","('[10, 1, 5, 0]',)",1,9
