task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,cc_node_ratio,id
connected_component,"[(PBG, KZB), (PBG, SRZ), (PBG, IRV), (PBG, TGX), (KZB, SRZ), (KZB, TGX), (KZB, BVP), (IRV, BVP), (IRV, KZB), (TGX, SRZ), (BVP, PBG)]","{PBG: [KZB, SRZ, IRV, TGX],
KZB: [SRZ, TGX, BVP],
SRZ: [],
IRV: [BVP, KZB],
TGX: [SRZ],
BVP: [PBG]}","Node PBG is connected to nodes KZB, SRZ, IRV, TGX.
Node KZB is connected to nodes SRZ, TGX, BVP.
Node IRV is connected to nodes BVP, KZB.
Node TGX is connected to node SRZ.
Node BVP is connected to node PBG.","[TGX, BVP, IRV, SRZ, PBG, KZB]",6,11,True,Find the strongly connected component containing node PBG. ,"[KZB, BVP, IRV, PBG]","Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node PBG.
Visit neighbor node TGX.
Search from node TGX.
Visit neighbor node SRZ.
Search from node SRZ.
Node SRZ is a root node, find a new strongly connected component: [SRZ].
Node TGX is a root node, find a new strongly connected component: [TGX].
Visit neighbor node IRV.
Search from node IRV.
Visit neighbor node BVP.
Search from node BVP.
Visit neighbor node KZB.
Search from node KZB.
Node PBG is a root node, find a new strongly connected component: [KZB, BVP, IRV, PBG].
So the strongly connected component containing node PBG is ",0.6666666666666666,0
connected_component,"[(SEX, SYO), (FYD, MUS), (FYD, SEX), (MUS, FYD), (XDS, SEX), (XDS, SYO), (PJP, FYD), (PJP, SYO), (PJP, XDS), (PJP, MUS)]","{SEX: [SYO],
SYO: [],
FYD: [MUS, SEX],
MUS: [FYD],
XDS: [SEX, SYO],
PJP: [FYD, SYO, XDS, MUS]}","Node SEX is connected to node SYO.
Node FYD is connected to nodes MUS, SEX.
Node MUS is connected to node FYD.
Node XDS is connected to nodes SEX, SYO.
Node PJP is connected to nodes FYD, SYO, XDS, MUS.","[SYO, XDS, FYD, SEX, MUS, PJP]",6,10,True,Find the strongly connected component containing node MUS. ,"[FYD, MUS]","Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node MUS.
Visit neighbor node FYD.
Search from node FYD.
Visit neighbor node SEX.
Search from node SEX.
Visit neighbor node SYO.
Search from node SYO.
Node SYO is a root node, find a new strongly connected component: [SYO].
Node SEX is a root node, find a new strongly connected component: [SEX].
Node MUS is a root node, find a new strongly connected component: [FYD, MUS].
So the strongly connected component containing node MUS is ",0.3333333333333333,1
connected_component,"[(EME, GJE), (EME, ZUM), (EME, LHQ), (GJE, JOS), (GJE, LHQ), (ZUM, GJE), (ZUM, JOS), (LHQ, GJE), (JOS, GJE)]","{EME: [GJE, ZUM, LHQ],
GJE: [JOS, LHQ],
ZUM: [GJE, JOS],
LHQ: [GJE],
JOS: [GJE]}","Node EME is connected to nodes GJE, ZUM, LHQ.
Node GJE is connected to nodes JOS, LHQ.
Node ZUM is connected to nodes GJE, JOS.
Node LHQ is connected to node GJE.
Node JOS is connected to node GJE.","[LHQ, JOS, EME, GJE, ZUM]",5,9,True,Find the strongly connected component containing node ZUM. ,[ZUM],"Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node ZUM.
Visit neighbor node JOS.
Search from node JOS.
Visit neighbor node GJE.
Search from node GJE.
Visit neighbor node LHQ.
Search from node LHQ.
Node JOS is a root node, find a new strongly connected component: [LHQ, GJE, JOS].
Node ZUM is a root node, find a new strongly connected component: [ZUM].
So the strongly connected component containing node ZUM is ",0.2,2
connected_component,"[(XIF, SWH), (XIF, WVB), (SWH, WJK), (WVB, REE), (REE, WVB), (REE, XIF), (NDF, SWH), (NDF, WVB), (WJK, XIF), (WJK, NDF), (TWT, XIF), (TWT, REE)]","{XIF: [SWH, WVB],
SWH: [WJK],
WVB: [REE],
REE: [WVB, XIF],
NDF: [SWH, WVB],
WJK: [XIF, NDF],
TWT: [XIF, REE]}","Node XIF is connected to nodes SWH, WVB.
Node SWH is connected to node WJK.
Node WVB is connected to node REE.
Node REE is connected to nodes WVB, XIF.
Node NDF is connected to nodes SWH, WVB.
Node WJK is connected to nodes XIF, NDF.
Node TWT is connected to nodes XIF, REE.","[NDF, REE, WJK, TWT, WVB, SWH, XIF]",7,12,True,Find the strongly connected component containing node NDF. ,"[WJK, SWH, XIF, REE, WVB, NDF]","Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node NDF.
Visit neighbor node WVB.
Search from node WVB.
Visit neighbor node REE.
Search from node REE.
Visit neighbor node XIF.
Search from node XIF.
Visit neighbor node SWH.
Search from node SWH.
Visit neighbor node WJK.
Search from node WJK.
Node NDF is a root node, find a new strongly connected component: [WJK, SWH, XIF, REE, WVB, NDF].
So the strongly connected component containing node NDF is ",0.8571428571428571,3
connected_component,"[(VJO, PQI), (VJO, RVI), (PQI, XMD), (PQI, VJO), (RVI, PQI), (XMD, RWV), (XMD, RVI), (XMD, VJO), (XMD, PQI)]","{VJO: [PQI, RVI],
PQI: [XMD, VJO],
RVI: [PQI],
XMD: [RWV, RVI, VJO, PQI],
RWV: []}","Node VJO is connected to nodes PQI, RVI.
Node PQI is connected to nodes XMD, VJO.
Node RVI is connected to node PQI.
Node XMD is connected to nodes RWV, RVI, VJO, PQI.","[VJO, XMD, RWV, PQI, RVI]",5,9,True,Find the strongly connected component containing node RWV. ,[RWV],"Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node RWV.
Node RWV is a root node, find a new strongly connected component: [RWV].
So the strongly connected component containing node RWV is ",0.2,4
connected_component,"[(COH, SBR), (COH, ILX), (COH, MSP), (SBR, ILX), (SBR, COH), (ILX, COH), (ILX, PEW), (MSP, COH), (MSP, SBR), (MSP, PEW), (MSP, ILX), (JFY, COH), (JFY, SBR), (JFY, ILX), (JFY, MSP)]","{COH: [SBR, ILX, MSP],
SBR: [ILX, COH],
ILX: [COH, PEW],
MSP: [COH, SBR, PEW, ILX],
PEW: [],
JFY: [COH, SBR, ILX, MSP]}","Node COH is connected to nodes SBR, ILX, MSP.
Node SBR is connected to nodes ILX, COH.
Node ILX is connected to nodes COH, PEW.
Node MSP is connected to nodes COH, SBR, PEW, ILX.
Node JFY is connected to nodes COH, SBR, ILX, MSP.","[MSP, COH, SBR, JFY, ILX, PEW]",6,15,True,Find the strongly connected component containing node SBR. ,"[ILX, MSP, COH, SBR]","Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node SBR.
Visit neighbor node COH.
Search from node COH.
Visit neighbor node MSP.
Search from node MSP.
Visit neighbor node ILX.
Search from node ILX.
Visit neighbor node PEW.
Search from node PEW.
Node PEW is a root node, find a new strongly connected component: [PEW].
Node SBR is a root node, find a new strongly connected component: [ILX, MSP, COH, SBR].
So the strongly connected component containing node SBR is ",0.6666666666666666,5
connected_component,"[(HIU, COF), (HIU, VWV), (HIU, MUE), (HIU, KVB)]","{HIU: [COF, VWV, MUE, KVB],
COF: [HIU],
VWV: [HIU],
MUE: [HIU],
KVB: [HIU]}","Node HIU is connected to nodes COF, VWV, MUE, KVB.
Node COF is connected to node HIU.
Node VWV is connected to node HIU.
Node MUE is connected to node HIU.
Node KVB is connected to node HIU.","[COF, VWV, HIU, MUE, KVB]",5,4,False,Find the connected component containing node COF. ,"[COF, HIU, KVB, MUE, VWV]","Let's find the connected component step by step, and we can use Depth-First Search.
Visit node COF, add it to the connected component. The current connected component is [COF].
Visit node HIU, add it to the connected component. The current connected component is [COF, HIU].
Visit node KVB, add it to the connected component. The current connected component is [COF, HIU, KVB].
Visit node MUE, add it to the connected component. The current connected component is [COF, HIU, KVB, MUE].
Visit node VWV, add it to the connected component. The current connected component is [COF, HIU, KVB, MUE, VWV].
Thus, the connected component containing node COF is ",1.0,6
connected_component,"[(ZIJ, HBS), (ZIJ, PGH), (ZIJ, OZQ), (HBS, PGH), (HBS, OZQ), (HBS, ZIJ), (OZQ, ZIJ), (OZQ, MBT), (OZQ, VTF), (RXJ, VTF), (RXJ, OZQ), (RXJ, HBS), (VTF, OZQ), (VTF, ZIJ), (VTF, HBS), (VTF, PGH), (MBT, ZIJ), (MBT, RXJ)]","{ZIJ: [HBS, PGH, OZQ],
HBS: [PGH, OZQ, ZIJ],
PGH: [],
OZQ: [ZIJ, MBT, VTF],
RXJ: [VTF, OZQ, HBS],
VTF: [OZQ, ZIJ, HBS, PGH],
MBT: [ZIJ, RXJ]}","Node ZIJ is connected to nodes HBS, PGH, OZQ.
Node HBS is connected to nodes PGH, OZQ, ZIJ.
Node OZQ is connected to nodes ZIJ, MBT, VTF.
Node RXJ is connected to nodes VTF, OZQ, HBS.
Node VTF is connected to nodes OZQ, ZIJ, HBS, PGH.
Node MBT is connected to nodes ZIJ, RXJ.","[VTF, OZQ, RXJ, HBS, ZIJ, MBT, PGH]",7,18,True,Find the strongly connected component containing node OZQ. ,"[RXJ, MBT, ZIJ, HBS, VTF, OZQ]","Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node OZQ.
Visit neighbor node VTF.
Search from node VTF.
Visit neighbor node HBS.
Search from node HBS.
Visit neighbor node ZIJ.
Search from node ZIJ.
Visit neighbor node PGH.
Search from node PGH.
Node PGH is a root node, find a new strongly connected component: [PGH].
Visit neighbor node MBT.
Search from node MBT.
Visit neighbor node RXJ.
Search from node RXJ.
Node OZQ is a root node, find a new strongly connected component: [RXJ, MBT, ZIJ, HBS, VTF, OZQ].
So the strongly connected component containing node OZQ is ",0.8571428571428571,7
connected_component,"[(TRR, UFY), (TRR, XCI), (TRR, VRN), (UFY, VRN), (XCI, VRN), (XCI, TRR), (VRN, UFY), (EUR, UFY), (UGC, PWA), (UGC, EUR), (PWA, TRR)]","{TRR: [UFY, XCI, VRN],
UFY: [VRN],
XCI: [VRN, TRR],
VRN: [UFY],
EUR: [UFY],
UGC: [PWA, EUR],
PWA: [TRR]}","Node TRR is connected to nodes UFY, XCI, VRN.
Node UFY is connected to node VRN.
Node XCI is connected to nodes VRN, TRR.
Node VRN is connected to node UFY.
Node EUR is connected to node UFY.
Node UGC is connected to nodes PWA, EUR.
Node PWA is connected to node TRR.","[UFY, TRR, VRN, PWA, EUR, XCI, UGC]",7,11,True,Find the strongly connected component containing node VRN. ,"[UFY, VRN]","Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node VRN.
Visit neighbor node UFY.
Search from node UFY.
Node VRN is a root node, find a new strongly connected component: [UFY, VRN].
So the strongly connected component containing node VRN is ",0.2857142857142857,8
connected_component,"[(CUK, ZSR), (CUK, WTQ), (CUK, FSY), (ZSR, WZS), (ZSR, SXI), (WTQ, SXI), (FSY, CUK), (FSY, RYP), (WZS, CUK), (WZS, FSY), (SXI, CUK), (SXI, ZSR), (SXI, WTQ), (SXI, RYP), (SXI, FSY)]","{CUK: [ZSR, WTQ, FSY],
ZSR: [WZS, SXI],
WTQ: [SXI],
FSY: [CUK, RYP],
WZS: [CUK, FSY],
SXI: [CUK, ZSR, WTQ, RYP, FSY],
RYP: []}","Node CUK is connected to nodes ZSR, WTQ, FSY.
Node ZSR is connected to nodes WZS, SXI.
Node WTQ is connected to node SXI.
Node FSY is connected to nodes CUK, RYP.
Node WZS is connected to nodes CUK, FSY.
Node SXI is connected to nodes CUK, ZSR, WTQ, RYP, FSY.","[SXI, RYP, CUK, ZSR, FSY, WZS, WTQ]",7,15,True,Find the strongly connected component containing node RYP. ,[RYP],"Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node RYP.
Node RYP is a root node, find a new strongly connected component: [RYP].
So the strongly connected component containing node RYP is ",0.1428571428571428,9
connected_component,"[(XBF, WET), (XBF, PRQ), (WET, NVH), (PRQ, XBF), (PRQ, BIJ), (NVH, RDD), (NVH, BIJ), (BIJ, NVH), (BIJ, PRQ), (BIJ, XBF), (BIJ, WET), (RDD, XBF), (BXH, WET), (BXH, PRQ)]","{XBF: [WET, PRQ],
WET: [NVH],
PRQ: [XBF, BIJ],
NVH: [RDD, BIJ],
BIJ: [NVH, PRQ, XBF, WET],
RDD: [XBF],
BXH: [WET, PRQ]}","Node XBF is connected to nodes WET, PRQ.
Node WET is connected to node NVH.
Node PRQ is connected to nodes XBF, BIJ.
Node NVH is connected to nodes RDD, BIJ.
Node BIJ is connected to nodes NVH, PRQ, XBF, WET.
Node RDD is connected to node XBF.
Node BXH is connected to nodes WET, PRQ.","[WET, PRQ, BIJ, NVH, RDD, BXH, XBF]",7,14,True,Find the strongly connected component containing node WET. ,"[RDD, XBF, PRQ, BIJ, NVH, WET]","Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node WET.
Visit neighbor node NVH.
Search from node NVH.
Visit neighbor node BIJ.
Search from node BIJ.
Visit neighbor node PRQ.
Search from node PRQ.
Visit neighbor node XBF.
Search from node XBF.
Visit neighbor node RDD.
Search from node RDD.
Node WET is a root node, find a new strongly connected component: [RDD, XBF, PRQ, BIJ, NVH, WET].
So the strongly connected component containing node WET is ",0.8571428571428571,10
connected_component,"[(BPQ, PDF), (PDF, DXJ), (PDF, BPQ), (DXJ, BPQ), (DXJ, PDF), (DXJ, RGO), (DXJ, EHQ), (RGO, EHQ), (RGO, DXJ), (RGO, EKH), (EHQ, DXJ), (EHQ, BPQ), (EHQ, RGO)]","{BPQ: [PDF],
PDF: [DXJ, BPQ],
DXJ: [BPQ, PDF, RGO, EHQ],
RGO: [EHQ, DXJ, EKH],
EHQ: [DXJ, BPQ, RGO],
EKH: []}","Node BPQ is connected to node PDF.
Node PDF is connected to nodes DXJ, BPQ.
Node DXJ is connected to nodes BPQ, PDF, RGO, EHQ.
Node RGO is connected to nodes EHQ, DXJ, EKH.
Node EHQ is connected to nodes DXJ, BPQ, RGO.","[PDF, BPQ, EHQ, EKH, RGO, DXJ]",6,13,True,Find the strongly connected component containing node EHQ. ,"[RGO, DXJ, PDF, BPQ, EHQ]","Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node EHQ.
Visit neighbor node BPQ.
Search from node BPQ.
Visit neighbor node PDF.
Search from node PDF.
Visit neighbor node DXJ.
Search from node DXJ.
Visit neighbor node RGO.
Search from node RGO.
Visit neighbor node EKH.
Search from node EKH.
Node EKH is a root node, find a new strongly connected component: [EKH].
Node EHQ is a root node, find a new strongly connected component: [RGO, DXJ, PDF, BPQ, EHQ].
So the strongly connected component containing node EHQ is ",0.8333333333333334,11
connected_component,"[(FJO, KTR), (FJO, BIL), (BIL, OJP), (BIL, FJO), (BIL, KTR), (HDH, OJP), (HDH, FJO), (OJP, KTR), (OJP, BIL), (OOW, FJO), (OOW, HDH), (OOW, BIL)]","{FJO: [KTR, BIL],
KTR: [],
BIL: [OJP, FJO, KTR],
HDH: [OJP, FJO],
OJP: [KTR, BIL],
OOW: [FJO, HDH, BIL]}","Node FJO is connected to nodes KTR, BIL.
Node BIL is connected to nodes OJP, FJO, KTR.
Node HDH is connected to nodes OJP, FJO.
Node OJP is connected to nodes KTR, BIL.
Node OOW is connected to nodes FJO, HDH, BIL.","[BIL, HDH, KTR, FJO, OOW, OJP]",6,12,True,Find the strongly connected component containing node KTR. ,[KTR],"Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node KTR.
Node KTR is a root node, find a new strongly connected component: [KTR].
So the strongly connected component containing node KTR is ",0.1666666666666666,12
connected_component,"[(KNG, GNZ), (GNZ, EOM), (GNZ, KNG), (GNZ, LBQ), (LBQ, OIP), (LBQ, EOM), (PAE, GNZ), (PAE, EOM), (PAE, LBQ)]","{KNG: [GNZ],
GNZ: [EOM, KNG, LBQ],
LBQ: [OIP, EOM],
OIP: [],
EOM: [],
PAE: [GNZ, EOM, LBQ]}","Node KNG is connected to node GNZ.
Node GNZ is connected to nodes EOM, KNG, LBQ.
Node LBQ is connected to nodes OIP, EOM.
Node PAE is connected to nodes GNZ, EOM, LBQ.","[OIP, EOM, KNG, LBQ, PAE, GNZ]",6,9,True,Find the strongly connected component containing node GNZ. ,"[KNG, GNZ]","Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node GNZ.
Visit neighbor node EOM.
Search from node EOM.
Node EOM is a root node, find a new strongly connected component: [EOM].
Visit neighbor node KNG.
Search from node KNG.
Visit neighbor node LBQ.
Search from node LBQ.
Visit neighbor node OIP.
Search from node OIP.
Node OIP is a root node, find a new strongly connected component: [OIP].
Node LBQ is a root node, find a new strongly connected component: [LBQ].
Node GNZ is a root node, find a new strongly connected component: [KNG, GNZ].
So the strongly connected component containing node GNZ is ",0.3333333333333333,13
connected_component,"[(PLV, RJR), (PLV, EWW), (PLV, WSN), (RJR, LVC), (RJR, WSN), (EWW, RJR), (WSN, PLV), (WSN, RJR), (WSN, LVC), (WSN, EWW), (LVC, EWW), (LVC, ONF), (ONF, RJR), (XCX, EWW)]","{PLV: [RJR, EWW, WSN],
RJR: [LVC, WSN],
EWW: [RJR],
WSN: [PLV, RJR, LVC, EWW],
LVC: [EWW, ONF],
ONF: [RJR],
XCX: [EWW]}","Node PLV is connected to nodes RJR, EWW, WSN.
Node RJR is connected to nodes LVC, WSN.
Node EWW is connected to node RJR.
Node WSN is connected to nodes PLV, RJR, LVC, EWW.
Node LVC is connected to nodes EWW, ONF.
Node ONF is connected to node RJR.
Node XCX is connected to node EWW.","[EWW, PLV, ONF, RJR, WSN, XCX, LVC]",7,14,True,Find the strongly connected component containing node EWW. ,"[ONF, LVC, PLV, WSN, RJR, EWW]","Let's find the strongly connected component step by step, and we can use the Tarjan algorithm.
Search from node EWW.
Visit neighbor node RJR.
Search from node RJR.
Visit neighbor node WSN.
Search from node WSN.
Visit neighbor node PLV.
Search from node PLV.
Visit neighbor node LVC.
Search from node LVC.
Visit neighbor node ONF.
Search from node ONF.
Node EWW is a root node, find a new strongly connected component: [ONF, LVC, PLV, WSN, RJR, EWW].
So the strongly connected component containing node EWW is ",0.8571428571428571,14
