task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
connectivity,"[(OOL, IZP), (OOL, DFU), (OOL, DWI), (OOL, OBL), (IZP, RPQ), (IZP, DWI), (DFU, RPQ), (DFU, OBL), (OBL, QEA), (RPQ, QEA)]","{OOL: [IZP, DFU, DWI, OBL],
IZP: [OOL, RPQ, DWI],
DFU: [OOL, RPQ, OBL],
DWI: [OOL, IZP],
OBL: [OOL, DFU, QEA],
RPQ: [IZP, QEA, DFU],
QEA: [RPQ, OBL]}","Node OOL is connected to nodes IZP, DFU, DWI, OBL.
Node IZP is connected to nodes OOL, RPQ, DWI.
Node DFU is connected to nodes OOL, RPQ, OBL.
Node DWI is connected to nodes OOL, IZP.
Node OBL is connected to nodes OOL, DFU, QEA.
Node RPQ is connected to nodes IZP, QEA, DFU.
Node QEA is connected to nodes RPQ, OBL.","[QEA, DWI, IZP, DFU, RPQ, OOL, OBL]",7,10,False,Is there a path between node QEA and node OOL?,Yes,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node QEA is [QEA, OBL, DFU, RPQ, IZP, DWI, OOL].
Node OOL is in the traversal, so the answer is ","('[Yes, No]',)",0,0
connectivity,"[(MOZ, VMR), (MOZ, CJD), (CJD, EKR), (LJY, VMR), (LJY, MOZ), (EKR, CJD), (EKR, MOZ)]","{MOZ: [VMR, CJD],
VMR: [],
CJD: [EKR],
LJY: [VMR, MOZ],
EKR: [CJD, MOZ]}","Node MOZ is connected to nodes VMR, CJD.
Node CJD is connected to node EKR.
Node LJY is connected to nodes VMR, MOZ.
Node EKR is connected to nodes CJD, MOZ.","[CJD, VMR, MOZ, EKR, LJY]",5,7,True,Is there a directed path from node VMR to node EKR?,No,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node VMR is [VMR].
Node EKR is not in the traversal, so the answer is ","('[Yes, No]',)",1,1
connectivity,"[(JHA, KBP), (JHA, JOV), (KBP, XXR), (KBP, JOV), (KBP, JHA), (JOV, MAZ), (XXR, HVX), (XXR, JOV), (XXR, KBP), (MAZ, PHR), (PHR, JOV), (HVX, KBP), (HVX, MAZ)]","{JHA: [KBP, JOV],
KBP: [XXR, JOV, JHA],
JOV: [MAZ],
XXR: [HVX, JOV, KBP],
MAZ: [PHR],
PHR: [JOV],
HVX: [KBP, MAZ]}","Node JHA is connected to nodes KBP, JOV.
Node KBP is connected to nodes XXR, JOV, JHA.
Node JOV is connected to node MAZ.
Node XXR is connected to nodes HVX, JOV, KBP.
Node MAZ is connected to node PHR.
Node PHR is connected to node JOV.
Node HVX is connected to nodes KBP, MAZ.","[XXR, JHA, MAZ, KBP, JOV, PHR, HVX]",7,13,True,Is there a directed path from node XXR to node MAZ?,Yes,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node XXR is [XXR, KBP, JHA, JOV, MAZ, PHR, HVX].
Node MAZ is in the traversal, so the answer is ","('[Yes, No]',)",0,2
connectivity,"[(APH, SCO), (APH, VZH), (SCO, OGX), (SCO, APH), (SCO, NCM), (VZH, SCO), (OGX, NCM)]","{APH: [SCO, VZH],
SCO: [OGX, APH, NCM],
VZH: [SCO],
OGX: [NCM],
NCM: []}","Node APH is connected to nodes SCO, VZH.
Node SCO is connected to nodes OGX, APH, NCM.
Node VZH is connected to node SCO.
Node OGX is connected to node NCM.","[OGX, APH, SCO, VZH, NCM]",5,7,True,Is there a directed path from node NCM to node APH?,No,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node NCM is [NCM].
Node APH is not in the traversal, so the answer is ","('[Yes, No]',)",1,3
connectivity,"[(BJK, WLB), (BJK, PNU), (BJK, QRF), (BJK, SRS), (WLB, PNU), (WLB, CPS), (WLB, SRS), (PNU, CPS), (QRF, CPS)]","{BJK: [WLB, PNU, QRF, SRS],
WLB: [BJK, PNU, CPS, SRS],
PNU: [BJK, WLB, CPS],
QRF: [BJK, CPS],
SRS: [BJK, WLB],
CPS: [WLB, PNU, QRF]}","Node BJK is connected to nodes WLB, PNU, QRF, SRS.
Node WLB is connected to nodes BJK, PNU, CPS, SRS.
Node PNU is connected to nodes BJK, WLB, CPS.
Node QRF is connected to nodes BJK, CPS.
Node SRS is connected to nodes BJK, WLB.
Node CPS is connected to nodes WLB, PNU, QRF.","[QRF, WLB, PNU, SRS, CPS, BJK]",6,9,False,Is there a path between node PNU and node SRS?,Yes,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node PNU is [PNU, CPS, QRF, BJK, SRS, WLB].
Node SRS is in the traversal, so the answer is ","('[Yes, No]',)",0,4
connectivity,"[(CUQ, HRW), (CUQ, OBB), (HRW, QED), (HRW, YER), (YER, QED), (YER, NDC), (NDC, OBB), (NDC, YER), (NDC, HRW), (NDC, QED)]","{CUQ: [HRW, OBB],
HRW: [QED, YER],
OBB: [],
YER: [QED, NDC],
QED: [],
NDC: [OBB, YER, HRW, QED]}","Node CUQ is connected to nodes HRW, OBB.
Node HRW is connected to nodes QED, YER.
Node YER is connected to nodes QED, NDC.
Node NDC is connected to nodes OBB, YER, HRW, QED.","[YER, OBB, HRW, QED, CUQ, NDC]",6,10,True,Is there a directed path from node OBB to node YER?,No,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node OBB is [OBB].
Node YER is not in the traversal, so the answer is ","('[Yes, No]',)",1,5
connectivity,"[(YJV, KEW), (YJV, LSM), (KEW, OKU), (LSM, JAL), (OKU, JAL)]","{YJV: [KEW, LSM],
KEW: [YJV, OKU],
LSM: [YJV, JAL],
OKU: [KEW, JAL],
JAL: [OKU, LSM]}","Node YJV is connected to nodes KEW, LSM.
Node KEW is connected to nodes YJV, OKU.
Node LSM is connected to nodes YJV, JAL.
Node OKU is connected to nodes KEW, JAL.
Node JAL is connected to nodes OKU, LSM.","[JAL, YJV, OKU, LSM, KEW]",5,5,False,Is there a path between node YJV and node KEW?,Yes,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node YJV is [YJV, LSM, JAL, OKU, KEW].
Node KEW is in the traversal, so the answer is ","('[Yes, No]',)",0,6
connectivity,"[(SQL, VAF), (VAF, JJV), (XVA, VAF), (XVA, SQL), (UZF, JJV), (UZF, XVA), (JJV, XVA), (WBC, XVA), (WBC, UZF), (WBC, JJV)]","{SQL: [VAF],
VAF: [JJV],
XVA: [VAF, SQL],
UZF: [JJV, XVA],
JJV: [XVA],
WBC: [XVA, UZF, JJV]}","Node SQL is connected to node VAF.
Node VAF is connected to node JJV.
Node XVA is connected to nodes VAF, SQL.
Node UZF is connected to nodes JJV, XVA.
Node JJV is connected to node XVA.
Node WBC is connected to nodes XVA, UZF, JJV.","[WBC, JJV, VAF, UZF, XVA, SQL]",6,10,True,Is there a directed path from node SQL to node UZF?,No,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node SQL is [SQL, VAF, JJV, XVA].
Node UZF is not in the traversal, so the answer is ","('[Yes, No]',)",1,7
connectivity,"[(BIS, TMW), (BIS, DNJ), (BIS, IMW), (BIS, ZUE), (BIS, EOE), (TMW, DNJ), (TMW, IMW), (TMW, ZUE), (TMW, EOE), (DNJ, IMW), (DNJ, ZUE), (IMW, ZUE)]","{BIS: [TMW, DNJ, IMW, ZUE, EOE],
TMW: [BIS, DNJ, IMW, ZUE, EOE],
DNJ: [BIS, TMW, IMW, ZUE],
IMW: [BIS, TMW, DNJ, ZUE],
ZUE: [BIS, TMW, DNJ, IMW],
EOE: [BIS, TMW]}","Node BIS is connected to nodes TMW, DNJ, IMW, ZUE, EOE.
Node TMW is connected to nodes BIS, DNJ, IMW, ZUE, EOE.
Node DNJ is connected to nodes BIS, TMW, IMW, ZUE.
Node IMW is connected to nodes BIS, TMW, DNJ, ZUE.
Node ZUE is connected to nodes BIS, TMW, DNJ, IMW.
Node EOE is connected to nodes BIS, TMW.","[EOE, ZUE, BIS, DNJ, TMW, IMW]",6,12,False,Is there a path between node TMW and node BIS?,Yes,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node TMW is [TMW, EOE, BIS, ZUE, IMW, DNJ].
Node BIS is in the traversal, so the answer is ","('[Yes, No]',)",0,8
connectivity,"[(XSG, IAK), (XSG, SVW), (IAK, SVW), (SVW, ORU), (SVW, XSG), (SVW, IAK), (MSQ, XSG), (TJZ, XSG), (TJZ, IAK), (TJZ, SVW)]","{XSG: [IAK, SVW],
IAK: [SVW],
SVW: [ORU, XSG, IAK],
MSQ: [XSG],
ORU: [],
TJZ: [XSG, IAK, SVW]}","Node XSG is connected to nodes IAK, SVW.
Node IAK is connected to node SVW.
Node SVW is connected to nodes ORU, XSG, IAK.
Node MSQ is connected to node XSG.
Node TJZ is connected to nodes XSG, IAK, SVW.","[MSQ, XSG, ORU, SVW, IAK, TJZ]",6,10,True,Is there a directed path from node ORU to node MSQ?,No,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node ORU is [ORU].
Node MSQ is not in the traversal, so the answer is ","('[Yes, No]',)",1,9
connectivity,"[(TNE, PBG), (TNE, BDH), (PBG, NAB), (BDH, NAB), (BDH, TNE), (BDH, TQA), (BDH, WWS), (TQA, PBG), (TQA, WWS), (TQA, BDH), (WWS, NAB), (WWS, PBG)]","{TNE: [PBG, BDH],
PBG: [NAB],
BDH: [NAB, TNE, TQA, WWS],
TQA: [PBG, WWS, BDH],
WWS: [NAB, PBG],
NAB: []}","Node TNE is connected to nodes PBG, BDH.
Node PBG is connected to node NAB.
Node BDH is connected to nodes NAB, TNE, TQA, WWS.
Node TQA is connected to nodes PBG, WWS, BDH.
Node WWS is connected to nodes NAB, PBG.","[TQA, PBG, NAB, BDH, TNE, WWS]",6,12,True,Is there a directed path from node NAB to node TQA?,No,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node NAB is [NAB].
Node TQA is not in the traversal, so the answer is ","('[Yes, No]',)",1,10
connectivity,"[(ESN, SPN), (ESN, CVL), (ESN, BKR), (ESN, BVB), (ESN, ZKO), (SPN, BKR), (SPN, BVB), (CVL, GKK), (CVL, ZKO), (BKR, GKK)]","{ESN: [SPN, CVL, BKR, BVB, ZKO],
SPN: [ESN, BKR, BVB],
CVL: [ESN, GKK, ZKO],
BKR: [ESN, SPN, GKK],
BVB: [ESN, SPN],
ZKO: [ESN, CVL],
GKK: [CVL, BKR]}","Node ESN is connected to nodes SPN, CVL, BKR, BVB, ZKO.
Node SPN is connected to nodes ESN, BKR, BVB.
Node CVL is connected to nodes ESN, GKK, ZKO.
Node BKR is connected to nodes ESN, SPN, GKK.
Node BVB is connected to nodes ESN, SPN.
Node ZKO is connected to nodes ESN, CVL.
Node GKK is connected to nodes CVL, BKR.","[SPN, CVL, ESN, BKR, ZKO, BVB, GKK]",7,10,False,Is there a path between node SPN and node ESN?,Yes,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node SPN is [SPN, BVB, ESN, ZKO, CVL, GKK, BKR].
Node ESN is in the traversal, so the answer is ","('[Yes, No]',)",0,11
connectivity,"[(OFV, ZNG), (OFV, RNC), (OFV, NUG), (ZNG, KGH), (ZNG, YNH), (ZNG, NUG), (RNC, KGH), (RNC, YNH), (RNC, NUG), (KGH, YNH)]","{OFV: [ZNG, RNC, NUG],
ZNG: [OFV, KGH, YNH, NUG],
RNC: [OFV, KGH, YNH, NUG],
NUG: [OFV, ZNG, RNC],
KGH: [YNH, ZNG, RNC],
YNH: [KGH, ZNG, RNC]}","Node OFV is connected to nodes ZNG, RNC, NUG.
Node ZNG is connected to nodes OFV, KGH, YNH, NUG.
Node RNC is connected to nodes OFV, KGH, YNH, NUG.
Node NUG is connected to nodes OFV, ZNG, RNC.
Node KGH is connected to nodes YNH, ZNG, RNC.
Node YNH is connected to nodes KGH, ZNG, RNC.","[NUG, KGH, ZNG, RNC, YNH, OFV]",6,10,False,Is there a path between node KGH and node OFV?,Yes,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node KGH is [KGH, RNC, NUG, ZNG, YNH, OFV].
Node OFV is in the traversal, so the answer is ","('[Yes, No]',)",0,12
