task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
degree,"[(NRT, RHN), (NRT, WZH), (NRT, HHS), (NRT, YVC), (RHN, WZH), (RHN, SCJ), (RHN, YVC), (WZH, SCJ), (WZH, HHS), (WZH, YVC), (HHS, SCJ), (HHS, YVC), (YVC, SCJ)]","{NRT: [RHN, WZH, HHS, YVC],
RHN: [NRT, WZH, SCJ, YVC],
WZH: [NRT, RHN, SCJ, HHS, YVC],
HHS: [NRT, WZH, SCJ, YVC],
YVC: [NRT, RHN, WZH, SCJ, HHS],
SCJ: [RHN, WZH, HHS, YVC]}","Node NRT is connected to nodes RHN, WZH, HHS, YVC.
Node RHN is connected to nodes NRT, WZH, SCJ, YVC.
Node WZH is connected to nodes NRT, RHN, SCJ, HHS, YVC.
Node HHS is connected to nodes NRT, WZH, SCJ, YVC.
Node YVC is connected to nodes NRT, RHN, WZH, SCJ, HHS.
Node SCJ is connected to nodes RHN, WZH, HHS, YVC.","[WZH, HHS, NRT, RHN, YVC, SCJ]",6,13,False,What is the degree of node YVC?,5,"Let's solve this problem step by step.
The neighbors of node YVC are: [NRT, RHN, WZH, SCJ, HHS], and there are 5 neighbor nodes.
So the degree of node YVC is ","('[5, 0, 6, 4]',)",0,0
degree,"[(ZOK, DDT), (ZOK, SZD), (ZOK, UIE), (ZOK, KJJ)]","{ZOK: [DDT, SZD, UIE, KJJ],
DDT: [ZOK],
SZD: [ZOK],
UIE: [ZOK],
KJJ: [ZOK]}","Node ZOK is connected to nodes DDT, SZD, UIE, KJJ.
Node DDT is connected to node ZOK.
Node SZD is connected to node ZOK.
Node UIE is connected to node ZOK.
Node KJJ is connected to node ZOK.","[ZOK, SZD, KJJ, UIE, DDT]",5,4,False,What is the degree of node SZD?,1,"Let's solve this problem step by step.
The neighbors of node SZD are: [ZOK], and there are 1 neighbor nodes.
So the degree of node SZD is ","('[2, 1, 0, 8]',)",1,1
degree,"[(KNX, ZOE), (KNX, XJZ), (KNX, WAV), (ZOE, XJZ), (ZOE, WAV), (ZOE, DJZ), (XJZ, WAV), (XJZ, FPV), (XJZ, DJZ), (WAV, FPV), (WAV, DJZ), (DJZ, FPV)]","{KNX: [ZOE, XJZ, WAV],
ZOE: [KNX, XJZ, WAV, DJZ],
XJZ: [KNX, ZOE, WAV, FPV, DJZ],
WAV: [KNX, ZOE, XJZ, FPV, DJZ],
DJZ: [ZOE, XJZ, WAV, FPV],
FPV: [XJZ, WAV, DJZ]}","Node KNX is connected to nodes ZOE, XJZ, WAV.
Node ZOE is connected to nodes KNX, XJZ, WAV, DJZ.
Node XJZ is connected to nodes KNX, ZOE, WAV, FPV, DJZ.
Node WAV is connected to nodes KNX, ZOE, XJZ, FPV, DJZ.
Node DJZ is connected to nodes ZOE, XJZ, WAV, FPV.
Node FPV is connected to nodes XJZ, WAV, DJZ.","[DJZ, ZOE, KNX, WAV, FPV, XJZ]",6,12,False,What is the degree of node ZOE?,4,"Let's solve this problem step by step.
The neighbors of node ZOE are: [KNX, XJZ, WAV, DJZ], and there are 4 neighbor nodes.
So the degree of node ZOE is ","('[4, 8, 0, 10]',)",0,2
degree,"[(QRB, YQO), (QRB, SLV), (YQO, NTA), (SLV, NDS), (SLV, NTA)]","{QRB: [YQO, SLV],
YQO: [QRB, NTA],
SLV: [QRB, NDS, NTA],
NTA: [YQO, SLV],
NDS: [SLV]}","Node QRB is connected to nodes YQO, SLV.
Node YQO is connected to nodes QRB, NTA.
Node SLV is connected to nodes QRB, NDS, NTA.
Node NTA is connected to nodes YQO, SLV.
Node NDS is connected to node SLV.","[SLV, YQO, NDS, QRB, NTA]",5,5,False,What is the degree of node NDS?,1,"Let's solve this problem step by step.
The neighbors of node NDS are: [SLV], and there are 1 neighbor nodes.
So the degree of node NDS is ","('[1, 3, 0, 4]',)",0,3
degree,"[(QSX, UIM), (QSX, MGL), (QSX, ZSS), (QSX, DFB), (UIM, XVQ), (UIM, BVY), (UIM, MGL), (UIM, ZSS), (ZSS, BVY), (ZSS, XVQ)]","{QSX: [UIM, MGL, ZSS, DFB],
UIM: [QSX, XVQ, BVY, MGL, ZSS],
MGL: [QSX, UIM],
ZSS: [QSX, UIM, BVY, XVQ],
DFB: [QSX],
XVQ: [UIM, ZSS],
BVY: [UIM, ZSS]}","Node QSX is connected to nodes UIM, MGL, ZSS, DFB.
Node UIM is connected to nodes QSX, XVQ, BVY, MGL, ZSS.
Node MGL is connected to nodes QSX, UIM.
Node ZSS is connected to nodes QSX, UIM, BVY, XVQ.
Node DFB is connected to node QSX.
Node XVQ is connected to nodes UIM, ZSS.
Node BVY is connected to nodes UIM, ZSS.","[QSX, UIM, BVY, XVQ, ZSS, MGL, DFB]",7,10,False,What is the degree of node QSX?,4,"Let's solve this problem step by step.
The neighbors of node QSX are: [UIM, MGL, ZSS, DFB], and there are 4 neighbor nodes.
So the degree of node QSX is ","('[1, 0, 4, 9]',)",2,4
degree,"[(AJH, YLR), (AJH, FYU), (AJH, WXW), (YLR, DCB), (YLR, FYU), (YLR, VCM), (YLR, WXW), (FYU, DCB), (FYU, VCM), (FYU, WXW), (WXW, DCB), (WXW, VCM), (DCB, VCM)]","{AJH: [YLR, FYU, WXW],
YLR: [AJH, DCB, FYU, VCM, WXW],
FYU: [AJH, YLR, DCB, VCM, WXW],
WXW: [AJH, YLR, DCB, FYU, VCM],
DCB: [YLR, FYU, VCM, WXW],
VCM: [YLR, DCB, FYU, WXW]}","Node AJH is connected to nodes YLR, FYU, WXW.
Node YLR is connected to nodes AJH, DCB, FYU, VCM, WXW.
Node FYU is connected to nodes AJH, YLR, DCB, VCM, WXW.
Node WXW is connected to nodes AJH, YLR, DCB, FYU, VCM.
Node DCB is connected to nodes YLR, FYU, VCM, WXW.
Node VCM is connected to nodes YLR, DCB, FYU, WXW.","[AJH, VCM, FYU, YLR, DCB, WXW]",6,13,False,What is the degree of node YLR?,5,"Let's solve this problem step by step.
The neighbors of node YLR are: [AJH, DCB, FYU, VCM, WXW], and there are 5 neighbor nodes.
So the degree of node YLR is ","('[5, 0, 6, 3]',)",0,5
degree,"[(OQS, OEV), (OQS, WCL), (OEV, OQS), (WCL, VVQ), (WCL, IYL), (IYL, ZTG), (IYL, OQS), (IYL, OEV), (ZTG, VVQ), (VVQ, OQS), (VVQ, OEV), (VVQ, ZTG)]","{OQS: [OEV, WCL],
OEV: [OQS],
WCL: [VVQ, IYL],
IYL: [ZTG, OQS, OEV],
ZTG: [VVQ],
VVQ: [OQS, OEV, ZTG]}","Node OQS is connected to nodes OEV, WCL.
Node OEV is connected to node OQS.
Node WCL is connected to nodes VVQ, IYL.
Node IYL is connected to nodes ZTG, OQS, OEV.
Node ZTG is connected to node VVQ.
Node VVQ is connected to nodes OQS, OEV, ZTG.","[WCL, VVQ, IYL, OQS, ZTG, OEV]",6,12,True,What is the out-degree of node ZTG?,1,"Let's solve this problem step by step.
The successors of node ZTG are: [VVQ], and there are 1 successor nodes.
So the degree of node ZTG is ","('[4, 0, 10, 1]',)",3,6
degree,"[(XGI, DSR), (XGI, MNL), (XGI, UJX), (DSR, RJJ), (MNL, UJX), (RJJ, RDM)]","{XGI: [DSR, MNL, UJX],
DSR: [XGI, RJJ],
MNL: [XGI, UJX],
UJX: [XGI, MNL],
RJJ: [DSR, RDM],
RDM: [RJJ]}","Node XGI is connected to nodes DSR, MNL, UJX.
Node DSR is connected to nodes XGI, RJJ.
Node MNL is connected to nodes XGI, UJX.
Node UJX is connected to nodes XGI, MNL.
Node RJJ is connected to nodes DSR, RDM.
Node RDM is connected to node RJJ.","[MNL, XGI, DSR, RJJ, RDM, UJX]",6,6,False,What is the degree of node MNL?,2,"Let's solve this problem step by step.
The neighbors of node MNL are: [XGI, UJX], and there are 2 neighbor nodes.
So the degree of node MNL is ","('[3, 0, 10, 2]',)",3,7
degree,"[(KKG, EBF), (KKG, SEA), (SEA, SNH), (SEA, QDH)]","{KKG: [EBF, SEA],
EBF: [KKG],
SEA: [KKG, SNH, QDH],
SNH: [SEA],
QDH: [SEA]}","Node KKG is connected to nodes EBF, SEA.
Node EBF is connected to node KKG.
Node SEA is connected to nodes KKG, SNH, QDH.
Node SNH is connected to node SEA.
Node QDH is connected to node SEA.","[QDH, SEA, EBF, KKG, SNH]",5,4,False,What is the degree of node EBF?,1,"Let's solve this problem step by step.
The neighbors of node EBF are: [KKG], and there are 1 neighbor nodes.
So the degree of node EBF is ","('[0, 2, 1, 7]',)",2,8
degree,"[(JPB, PEG), (PEG, AWA), (PEG, TCR), (AWA, AMJ), (TCR, PEG), (TCR, AMJ), (TCR, AWA), (ASW, TCR), (ASW, JPB), (AMJ, AWA), (AMJ, ASW)]","{JPB: [PEG],
PEG: [AWA, TCR],
AWA: [AMJ],
TCR: [PEG, AMJ, AWA],
ASW: [TCR, JPB],
AMJ: [AWA, ASW]}","Node JPB is connected to node PEG.
Node PEG is connected to nodes AWA, TCR.
Node AWA is connected to node AMJ.
Node TCR is connected to nodes PEG, AMJ, AWA.
Node ASW is connected to nodes TCR, JPB.
Node AMJ is connected to nodes AWA, ASW.","[JPB, PEG, AMJ, AWA, ASW, TCR]",6,11,True,What is the out-degree of node JPB?,1,"Let's solve this problem step by step.
The successors of node JPB are: [PEG], and there are 1 successor nodes.
So the degree of node JPB is ","('[10, 0, 9, 1]',)",3,9
