task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
diameter,"[(DZH, ZYD), (DZH, LPG), (DZH, ERS), (LPG, AFC)]","{DZH: [ZYD, LPG, ERS],
ZYD: [DZH],
LPG: [DZH, AFC],
ERS: [DZH],
AFC: [LPG]}","Node DZH is connected to nodes ZYD, LPG, ERS.
Node ZYD is connected to node DZH.
Node LPG is connected to nodes DZH, AFC.
Node ERS is connected to node DZH.
Node AFC is connected to node LPG.","[DZH, LPG, ZYD, AFC, ERS]",5,4,False,Calculate the diameter of the graph. The diameter is the maximum distance over all pairs of nodes in the graph.,3,"Let's calculate the diameter of the graph step by step.
The distance from node DZH to nodes ZYD, LPG, ERS, AFC are 1, 1, 1, 2, respectively. And the maximum is 2.
The distance from node ZYD to nodes DZH, LPG, ERS, AFC are 1, 2, 2, 3, respectively. And the maximum is 3.
The distance from node LPG to nodes DZH, ZYD, ERS, AFC are 1, 2, 2, 1, respectively. And the maximum is 2.
The distance from node ERS to nodes DZH, ZYD, LPG, AFC are 1, 2, 2, 3, respectively. And the maximum is 3.
The distance from node AFC to nodes DZH, ZYD, LPG, ERS are 2, 3, 1, 3, respectively. And the maximum is 3.
So the diameter of the graph is ","('[3, 4, 12, 0]',)",0,0
diameter,"[(PTW, KZX), (PTW, WYF), (PTW, ROY), (PTW, EDS), (KZX, HWM), (KZX, WYF), (KZX, ROY), (WYF, HWM), (WYF, ROY), (WYF, EDS), (ROY, HWM), (ROY, EDS), (EDS, HWM)]","{PTW: [KZX, WYF, ROY, EDS],
KZX: [PTW, HWM, WYF, ROY],
WYF: [PTW, KZX, HWM, ROY, EDS],
ROY: [PTW, KZX, HWM, WYF, EDS],
EDS: [PTW, HWM, WYF, ROY],
HWM: [KZX, WYF, ROY, EDS]}","Node PTW is connected to nodes KZX, WYF, ROY, EDS.
Node KZX is connected to nodes PTW, HWM, WYF, ROY.
Node WYF is connected to nodes PTW, KZX, HWM, ROY, EDS.
Node ROY is connected to nodes PTW, KZX, HWM, WYF, EDS.
Node EDS is connected to nodes PTW, HWM, WYF, ROY.
Node HWM is connected to nodes KZX, WYF, ROY, EDS.","[PTW, ROY, HWM, KZX, EDS, WYF]",6,13,False,Calculate the diameter of the graph. The diameter is the maximum distance over all pairs of nodes in the graph.,2,"Let's calculate the diameter of the graph step by step.
The distance from node PTW to nodes KZX, WYF, ROY, EDS, HWM are 1, 1, 1, 1, 2, respectively. And the maximum is 2.
The distance from node KZX to nodes PTW, WYF, ROY, EDS, HWM are 1, 1, 1, 2, 1, respectively. And the maximum is 2.
The distance from node WYF to nodes PTW, KZX, ROY, EDS, HWM are 1, 1, 1, 1, 1, respectively. And the maximum is 1.
The distance from node ROY to nodes PTW, KZX, WYF, EDS, HWM are 1, 1, 1, 1, 1, respectively. And the maximum is 1.
The distance from node EDS to nodes PTW, KZX, WYF, ROY, HWM are 1, 2, 1, 1, 1, respectively. And the maximum is 2.
The distance from node HWM to nodes PTW, KZX, WYF, ROY, EDS are 2, 1, 1, 1, 1, respectively. And the maximum is 2.
So the diameter of the graph is ","('[10, 0, 2, 3]',)",2,1
diameter,"[(GNB, OCY), (GNB, CIC), (GNB, ONV), (OCY, CIC), (OCY, LNP)]","{GNB: [OCY, CIC, ONV],
OCY: [GNB, CIC, LNP],
CIC: [GNB, OCY],
ONV: [GNB],
LNP: [OCY]}","Node GNB is connected to nodes OCY, CIC, ONV.
Node OCY is connected to nodes GNB, CIC, LNP.
Node CIC is connected to nodes GNB, OCY.
Node ONV is connected to node GNB.
Node LNP is connected to node OCY.","[OCY, CIC, GNB, ONV, LNP]",5,5,False,Calculate the diameter of the graph. The diameter is the maximum distance over all pairs of nodes in the graph.,3,"Let's calculate the diameter of the graph step by step.
The distance from node GNB to nodes OCY, CIC, ONV, LNP are 1, 1, 1, 2, respectively. And the maximum is 2.
The distance from node OCY to nodes GNB, CIC, ONV, LNP are 1, 1, 2, 1, respectively. And the maximum is 2.
The distance from node CIC to nodes GNB, OCY, ONV, LNP are 1, 1, 2, 2, respectively. And the maximum is 2.
The distance from node ONV to nodes GNB, OCY, CIC, LNP are 1, 2, 2, 3, respectively. And the maximum is 3.
The distance from node LNP to nodes GNB, OCY, CIC, ONV are 2, 1, 2, 3, respectively. And the maximum is 3.
So the diameter of the graph is ","('[4, 0, 3, 10]',)",2,2
diameter,"[(HYV, VXN), (HYV, TOR), (HYV, QOK), (HYV, QSW), (VXN, TOR), (VXN, QOK), (VXN, QSW), (VXN, YEZ), (TOR, QOK), (TOR, QSW), (QOK, QSW), (QOK, YEZ), (QSW, YEZ)]","{HYV: [VXN, TOR, QOK, QSW],
VXN: [HYV, TOR, QOK, QSW, YEZ],
TOR: [HYV, VXN, QOK, QSW],
QOK: [HYV, VXN, TOR, QSW, YEZ],
QSW: [HYV, VXN, TOR, QOK, YEZ],
YEZ: [VXN, QOK, QSW]}","Node HYV is connected to nodes VXN, TOR, QOK, QSW.
Node VXN is connected to nodes HYV, TOR, QOK, QSW, YEZ.
Node TOR is connected to nodes HYV, VXN, QOK, QSW.
Node QOK is connected to nodes HYV, VXN, TOR, QSW, YEZ.
Node QSW is connected to nodes HYV, VXN, TOR, QOK, YEZ.
Node YEZ is connected to nodes VXN, QOK, QSW.","[HYV, QOK, VXN, YEZ, QSW, TOR]",6,13,False,Calculate the diameter of the graph. The diameter is the maximum distance over all pairs of nodes in the graph.,2,"Let's calculate the diameter of the graph step by step.
The distance from node HYV to nodes VXN, TOR, QOK, QSW, YEZ are 1, 1, 1, 1, 2, respectively. And the maximum is 2.
The distance from node VXN to nodes HYV, TOR, QOK, QSW, YEZ are 1, 1, 1, 1, 1, respectively. And the maximum is 1.
The distance from node TOR to nodes HYV, VXN, QOK, QSW, YEZ are 1, 1, 1, 1, 2, respectively. And the maximum is 2.
The distance from node QOK to nodes HYV, VXN, TOR, QSW, YEZ are 1, 1, 1, 1, 1, respectively. And the maximum is 1.
The distance from node QSW to nodes HYV, VXN, TOR, QOK, YEZ are 1, 1, 1, 1, 1, respectively. And the maximum is 1.
The distance from node YEZ to nodes HYV, VXN, TOR, QOK, QSW are 2, 1, 2, 1, 1, respectively. And the maximum is 2.
So the diameter of the graph is ","('[3, 2, 12, 0]',)",1,3
diameter,"[(QRE, SYY), (QRE, QOG), (QRE, ZUH), (SYY, QOG), (QOG, OMT), (QOG, XKE), (QOG, WCI), (QOG, ZUH), (ZUH, XKE), (ZUH, OMT)]","{QRE: [SYY, QOG, ZUH],
SYY: [QRE, QOG],
QOG: [QRE, SYY, OMT, XKE, WCI, ZUH],
ZUH: [QRE, QOG, XKE, OMT],
OMT: [QOG, ZUH],
XKE: [QOG, ZUH],
WCI: [QOG]}","Node QRE is connected to nodes SYY, QOG, ZUH.
Node SYY is connected to nodes QRE, QOG.
Node QOG is connected to nodes QRE, SYY, OMT, XKE, WCI, ZUH.
Node ZUH is connected to nodes QRE, QOG, XKE, OMT.
Node OMT is connected to nodes QOG, ZUH.
Node XKE is connected to nodes QOG, ZUH.
Node WCI is connected to node QOG.","[ZUH, XKE, WCI, QRE, OMT, QOG, SYY]",7,10,False,Calculate the diameter of the graph. The diameter is the maximum distance over all pairs of nodes in the graph.,2,"Let's calculate the diameter of the graph step by step.
The distance from node QRE to nodes SYY, QOG, ZUH, OMT, XKE, WCI are 1, 1, 1, 2, 2, 2, respectively. And the maximum is 2.
The distance from node SYY to nodes QRE, QOG, ZUH, OMT, XKE, WCI are 1, 1, 2, 2, 2, 2, respectively. And the maximum is 2.
The distance from node QOG to nodes QRE, SYY, ZUH, OMT, XKE, WCI are 1, 1, 1, 1, 1, 1, respectively. And the maximum is 1.
The distance from node ZUH to nodes QRE, SYY, QOG, OMT, XKE, WCI are 1, 2, 1, 1, 1, 2, respectively. And the maximum is 2.
The distance from node OMT to nodes QRE, SYY, QOG, ZUH, XKE, WCI are 2, 2, 1, 1, 2, 2, respectively. And the maximum is 2.
The distance from node XKE to nodes QRE, SYY, QOG, ZUH, OMT, WCI are 2, 2, 1, 1, 2, 2, respectively. And the maximum is 2.
The distance from node WCI to nodes QRE, SYY, QOG, ZUH, OMT, XKE are 2, 2, 1, 2, 2, 2, respectively. And the maximum is 2.
So the diameter of the graph is ","('[0, 4, 2, 9]',)",2,4
diameter,"[(OZQ, FMR), (OZQ, STZ), (OZQ, OJF), (FMR, VPI), (STZ, VPI), (STZ, OJF), (STZ, DUC), (STZ, RUW), (VPI, RUW), (VPI, DUC)]","{OZQ: [FMR, STZ, OJF],
FMR: [OZQ, VPI],
STZ: [OZQ, VPI, OJF, DUC, RUW],
OJF: [OZQ, STZ],
VPI: [FMR, STZ, RUW, DUC],
DUC: [STZ, VPI],
RUW: [STZ, VPI]}","Node OZQ is connected to nodes FMR, STZ, OJF.
Node FMR is connected to nodes OZQ, VPI.
Node STZ is connected to nodes OZQ, VPI, OJF, DUC, RUW.
Node OJF is connected to nodes OZQ, STZ.
Node VPI is connected to nodes FMR, STZ, RUW, DUC.
Node DUC is connected to nodes STZ, VPI.
Node RUW is connected to nodes STZ, VPI.","[FMR, VPI, OJF, RUW, DUC, OZQ, STZ]",7,10,False,Calculate the diameter of the graph. The diameter is the maximum distance over all pairs of nodes in the graph.,2,"Let's calculate the diameter of the graph step by step.
The distance from node OZQ to nodes FMR, STZ, OJF, VPI, DUC, RUW are 1, 1, 1, 2, 2, 2, respectively. And the maximum is 2.
The distance from node FMR to nodes OZQ, STZ, OJF, VPI, DUC, RUW are 1, 2, 2, 1, 2, 2, respectively. And the maximum is 2.
The distance from node STZ to nodes OZQ, FMR, OJF, VPI, DUC, RUW are 1, 2, 1, 1, 1, 1, respectively. And the maximum is 2.
The distance from node OJF to nodes OZQ, FMR, STZ, VPI, DUC, RUW are 1, 2, 1, 2, 2, 2, respectively. And the maximum is 2.
The distance from node VPI to nodes OZQ, FMR, STZ, OJF, DUC, RUW are 2, 1, 1, 2, 1, 1, respectively. And the maximum is 2.
The distance from node DUC to nodes OZQ, FMR, STZ, OJF, VPI, RUW are 2, 2, 1, 2, 1, 2, respectively. And the maximum is 2.
The distance from node RUW to nodes OZQ, FMR, STZ, OJF, VPI, DUC are 2, 2, 1, 2, 1, 2, respectively. And the maximum is 2.
So the diameter of the graph is ","('[0, 8, 6, 2]',)",3,5
diameter,"[(WZC, OUD), (WZC, ZLJ), (OUD, UAY), (OUD, SUJ), (OUD, QPB), (ZLJ, VTA), (ZLJ, SUJ), (ZLJ, QPB), (VTA, UAY), (VTA, SUJ), (UAY, SUJ), (UAY, QPB), (SUJ, QPB)]","{WZC: [OUD, ZLJ],
OUD: [WZC, UAY, SUJ, QPB],
ZLJ: [WZC, VTA, SUJ, QPB],
VTA: [UAY, ZLJ, SUJ],
UAY: [VTA, OUD, SUJ, QPB],
SUJ: [VTA, OUD, UAY, ZLJ, QPB],
QPB: [OUD, UAY, ZLJ, SUJ]}","Node WZC is connected to nodes OUD, ZLJ.
Node OUD is connected to nodes WZC, UAY, SUJ, QPB.
Node ZLJ is connected to nodes WZC, VTA, SUJ, QPB.
Node VTA is connected to nodes UAY, ZLJ, SUJ.
Node UAY is connected to nodes VTA, OUD, SUJ, QPB.
Node SUJ is connected to nodes VTA, OUD, UAY, ZLJ, QPB.
Node QPB is connected to nodes OUD, UAY, ZLJ, SUJ.","[VTA, QPB, WZC, OUD, ZLJ, SUJ, UAY]",7,13,False,Calculate the diameter of the graph. The diameter is the maximum distance over all pairs of nodes in the graph.,2,"Let's calculate the diameter of the graph step by step.
The distance from node WZC to nodes OUD, ZLJ, VTA, UAY, SUJ, QPB are 1, 1, 2, 2, 2, 2, respectively. And the maximum is 2.
The distance from node OUD to nodes WZC, ZLJ, VTA, UAY, SUJ, QPB are 1, 2, 2, 1, 1, 1, respectively. And the maximum is 2.
The distance from node ZLJ to nodes WZC, OUD, VTA, UAY, SUJ, QPB are 1, 2, 1, 2, 1, 1, respectively. And the maximum is 2.
The distance from node VTA to nodes WZC, OUD, ZLJ, UAY, SUJ, QPB are 2, 2, 1, 1, 1, 2, respectively. And the maximum is 2.
The distance from node UAY to nodes WZC, OUD, ZLJ, VTA, SUJ, QPB are 2, 1, 2, 1, 1, 1, respectively. And the maximum is 2.
The distance from node SUJ to nodes WZC, OUD, ZLJ, VTA, UAY, QPB are 2, 1, 1, 1, 1, 1, respectively. And the maximum is 2.
The distance from node QPB to nodes WZC, OUD, ZLJ, VTA, UAY, SUJ are 2, 1, 1, 2, 1, 1, respectively. And the maximum is 2.
So the diameter of the graph is ","('[5, 6, 0, 2]',)",3,6
diameter,"[(FNK, TYG), (FNK, FDC), (FNK, KBN), (FDC, FJE), (KBN, FJE)]","{FNK: [TYG, FDC, KBN],
TYG: [FNK],
FDC: [FNK, FJE],
KBN: [FNK, FJE],
FJE: [KBN, FDC]}","Node FNK is connected to nodes TYG, FDC, KBN.
Node TYG is connected to node FNK.
Node FDC is connected to nodes FNK, FJE.
Node KBN is connected to nodes FNK, FJE.
Node FJE is connected to nodes KBN, FDC.","[FDC, FJE, KBN, TYG, FNK]",5,5,False,Calculate the diameter of the graph. The diameter is the maximum distance over all pairs of nodes in the graph.,3,"Let's calculate the diameter of the graph step by step.
The distance from node FNK to nodes TYG, FDC, KBN, FJE are 1, 1, 1, 2, respectively. And the maximum is 2.
The distance from node TYG to nodes FNK, FDC, KBN, FJE are 1, 2, 2, 3, respectively. And the maximum is 3.
The distance from node FDC to nodes FNK, TYG, KBN, FJE are 1, 2, 2, 1, respectively. And the maximum is 2.
The distance from node KBN to nodes FNK, TYG, FDC, FJE are 1, 2, 2, 1, respectively. And the maximum is 2.
The distance from node FJE to nodes FNK, TYG, FDC, KBN are 2, 3, 1, 1, respectively. And the maximum is 3.
So the diameter of the graph is ","('[0, 3, 12, 8]',)",1,7
diameter,"[(MZN, OPN), (MZN, TSR), (OPN, MUI), (OPN, EZU), (OPN, RGK), (TSR, EZU), (TSR, RGK), (UDQ, MUI), (UDQ, EZU), (UDQ, RGK), (MUI, EZU)]","{MZN: [OPN, TSR],
OPN: [MZN, MUI, EZU, RGK],
TSR: [MZN, EZU, RGK],
UDQ: [MUI, EZU, RGK],
MUI: [UDQ, EZU, OPN],
EZU: [UDQ, MUI, OPN, TSR],
RGK: [UDQ, OPN, TSR]}","Node MZN is connected to nodes OPN, TSR.
Node OPN is connected to nodes MZN, MUI, EZU, RGK.
Node TSR is connected to nodes MZN, EZU, RGK.
Node UDQ is connected to nodes MUI, EZU, RGK.
Node MUI is connected to nodes UDQ, EZU, OPN.
Node EZU is connected to nodes UDQ, MUI, OPN, TSR.
Node RGK is connected to nodes UDQ, OPN, TSR.","[MUI, UDQ, OPN, RGK, TSR, MZN, EZU]",7,11,False,Calculate the diameter of the graph. The diameter is the maximum distance over all pairs of nodes in the graph.,3,"Let's calculate the diameter of the graph step by step.
The distance from node MZN to nodes OPN, TSR, UDQ, MUI, EZU, RGK are 1, 1, 3, 2, 2, 2, respectively. And the maximum is 3.
The distance from node OPN to nodes MZN, TSR, UDQ, MUI, EZU, RGK are 1, 2, 2, 1, 1, 1, respectively. And the maximum is 2.
The distance from node TSR to nodes MZN, OPN, UDQ, MUI, EZU, RGK are 1, 2, 2, 2, 1, 1, respectively. And the maximum is 2.
The distance from node UDQ to nodes MZN, OPN, TSR, MUI, EZU, RGK are 3, 2, 2, 1, 1, 1, respectively. And the maximum is 3.
The distance from node MUI to nodes MZN, OPN, TSR, UDQ, EZU, RGK are 2, 1, 2, 1, 1, 2, respectively. And the maximum is 2.
The distance from node EZU to nodes MZN, OPN, TSR, UDQ, MUI, RGK are 2, 1, 1, 1, 1, 2, respectively. And the maximum is 2.
The distance from node RGK to nodes MZN, OPN, TSR, UDQ, MUI, EZU are 2, 1, 1, 1, 2, 2, respectively. And the maximum is 2.
So the diameter of the graph is ","('[13, 10, 3, 0]',)",2,8
diameter,"[(PCF, MJO), (PCF, MSW), (MJO, XUQ), (MSW, HCB), (XUQ, HCB), (XUQ, MUW)]","{PCF: [MJO, MSW],
MJO: [PCF, XUQ],
MSW: [PCF, HCB],
XUQ: [MJO, HCB, MUW],
HCB: [XUQ, MSW],
MUW: [XUQ]}","Node PCF is connected to nodes MJO, MSW.
Node MJO is connected to nodes PCF, XUQ.
Node MSW is connected to nodes PCF, HCB.
Node XUQ is connected to nodes MJO, HCB, MUW.
Node HCB is connected to nodes XUQ, MSW.
Node MUW is connected to node XUQ.","[PCF, MJO, HCB, MSW, MUW, XUQ]",6,6,False,Calculate the diameter of the graph. The diameter is the maximum distance over all pairs of nodes in the graph.,3,"Let's calculate the diameter of the graph step by step.
The distance from node PCF to nodes MJO, MSW, XUQ, HCB, MUW are 1, 1, 2, 2, 3, respectively. And the maximum is 3.
The distance from node MJO to nodes PCF, MSW, XUQ, HCB, MUW are 1, 2, 1, 2, 2, respectively. And the maximum is 2.
The distance from node MSW to nodes PCF, MJO, XUQ, HCB, MUW are 1, 2, 2, 1, 3, respectively. And the maximum is 3.
The distance from node XUQ to nodes PCF, MJO, MSW, HCB, MUW are 2, 1, 2, 1, 1, respectively. And the maximum is 2.
The distance from node HCB to nodes PCF, MJO, MSW, XUQ, MUW are 2, 2, 1, 1, 2, respectively. And the maximum is 2.
The distance from node MUW to nodes PCF, MJO, MSW, XUQ, HCB are 3, 2, 3, 1, 2, respectively. And the maximum is 3.
So the diameter of the graph is ","('[8, 5, 3, 0]',)",2,9
