task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
edge,"[(CZS, LXB), (CZS, GTP), (LXB, KDH), (GTP, YXU), (GTP, UOA), (KDH, UOA)]","{CZS: [LXB, GTP],
LXB: [CZS, KDH],
GTP: [CZS, YXU, UOA],
KDH: [LXB, UOA],
YXU: [GTP],
UOA: [GTP, KDH]}","Node CZS is connected to nodes LXB, GTP.
Node LXB is connected to nodes CZS, KDH.
Node GTP is connected to nodes CZS, YXU, UOA.
Node KDH is connected to nodes LXB, UOA.
Node YXU is connected to node GTP.
Node UOA is connected to nodes GTP, KDH.","[GTP, CZS, YXU, KDH, UOA, LXB]",6,6,False,Is there an edge between node UOA and node YXU?,No,"Let's do it step by step.
The neighbors of node UOA are: [GTP, KDH], which does not contain node YXU. So the answer is ","('[Yes, No]',)",1,0
edge,"[(OMZ, ZZV), (OMZ, QSH), (QSH, OGX), (QSH, MQJ)]","{OMZ: [ZZV, QSH],
ZZV: [OMZ],
QSH: [OMZ, OGX, MQJ],
OGX: [QSH],
MQJ: [QSH]}","Node OMZ is connected to nodes ZZV, QSH.
Node ZZV is connected to node OMZ.
Node QSH is connected to nodes OMZ, OGX, MQJ.
Node OGX is connected to node QSH.
Node MQJ is connected to node QSH.","[MQJ, QSH, OMZ, ZZV, OGX]",5,4,False,Is there an edge between node QSH and node OMZ?,Yes,"Let's do it step by step.
The neighbors of node QSH are: [OMZ, OGX, MQJ], which contains node OMZ. So the answer is ","('[Yes, No]',)",0,1
edge,"[(LCB, LWY), (LCB, CTQ), (LWY, WSX), (CTQ, HKC), (CTQ, CYP), (WSX, HKC)]","{LCB: [LWY, CTQ],
LWY: [LCB, WSX],
CTQ: [LCB, HKC, CYP],
WSX: [LWY, HKC],
HKC: [WSX, CTQ],
CYP: [CTQ]}","Node LCB is connected to nodes LWY, CTQ.
Node LWY is connected to nodes LCB, WSX.
Node CTQ is connected to nodes LCB, HKC, CYP.
Node WSX is connected to nodes LWY, HKC.
Node HKC is connected to nodes WSX, CTQ.
Node CYP is connected to node CTQ.","[CTQ, WSX, LWY, HKC, LCB, CYP]",6,6,False,Is there an edge between node WSX and node CTQ?,No,"Let's do it step by step.
The neighbors of node WSX are: [LWY, HKC], which does not contain node CTQ. So the answer is ","('[Yes, No]',)",1,2
edge,"[(CJO, QBC), (CJO, QNH), (CJO, IEH), (QBC, OBB), (QNH, IEH), (OBB, IEH), (OBB, CJO), (OBB, LWZ), (OOB, IEH), (OOB, CJO), (LWZ, OBB)]","{CJO: [QBC, QNH, IEH],
QBC: [OBB],
QNH: [IEH],
IEH: [],
OBB: [IEH, CJO, LWZ],
OOB: [IEH, CJO],
LWZ: [OBB]}","Node CJO is connected to nodes QBC, QNH, IEH.
Node QBC is connected to node OBB.
Node QNH is connected to node IEH.
Node OBB is connected to nodes IEH, CJO, LWZ.
Node OOB is connected to nodes IEH, CJO.
Node LWZ is connected to node OBB.","[LWZ, OBB, QBC, CJO, IEH, OOB, QNH]",7,11,True,Is there a directed edge from node OBB to node IEH?,Yes,"Let's do it step by step.
The successors of node OBB are: [IEH, CJO, LWZ], which contains node IEH. So the answer is ","('[Yes, No]',)",0,3
edge,"[(WJF, ECR), (WJF, KQN), (ECR, XEV), (ECR, IMS), (KQN, THE), (IMS, THE)]","{WJF: [ECR, KQN],
ECR: [WJF, XEV, IMS],
KQN: [WJF, THE],
XEV: [ECR],
IMS: [ECR, THE],
THE: [KQN, IMS]}","Node WJF is connected to nodes ECR, KQN.
Node ECR is connected to nodes WJF, XEV, IMS.
Node KQN is connected to nodes WJF, THE.
Node XEV is connected to node ECR.
Node IMS is connected to nodes ECR, THE.
Node THE is connected to nodes KQN, IMS.","[IMS, WJF, XEV, ECR, KQN, THE]",6,6,False,Is there an edge between node THE and node ECR?,No,"Let's do it step by step.
The neighbors of node THE are: [KQN, IMS], which does not contain node ECR. So the answer is ","('[Yes, No]',)",1,4
edge,"[(BOZ, CQK), (BOZ, HIA), (CQK, REE), (HIA, REE), (HIA, FCX)]","{BOZ: [CQK, HIA],
CQK: [BOZ, REE],
HIA: [BOZ, REE, FCX],
REE: [CQK, HIA],
FCX: [HIA]}","Node BOZ is connected to nodes CQK, HIA.
Node CQK is connected to nodes BOZ, REE.
Node HIA is connected to nodes BOZ, REE, FCX.
Node REE is connected to nodes CQK, HIA.
Node FCX is connected to node HIA.","[REE, CQK, FCX, BOZ, HIA]",5,5,False,Is there an edge between node CQK and node REE?,Yes,"Let's do it step by step.
The neighbors of node CQK are: [BOZ, REE], which contains node REE. So the answer is ","('[Yes, No]',)",0,5
edge,"[(AWC, LUE), (AWC, WEU), (AWC, XCO), (LUE, WEU), (LUE, WFT), (LUE, AWC), (WEU, XCO), (WEU, AWC), (XCO, WFT), (EYX, WEU), (EYX, XCO), (EYX, AWC), (EYX, LUE)]","{AWC: [LUE, WEU, XCO],
LUE: [WEU, WFT, AWC],
WEU: [XCO, AWC],
XCO: [WFT],
WFT: [],
EYX: [WEU, XCO, AWC, LUE]}","Node AWC is connected to nodes LUE, WEU, XCO.
Node LUE is connected to nodes WEU, WFT, AWC.
Node WEU is connected to nodes XCO, AWC.
Node XCO is connected to node WFT.
Node EYX is connected to nodes WEU, XCO, AWC, LUE.","[WEU, EYX, AWC, LUE, WFT, XCO]",6,13,True,Is there a directed edge from node WEU to node LUE?,No,"Let's do it step by step.
The successors of node WEU are: [XCO, AWC], which does not contain node LUE. So the answer is ","('[Yes, No]',)",1,6
edge,"[(GYC, ODJ), (GYC, TGR), (TGR, KWQ), (TGR, YXN), (KWQ, YXN)]","{GYC: [ODJ, TGR],
ODJ: [GYC],
TGR: [GYC, KWQ, YXN],
KWQ: [TGR, YXN],
YXN: [KWQ, TGR]}","Node GYC is connected to nodes ODJ, TGR.
Node ODJ is connected to node GYC.
Node TGR is connected to nodes GYC, KWQ, YXN.
Node KWQ is connected to nodes TGR, YXN.
Node YXN is connected to nodes KWQ, TGR.","[KWQ, ODJ, GYC, YXN, TGR]",5,5,False,Is there an edge between node TGR and node GYC?,Yes,"Let's do it step by step.
The neighbors of node TGR are: [GYC, KWQ, YXN], which contains node GYC. So the answer is ","('[Yes, No]',)",0,7
edge,"[(KSS, NFH), (KSS, ATE), (KSS, TMR), (KSS, AEC), (NFH, ATE), (NFH, TMR), (NFH, KSS), (ATE, KSS), (ATE, NFH), (TMR, AEC), (TMR, KSS), (AEC, KSS), (AEC, TMR)]","{KSS: [NFH, ATE, TMR, AEC],
NFH: [ATE, TMR, KSS],
ATE: [KSS, NFH],
TMR: [AEC, KSS],
AEC: [KSS, TMR]}","Node KSS is connected to nodes NFH, ATE, TMR, AEC.
Node NFH is connected to nodes ATE, TMR, KSS.
Node ATE is connected to nodes KSS, NFH.
Node TMR is connected to nodes AEC, KSS.
Node AEC is connected to nodes KSS, TMR.","[KSS, AEC, TMR, NFH, ATE]",5,13,True,Is there a directed edge from node NFH to node TMR?,Yes,"Let's do it step by step.
The successors of node NFH are: [ATE, TMR, KSS], which contains node TMR. So the answer is ","('[Yes, No]',)",0,8
edge,"[(JOS, MJL), (JOS, LJL), (JOS, RUD), (LJL, YZH), (RUD, YZH)]","{JOS: [MJL, LJL, RUD],
MJL: [JOS],
LJL: [JOS, YZH],
RUD: [JOS, YZH],
YZH: [LJL, RUD]}","Node JOS is connected to nodes MJL, LJL, RUD.
Node MJL is connected to node JOS.
Node LJL is connected to nodes JOS, YZH.
Node RUD is connected to nodes JOS, YZH.
Node YZH is connected to nodes LJL, RUD.","[JOS, MJL, LJL, YZH, RUD]",5,5,False,Is there an edge between node MJL and node JOS?,Yes,"Let's do it step by step.
The neighbors of node MJL are: [JOS], which contains node JOS. So the answer is ","('[Yes, No]',)",0,9
