task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,id
euler_path,"[(UIO, SCU), (UIO, GLI), (UIO, MZX), (UIO, VJK), (SCU, VJK), (SCU, MZX), (SCU, GLI)]","{UIO: [SCU, GLI, MZX, VJK],
SCU: [UIO, VJK, MZX, GLI],
GLI: [UIO, SCU],
MZX: [UIO, SCU],
VJK: [UIO, SCU]}","Node UIO is connected to nodes SCU, GLI, MZX, VJK.
Node SCU is connected to nodes UIO, VJK, MZX, GLI.
Node GLI is connected to nodes UIO, SCU.
Node MZX is connected to nodes UIO, SCU.
Node VJK is connected to nodes UIO, SCU.","[UIO, VJK, GLI, SCU, MZX]",5,7,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[SCU, VJK, UIO, MZX, SCU, UIO, GLI, SCU]",0
euler_path,"[(AQA, RLJ), (AQA, IZW), (AQA, MOY), (AQA, TDG), (AQA, NAS), (AQA, DZA), (RLJ, TDG), (RLJ, NAS), (RLJ, IZW), (RLJ, DZA), (RLJ, MOY), (IZW, NAS), (IZW, MOY), (MOY, NAS)]","{AQA: [RLJ, IZW, MOY, TDG, NAS, DZA],
RLJ: [AQA, TDG, NAS, IZW, DZA, MOY],
IZW: [AQA, RLJ, NAS, MOY],
MOY: [AQA, RLJ, NAS, IZW],
TDG: [AQA, RLJ],
NAS: [AQA, RLJ, MOY, IZW],
DZA: [AQA, RLJ]}","Node AQA is connected to nodes RLJ, IZW, MOY, TDG, NAS, DZA.
Node RLJ is connected to nodes AQA, TDG, NAS, IZW, DZA, MOY.
Node IZW is connected to nodes AQA, RLJ, NAS, MOY.
Node MOY is connected to nodes AQA, RLJ, NAS, IZW.
Node TDG is connected to nodes AQA, RLJ.
Node NAS is connected to nodes AQA, RLJ, MOY, IZW.
Node DZA is connected to nodes AQA, RLJ.","[AQA, IZW, TDG, NAS, DZA, RLJ, MOY]",7,14,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[AQA, MOY, RLJ, IZW, NAS, RLJ, DZA, AQA, RLJ, TDG, AQA, IZW, MOY, NAS, AQA]",1
euler_path,"[(FOB, RPA), (FOB, IIQ), (FOB, VKM), (FOB, BCT), (RPA, VKM), (RPA, IIQ), (RPA, WLK), (RPA, LVR), (RPA, BCT), (IIQ, VKM), (IIQ, BCT), (VKM, LVR), (BCT, LVR), (WLK, LVR)]","{FOB: [RPA, IIQ, VKM, BCT],
RPA: [FOB, VKM, IIQ, WLK, LVR, BCT],
IIQ: [FOB, RPA, VKM, BCT],
VKM: [FOB, RPA, IIQ, LVR],
BCT: [FOB, RPA, IIQ, LVR],
WLK: [RPA, LVR],
LVR: [RPA, VKM, WLK, BCT]}","Node FOB is connected to nodes RPA, IIQ, VKM, BCT.
Node RPA is connected to nodes FOB, VKM, IIQ, WLK, LVR, BCT.
Node IIQ is connected to nodes FOB, RPA, VKM, BCT.
Node VKM is connected to nodes FOB, RPA, IIQ, LVR.
Node BCT is connected to nodes FOB, RPA, IIQ, LVR.
Node WLK is connected to nodes RPA, LVR.
Node LVR is connected to nodes RPA, VKM, WLK, BCT.","[RPA, FOB, LVR, WLK, VKM, BCT, IIQ]",7,14,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[RPA, BCT, LVR, VKM, RPA, FOB, IIQ, BCT, FOB, VKM, IIQ, RPA, LVR, WLK, RPA]",2
euler_path,"[(XON, DVN), (XON, QZH), (DVN, USU), (DVN, LWC), (DVN, NHT), (USU, XON), (USU, LWC), (USU, DVN), (LWC, NHT), (LWC, USU), (NHT, XON), (NHT, DVN), (NHT, USU)]","{XON: [DVN, QZH],
DVN: [USU, LWC, NHT],
QZH: [],
USU: [XON, LWC, DVN],
LWC: [NHT, USU],
NHT: [XON, DVN, USU]}","Node XON is connected to nodes DVN, QZH.
Node DVN is connected to nodes USU, LWC, NHT.
Node USU is connected to nodes XON, LWC, DVN.
Node LWC is connected to nodes NHT, USU.
Node NHT is connected to nodes XON, DVN, USU.","[USU, NHT, DVN, QZH, XON, LWC]",6,13,True,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[NHT, DVN, LWC, USU, LWC, NHT, XON, DVN, NHT, USU, DVN, USU, XON, QZH]",3
euler_path,"[(ETF, VNV), (ETF, YEH), (ETF, GSM), (ETF, SUP), (VNV, SUP), (VNV, GSM), (VNV, YEH), (YEH, SUP), (YEH, GSM), (GSM, SUP)]","{ETF: [VNV, YEH, GSM, SUP],
VNV: [ETF, SUP, GSM, YEH],
YEH: [ETF, VNV, SUP, GSM],
GSM: [ETF, VNV, YEH, SUP],
SUP: [ETF, VNV, YEH, GSM]}","Node ETF is connected to nodes VNV, YEH, GSM, SUP.
Node VNV is connected to nodes ETF, SUP, GSM, YEH.
Node YEH is connected to nodes ETF, VNV, SUP, GSM.
Node GSM is connected to nodes ETF, VNV, YEH, SUP.
Node SUP is connected to nodes ETF, VNV, YEH, GSM.","[YEH, ETF, GSM, SUP, VNV]",5,10,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[VNV, GSM, YEH, SUP, VNV, ETF, GSM, SUP, ETF, YEH, VNV]",4
euler_path,"[(XAX, CAQ), (XAX, EZV), (XAX, FQG), (XAX, KUE), (CAQ, FQG), (CAQ, KUE), (CAQ, EZV), (EZV, FQG), (EZV, KUE), (FQG, HFK), (FQG, FFP), (FQG, KUE), (KUE, HFK), (KUE, FFP)]","{XAX: [CAQ, EZV, FQG, KUE],
CAQ: [XAX, FQG, KUE, EZV],
EZV: [XAX, CAQ, FQG, KUE],
FQG: [XAX, CAQ, EZV, HFK, FFP, KUE],
KUE: [XAX, CAQ, EZV, FQG, HFK, FFP],
HFK: [FQG, KUE],
FFP: [FQG, KUE]}","Node XAX is connected to nodes CAQ, EZV, FQG, KUE.
Node CAQ is connected to nodes XAX, FQG, KUE, EZV.
Node EZV is connected to nodes XAX, CAQ, FQG, KUE.
Node FQG is connected to nodes XAX, CAQ, EZV, HFK, FFP, KUE.
Node KUE is connected to nodes XAX, CAQ, EZV, FQG, HFK, FFP.
Node HFK is connected to nodes FQG, KUE.
Node FFP is connected to nodes FQG, KUE.","[HFK, CAQ, FQG, FFP, XAX, EZV, KUE]",7,14,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[KUE, HFK, FQG, KUE, FFP, FQG, EZV, CAQ, FQG, XAX, KUE, EZV, XAX, CAQ, KUE]",5
euler_path,"[(IQA, HJD), (IQA, EKY), (IQA, GOI), (IQA, IMP), (HJD, GOI), (HJD, IMP), (HJD, HJX), (EKY, GOI), (EKY, HJX), (EKY, IMP), (GOI, HJX), (GOI, IMP)]","{IQA: [HJD, EKY, GOI, IMP],
HJD: [IQA, GOI, IMP, HJX],
EKY: [IQA, GOI, HJX, IMP],
GOI: [IQA, HJD, HJX, EKY, IMP],
IMP: [IQA, HJD, GOI, EKY],
HJX: [HJD, GOI, EKY]}","Node IQA is connected to nodes HJD, EKY, GOI, IMP.
Node HJD is connected to nodes IQA, GOI, IMP, HJX.
Node EKY is connected to nodes IQA, GOI, HJX, IMP.
Node GOI is connected to nodes IQA, HJD, HJX, EKY, IMP.
Node IMP is connected to nodes IQA, HJD, GOI, EKY.
Node HJX is connected to nodes HJD, GOI, EKY.","[EKY, HJX, HJD, IMP, GOI, IQA]",6,12,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[HJX, EKY, IQA, IMP, HJD, GOI, HJX, HJD, IQA, GOI, EKY, IMP, GOI]",6
euler_path,"[(FUY, UEQ), (FUY, WAW), (FUY, DKO), (FUY, MEN), (UEQ, WAW), (UEQ, MEN), (UEQ, DKO)]","{FUY: [UEQ, WAW, DKO, MEN],
UEQ: [FUY, WAW, MEN, DKO],
WAW: [FUY, UEQ],
DKO: [FUY, UEQ],
MEN: [FUY, UEQ]}","Node FUY is connected to nodes UEQ, WAW, DKO, MEN.
Node UEQ is connected to nodes FUY, WAW, MEN, DKO.
Node WAW is connected to nodes FUY, UEQ.
Node DKO is connected to nodes FUY, UEQ.
Node MEN is connected to nodes FUY, UEQ.","[DKO, FUY, UEQ, MEN, WAW]",5,7,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[UEQ, DKO, FUY, WAW, UEQ, MEN, FUY, UEQ]",7
euler_path,"[(BKQ, TJA), (BKQ, UGC), (BKQ, RLV), (BKQ, CET), (BKQ, AMX), (BKQ, HRH), (TJA, HRH), (TJA, CET), (UGC, RLV), (UGC, AMX), (UGC, CET), (RLV, AMX), (CET, HRH), (AMX, HRH)]","{BKQ: [TJA, UGC, RLV, CET, AMX, HRH],
TJA: [BKQ, HRH, CET],
UGC: [BKQ, RLV, AMX, CET],
RLV: [BKQ, UGC, AMX],
CET: [BKQ, TJA, UGC, HRH],
AMX: [BKQ, UGC, RLV, HRH],
HRH: [BKQ, TJA, CET, AMX]}","Node BKQ is connected to nodes TJA, UGC, RLV, CET, AMX, HRH.
Node TJA is connected to nodes BKQ, HRH, CET.
Node UGC is connected to nodes BKQ, RLV, AMX, CET.
Node RLV is connected to nodes BKQ, UGC, AMX.
Node CET is connected to nodes BKQ, TJA, UGC, HRH.
Node AMX is connected to nodes BKQ, UGC, RLV, HRH.
Node HRH is connected to nodes BKQ, TJA, CET, AMX.","[BKQ, UGC, HRH, TJA, AMX, RLV, CET]",7,14,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[RLV, BKQ, UGC, CET, BKQ, AMX, UGC, RLV, AMX, HRH, CET, TJA, BKQ, HRH, TJA]",8
euler_path,"[(SJT, DDA), (SJT, QVH), (SJT, ZFJ), (DDA, SJT), (QVH, UCE), (ZFJ, SJT), (ZFJ, QVH), (ZFJ, UCE), (UCE, ZFJ), (UCE, SJT)]","{SJT: [DDA, QVH, ZFJ],
DDA: [SJT],
QVH: [UCE],
ZFJ: [SJT, QVH, UCE],
UCE: [ZFJ, SJT]}","Node SJT is connected to nodes DDA, QVH, ZFJ.
Node DDA is connected to node SJT.
Node QVH is connected to node UCE.
Node ZFJ is connected to nodes SJT, QVH, UCE.
Node UCE is connected to nodes ZFJ, SJT.","[UCE, DDA, SJT, ZFJ, QVH]",5,10,True,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[ZFJ, SJT, DDA, SJT, ZFJ, UCE, ZFJ, QVH, UCE, SJT, QVH]",9
