task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,id
euler_path,"[(<0>, <3>), (<0>, <2>), (<0>, <4>), (<0>, <1>), (<3>, <1>), (<3>, <4>), (<3>, <2>)]","{<0>: [<3>, <2>, <4>, <1>],
<3>: [<0>, <1>, <4>, <2>],
<2>: [<0>, <3>],
<4>: [<0>, <3>],
<1>: [<0>, <3>]}","Node <0> is connected to nodes <3>, <2>, <4>, <1>.
Node <3> is connected to nodes <0>, <1>, <4>, <2>.
Node <2> is connected to nodes <0>, <3>.
Node <4> is connected to nodes <0>, <3>.
Node <1> is connected to nodes <0>, <3>.","[<0>, <1>, <2>, <3>, <4>]",5,7,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<3>, <1>, <0>, <4>, <3>, <0>, <2>, <3>]",0
euler_path,"[(<0>, <5>), (<0>, <1>), (<0>, <6>), (<0>, <2>), (<0>, <3>), (<0>, <4>), (<5>, <2>), (<5>, <3>), (<5>, <1>), (<5>, <4>), (<5>, <6>), (<1>, <3>), (<1>, <6>), (<6>, <3>)]","{<0>: [<5>, <1>, <6>, <2>, <3>, <4>],
<5>: [<0>, <2>, <3>, <1>, <4>, <6>],
<1>: [<0>, <5>, <3>, <6>],
<6>: [<0>, <5>, <3>, <1>],
<2>: [<0>, <5>],
<3>: [<0>, <5>, <6>, <1>],
<4>: [<0>, <5>]}","Node <0> is connected to nodes <5>, <1>, <6>, <2>, <3>, <4>.
Node <5> is connected to nodes <0>, <2>, <3>, <1>, <4>, <6>.
Node <1> is connected to nodes <0>, <5>, <3>, <6>.
Node <6> is connected to nodes <0>, <5>, <3>, <1>.
Node <2> is connected to nodes <0>, <5>.
Node <3> is connected to nodes <0>, <5>, <6>, <1>.
Node <4> is connected to nodes <0>, <5>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>]",7,14,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<0>, <6>, <5>, <1>, <3>, <5>, <4>, <0>, <5>, <2>, <0>, <1>, <6>, <3>, <0>]",1
euler_path,"[(<1>, <0>), (<1>, <6>), (<1>, <4>), (<1>, <5>), (<0>, <4>), (<0>, <6>), (<0>, <3>), (<0>, <2>), (<0>, <5>), (<6>, <4>), (<6>, <5>), (<4>, <2>), (<5>, <2>), (<3>, <2>)]","{<1>: [<0>, <6>, <4>, <5>],
<0>: [<1>, <4>, <6>, <3>, <2>, <5>],
<6>: [<1>, <0>, <4>, <5>],
<4>: [<1>, <0>, <6>, <2>],
<5>: [<1>, <0>, <6>, <2>],
<3>: [<0>, <2>],
<2>: [<0>, <4>, <3>, <5>]}","Node <1> is connected to nodes <0>, <6>, <4>, <5>.
Node <0> is connected to nodes <1>, <4>, <6>, <3>, <2>, <5>.
Node <6> is connected to nodes <1>, <0>, <4>, <5>.
Node <4> is connected to nodes <1>, <0>, <6>, <2>.
Node <5> is connected to nodes <1>, <0>, <6>, <2>.
Node <3> is connected to nodes <0>, <2>.
Node <2> is connected to nodes <0>, <4>, <3>, <5>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>]",7,14,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<0>, <5>, <2>, <4>, <0>, <1>, <6>, <5>, <1>, <4>, <6>, <0>, <2>, <3>, <0>]",2
euler_path,"[(<4>, <2>), (<4>, <3>), (<2>, <0>), (<2>, <5>), (<2>, <1>), (<0>, <4>), (<0>, <5>), (<0>, <2>), (<5>, <1>), (<5>, <0>), (<1>, <4>), (<1>, <2>), (<1>, <0>)]","{<4>: [<2>, <3>],
<2>: [<0>, <5>, <1>],
<3>: [],
<0>: [<4>, <5>, <2>],
<5>: [<1>, <0>],
<1>: [<4>, <2>, <0>]}","Node <4> is connected to nodes <2>, <3>.
Node <2> is connected to nodes <0>, <5>, <1>.
Node <0> is connected to nodes <4>, <5>, <2>.
Node <5> is connected to nodes <1>, <0>.
Node <1> is connected to nodes <4>, <2>, <0>.","[<0>, <1>, <2>, <3>, <4>, <5>]",6,13,True,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<1>, <2>, <5>, <0>, <5>, <1>, <4>, <2>, <1>, <0>, <2>, <0>, <4>, <3>]",3
euler_path,"[(<1>, <4>), (<1>, <0>), (<1>, <2>), (<1>, <3>), (<4>, <3>), (<4>, <2>), (<4>, <0>), (<0>, <3>), (<0>, <2>), (<2>, <3>)]","{<1>: [<4>, <0>, <2>, <3>],
<4>: [<1>, <3>, <2>, <0>],
<0>: [<1>, <4>, <3>, <2>],
<2>: [<1>, <4>, <0>, <3>],
<3>: [<1>, <4>, <0>, <2>]}","Node <1> is connected to nodes <4>, <0>, <2>, <3>.
Node <4> is connected to nodes <1>, <3>, <2>, <0>.
Node <0> is connected to nodes <1>, <4>, <3>, <2>.
Node <2> is connected to nodes <1>, <4>, <0>, <3>.
Node <3> is connected to nodes <1>, <4>, <0>, <2>.","[<0>, <1>, <2>, <3>, <4>]",5,10,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<4>, <2>, <0>, <3>, <4>, <1>, <2>, <3>, <1>, <0>, <4>]",4
euler_path,"[(<4>, <1>), (<4>, <5>), (<4>, <2>), (<4>, <6>), (<1>, <2>), (<1>, <6>), (<1>, <5>), (<5>, <2>), (<5>, <6>), (<2>, <0>), (<2>, <3>), (<2>, <6>), (<6>, <0>), (<6>, <3>)]","{<4>: [<1>, <5>, <2>, <6>],
<1>: [<4>, <2>, <6>, <5>],
<5>: [<4>, <1>, <2>, <6>],
<2>: [<4>, <1>, <5>, <0>, <3>, <6>],
<6>: [<4>, <1>, <5>, <2>, <0>, <3>],
<0>: [<2>, <6>],
<3>: [<2>, <6>]}","Node <4> is connected to nodes <1>, <5>, <2>, <6>.
Node <1> is connected to nodes <4>, <2>, <6>, <5>.
Node <5> is connected to nodes <4>, <1>, <2>, <6>.
Node <2> is connected to nodes <4>, <1>, <5>, <0>, <3>, <6>.
Node <6> is connected to nodes <4>, <1>, <5>, <2>, <0>, <3>.
Node <0> is connected to nodes <2>, <6>.
Node <3> is connected to nodes <2>, <6>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>]",7,14,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<6>, <0>, <2>, <6>, <3>, <2>, <5>, <1>, <2>, <4>, <6>, <5>, <4>, <1>, <6>]",5
euler_path,"[(<5>, <2>), (<5>, <0>), (<5>, <4>), (<5>, <3>), (<2>, <4>), (<2>, <3>), (<2>, <1>), (<0>, <4>), (<0>, <1>), (<0>, <3>), (<4>, <1>), (<4>, <3>)]","{<5>: [<2>, <0>, <4>, <3>],
<2>: [<5>, <4>, <3>, <1>],
<0>: [<5>, <4>, <1>, <3>],
<4>: [<5>, <2>, <1>, <0>, <3>],
<3>: [<5>, <2>, <4>, <0>],
<1>: [<2>, <4>, <0>]}","Node <5> is connected to nodes <2>, <0>, <4>, <3>.
Node <2> is connected to nodes <5>, <4>, <3>, <1>.
Node <0> is connected to nodes <5>, <4>, <1>, <3>.
Node <4> is connected to nodes <5>, <2>, <1>, <0>, <3>.
Node <3> is connected to nodes <5>, <2>, <4>, <0>.
Node <1> is connected to nodes <2>, <4>, <0>.","[<0>, <1>, <2>, <3>, <4>, <5>]",6,12,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<1>, <0>, <5>, <3>, <2>, <4>, <1>, <2>, <5>, <4>, <0>, <3>, <4>]",6
euler_path,"[(<1>, <2>), (<1>, <4>), (<1>, <0>), (<1>, <3>), (<2>, <4>), (<2>, <3>), (<2>, <0>)]","{<1>: [<2>, <4>, <0>, <3>],
<2>: [<1>, <4>, <3>, <0>],
<4>: [<1>, <2>],
<0>: [<1>, <2>],
<3>: [<1>, <2>]}","Node <1> is connected to nodes <2>, <4>, <0>, <3>.
Node <2> is connected to nodes <1>, <4>, <3>, <0>.
Node <4> is connected to nodes <1>, <2>.
Node <0> is connected to nodes <1>, <2>.
Node <3> is connected to nodes <1>, <2>.","[<0>, <1>, <2>, <3>, <4>]",5,7,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<2>, <0>, <1>, <4>, <2>, <3>, <1>, <2>]",7
euler_path,"[(<0>, <3>), (<0>, <1>), (<0>, <5>), (<0>, <6>), (<0>, <4>), (<0>, <2>), (<3>, <2>), (<3>, <6>), (<1>, <5>), (<1>, <4>), (<1>, <6>), (<5>, <4>), (<6>, <2>), (<4>, <2>)]","{<0>: [<3>, <1>, <5>, <6>, <4>, <2>],
<3>: [<0>, <2>, <6>],
<1>: [<0>, <5>, <4>, <6>],
<5>: [<0>, <1>, <4>],
<6>: [<0>, <3>, <1>, <2>],
<4>: [<0>, <1>, <5>, <2>],
<2>: [<0>, <3>, <6>, <4>]}","Node <0> is connected to nodes <3>, <1>, <5>, <6>, <4>, <2>.
Node <3> is connected to nodes <0>, <2>, <6>.
Node <1> is connected to nodes <0>, <5>, <4>, <6>.
Node <5> is connected to nodes <0>, <1>, <4>.
Node <6> is connected to nodes <0>, <3>, <1>, <2>.
Node <4> is connected to nodes <0>, <1>, <5>, <2>.
Node <2> is connected to nodes <0>, <3>, <6>, <4>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>]",7,14,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<5>, <0>, <1>, <6>, <0>, <4>, <1>, <5>, <4>, <2>, <6>, <3>, <0>, <2>, <3>]",8
euler_path,"[(<2>, <1>), (<2>, <4>), (<2>, <3>), (<1>, <2>), (<4>, <0>), (<3>, <2>), (<3>, <4>), (<3>, <0>), (<0>, <3>), (<0>, <2>)]","{<2>: [<1>, <4>, <3>],
<1>: [<2>],
<4>: [<0>],
<3>: [<2>, <4>, <0>],
<0>: [<3>, <2>]}","Node <2> is connected to nodes <1>, <4>, <3>.
Node <1> is connected to node <2>.
Node <4> is connected to node <0>.
Node <3> is connected to nodes <2>, <4>, <0>.
Node <0> is connected to nodes <3>, <2>.","[<0>, <1>, <2>, <3>, <4>]",5,10,True,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<3>, <2>, <1>, <2>, <3>, <0>, <3>, <4>, <0>, <2>, <4>]",9
euler_path,"[(<2>, <0>), (<2>, <1>), (<2>, <4>), (<0>, <4>), (<0>, <3>), (<1>, <2>), (<1>, <3>), (<4>, <2>), (<3>, <0>), (<3>, <1>)]","{<2>: [<0>, <1>, <4>],
<0>: [<4>, <3>],
<1>: [<2>, <3>],
<4>: [<2>],
<3>: [<0>, <1>]}","Node <2> is connected to nodes <0>, <1>, <4>.
Node <0> is connected to nodes <4>, <3>.
Node <1> is connected to nodes <2>, <3>.
Node <4> is connected to node <2>.
Node <3> is connected to nodes <0>, <1>.","[<0>, <1>, <2>, <3>, <4>]",5,10,True,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<2>, <1>, <3>, <1>, <2>, <0>, <3>, <0>, <4>, <2>, <4>]",10
euler_path,"[(<3>, <2>), (<3>, <4>), (<2>, <3>), (<2>, <4>), (<4>, <3>), (<4>, <1>), (<4>, <0>), (<4>, <2>), (<1>, <0>), (<0>, <4>)]","{<3>: [<2>, <4>],
<2>: [<3>, <4>],
<4>: [<3>, <1>, <0>, <2>],
<1>: [<0>],
<0>: [<4>]}","Node <3> is connected to nodes <2>, <4>.
Node <2> is connected to nodes <3>, <4>.
Node <4> is connected to nodes <3>, <1>, <0>, <2>.
Node <1> is connected to node <0>.
Node <0> is connected to node <4>.","[<0>, <1>, <2>, <3>, <4>]",5,10,True,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<4>, <1>, <0>, <4>, <2>, <4>, <3>, <2>, <3>, <4>, <0>]",11
euler_path,"[(<1>, <4>), (<1>, <3>), (<1>, <2>), (<4>, <1>), (<3>, <1>), (<3>, <0>), (<3>, <2>), (<2>, <0>), (<2>, <1>), (<0>, <3>)]","{<1>: [<4>, <3>, <2>],
<4>: [<1>],
<3>: [<1>, <0>, <2>],
<2>: [<0>, <1>],
<0>: [<3>]}","Node <1> is connected to nodes <4>, <3>, <2>.
Node <4> is connected to node <1>.
Node <3> is connected to nodes <1>, <0>, <2>.
Node <2> is connected to nodes <0>, <1>.
Node <0> is connected to node <3>.","[<0>, <1>, <2>, <3>, <4>]",5,10,True,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<3>, <0>, <3>, <1>, <2>, <1>, <4>, <1>, <3>, <2>, <0>]",12
