task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,id
hamiltonian_path,"[(UBK, AOT), (UBK, VYD), (UBK, RSQ), (AOT, UBK), (VYD, RSQ), (VYD, GAR), (VYD, KFM), (RSQ, VYD), (GAR, DSO), (KFM, AOT), (DSO, RSQ)]","{UBK: [AOT, VYD, RSQ],
AOT: [UBK],
VYD: [RSQ, GAR, KFM],
RSQ: [VYD],
GAR: [DSO],
KFM: [AOT],
DSO: [RSQ]}","Node UBK is connected to nodes AOT, VYD, RSQ.
Node AOT is connected to node UBK.
Node VYD is connected to nodes RSQ, GAR, KFM.
Node RSQ is connected to node VYD.
Node GAR is connected to node DSO.
Node KFM is connected to node AOT.
Node DSO is connected to node RSQ.","[RSQ, KFM, AOT, VYD, UBK, GAR, DSO]",7,11,True,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[KFM, AOT, UBK, RSQ, VYD, GAR, DSO]",0
hamiltonian_path,"[(UXQ, FKB), (UXQ, KAI), (FKB, QSA), (QSA, EJU)]","{UXQ: [FKB, KAI],
FKB: [UXQ, QSA],
KAI: [UXQ],
QSA: [FKB, EJU],
EJU: [QSA]}","Node UXQ is connected to nodes FKB, KAI.
Node FKB is connected to nodes UXQ, QSA.
Node KAI is connected to node UXQ.
Node QSA is connected to nodes FKB, EJU.
Node EJU is connected to node QSA.","[FKB, KAI, QSA, EJU, UXQ]",5,4,False,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[KAI, UXQ, FKB, QSA, EJU]",1
hamiltonian_path,"[(ETE, CXE), (CXE, JTJ), (CXE, UBT), (JTJ, CXE), (JTJ, ETE), (UBT, DBU), (UBT, ETE), (DBU, NFW), (DBU, UBT), (NFW, JTJ)]","{ETE: [CXE],
CXE: [JTJ, UBT],
JTJ: [CXE, ETE],
UBT: [DBU, ETE],
DBU: [NFW, UBT],
NFW: [JTJ]}","Node ETE is connected to node CXE.
Node CXE is connected to nodes JTJ, UBT.
Node JTJ is connected to nodes CXE, ETE.
Node UBT is connected to nodes DBU, ETE.
Node DBU is connected to nodes NFW, UBT.
Node NFW is connected to node JTJ.","[UBT, NFW, ETE, DBU, CXE, JTJ]",6,10,True,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[UBT, DBU, NFW, JTJ, ETE, CXE]",2
hamiltonian_path,"[(PQW, GEF), (PQW, JRB), (GEF, QFO), (GEF, BUI), (JRB, QFO)]","{PQW: [GEF, JRB],
GEF: [PQW, QFO, BUI],
JRB: [PQW, QFO],
QFO: [GEF, JRB],
BUI: [GEF]}","Node PQW is connected to nodes GEF, JRB.
Node GEF is connected to nodes PQW, QFO, BUI.
Node JRB is connected to nodes PQW, QFO.
Node QFO is connected to nodes GEF, JRB.
Node BUI is connected to node GEF.","[JRB, GEF, PQW, BUI, QFO]",5,5,False,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[PQW, JRB, QFO, GEF, BUI]",3
hamiltonian_path,"[(SML, SOA), (SML, MMB), (SOA, XVW), (MMB, XVW), (MMB, DQF)]","{SML: [SOA, MMB],
SOA: [SML, XVW],
MMB: [SML, XVW, DQF],
XVW: [SOA, MMB],
DQF: [MMB]}","Node SML is connected to nodes SOA, MMB.
Node SOA is connected to nodes SML, XVW.
Node MMB is connected to nodes SML, XVW, DQF.
Node XVW is connected to nodes SOA, MMB.
Node DQF is connected to node MMB.","[SML, XVW, MMB, DQF, SOA]",5,5,False,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[DQF, MMB, SML, SOA, XVW]",4
hamiltonian_path,"[(WRJ, ZFW), (WRJ, WFN), (WRJ, IJQ), (WRJ, IRI), (ZFW, JRY), (IJQ, IRI), (IJQ, EBK), (IJQ, JRY), (IRI, EBK)]","{WRJ: [ZFW, WFN, IJQ, IRI],
ZFW: [WRJ, JRY],
WFN: [WRJ],
IJQ: [WRJ, IRI, EBK, JRY],
IRI: [WRJ, IJQ, EBK],
JRY: [ZFW, IJQ],
EBK: [IJQ, IRI]}","Node WRJ is connected to nodes ZFW, WFN, IJQ, IRI.
Node ZFW is connected to nodes WRJ, JRY.
Node WFN is connected to node WRJ.
Node IJQ is connected to nodes WRJ, IRI, EBK, JRY.
Node IRI is connected to nodes WRJ, IJQ, EBK.
Node JRY is connected to nodes ZFW, IJQ.
Node EBK is connected to nodes IJQ, IRI.","[ZFW, JRY, WFN, IRI, WRJ, EBK, IJQ]",7,9,False,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[WFN, WRJ, ZFW, JRY, IJQ, IRI, EBK]",5
hamiltonian_path,"[(FKJ, HTV), (FKJ, RAX), (HTV, FKJ), (HTV, XOK), (RAX, FKJ), (CLJ, HTV), (CLJ, RAX)]","{FKJ: [HTV, RAX],
HTV: [FKJ, XOK],
RAX: [FKJ],
XOK: [],
CLJ: [HTV, RAX]}","Node FKJ is connected to nodes HTV, RAX.
Node HTV is connected to nodes FKJ, XOK.
Node RAX is connected to node FKJ.
Node CLJ is connected to nodes HTV, RAX.","[HTV, RAX, CLJ, XOK, FKJ]",5,7,True,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[CLJ, RAX, FKJ, HTV, XOK]",6
hamiltonian_path,"[(EWE, HZD), (EWE, TEK), (EWE, PQK), (HZD, TEK), (HZD, EWE), (TEK, HZD), (TEK, PQK), (ERW, TEK), (ERW, HZD)]","{EWE: [HZD, TEK, PQK],
HZD: [TEK, EWE],
TEK: [HZD, PQK],
PQK: [],
ERW: [TEK, HZD]}","Node EWE is connected to nodes HZD, TEK, PQK.
Node HZD is connected to nodes TEK, EWE.
Node TEK is connected to nodes HZD, PQK.
Node ERW is connected to nodes TEK, HZD.","[TEK, PQK, ERW, EWE, HZD]",5,9,True,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[ERW, HZD, EWE, TEK, PQK]",7
hamiltonian_path,"[(CMC, QBO), (CMC, ASZ), (QBO, GTM), (QBO, GFJ), (QBO, VFM), (ASZ, OLU), (ASZ, GFJ), (GTM, QBO), (GTM, ASZ), (GTM, VFM), (GFJ, GTM), (GFJ, OLU), (GFJ, QBO), (GFJ, CMC), (VFM, CMC), (VFM, QBO), (VFM, GTM), (OLU, CMC), (OLU, GTM)]","{CMC: [QBO, ASZ],
QBO: [GTM, GFJ, VFM],
ASZ: [OLU, GFJ],
GTM: [QBO, ASZ, VFM],
GFJ: [GTM, OLU, QBO, CMC],
VFM: [CMC, QBO, GTM],
OLU: [CMC, GTM]}","Node CMC is connected to nodes QBO, ASZ.
Node QBO is connected to nodes GTM, GFJ, VFM.
Node ASZ is connected to nodes OLU, GFJ.
Node GTM is connected to nodes QBO, ASZ, VFM.
Node GFJ is connected to nodes GTM, OLU, QBO, CMC.
Node VFM is connected to nodes CMC, QBO, GTM.
Node OLU is connected to nodes CMC, GTM.","[ASZ, VFM, GFJ, OLU, CMC, QBO, GTM]",7,19,True,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[OLU, CMC, ASZ, GFJ, GTM, VFM, QBO]",8
hamiltonian_path,"[(YLR, SCF), (YLR, ENP), (YLR, KVW), (SCF, OOF), (SCF, ENP), (ENP, KVW), (KVW, OOF)]","{YLR: [SCF, ENP, KVW],
SCF: [YLR, OOF, ENP],
ENP: [YLR, SCF, KVW],
KVW: [YLR, ENP, OOF],
OOF: [SCF, KVW]}","Node YLR is connected to nodes SCF, ENP, KVW.
Node SCF is connected to nodes YLR, OOF, ENP.
Node ENP is connected to nodes YLR, SCF, KVW.
Node KVW is connected to nodes YLR, ENP, OOF.
Node OOF is connected to nodes SCF, KVW.","[KVW, OOF, ENP, SCF, YLR]",5,7,False,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[OOF, KVW, YLR, SCF, ENP]",9
