task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
Jaccard,"[(FBY, OGL), (FBY, PQA), (OGL, NKY), (PQA, NKY), (PQA, FBY), (IZY, PQA), (IZY, NKY), (IZY, FBY), (NKY, FBY), (NKY, IZY), (NKY, OGL), (NKY, PQA)]","{FBY: [OGL, PQA],
OGL: [NKY],
PQA: [NKY, FBY],
IZY: [PQA, NKY, FBY],
NKY: [FBY, IZY, OGL, PQA]}","Node FBY is connected to nodes OGL, PQA.
Node OGL is connected to node NKY.
Node PQA is connected to nodes NKY, FBY.
Node IZY is connected to nodes PQA, NKY, FBY.
Node NKY is connected to nodes FBY, IZY, OGL, PQA.","[NKY, FBY, OGL, PQA, IZY]",5,12,True,"Calculate the Jaccard coefficient of node OGL and node PQA. For a directed graph, we consider a node's successors as its neighbors.",0.5,"Let's calculate the Jaccard coefficient step by step.
The neighbors of node OGL: [NKY].
The neighbors of node PQA: [NKY, FBY].
The common neighbor set of node OGL and node PQA is: [NKY], and there are 1 elements.
The union neighbor set of node OGL and node PQA is: [NKY, FBY], and there are 2 elements.
So the Jaccard coefficient is the value of dividing the number of common neighbors by the number of union neighbors, i.e. 1 / 2 = ","('[0.0000, 0.5000, 0.3579, 0.3377]',)",1,0
Jaccard,"[(NHO, NYX), (NHO, VKP), (NYX, EFD), (VKP, EFD), (VKP, CRK)]","{NHO: [NYX, VKP],
NYX: [NHO, EFD],
VKP: [NHO, EFD, CRK],
EFD: [NYX, VKP],
CRK: [VKP]}","Node NHO is connected to nodes NYX, VKP.
Node NYX is connected to nodes NHO, EFD.
Node VKP is connected to nodes NHO, EFD, CRK.
Node EFD is connected to nodes NYX, VKP.
Node CRK is connected to node VKP.","[EFD, VKP, NHO, NYX, CRK]",5,5,False,Calculate the Jaccard coefficient of node NYX and node VKP.,0.6667,"Let's calculate the Jaccard coefficient step by step.
The neighbors of node NYX: [NHO, EFD].
The neighbors of node VKP: [NHO, EFD, CRK].
The common neighbor set of node NYX and node VKP is: [EFD, NHO], and there are 2 elements.
The union neighbor set of node NYX and node VKP is: [EFD, NHO, CRK], and there are 3 elements.
So the Jaccard coefficient is the value of dividing the number of common neighbors by the number of union neighbors, i.e. 2 / 3 = ","('[0.0000, 0.2490, 0.3658, 0.6667]',)",3,1
Jaccard,"[(DZR, IXL), (DZR, URF), (DZR, IXX), (DZR, LYL), (DZR, LLI), (IXL, IXX), (IXL, LYL), (IXL, DZR), (IXL, BWM), (URF, DZR), (IXX, LLI), (IXX, BWM), (IXX, IXL), (IXX, URF), (LYL, DZR), (LYL, BWM), (LLI, DZR), (LLI, BWM), (LLI, URF), (LLI, IXX), (BWM, LYL)]","{DZR: [IXL, URF, IXX, LYL, LLI],
IXL: [IXX, LYL, DZR, BWM],
URF: [DZR],
IXX: [LLI, BWM, IXL, URF],
LYL: [DZR, BWM],
LLI: [DZR, BWM, URF, IXX],
BWM: [LYL]}","Node DZR is connected to nodes IXL, URF, IXX, LYL, LLI.
Node IXL is connected to nodes IXX, LYL, DZR, BWM.
Node URF is connected to node DZR.
Node IXX is connected to nodes LLI, BWM, IXL, URF.
Node LYL is connected to nodes DZR, BWM.
Node LLI is connected to nodes DZR, BWM, URF, IXX.
Node BWM is connected to node LYL.","[DZR, URF, LYL, IXX, IXL, LLI, BWM]",7,21,True,"Calculate the Jaccard coefficient of node DZR and node LLI. For a directed graph, we consider a node's successors as its neighbors.",0.2857,"Let's calculate the Jaccard coefficient step by step.
The neighbors of node DZR: [IXL, URF, IXX, LYL, LLI].
The neighbors of node LLI: [DZR, BWM, URF, IXX].
The common neighbor set of node DZR and node LLI is: [URF, IXX], and there are 2 elements.
The union neighbor set of node DZR and node LLI is: [DZR, URF, LYL, IXX, IXL, LLI, BWM], and there are 7 elements.
So the Jaccard coefficient is the value of dividing the number of common neighbors by the number of union neighbors, i.e. 2 / 7 = ","('[0.0000, 0.2857, 0.4562, 0.8480]',)",1,2
Jaccard,"[(KFN, JPS), (KFN, OBP), (JPS, YGV), (YGV, EDO), (YGV, AKW), (JGK, EDO), (JGK, AKW)]","{KFN: [JPS, OBP],
JPS: [KFN, YGV],
OBP: [KFN],
YGV: [JPS, EDO, AKW],
JGK: [EDO, AKW],
EDO: [JGK, YGV],
AKW: [JGK, YGV]}","Node KFN is connected to nodes JPS, OBP.
Node JPS is connected to nodes KFN, YGV.
Node OBP is connected to node KFN.
Node YGV is connected to nodes JPS, EDO, AKW.
Node JGK is connected to nodes EDO, AKW.
Node EDO is connected to nodes JGK, YGV.
Node AKW is connected to nodes JGK, YGV.","[AKW, EDO, OBP, YGV, KFN, JGK, JPS]",7,7,False,Calculate the Jaccard coefficient of node YGV and node KFN.,0.25,"Let's calculate the Jaccard coefficient step by step.
The neighbors of node YGV: [JPS, EDO, AKW].
The neighbors of node KFN: [JPS, OBP].
The common neighbor set of node YGV and node KFN is: [JPS], and there are 1 elements.
The union neighbor set of node YGV and node KFN is: [AKW, EDO, OBP, JPS], and there are 4 elements.
So the Jaccard coefficient is the value of dividing the number of common neighbors by the number of union neighbors, i.e. 1 / 4 = ","('[0.7403, 0.7207, 0.0000, 0.2500]',)",3,3
Jaccard,"[(QZX, MTG), (QZX, AAP), (QZX, UTY), (MTG, JQD), (AAP, UTY)]","{QZX: [MTG, AAP, UTY],
MTG: [QZX, JQD],
AAP: [QZX, UTY],
UTY: [QZX, AAP],
JQD: [MTG]}","Node QZX is connected to nodes MTG, AAP, UTY.
Node MTG is connected to nodes QZX, JQD.
Node AAP is connected to nodes QZX, UTY.
Node UTY is connected to nodes QZX, AAP.
Node JQD is connected to node MTG.","[MTG, AAP, UTY, JQD, QZX]",5,5,False,Calculate the Jaccard coefficient of node MTG and node QZX.,0.0,"Let's calculate the Jaccard coefficient step by step.
The neighbors of node MTG: [QZX, JQD].
The neighbors of node QZX: [MTG, AAP, UTY].
The common neighbor set of node MTG and node QZX is: [], and there are 0 elements.
The union neighbor set of node MTG and node QZX is: [MTG, AAP, UTY, JQD, QZX], and there are 5 elements.
So the Jaccard coefficient is the value of dividing the number of common neighbors by the number of union neighbors, i.e. 0 / 5 = ","('[0.8627, 0.9222, 0.4650, 0.0000]',)",3,4
Jaccard,"[(KUG, FIP), (KUG, BOT), (FIP, IQT), (BOT, KUG), (BOT, GTV), (BOT, IFI), (BOT, FIP), (GTV, VLS), (GTV, IQT), (GTV, IFI), (GTV, FIP), (GTV, BOT), (GTV, KUG), (VLS, BOT), (VLS, KUG), (IQT, BOT), (IQT, GTV), (IQT, VLS), (IFI, FIP), (IFI, KUG), (IFI, GTV), (IFI, VLS), (IFI, IQT)]","{KUG: [FIP, BOT],
FIP: [IQT],
BOT: [KUG, GTV, IFI, FIP],
GTV: [VLS, IQT, IFI, FIP, BOT, KUG],
VLS: [BOT, KUG],
IQT: [BOT, GTV, VLS],
IFI: [FIP, KUG, GTV, VLS, IQT]}","Node KUG is connected to nodes FIP, BOT.
Node FIP is connected to node IQT.
Node BOT is connected to nodes KUG, GTV, IFI, FIP.
Node GTV is connected to nodes VLS, IQT, IFI, FIP, BOT, KUG.
Node VLS is connected to nodes BOT, KUG.
Node IQT is connected to nodes BOT, GTV, VLS.
Node IFI is connected to nodes FIP, KUG, GTV, VLS, IQT.","[KUG, FIP, IFI, VLS, IQT, GTV, BOT]",7,23,True,"Calculate the Jaccard coefficient of node GTV and node KUG. For a directed graph, we consider a node's successors as its neighbors.",0.3333,"Let's calculate the Jaccard coefficient step by step.
The neighbors of node GTV: [VLS, IQT, IFI, FIP, BOT, KUG].
The neighbors of node KUG: [FIP, BOT].
The common neighbor set of node GTV and node KUG is: [FIP, BOT], and there are 2 elements.
The union neighbor set of node GTV and node KUG is: [KUG, FIP, IFI, VLS, IQT, BOT], and there are 6 elements.
So the Jaccard coefficient is the value of dividing the number of common neighbors by the number of union neighbors, i.e. 2 / 6 = ","('[0.5182, 0.3333, 0.0000, 0.6357]',)",1,5
Jaccard,"[(BSU, LVD), (LVD, INS), (CCC, QLT), (CCC, BSU), (QLT, LVD), (QLT, BSU), (QLT, CCC), (VJD, QLT), (VJD, LVD), (VJD, CCC), (INS, BSU), (INS, CCC), (INS, LVD)]","{BSU: [LVD],
LVD: [INS],
CCC: [QLT, BSU],
QLT: [LVD, BSU, CCC],
VJD: [QLT, LVD, CCC],
INS: [BSU, CCC, LVD]}","Node BSU is connected to node LVD.
Node LVD is connected to node INS.
Node CCC is connected to nodes QLT, BSU.
Node QLT is connected to nodes LVD, BSU, CCC.
Node VJD is connected to nodes QLT, LVD, CCC.
Node INS is connected to nodes BSU, CCC, LVD.","[BSU, CCC, INS, LVD, QLT, VJD]",6,13,True,"Calculate the Jaccard coefficient of node QLT and node BSU. For a directed graph, we consider a node's successors as its neighbors.",0.3333,"Let's calculate the Jaccard coefficient step by step.
The neighbors of node QLT: [LVD, BSU, CCC].
The neighbors of node BSU: [LVD].
The common neighbor set of node QLT and node BSU is: [LVD], and there are 1 elements.
The union neighbor set of node QLT and node BSU is: [BSU, CCC, LVD], and there are 3 elements.
So the Jaccard coefficient is the value of dividing the number of common neighbors by the number of union neighbors, i.e. 1 / 3 = ","('[0.3333, 0.0000, 0.0442, 0.2927]',)",0,6
Jaccard,"[(YGH, UFF), (YGH, PGN), (YGH, DJT), (YGH, ESA), (UFF, YBZ), (PGN, FWV)]","{YGH: [UFF, PGN, DJT, ESA],
UFF: [YGH, YBZ],
PGN: [YGH, FWV],
DJT: [YGH],
ESA: [YGH],
YBZ: [UFF],
FWV: [PGN]}","Node YGH is connected to nodes UFF, PGN, DJT, ESA.
Node UFF is connected to nodes YGH, YBZ.
Node PGN is connected to nodes YGH, FWV.
Node DJT is connected to node YGH.
Node ESA is connected to node YGH.
Node YBZ is connected to node UFF.
Node FWV is connected to node PGN.","[FWV, UFF, YBZ, DJT, ESA, YGH, PGN]",7,6,False,Calculate the Jaccard coefficient of node YBZ and node YGH.,0.25,"Let's calculate the Jaccard coefficient step by step.
The neighbors of node YBZ: [UFF].
The neighbors of node YGH: [UFF, PGN, DJT, ESA].
The common neighbor set of node YBZ and node YGH is: [UFF], and there are 1 elements.
The union neighbor set of node YBZ and node YGH is: [UFF, DJT, ESA, PGN], and there are 4 elements.
So the Jaccard coefficient is the value of dividing the number of common neighbors by the number of union neighbors, i.e. 1 / 4 = ","('[0.6463, 0.2500, 0.0000, 0.2272]',)",1,7
Jaccard,"[(AJU, JFI), (AJU, HAW), (AJU, WEH), (AJU, GAB), (JFI, GAB), (HAW, WEH), (HAW, GAB), (HAW, DRZ), (HAW, AJU), (HAW, JFI), (WEH, GAB), (WEH, AJU), (WEH, HAW), (GAB, AJU), (GAB, YAA), (GAB, WEH), (DRZ, AJU), (DRZ, JFI), (DRZ, WEH), (YAA, WEH), (YAA, AJU), (YAA, JFI), (YAA, HAW)]","{AJU: [JFI, HAW, WEH, GAB],
JFI: [GAB],
HAW: [WEH, GAB, DRZ, AJU, JFI],
WEH: [GAB, AJU, HAW],
GAB: [AJU, YAA, WEH],
DRZ: [AJU, JFI, WEH],
YAA: [WEH, AJU, JFI, HAW]}","Node AJU is connected to nodes JFI, HAW, WEH, GAB.
Node JFI is connected to node GAB.
Node HAW is connected to nodes WEH, GAB, DRZ, AJU, JFI.
Node WEH is connected to nodes GAB, AJU, HAW.
Node GAB is connected to nodes AJU, YAA, WEH.
Node DRZ is connected to nodes AJU, JFI, WEH.
Node YAA is connected to nodes WEH, AJU, JFI, HAW.","[GAB, JFI, AJU, DRZ, WEH, YAA, HAW]",7,23,True,"Calculate the Jaccard coefficient of node YAA and node GAB. For a directed graph, we consider a node's successors as its neighbors.",0.4,"Let's calculate the Jaccard coefficient step by step.
The neighbors of node YAA: [WEH, AJU, JFI, HAW].
The neighbors of node GAB: [AJU, YAA, WEH].
The common neighbor set of node YAA and node GAB is: [AJU, WEH], and there are 2 elements.
The union neighbor set of node YAA and node GAB is: [JFI, AJU, WEH, YAA, HAW], and there are 5 elements.
So the Jaccard coefficient is the value of dividing the number of common neighbors by the number of union neighbors, i.e. 2 / 5 = ","('[0.8555, 0.1827, 0.0000, 0.4000]',)",3,8
Jaccard,"[(IUB, RMX), (IUB, ILO), (IUB, UOT), (ILO, QCU), (UOT, QJC)]","{IUB: [RMX, ILO, UOT],
RMX: [IUB],
ILO: [IUB, QCU],
UOT: [IUB, QJC],
QCU: [ILO],
QJC: [UOT]}","Node IUB is connected to nodes RMX, ILO, UOT.
Node RMX is connected to node IUB.
Node ILO is connected to nodes IUB, QCU.
Node UOT is connected to nodes IUB, QJC.
Node QCU is connected to node ILO.
Node QJC is connected to node UOT.","[RMX, ILO, QCU, QJC, IUB, UOT]",6,5,False,Calculate the Jaccard coefficient of node QJC and node QCU.,0.0,"Let's calculate the Jaccard coefficient step by step.
The neighbors of node QJC: [UOT].
The neighbors of node QCU: [ILO].
The common neighbor set of node QJC and node QCU is: [], and there are 0 elements.
The union neighbor set of node QJC and node QCU is: [ILO, UOT], and there are 2 elements.
So the Jaccard coefficient is the value of dividing the number of common neighbors by the number of union neighbors, i.e. 0 / 2 = ","('[0.5140, 0.2932, 0.0000, 0.3358]',)",2,9
