task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
Jaccard,"[(<1>, <2>), (<1>, <3>), (<2>, <0>), (<3>, <0>), (<3>, <1>), (<4>, <3>), (<4>, <0>), (<4>, <1>), (<0>, <1>), (<0>, <4>), (<0>, <2>), (<0>, <3>)]","{<1>: [<2>, <3>],
<2>: [<0>],
<3>: [<0>, <1>],
<4>: [<3>, <0>, <1>],
<0>: [<1>, <4>, <2>, <3>]}","Node <1> is connected to nodes <2>, <3>.
Node <2> is connected to node <0>.
Node <3> is connected to nodes <0>, <1>.
Node <4> is connected to nodes <3>, <0>, <1>.
Node <0> is connected to nodes <1>, <4>, <2>, <3>.","[<0>, <1>, <2>, <3>, <4>]",5,12,True,"Calculate the Jaccard coefficient of node <2> and node <3>. For a directed graph, we consider a node's successors as its neighbors.",0.5000,"Let's calculate the Jaccard coefficient step by step.
The neighbors of node <2>: [<0>].
The neighbors of node <3>: [<0>, <1>].
The common neighbor set of node <2> and node <3> is: [<0>], and there are 1 elements.
The union neighbor set of node <2> and node <3> is: [<0>, <1>], and there are 2 elements.
So the Jaccard coefficient is the value of dividing the number of common neighbors by the number of union neighbors, i.e. 1 / 2 = ","('[0.0000, 0.5000, 0.3579, 0.3377]',)",1,0
Jaccard,"[(<2>, <3>), (<2>, <1>), (<3>, <0>), (<1>, <0>), (<1>, <4>)]","{<2>: [<3>, <1>],
<3>: [<2>, <0>],
<1>: [<2>, <0>, <4>],
<0>: [<3>, <1>],
<4>: [<1>]}","Node <2> is connected to nodes <3>, <1>.
Node <3> is connected to nodes <2>, <0>.
Node <1> is connected to nodes <2>, <0>, <4>.
Node <0> is connected to nodes <3>, <1>.
Node <4> is connected to node <1>.","[<0>, <1>, <2>, <3>, <4>]",5,5,False,Calculate the Jaccard coefficient of node <3> and node <1>.,0.6667,"Let's calculate the Jaccard coefficient step by step.
The neighbors of node <3>: [<2>, <0>].
The neighbors of node <1>: [<2>, <0>, <4>].
The common neighbor set of node <3> and node <1> is: [<0>, <2>], and there are 2 elements.
The union neighbor set of node <3> and node <1> is: [<0>, <2>, <4>], and there are 3 elements.
So the Jaccard coefficient is the value of dividing the number of common neighbors by the number of union neighbors, i.e. 2 / 3 = ","('[0.0000, 0.2490, 0.3658, 0.6667]',)",3,1
Jaccard,"[(<0>, <4>), (<0>, <1>), (<0>, <3>), (<0>, <2>), (<0>, <5>), (<4>, <3>), (<4>, <2>), (<4>, <0>), (<4>, <6>), (<1>, <0>), (<3>, <5>), (<3>, <6>), (<3>, <4>), (<3>, <1>), (<2>, <0>), (<2>, <6>), (<5>, <0>), (<5>, <6>), (<5>, <1>), (<5>, <3>), (<6>, <2>)]","{<0>: [<4>, <1>, <3>, <2>, <5>],
<4>: [<3>, <2>, <0>, <6>],
<1>: [<0>],
<3>: [<5>, <6>, <4>, <1>],
<2>: [<0>, <6>],
<5>: [<0>, <6>, <1>, <3>],
<6>: [<2>]}","Node <0> is connected to nodes <4>, <1>, <3>, <2>, <5>.
Node <4> is connected to nodes <3>, <2>, <0>, <6>.
Node <1> is connected to node <0>.
Node <3> is connected to nodes <5>, <6>, <4>, <1>.
Node <2> is connected to nodes <0>, <6>.
Node <5> is connected to nodes <0>, <6>, <1>, <3>.
Node <6> is connected to node <2>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>]",7,21,True,"Calculate the Jaccard coefficient of node <0> and node <5>. For a directed graph, we consider a node's successors as its neighbors.",0.2857,"Let's calculate the Jaccard coefficient step by step.
The neighbors of node <0>: [<4>, <1>, <3>, <2>, <5>].
The neighbors of node <5>: [<0>, <6>, <1>, <3>].
The common neighbor set of node <0> and node <5> is: [<1>, <3>], and there are 2 elements.
The union neighbor set of node <0> and node <5> is: [<0>, <1>, <2>, <3>, <4>, <5>, <6>], and there are 7 elements.
So the Jaccard coefficient is the value of dividing the number of common neighbors by the number of union neighbors, i.e. 2 / 7 = ","('[0.0000, 0.2857, 0.4562, 0.8480]',)",1,2
Jaccard,"[(<4>, <6>), (<4>, <2>), (<6>, <3>), (<3>, <1>), (<3>, <0>), (<5>, <1>), (<5>, <0>)]","{<4>: [<6>, <2>],
<6>: [<4>, <3>],
<2>: [<4>],
<3>: [<6>, <1>, <0>],
<5>: [<1>, <0>],
<1>: [<5>, <3>],
<0>: [<5>, <3>]}","Node <4> is connected to nodes <6>, <2>.
Node <6> is connected to nodes <4>, <3>.
Node <2> is connected to node <4>.
Node <3> is connected to nodes <6>, <1>, <0>.
Node <5> is connected to nodes <1>, <0>.
Node <1> is connected to nodes <5>, <3>.
Node <0> is connected to nodes <5>, <3>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>]",7,7,False,Calculate the Jaccard coefficient of node <3> and node <4>.,0.2500,"Let's calculate the Jaccard coefficient step by step.
The neighbors of node <3>: [<6>, <1>, <0>].
The neighbors of node <4>: [<6>, <2>].
The common neighbor set of node <3> and node <4> is: [<6>], and there are 1 elements.
The union neighbor set of node <3> and node <4> is: [<0>, <1>, <2>, <6>], and there are 4 elements.
So the Jaccard coefficient is the value of dividing the number of common neighbors by the number of union neighbors, i.e. 1 / 4 = ","('[0.7403, 0.7207, 0.0000, 0.2500]',)",3,3
Jaccard,"[(<4>, <0>), (<4>, <1>), (<4>, <2>), (<0>, <3>), (<1>, <2>)]","{<4>: [<0>, <1>, <2>],
<0>: [<4>, <3>],
<1>: [<4>, <2>],
<2>: [<4>, <1>],
<3>: [<0>]}","Node <4> is connected to nodes <0>, <1>, <2>.
Node <0> is connected to nodes <4>, <3>.
Node <1> is connected to nodes <4>, <2>.
Node <2> is connected to nodes <4>, <1>.
Node <3> is connected to node <0>.","[<0>, <1>, <2>, <3>, <4>]",5,5,False,Calculate the Jaccard coefficient of node <0> and node <4>.,0.0000,"Let's calculate the Jaccard coefficient step by step.
The neighbors of node <0>: [<4>, <3>].
The neighbors of node <4>: [<0>, <1>, <2>].
The common neighbor set of node <0> and node <4> is: [], and there are 0 elements.
The union neighbor set of node <0> and node <4> is: [<0>, <1>, <2>, <3>, <4>], and there are 5 elements.
So the Jaccard coefficient is the value of dividing the number of common neighbors by the number of union neighbors, i.e. 0 / 5 = ","('[0.8627, 0.9222, 0.4650, 0.0000]',)",3,4
Jaccard,"[(<0>, <1>), (<0>, <6>), (<1>, <4>), (<6>, <0>), (<6>, <5>), (<6>, <2>), (<6>, <1>), (<5>, <3>), (<5>, <4>), (<5>, <2>), (<5>, <1>), (<5>, <6>), (<5>, <0>), (<3>, <6>), (<3>, <0>), (<4>, <6>), (<4>, <5>), (<4>, <3>), (<2>, <1>), (<2>, <0>), (<2>, <5>), (<2>, <3>), (<2>, <4>)]","{<0>: [<1>, <6>],
<1>: [<4>],
<6>: [<0>, <5>, <2>, <1>],
<5>: [<3>, <4>, <2>, <1>, <6>, <0>],
<3>: [<6>, <0>],
<4>: [<6>, <5>, <3>],
<2>: [<1>, <0>, <5>, <3>, <4>]}","Node <0> is connected to nodes <1>, <6>.
Node <1> is connected to node <4>.
Node <6> is connected to nodes <0>, <5>, <2>, <1>.
Node <5> is connected to nodes <3>, <4>, <2>, <1>, <6>, <0>.
Node <3> is connected to nodes <6>, <0>.
Node <4> is connected to nodes <6>, <5>, <3>.
Node <2> is connected to nodes <1>, <0>, <5>, <3>, <4>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>]",7,23,True,"Calculate the Jaccard coefficient of node <5> and node <0>. For a directed graph, we consider a node's successors as its neighbors.",0.3333,"Let's calculate the Jaccard coefficient step by step.
The neighbors of node <5>: [<3>, <4>, <2>, <1>, <6>, <0>].
The neighbors of node <0>: [<1>, <6>].
The common neighbor set of node <5> and node <0> is: [<1>, <6>], and there are 2 elements.
The union neighbor set of node <5> and node <0> is: [<0>, <1>, <2>, <3>, <4>, <6>], and there are 6 elements.
So the Jaccard coefficient is the value of dividing the number of common neighbors by the number of union neighbors, i.e. 2 / 6 = ","('[0.5182, 0.3333, 0.0000, 0.6357]',)",1,5
Jaccard,"[(<0>, <3>), (<3>, <2>), (<1>, <4>), (<1>, <0>), (<4>, <3>), (<4>, <0>), (<4>, <1>), (<5>, <4>), (<5>, <3>), (<5>, <1>), (<2>, <0>), (<2>, <1>), (<2>, <3>)]","{<0>: [<3>],
<3>: [<2>],
<1>: [<4>, <0>],
<4>: [<3>, <0>, <1>],
<5>: [<4>, <3>, <1>],
<2>: [<0>, <1>, <3>]}","Node <0> is connected to node <3>.
Node <3> is connected to node <2>.
Node <1> is connected to nodes <4>, <0>.
Node <4> is connected to nodes <3>, <0>, <1>.
Node <5> is connected to nodes <4>, <3>, <1>.
Node <2> is connected to nodes <0>, <1>, <3>.","[<0>, <1>, <2>, <3>, <4>, <5>]",6,13,True,"Calculate the Jaccard coefficient of node <4> and node <0>. For a directed graph, we consider a node's successors as its neighbors.",0.3333,"Let's calculate the Jaccard coefficient step by step.
The neighbors of node <4>: [<3>, <0>, <1>].
The neighbors of node <0>: [<3>].
The common neighbor set of node <4> and node <0> is: [<3>], and there are 1 elements.
The union neighbor set of node <4> and node <0> is: [<0>, <1>, <3>], and there are 3 elements.
So the Jaccard coefficient is the value of dividing the number of common neighbors by the number of union neighbors, i.e. 1 / 3 = ","('[0.3333, 0.0000, 0.0442, 0.2927]',)",0,6
Jaccard,"[(<5>, <1>), (<5>, <6>), (<5>, <3>), (<5>, <4>), (<1>, <2>), (<6>, <0>)]","{<5>: [<1>, <6>, <3>, <4>],
<1>: [<5>, <2>],
<6>: [<5>, <0>],
<3>: [<5>],
<4>: [<5>],
<2>: [<1>],
<0>: [<6>]}","Node <5> is connected to nodes <1>, <6>, <3>, <4>.
Node <1> is connected to nodes <5>, <2>.
Node <6> is connected to nodes <5>, <0>.
Node <3> is connected to node <5>.
Node <4> is connected to node <5>.
Node <2> is connected to node <1>.
Node <0> is connected to node <6>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>]",7,6,False,Calculate the Jaccard coefficient of node <2> and node <5>.,0.2500,"Let's calculate the Jaccard coefficient step by step.
The neighbors of node <2>: [<1>].
The neighbors of node <5>: [<1>, <6>, <3>, <4>].
The common neighbor set of node <2> and node <5> is: [<1>], and there are 1 elements.
The union neighbor set of node <2> and node <5> is: [<1>, <3>, <4>, <6>], and there are 4 elements.
So the Jaccard coefficient is the value of dividing the number of common neighbors by the number of union neighbors, i.e. 1 / 4 = ","('[0.6463, 0.2500, 0.0000, 0.2272]',)",1,7
Jaccard,"[(<2>, <1>), (<2>, <6>), (<2>, <4>), (<2>, <0>), (<1>, <0>), (<6>, <4>), (<6>, <0>), (<6>, <3>), (<6>, <2>), (<6>, <1>), (<4>, <0>), (<4>, <2>), (<4>, <6>), (<0>, <2>), (<0>, <5>), (<0>, <4>), (<3>, <2>), (<3>, <1>), (<3>, <4>), (<5>, <4>), (<5>, <2>), (<5>, <1>), (<5>, <6>)]","{<2>: [<1>, <6>, <4>, <0>],
<1>: [<0>],
<6>: [<4>, <0>, <3>, <2>, <1>],
<4>: [<0>, <2>, <6>],
<0>: [<2>, <5>, <4>],
<3>: [<2>, <1>, <4>],
<5>: [<4>, <2>, <1>, <6>]}","Node <2> is connected to nodes <1>, <6>, <4>, <0>.
Node <1> is connected to node <0>.
Node <6> is connected to nodes <4>, <0>, <3>, <2>, <1>.
Node <4> is connected to nodes <0>, <2>, <6>.
Node <0> is connected to nodes <2>, <5>, <4>.
Node <3> is connected to nodes <2>, <1>, <4>.
Node <5> is connected to nodes <4>, <2>, <1>, <6>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>]",7,23,True,"Calculate the Jaccard coefficient of node <5> and node <0>. For a directed graph, we consider a node's successors as its neighbors.",0.4000,"Let's calculate the Jaccard coefficient step by step.
The neighbors of node <5>: [<4>, <2>, <1>, <6>].
The neighbors of node <0>: [<2>, <5>, <4>].
The common neighbor set of node <5> and node <0> is: [<2>, <4>], and there are 2 elements.
The union neighbor set of node <5> and node <0> is: [<1>, <2>, <4>, <5>, <6>], and there are 5 elements.
So the Jaccard coefficient is the value of dividing the number of common neighbors by the number of union neighbors, i.e. 2 / 5 = ","('[0.8555, 0.1827, 0.0000, 0.4000]',)",3,8
Jaccard,"[(<4>, <0>), (<4>, <1>), (<4>, <5>), (<1>, <2>), (<5>, <3>)]","{<4>: [<0>, <1>, <5>],
<0>: [<4>],
<1>: [<4>, <2>],
<5>: [<4>, <3>],
<2>: [<1>],
<3>: [<5>]}","Node <4> is connected to nodes <0>, <1>, <5>.
Node <0> is connected to node <4>.
Node <1> is connected to nodes <4>, <2>.
Node <5> is connected to nodes <4>, <3>.
Node <2> is connected to node <1>.
Node <3> is connected to node <5>.","[<0>, <1>, <2>, <3>, <4>, <5>]",6,5,False,Calculate the Jaccard coefficient of node <3> and node <2>.,0.0000,"Let's calculate the Jaccard coefficient step by step.
The neighbors of node <3>: [<5>].
The neighbors of node <2>: [<1>].
The common neighbor set of node <3> and node <2> is: [], and there are 0 elements.
The union neighbor set of node <3> and node <2> is: [<1>, <5>], and there are 2 elements.
So the Jaccard coefficient is the value of dividing the number of common neighbors by the number of union neighbors, i.e. 0 / 2 = ","('[0.5140, 0.2932, 0.0000, 0.3358]',)",2,9
