task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
maximum_flow,"[(3, 2, weight:10), (3, 0, weight:7), (3, 1, weight:1), (2, 0, weight:4), (2, 1, weight:3), (2, 3, weight:5), (0, 1, weight:8), (0, 4, weight:3), (0, 2, weight:9), (1, 4, weight:8), (1, 3, weight:2), (1, 0, weight:0), (4, 0, weight:4)]","{3: [(2, weight:10), (0, weight:7), (1, weight:1)],
2: [(0, weight:4), (1, weight:3), (3, weight:5)],
0: [(1, weight:8), (4, weight:3), (2, weight:9)],
1: [(4, weight:8), (3, weight:2), (0, weight:0)],
4: [(0, weight:4)]}","Node 3 is connected to nodes 2 (weight: 10), 0 (weight: 7), 1 (weight: 1).
Node 2 is connected to nodes 0 (weight: 4), 1 (weight: 3), 3 (weight: 5).
Node 0 is connected to nodes 1 (weight: 8), 4 (weight: 3), 2 (weight: 9).
Node 1 is connected to nodes 4 (weight: 8), 3 (weight: 2), 0 (weight: 0).
Node 4 is connected to node 0 (weight: 4).
","[0, 1, 2, 3, 4]",5,13,True,"Calculate the maximum flow between node 0 and node 2 in this graph. Given a directed graph with capacities assigned to its edges, the maximum flow from a source node to a sink node is the maximum amount of flow that can be sent from the source to the sink, respecting the capacity constraints on each edge. The goal is to find the optimal way to route flow through the network to maximize the flow from source to sink.",11,"Let's solve it step by step. We can use the Edmonds-Karp algorithm. The paths with the corresponding capacity are as follows:
Found augmenting path: [0, 2] with minimum residual capacity of 9. Updated the flow along this path. Total flow: 0+9=9;
Found augmenting path: [0, 1, 3, 2] with minimum residual capacity of 2. Updated the flow along this path. Total flow: 9+2=11;
Thus, the maximum flow from node 0 to node 2 is ","('[0, 17, 11, 14]',)",2,0
maximum_flow,"[(4, 1, weight:7), (4, 5, weight:8), (4, 2, weight:4), (4, 0, weight:0), (1, 0, weight:1), (1, 4, weight:0), (5, 2, weight:7), (5, 3, weight:5), (2, 1, weight:5), (2, 0, weight:10), (2, 5, weight:10), (0, 4, weight:2), (3, 2, weight:8), (3, 0, weight:9)]","{4: [(1, weight:7), (5, weight:8), (2, weight:4), (0, weight:0)],
1: [(0, weight:1), (4, weight:0)],
5: [(2, weight:7), (3, weight:5)],
2: [(1, weight:5), (0, weight:10), (5, weight:10)],
0: [(4, weight:2)],
3: [(2, weight:8), (0, weight:9)]}","Node 4 is connected to nodes 1 (weight: 7), 5 (weight: 8), 2 (weight: 4), 0 (weight: 0).
Node 1 is connected to nodes 0 (weight: 1), 4 (weight: 0).
Node 5 is connected to nodes 2 (weight: 7), 3 (weight: 5).
Node 2 is connected to nodes 1 (weight: 5), 0 (weight: 10), 5 (weight: 10).
Node 0 is connected to node 4 (weight: 2).
Node 3 is connected to nodes 2 (weight: 8), 0 (weight: 9).
","[0, 1, 2, 3, 4, 5]",6,14,True,"Calculate the maximum flow between node 0 and node 1 in this graph. Given a directed graph with capacities assigned to its edges, the maximum flow from a source node to a sink node is the maximum amount of flow that can be sent from the source to the sink, respecting the capacity constraints on each edge. The goal is to find the optimal way to route flow through the network to maximize the flow from source to sink.",2,"Let's solve it step by step. We can use the Edmonds-Karp algorithm. The paths with the corresponding capacity are as follows:
Found augmenting path: [0, 4, 1] with minimum residual capacity of 2. Updated the flow along this path. Total flow: 0+2=2;
Thus, the maximum flow from node 0 to node 1 is ","('[8, 2, 0, 3]',)",1,1
maximum_flow,"[(1, 2, weight:3), (1, 3, weight:3), (1, 6, weight:0), (1, 5, weight:0), (2, 5, weight:4), (2, 0, weight:5), (2, 3, weight:7), (2, 6, weight:4), (2, 1, weight:2), (3, 6, weight:4), (3, 1, weight:2), (3, 5, weight:3), (3, 0, weight:5), (3, 2, weight:0), (5, 0, weight:2), (5, 4, weight:7), (5, 6, weight:8), (5, 1, weight:5), (5, 2, weight:2), (0, 2, weight:9), (0, 5, weight:1), (0, 6, weight:0), (6, 1, weight:4), (6, 0, weight:9), (4, 6, weight:10), (4, 1, weight:7), (4, 2, weight:9), (4, 5, weight:2)]","{1: [(2, weight:3), (3, weight:3), (6, weight:0), (5, weight:0)],
2: [(5, weight:4), (0, weight:5), (3, weight:7), (6, weight:4), (1, weight:2)],
3: [(6, weight:4), (1, weight:2), (5, weight:3), (0, weight:5), (2, weight:0)],
5: [(0, weight:2), (4, weight:7), (6, weight:8), (1, weight:5), (2, weight:2)],
0: [(2, weight:9), (5, weight:1), (6, weight:0)],
6: [(1, weight:4), (0, weight:9)],
4: [(6, weight:10), (1, weight:7), (2, weight:9), (5, weight:2)]}","Node 1 is connected to nodes 2 (weight: 3), 3 (weight: 3), 6 (weight: 0), 5 (weight: 0).
Node 2 is connected to nodes 5 (weight: 4), 0 (weight: 5), 3 (weight: 7), 6 (weight: 4), 1 (weight: 2).
Node 3 is connected to nodes 6 (weight: 4), 1 (weight: 2), 5 (weight: 3), 0 (weight: 5), 2 (weight: 0).
Node 5 is connected to nodes 0 (weight: 2), 4 (weight: 7), 6 (weight: 8), 1 (weight: 5), 2 (weight: 2).
Node 0 is connected to nodes 2 (weight: 9), 5 (weight: 1), 6 (weight: 0).
Node 6 is connected to nodes 1 (weight: 4), 0 (weight: 9).
Node 4 is connected to nodes 6 (weight: 10), 1 (weight: 7), 2 (weight: 9), 5 (weight: 2).
","[0, 1, 2, 3, 4, 5, 6]",7,28,True,"Calculate the maximum flow between node 6 and node 1 in this graph. Given a directed graph with capacities assigned to its edges, the maximum flow from a source node to a sink node is the maximum amount of flow that can be sent from the source to the sink, respecting the capacity constraints on each edge. The goal is to find the optimal way to route flow through the network to maximize the flow from source to sink.",13,"Let's solve it step by step. We can use the Edmonds-Karp algorithm. The paths with the corresponding capacity are as follows:
Found augmenting path: [6, 1] with minimum residual capacity of 4. Updated the flow along this path. Total flow: 0+4=4;
Found augmenting path: [6, 0, 2, 1] with minimum residual capacity of 2. Updated the flow along this path. Total flow: 4+2=6;
Found augmenting path: [6, 0, 5, 1] with minimum residual capacity of 1. Updated the flow along this path. Total flow: 6+1=7;
Found augmenting path: [6, 0, 2, 5, 1] with minimum residual capacity of 4. Updated the flow along this path. Total flow: 7+4=11;
Found augmenting path: [6, 0, 2, 3, 1] with minimum residual capacity of 2. Updated the flow along this path. Total flow: 11+2=13;
Thus, the maximum flow from node 6 to node 1 is ","('[13, 15, 19, 0]',)",0,2
maximum_flow,"[(5, 4, weight:7), (5, 0, weight:2), (5, 6, weight:5), (5, 2, weight:2), (4, 1, weight:2), (4, 6, weight:9), (4, 5, weight:0), (4, 2, weight:0), (4, 3, weight:0), (0, 3, weight:2), (0, 5, weight:0), (6, 2, weight:10), (6, 5, weight:3), (6, 3, weight:7), (6, 1, weight:4), (2, 5, weight:6), (2, 4, weight:10), (2, 0, weight:1), (2, 1, weight:10), (2, 6, weight:0), (1, 6, weight:3), (1, 2, weight:5), (1, 5, weight:10), (3, 2, weight:8), (3, 5, weight:1), (3, 4, weight:3), (3, 0, weight:8)]","{5: [(4, weight:7), (0, weight:2), (6, weight:5), (2, weight:2)],
4: [(1, weight:2), (6, weight:9), (5, weight:0), (2, weight:0), (3, weight:0)],
0: [(3, weight:2), (5, weight:0)],
6: [(2, weight:10), (5, weight:3), (3, weight:7), (1, weight:4)],
2: [(5, weight:6), (4, weight:10), (0, weight:1), (1, weight:10), (6, weight:0)],
1: [(6, weight:3), (2, weight:5), (5, weight:10)],
3: [(2, weight:8), (5, weight:1), (4, weight:3), (0, weight:8)]}","Node 5 is connected to nodes 4 (weight: 7), 0 (weight: 2), 6 (weight: 5), 2 (weight: 2).
Node 4 is connected to nodes 1 (weight: 2), 6 (weight: 9), 5 (weight: 0), 2 (weight: 0), 3 (weight: 0).
Node 0 is connected to nodes 3 (weight: 2), 5 (weight: 0).
Node 6 is connected to nodes 2 (weight: 10), 5 (weight: 3), 3 (weight: 7), 1 (weight: 4).
Node 2 is connected to nodes 5 (weight: 6), 4 (weight: 10), 0 (weight: 1), 1 (weight: 10), 6 (weight: 0).
Node 1 is connected to nodes 6 (weight: 3), 2 (weight: 5), 5 (weight: 10).
Node 3 is connected to nodes 2 (weight: 8), 5 (weight: 1), 4 (weight: 3), 0 (weight: 8).
","[0, 1, 2, 3, 4, 5, 6]",7,27,True,"Calculate the maximum flow between node 5 and node 4 in this graph. Given a directed graph with capacities assigned to its edges, the maximum flow from a source node to a sink node is the maximum amount of flow that can be sent from the source to the sink, respecting the capacity constraints on each edge. The goal is to find the optimal way to route flow through the network to maximize the flow from source to sink.",16,"Let's solve it step by step. We can use the Edmonds-Karp algorithm. The paths with the corresponding capacity are as follows:
Found augmenting path: [5, 4] with minimum residual capacity of 7. Updated the flow along this path. Total flow: 0+7=7;
Found augmenting path: [5, 2, 4] with minimum residual capacity of 2. Updated the flow along this path. Total flow: 7+2=9;
Found augmenting path: [5, 0, 3, 4] with minimum residual capacity of 2. Updated the flow along this path. Total flow: 9+2=11;
Found augmenting path: [5, 6, 2, 4] with minimum residual capacity of 5. Updated the flow along this path. Total flow: 11+5=16;
Thus, the maximum flow from node 5 to node 4 is ","('[26, 18, 0, 16]',)",3,3
maximum_flow,"[(3, 5, weight:9), (3, 2, weight:6), (3, 4, weight:0), (5, 3, weight:2), (5, 0, weight:0), (4, 0, weight:10), (4, 3, weight:6), (0, 1, weight:10), (0, 5, weight:4), (0, 4, weight:0), (1, 2, weight:7), (1, 4, weight:6)]","{3: [(5, weight:9), (2, weight:6), (4, weight:0)],
5: [(3, weight:2), (0, weight:0)],
2: [],
4: [(0, weight:10), (3, weight:6)],
0: [(1, weight:10), (5, weight:4), (4, weight:0)],
1: [(2, weight:7), (4, weight:6)]}","Node 3 is connected to nodes 5 (weight: 9), 2 (weight: 6), 4 (weight: 0).
Node 5 is connected to nodes 3 (weight: 2), 0 (weight: 0).
Node 4 is connected to nodes 0 (weight: 10), 3 (weight: 6).
Node 0 is connected to nodes 1 (weight: 10), 5 (weight: 4), 4 (weight: 0).
Node 1 is connected to nodes 2 (weight: 7), 4 (weight: 6).
","[0, 1, 2, 3, 4, 5]",6,12,True,"Calculate the maximum flow between node 4 and node 5 in this graph. Given a directed graph with capacities assigned to its edges, the maximum flow from a source node to a sink node is the maximum amount of flow that can be sent from the source to the sink, respecting the capacity constraints on each edge. The goal is to find the optimal way to route flow through the network to maximize the flow from source to sink.",10,"Let's solve it step by step. We can use the Edmonds-Karp algorithm. The paths with the corresponding capacity are as follows:
Found augmenting path: [4, 0, 5] with minimum residual capacity of 4. Updated the flow along this path. Total flow: 0+4=4;
Found augmenting path: [4, 3, 5] with minimum residual capacity of 6. Updated the flow along this path. Total flow: 4+6=10;
Thus, the maximum flow from node 4 to node 5 is ","('[16, 0, 13, 10]',)",3,4
maximum_flow,"[(4, 1, weight:2), (4, 3, weight:0), (1, 2, weight:7), (1, 3, weight:0), (1, 4, weight:0), (2, 0, weight:8), (2, 3, weight:3), (2, 1, weight:9), (0, 3, weight:1), (0, 4, weight:2), (0, 2, weight:10), (3, 1, weight:7), (3, 4, weight:1)]","{4: [(1, weight:2), (3, weight:0)],
1: [(2, weight:7), (3, weight:0), (4, weight:0)],
2: [(0, weight:8), (3, weight:3), (1, weight:9)],
0: [(3, weight:1), (4, weight:2), (2, weight:10)],
3: [(1, weight:7), (4, weight:1)]}","Node 4 is connected to nodes 1 (weight: 2), 3 (weight: 0).
Node 1 is connected to nodes 2 (weight: 7), 3 (weight: 0), 4 (weight: 0).
Node 2 is connected to nodes 0 (weight: 8), 3 (weight: 3), 1 (weight: 9).
Node 0 is connected to nodes 3 (weight: 1), 4 (weight: 2), 2 (weight: 10).
Node 3 is connected to nodes 1 (weight: 7), 4 (weight: 1).
","[0, 1, 2, 3, 4]",5,13,True,"Calculate the maximum flow between node 3 and node 1 in this graph. Given a directed graph with capacities assigned to its edges, the maximum flow from a source node to a sink node is the maximum amount of flow that can be sent from the source to the sink, respecting the capacity constraints on each edge. The goal is to find the optimal way to route flow through the network to maximize the flow from source to sink.",8,"Let's solve it step by step. We can use the Edmonds-Karp algorithm. The paths with the corresponding capacity are as follows:
Found augmenting path: [3, 1] with minimum residual capacity of 7. Updated the flow along this path. Total flow: 0+7=7;
Found augmenting path: [3, 4, 1] with minimum residual capacity of 1. Updated the flow along this path. Total flow: 7+1=8;
Thus, the maximum flow from node 3 to node 1 is ","('[0, 14, 12, 8]',)",3,5
maximum_flow,"[(4, 2, weight:8), (4, 0, weight:8), (4, 6, weight:0), (4, 3, weight:0), (2, 0, weight:7), (2, 5, weight:3), (2, 6, weight:10), (2, 3, weight:0), (0, 5, weight:5), (0, 6, weight:7), (0, 4, weight:4), (0, 2, weight:1), (0, 1, weight:0), (5, 6, weight:9), (5, 1, weight:6), (5, 3, weight:2), (5, 0, weight:6), (6, 3, weight:2), (6, 4, weight:6), (6, 5, weight:10), (1, 3, weight:5), (1, 4, weight:3), (1, 0, weight:7), (1, 6, weight:6), (1, 5, weight:0), (3, 4, weight:5), (3, 2, weight:3), (3, 5, weight:2), (3, 6, weight:0)]","{4: [(2, weight:8), (0, weight:8), (6, weight:0), (3, weight:0)],
2: [(0, weight:7), (5, weight:3), (6, weight:10), (3, weight:0)],
0: [(5, weight:5), (6, weight:7), (4, weight:4), (2, weight:1), (1, weight:0)],
5: [(6, weight:9), (1, weight:6), (3, weight:2), (0, weight:6)],
6: [(3, weight:2), (4, weight:6), (5, weight:10)],
1: [(3, weight:5), (4, weight:3), (0, weight:7), (6, weight:6), (5, weight:0)],
3: [(4, weight:5), (2, weight:3), (5, weight:2), (6, weight:0)]}","Node 4 is connected to nodes 2 (weight: 8), 0 (weight: 8), 6 (weight: 0), 3 (weight: 0).
Node 2 is connected to nodes 0 (weight: 7), 5 (weight: 3), 6 (weight: 10), 3 (weight: 0).
Node 0 is connected to nodes 5 (weight: 5), 6 (weight: 7), 4 (weight: 4), 2 (weight: 1), 1 (weight: 0).
Node 5 is connected to nodes 6 (weight: 9), 1 (weight: 6), 3 (weight: 2), 0 (weight: 6).
Node 6 is connected to nodes 3 (weight: 2), 4 (weight: 6), 5 (weight: 10).
Node 1 is connected to nodes 3 (weight: 5), 4 (weight: 3), 0 (weight: 7), 6 (weight: 6), 5 (weight: 0).
Node 3 is connected to nodes 4 (weight: 5), 2 (weight: 3), 5 (weight: 2), 6 (weight: 0).
","[0, 1, 2, 3, 4, 5, 6]",7,29,True,"Calculate the maximum flow between node 5 and node 0 in this graph. Given a directed graph with capacities assigned to its edges, the maximum flow from a source node to a sink node is the maximum amount of flow that can be sent from the source to the sink, respecting the capacity constraints on each edge. The goal is to find the optimal way to route flow through the network to maximize the flow from source to sink.",22,"Let's solve it step by step. We can use the Edmonds-Karp algorithm. The paths with the corresponding capacity are as follows:
Found augmenting path: [5, 0] with minimum residual capacity of 6. Updated the flow along this path. Total flow: 0+6=6;
Found augmenting path: [5, 1, 0] with minimum residual capacity of 6. Updated the flow along this path. Total flow: 6+6=12;
Found augmenting path: [5, 6, 4, 0] with minimum residual capacity of 6. Updated the flow along this path. Total flow: 12+6=18;
Found augmenting path: [5, 3, 4, 0] with minimum residual capacity of 2. Updated the flow along this path. Total flow: 18+2=20;
Found augmenting path: [5, 6, 3, 2, 0] with minimum residual capacity of 2. Updated the flow along this path. Total flow: 20+2=22;
Thus, the maximum flow from node 5 to node 0 is ","('[0, 32, 31, 22]',)",3,6
maximum_flow,"[(3, 0, weight:6), (3, 4, weight:0), (3, 1, weight:0), (2, 0, weight:7), (5, 0, weight:1), (5, 3, weight:1), (5, 2, weight:9), (1, 0, weight:9), (1, 3, weight:8), (1, 2, weight:10), (1, 5, weight:3), (1, 4, weight:0), (4, 0, weight:6), (4, 3, weight:7), (4, 1, weight:5)]","{3: [(0, weight:6), (4, weight:0), (1, weight:0)],
0: [],
2: [(0, weight:7)],
5: [(0, weight:1), (3, weight:1), (2, weight:9)],
1: [(0, weight:9), (3, weight:8), (2, weight:10), (5, weight:3), (4, weight:0)],
4: [(0, weight:6), (3, weight:7), (1, weight:5)]}","Node 3 is connected to nodes 0 (weight: 6), 4 (weight: 0), 1 (weight: 0).
Node 2 is connected to node 0 (weight: 7).
Node 5 is connected to nodes 0 (weight: 1), 3 (weight: 1), 2 (weight: 9).
Node 1 is connected to nodes 0 (weight: 9), 3 (weight: 8), 2 (weight: 10), 5 (weight: 3), 4 (weight: 0).
Node 4 is connected to nodes 0 (weight: 6), 3 (weight: 7), 1 (weight: 5).
","[0, 1, 2, 3, 4, 5]",6,15,True,"Calculate the maximum flow between node 4 and node 3 in this graph. Given a directed graph with capacities assigned to its edges, the maximum flow from a source node to a sink node is the maximum amount of flow that can be sent from the source to the sink, respecting the capacity constraints on each edge. The goal is to find the optimal way to route flow through the network to maximize the flow from source to sink.",12,"Let's solve it step by step. We can use the Edmonds-Karp algorithm. The paths with the corresponding capacity are as follows:
Found augmenting path: [4, 3] with minimum residual capacity of 7. Updated the flow along this path. Total flow: 0+7=7;
Found augmenting path: [4, 1, 3] with minimum residual capacity of 5. Updated the flow along this path. Total flow: 7+5=12;
Thus, the maximum flow from node 4 to node 3 is ","('[17, 16, 0, 12]',)",3,7
maximum_flow,"[(3, 4, weight:8), (3, 0, weight:7), (3, 2, weight:4), (3, 1, weight:7), (4, 0, weight:6), (4, 2, weight:5), (4, 1, weight:0), (0, 2, weight:1), (0, 4, weight:7), (2, 1, weight:5), (2, 0, weight:0), (1, 4, weight:9), (1, 2, weight:0)]","{3: [(4, weight:8), (0, weight:7), (2, weight:4), (1, weight:7)],
4: [(0, weight:6), (2, weight:5), (1, weight:0)],
0: [(2, weight:1), (4, weight:7)],
2: [(1, weight:5), (0, weight:0)],
1: [(4, weight:9), (2, weight:0)]}","Node 3 is connected to nodes 4 (weight: 8), 0 (weight: 7), 2 (weight: 4), 1 (weight: 7).
Node 4 is connected to nodes 0 (weight: 6), 2 (weight: 5), 1 (weight: 0).
Node 0 is connected to nodes 2 (weight: 1), 4 (weight: 7).
Node 2 is connected to nodes 1 (weight: 5), 0 (weight: 0).
Node 1 is connected to nodes 4 (weight: 9), 2 (weight: 0).
","[0, 1, 2, 3, 4]",5,13,True,"Calculate the maximum flow between node 0 and node 4 in this graph. Given a directed graph with capacities assigned to its edges, the maximum flow from a source node to a sink node is the maximum amount of flow that can be sent from the source to the sink, respecting the capacity constraints on each edge. The goal is to find the optimal way to route flow through the network to maximize the flow from source to sink.",8,"Let's solve it step by step. We can use the Edmonds-Karp algorithm. The paths with the corresponding capacity are as follows:
Found augmenting path: [0, 4] with minimum residual capacity of 7. Updated the flow along this path. Total flow: 0+7=7;
Found augmenting path: [0, 2, 1, 4] with minimum residual capacity of 1. Updated the flow along this path. Total flow: 7+1=8;
Thus, the maximum flow from node 0 to node 4 is ","('[8, 14, 0, 16]',)",0,8
maximum_flow,"[(4, 3, weight:2), (4, 2, weight:0), (4, 0, weight:0), (3, 2, weight:8), (3, 0, weight:7), (2, 4, weight:5), (2, 0, weight:4), (0, 3, weight:6), (0, 2, weight:1), (0, 4, weight:7), (1, 0, weight:5)]","{4: [(3, weight:2), (2, weight:0), (0, weight:0)],
3: [(2, weight:8), (0, weight:7)],
2: [(4, weight:5), (0, weight:4)],
0: [(3, weight:6), (2, weight:1), (4, weight:7)],
1: [(0, weight:5)]}","Node 4 is connected to nodes 3 (weight: 2), 2 (weight: 0), 0 (weight: 0).
Node 3 is connected to nodes 2 (weight: 8), 0 (weight: 7).
Node 2 is connected to nodes 4 (weight: 5), 0 (weight: 4).
Node 0 is connected to nodes 3 (weight: 6), 2 (weight: 1), 4 (weight: 7).
Node 1 is connected to node 0 (weight: 5).
","[0, 1, 2, 3, 4]",5,11,True,"Calculate the maximum flow between node 2 and node 4 in this graph. Given a directed graph with capacities assigned to its edges, the maximum flow from a source node to a sink node is the maximum amount of flow that can be sent from the source to the sink, respecting the capacity constraints on each edge. The goal is to find the optimal way to route flow through the network to maximize the flow from source to sink.",9,"Let's solve it step by step. We can use the Edmonds-Karp algorithm. The paths with the corresponding capacity are as follows:
Found augmenting path: [2, 4] with minimum residual capacity of 5. Updated the flow along this path. Total flow: 0+5=5;
Found augmenting path: [2, 0, 4] with minimum residual capacity of 4. Updated the flow along this path. Total flow: 5+4=9;
Thus, the maximum flow from node 2 to node 4 is ","('[18, 9, 0, 17]',)",1,9
