task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
maximum_flow,"[(QUY, VHX, weight:10), (QUY, XHL, weight:7), (QUY, FQJ, weight:1), (VHX, XHL, weight:4), (VHX, FQJ, weight:3), (VHX, QUY, weight:5), (XHL, FQJ, weight:8), (XHL, VPU, weight:3), (XHL, VHX, weight:9), (FQJ, VPU, weight:8), (FQJ, QUY, weight:2), (FQJ, XHL, weight:0), (VPU, XHL, weight:4)]","{QUY: [(VHX, weight:10), (XHL, weight:7), (FQJ, weight:1)],
VHX: [(XHL, weight:4), (FQJ, weight:3), (QUY, weight:5)],
XHL: [(FQJ, weight:8), (VPU, weight:3), (VHX, weight:9)],
FQJ: [(VPU, weight:8), (QUY, weight:2), (XHL, weight:0)],
VPU: [(XHL, weight:4)]}","Node QUY is connected to nodes VHX (weight: 10), XHL (weight: 7), FQJ (weight: 1).
Node VHX is connected to nodes XHL (weight: 4), FQJ (weight: 3), QUY (weight: 5).
Node XHL is connected to nodes FQJ (weight: 8), VPU (weight: 3), VHX (weight: 9).
Node FQJ is connected to nodes VPU (weight: 8), QUY (weight: 2), XHL (weight: 0).
Node VPU is connected to node XHL (weight: 4).
","[XHL, FQJ, VHX, QUY, VPU]",5,13,True,"Calculate the maximum flow between node XHL and node VHX in this graph. Given a directed graph with capacities assigned to its edges, the maximum flow from a source node to a sink node is the maximum amount of flow that can be sent from the source to the sink, respecting the capacity constraints on each edge. The goal is to find the optimal way to route flow through the network to maximize the flow from source to sink.",11,"Let's solve it step by step. We can use the Edmonds-Karp algorithm. The paths with the corresponding capacity are as follows:
Found augmenting path: [XHL, VHX] with minimum residual capacity of 9. Updated the flow along this path. Total flow: 0+9=9;
Found augmenting path: [XHL, FQJ, QUY, VHX] with minimum residual capacity of 2. Updated the flow along this path. Total flow: 9+2=11;
Thus, the maximum flow from node XHL to node VHX is ","('[0, 17, 11, 14]',)",2,0
maximum_flow,"[(SRJ, GXO, weight:7), (SRJ, OGI, weight:8), (SRJ, IZK, weight:4), (SRJ, YKF, weight:0), (GXO, YKF, weight:1), (GXO, SRJ, weight:0), (OGI, IZK, weight:7), (OGI, YYL, weight:5), (IZK, GXO, weight:5), (IZK, YKF, weight:10), (IZK, OGI, weight:10), (YKF, SRJ, weight:2), (YYL, IZK, weight:8), (YYL, YKF, weight:9)]","{SRJ: [(GXO, weight:7), (OGI, weight:8), (IZK, weight:4), (YKF, weight:0)],
GXO: [(YKF, weight:1), (SRJ, weight:0)],
OGI: [(IZK, weight:7), (YYL, weight:5)],
IZK: [(GXO, weight:5), (YKF, weight:10), (OGI, weight:10)],
YKF: [(SRJ, weight:2)],
YYL: [(IZK, weight:8), (YKF, weight:9)]}","Node SRJ is connected to nodes GXO (weight: 7), OGI (weight: 8), IZK (weight: 4), YKF (weight: 0).
Node GXO is connected to nodes YKF (weight: 1), SRJ (weight: 0).
Node OGI is connected to nodes IZK (weight: 7), YYL (weight: 5).
Node IZK is connected to nodes GXO (weight: 5), YKF (weight: 10), OGI (weight: 10).
Node YKF is connected to node SRJ (weight: 2).
Node YYL is connected to nodes IZK (weight: 8), YKF (weight: 9).
","[YKF, GXO, IZK, YYL, SRJ, OGI]",6,14,True,"Calculate the maximum flow between node YKF and node GXO in this graph. Given a directed graph with capacities assigned to its edges, the maximum flow from a source node to a sink node is the maximum amount of flow that can be sent from the source to the sink, respecting the capacity constraints on each edge. The goal is to find the optimal way to route flow through the network to maximize the flow from source to sink.",2,"Let's solve it step by step. We can use the Edmonds-Karp algorithm. The paths with the corresponding capacity are as follows:
Found augmenting path: [YKF, SRJ, GXO] with minimum residual capacity of 2. Updated the flow along this path. Total flow: 0+2=2;
Thus, the maximum flow from node YKF to node GXO is ","('[8, 2, 0, 3]',)",1,1
maximum_flow,"[(FWX, RRX, weight:3), (FWX, UOI, weight:3), (FWX, UFL, weight:0), (FWX, XDZ, weight:0), (RRX, XDZ, weight:4), (RRX, NUX, weight:5), (RRX, UOI, weight:7), (RRX, UFL, weight:4), (RRX, FWX, weight:2), (UOI, UFL, weight:4), (UOI, FWX, weight:2), (UOI, XDZ, weight:3), (UOI, NUX, weight:5), (UOI, RRX, weight:0), (XDZ, NUX, weight:2), (XDZ, JWZ, weight:7), (XDZ, UFL, weight:8), (XDZ, FWX, weight:5), (XDZ, RRX, weight:2), (NUX, RRX, weight:9), (NUX, XDZ, weight:1), (NUX, UFL, weight:0), (UFL, FWX, weight:4), (UFL, NUX, weight:9), (JWZ, UFL, weight:10), (JWZ, FWX, weight:7), (JWZ, RRX, weight:9), (JWZ, XDZ, weight:2)]","{FWX: [(RRX, weight:3), (UOI, weight:3), (UFL, weight:0), (XDZ, weight:0)],
RRX: [(XDZ, weight:4), (NUX, weight:5), (UOI, weight:7), (UFL, weight:4), (FWX, weight:2)],
UOI: [(UFL, weight:4), (FWX, weight:2), (XDZ, weight:3), (NUX, weight:5), (RRX, weight:0)],
XDZ: [(NUX, weight:2), (JWZ, weight:7), (UFL, weight:8), (FWX, weight:5), (RRX, weight:2)],
NUX: [(RRX, weight:9), (XDZ, weight:1), (UFL, weight:0)],
UFL: [(FWX, weight:4), (NUX, weight:9)],
JWZ: [(UFL, weight:10), (FWX, weight:7), (RRX, weight:9), (XDZ, weight:2)]}","Node FWX is connected to nodes RRX (weight: 3), UOI (weight: 3), UFL (weight: 0), XDZ (weight: 0).
Node RRX is connected to nodes XDZ (weight: 4), NUX (weight: 5), UOI (weight: 7), UFL (weight: 4), FWX (weight: 2).
Node UOI is connected to nodes UFL (weight: 4), FWX (weight: 2), XDZ (weight: 3), NUX (weight: 5), RRX (weight: 0).
Node XDZ is connected to nodes NUX (weight: 2), JWZ (weight: 7), UFL (weight: 8), FWX (weight: 5), RRX (weight: 2).
Node NUX is connected to nodes RRX (weight: 9), XDZ (weight: 1), UFL (weight: 0).
Node UFL is connected to nodes FWX (weight: 4), NUX (weight: 9).
Node JWZ is connected to nodes UFL (weight: 10), FWX (weight: 7), RRX (weight: 9), XDZ (weight: 2).
","[NUX, FWX, RRX, UOI, JWZ, XDZ, UFL]",7,28,True,"Calculate the maximum flow between node UFL and node FWX in this graph. Given a directed graph with capacities assigned to its edges, the maximum flow from a source node to a sink node is the maximum amount of flow that can be sent from the source to the sink, respecting the capacity constraints on each edge. The goal is to find the optimal way to route flow through the network to maximize the flow from source to sink.",13,"Let's solve it step by step. We can use the Edmonds-Karp algorithm. The paths with the corresponding capacity are as follows:
Found augmenting path: [UFL, FWX] with minimum residual capacity of 4. Updated the flow along this path. Total flow: 0+4=4;
Found augmenting path: [UFL, NUX, RRX, FWX] with minimum residual capacity of 2. Updated the flow along this path. Total flow: 4+2=6;
Found augmenting path: [UFL, NUX, XDZ, FWX] with minimum residual capacity of 1. Updated the flow along this path. Total flow: 6+1=7;
Found augmenting path: [UFL, NUX, RRX, XDZ, FWX] with minimum residual capacity of 4. Updated the flow along this path. Total flow: 7+4=11;
Found augmenting path: [UFL, NUX, RRX, UOI, FWX] with minimum residual capacity of 2. Updated the flow along this path. Total flow: 11+2=13;
Thus, the maximum flow from node UFL to node FWX is ","('[13, 15, 19, 0]',)",0,2
maximum_flow,"[(ZFE, SMS, weight:7), (ZFE, UWU, weight:2), (ZFE, MCQ, weight:5), (ZFE, ZXQ, weight:2), (SMS, SUJ, weight:2), (SMS, MCQ, weight:9), (SMS, ZFE, weight:0), (SMS, ZXQ, weight:0), (SMS, XYN, weight:0), (UWU, XYN, weight:2), (UWU, ZFE, weight:0), (MCQ, ZXQ, weight:10), (MCQ, ZFE, weight:3), (MCQ, XYN, weight:7), (MCQ, SUJ, weight:4), (ZXQ, ZFE, weight:6), (ZXQ, SMS, weight:10), (ZXQ, UWU, weight:1), (ZXQ, SUJ, weight:10), (ZXQ, MCQ, weight:0), (SUJ, MCQ, weight:3), (SUJ, ZXQ, weight:5), (SUJ, ZFE, weight:10), (XYN, ZXQ, weight:8), (XYN, ZFE, weight:1), (XYN, SMS, weight:3), (XYN, UWU, weight:8)]","{ZFE: [(SMS, weight:7), (UWU, weight:2), (MCQ, weight:5), (ZXQ, weight:2)],
SMS: [(SUJ, weight:2), (MCQ, weight:9), (ZFE, weight:0), (ZXQ, weight:0), (XYN, weight:0)],
UWU: [(XYN, weight:2), (ZFE, weight:0)],
MCQ: [(ZXQ, weight:10), (ZFE, weight:3), (XYN, weight:7), (SUJ, weight:4)],
ZXQ: [(ZFE, weight:6), (SMS, weight:10), (UWU, weight:1), (SUJ, weight:10), (MCQ, weight:0)],
SUJ: [(MCQ, weight:3), (ZXQ, weight:5), (ZFE, weight:10)],
XYN: [(ZXQ, weight:8), (ZFE, weight:1), (SMS, weight:3), (UWU, weight:8)]}","Node ZFE is connected to nodes SMS (weight: 7), UWU (weight: 2), MCQ (weight: 5), ZXQ (weight: 2).
Node SMS is connected to nodes SUJ (weight: 2), MCQ (weight: 9), ZFE (weight: 0), ZXQ (weight: 0), XYN (weight: 0).
Node UWU is connected to nodes XYN (weight: 2), ZFE (weight: 0).
Node MCQ is connected to nodes ZXQ (weight: 10), ZFE (weight: 3), XYN (weight: 7), SUJ (weight: 4).
Node ZXQ is connected to nodes ZFE (weight: 6), SMS (weight: 10), UWU (weight: 1), SUJ (weight: 10), MCQ (weight: 0).
Node SUJ is connected to nodes MCQ (weight: 3), ZXQ (weight: 5), ZFE (weight: 10).
Node XYN is connected to nodes ZXQ (weight: 8), ZFE (weight: 1), SMS (weight: 3), UWU (weight: 8).
","[UWU, SUJ, ZXQ, XYN, SMS, ZFE, MCQ]",7,27,True,"Calculate the maximum flow between node ZFE and node SMS in this graph. Given a directed graph with capacities assigned to its edges, the maximum flow from a source node to a sink node is the maximum amount of flow that can be sent from the source to the sink, respecting the capacity constraints on each edge. The goal is to find the optimal way to route flow through the network to maximize the flow from source to sink.",16,"Let's solve it step by step. We can use the Edmonds-Karp algorithm. The paths with the corresponding capacity are as follows:
Found augmenting path: [ZFE, SMS] with minimum residual capacity of 7. Updated the flow along this path. Total flow: 0+7=7;
Found augmenting path: [ZFE, ZXQ, SMS] with minimum residual capacity of 2. Updated the flow along this path. Total flow: 7+2=9;
Found augmenting path: [ZFE, UWU, XYN, SMS] with minimum residual capacity of 2. Updated the flow along this path. Total flow: 9+2=11;
Found augmenting path: [ZFE, MCQ, ZXQ, SMS] with minimum residual capacity of 5. Updated the flow along this path. Total flow: 11+5=16;
Thus, the maximum flow from node ZFE to node SMS is ","('[26, 18, 0, 16]',)",3,3
maximum_flow,"[(ARR, VON, weight:9), (ARR, URX, weight:6), (ARR, AON, weight:0), (VON, ARR, weight:2), (VON, HUL, weight:0), (AON, HUL, weight:10), (AON, ARR, weight:6), (HUL, XUV, weight:10), (HUL, VON, weight:4), (HUL, AON, weight:0), (XUV, URX, weight:7), (XUV, AON, weight:6)]","{ARR: [(VON, weight:9), (URX, weight:6), (AON, weight:0)],
VON: [(ARR, weight:2), (HUL, weight:0)],
URX: [],
AON: [(HUL, weight:10), (ARR, weight:6)],
HUL: [(XUV, weight:10), (VON, weight:4), (AON, weight:0)],
XUV: [(URX, weight:7), (AON, weight:6)]}","Node ARR is connected to nodes VON (weight: 9), URX (weight: 6), AON (weight: 0).
Node VON is connected to nodes ARR (weight: 2), HUL (weight: 0).
Node AON is connected to nodes HUL (weight: 10), ARR (weight: 6).
Node HUL is connected to nodes XUV (weight: 10), VON (weight: 4), AON (weight: 0).
Node XUV is connected to nodes URX (weight: 7), AON (weight: 6).
","[HUL, XUV, URX, ARR, AON, VON]",6,12,True,"Calculate the maximum flow between node AON and node VON in this graph. Given a directed graph with capacities assigned to its edges, the maximum flow from a source node to a sink node is the maximum amount of flow that can be sent from the source to the sink, respecting the capacity constraints on each edge. The goal is to find the optimal way to route flow through the network to maximize the flow from source to sink.",10,"Let's solve it step by step. We can use the Edmonds-Karp algorithm. The paths with the corresponding capacity are as follows:
Found augmenting path: [AON, HUL, VON] with minimum residual capacity of 4. Updated the flow along this path. Total flow: 0+4=4;
Found augmenting path: [AON, ARR, VON] with minimum residual capacity of 6. Updated the flow along this path. Total flow: 4+6=10;
Thus, the maximum flow from node AON to node VON is ","('[16, 0, 13, 10]',)",3,4
maximum_flow,"[(MNA, XZC, weight:2), (MNA, XUK, weight:0), (XZC, OCS, weight:7), (XZC, XUK, weight:0), (XZC, MNA, weight:0), (OCS, OIR, weight:8), (OCS, XUK, weight:3), (OCS, XZC, weight:9), (OIR, XUK, weight:1), (OIR, MNA, weight:2), (OIR, OCS, weight:10), (XUK, XZC, weight:7), (XUK, MNA, weight:1)]","{MNA: [(XZC, weight:2), (XUK, weight:0)],
XZC: [(OCS, weight:7), (XUK, weight:0), (MNA, weight:0)],
OCS: [(OIR, weight:8), (XUK, weight:3), (XZC, weight:9)],
OIR: [(XUK, weight:1), (MNA, weight:2), (OCS, weight:10)],
XUK: [(XZC, weight:7), (MNA, weight:1)]}","Node MNA is connected to nodes XZC (weight: 2), XUK (weight: 0).
Node XZC is connected to nodes OCS (weight: 7), XUK (weight: 0), MNA (weight: 0).
Node OCS is connected to nodes OIR (weight: 8), XUK (weight: 3), XZC (weight: 9).
Node OIR is connected to nodes XUK (weight: 1), MNA (weight: 2), OCS (weight: 10).
Node XUK is connected to nodes XZC (weight: 7), MNA (weight: 1).
","[OIR, XZC, OCS, XUK, MNA]",5,13,True,"Calculate the maximum flow between node XUK and node XZC in this graph. Given a directed graph with capacities assigned to its edges, the maximum flow from a source node to a sink node is the maximum amount of flow that can be sent from the source to the sink, respecting the capacity constraints on each edge. The goal is to find the optimal way to route flow through the network to maximize the flow from source to sink.",8,"Let's solve it step by step. We can use the Edmonds-Karp algorithm. The paths with the corresponding capacity are as follows:
Found augmenting path: [XUK, XZC] with minimum residual capacity of 7. Updated the flow along this path. Total flow: 0+7=7;
Found augmenting path: [XUK, MNA, XZC] with minimum residual capacity of 1. Updated the flow along this path. Total flow: 7+1=8;
Thus, the maximum flow from node XUK to node XZC is ","('[0, 14, 12, 8]',)",3,5
maximum_flow,"[(JVB, WWB, weight:8), (JVB, NZV, weight:8), (JVB, HLL, weight:0), (JVB, BVM, weight:0), (WWB, NZV, weight:7), (WWB, SCR, weight:3), (WWB, HLL, weight:10), (WWB, BVM, weight:0), (NZV, SCR, weight:5), (NZV, HLL, weight:7), (NZV, JVB, weight:4), (NZV, WWB, weight:1), (NZV, XEG, weight:0), (SCR, HLL, weight:9), (SCR, XEG, weight:6), (SCR, BVM, weight:2), (SCR, NZV, weight:6), (HLL, BVM, weight:2), (HLL, JVB, weight:6), (HLL, SCR, weight:10), (XEG, BVM, weight:5), (XEG, JVB, weight:3), (XEG, NZV, weight:7), (XEG, HLL, weight:6), (XEG, SCR, weight:0), (BVM, JVB, weight:5), (BVM, WWB, weight:3), (BVM, SCR, weight:2), (BVM, HLL, weight:0)]","{JVB: [(WWB, weight:8), (NZV, weight:8), (HLL, weight:0), (BVM, weight:0)],
WWB: [(NZV, weight:7), (SCR, weight:3), (HLL, weight:10), (BVM, weight:0)],
NZV: [(SCR, weight:5), (HLL, weight:7), (JVB, weight:4), (WWB, weight:1), (XEG, weight:0)],
SCR: [(HLL, weight:9), (XEG, weight:6), (BVM, weight:2), (NZV, weight:6)],
HLL: [(BVM, weight:2), (JVB, weight:6), (SCR, weight:10)],
XEG: [(BVM, weight:5), (JVB, weight:3), (NZV, weight:7), (HLL, weight:6), (SCR, weight:0)],
BVM: [(JVB, weight:5), (WWB, weight:3), (SCR, weight:2), (HLL, weight:0)]}","Node JVB is connected to nodes WWB (weight: 8), NZV (weight: 8), HLL (weight: 0), BVM (weight: 0).
Node WWB is connected to nodes NZV (weight: 7), SCR (weight: 3), HLL (weight: 10), BVM (weight: 0).
Node NZV is connected to nodes SCR (weight: 5), HLL (weight: 7), JVB (weight: 4), WWB (weight: 1), XEG (weight: 0).
Node SCR is connected to nodes HLL (weight: 9), XEG (weight: 6), BVM (weight: 2), NZV (weight: 6).
Node HLL is connected to nodes BVM (weight: 2), JVB (weight: 6), SCR (weight: 10).
Node XEG is connected to nodes BVM (weight: 5), JVB (weight: 3), NZV (weight: 7), HLL (weight: 6), SCR (weight: 0).
Node BVM is connected to nodes JVB (weight: 5), WWB (weight: 3), SCR (weight: 2), HLL (weight: 0).
","[NZV, XEG, WWB, BVM, JVB, SCR, HLL]",7,29,True,"Calculate the maximum flow between node SCR and node NZV in this graph. Given a directed graph with capacities assigned to its edges, the maximum flow from a source node to a sink node is the maximum amount of flow that can be sent from the source to the sink, respecting the capacity constraints on each edge. The goal is to find the optimal way to route flow through the network to maximize the flow from source to sink.",22,"Let's solve it step by step. We can use the Edmonds-Karp algorithm. The paths with the corresponding capacity are as follows:
Found augmenting path: [SCR, NZV] with minimum residual capacity of 6. Updated the flow along this path. Total flow: 0+6=6;
Found augmenting path: [SCR, XEG, NZV] with minimum residual capacity of 6. Updated the flow along this path. Total flow: 6+6=12;
Found augmenting path: [SCR, HLL, JVB, NZV] with minimum residual capacity of 6. Updated the flow along this path. Total flow: 12+6=18;
Found augmenting path: [SCR, BVM, JVB, NZV] with minimum residual capacity of 2. Updated the flow along this path. Total flow: 18+2=20;
Found augmenting path: [SCR, HLL, BVM, WWB, NZV] with minimum residual capacity of 2. Updated the flow along this path. Total flow: 20+2=22;
Thus, the maximum flow from node SCR to node NZV is ","('[0, 32, 31, 22]',)",3,6
maximum_flow,"[(NRG, MML, weight:6), (NRG, LTG, weight:0), (NRG, OXO, weight:0), (QXA, MML, weight:7), (LKA, MML, weight:1), (LKA, NRG, weight:1), (LKA, QXA, weight:9), (OXO, MML, weight:9), (OXO, NRG, weight:8), (OXO, QXA, weight:10), (OXO, LKA, weight:3), (OXO, LTG, weight:0), (LTG, MML, weight:6), (LTG, NRG, weight:7), (LTG, OXO, weight:5)]","{NRG: [(MML, weight:6), (LTG, weight:0), (OXO, weight:0)],
MML: [],
QXA: [(MML, weight:7)],
LKA: [(MML, weight:1), (NRG, weight:1), (QXA, weight:9)],
OXO: [(MML, weight:9), (NRG, weight:8), (QXA, weight:10), (LKA, weight:3), (LTG, weight:0)],
LTG: [(MML, weight:6), (NRG, weight:7), (OXO, weight:5)]}","Node NRG is connected to nodes MML (weight: 6), LTG (weight: 0), OXO (weight: 0).
Node QXA is connected to node MML (weight: 7).
Node LKA is connected to nodes MML (weight: 1), NRG (weight: 1), QXA (weight: 9).
Node OXO is connected to nodes MML (weight: 9), NRG (weight: 8), QXA (weight: 10), LKA (weight: 3), LTG (weight: 0).
Node LTG is connected to nodes MML (weight: 6), NRG (weight: 7), OXO (weight: 5).
","[MML, OXO, QXA, NRG, LTG, LKA]",6,15,True,"Calculate the maximum flow between node LTG and node NRG in this graph. Given a directed graph with capacities assigned to its edges, the maximum flow from a source node to a sink node is the maximum amount of flow that can be sent from the source to the sink, respecting the capacity constraints on each edge. The goal is to find the optimal way to route flow through the network to maximize the flow from source to sink.",12,"Let's solve it step by step. We can use the Edmonds-Karp algorithm. The paths with the corresponding capacity are as follows:
Found augmenting path: [LTG, NRG] with minimum residual capacity of 7. Updated the flow along this path. Total flow: 0+7=7;
Found augmenting path: [LTG, OXO, NRG] with minimum residual capacity of 5. Updated the flow along this path. Total flow: 7+5=12;
Thus, the maximum flow from node LTG to node NRG is ","('[17, 16, 0, 12]',)",3,7
maximum_flow,"[(PCQ, RUN, weight:8), (PCQ, EII, weight:7), (PCQ, TAG, weight:4), (PCQ, JGI, weight:7), (RUN, EII, weight:6), (RUN, TAG, weight:5), (RUN, JGI, weight:0), (EII, TAG, weight:1), (EII, RUN, weight:7), (TAG, JGI, weight:5), (TAG, EII, weight:0), (JGI, RUN, weight:9), (JGI, TAG, weight:0)]","{PCQ: [(RUN, weight:8), (EII, weight:7), (TAG, weight:4), (JGI, weight:7)],
RUN: [(EII, weight:6), (TAG, weight:5), (JGI, weight:0)],
EII: [(TAG, weight:1), (RUN, weight:7)],
TAG: [(JGI, weight:5), (EII, weight:0)],
JGI: [(RUN, weight:9), (TAG, weight:0)]}","Node PCQ is connected to nodes RUN (weight: 8), EII (weight: 7), TAG (weight: 4), JGI (weight: 7).
Node RUN is connected to nodes EII (weight: 6), TAG (weight: 5), JGI (weight: 0).
Node EII is connected to nodes TAG (weight: 1), RUN (weight: 7).
Node TAG is connected to nodes JGI (weight: 5), EII (weight: 0).
Node JGI is connected to nodes RUN (weight: 9), TAG (weight: 0).
","[EII, JGI, TAG, PCQ, RUN]",5,13,True,"Calculate the maximum flow between node EII and node RUN in this graph. Given a directed graph with capacities assigned to its edges, the maximum flow from a source node to a sink node is the maximum amount of flow that can be sent from the source to the sink, respecting the capacity constraints on each edge. The goal is to find the optimal way to route flow through the network to maximize the flow from source to sink.",8,"Let's solve it step by step. We can use the Edmonds-Karp algorithm. The paths with the corresponding capacity are as follows:
Found augmenting path: [EII, RUN] with minimum residual capacity of 7. Updated the flow along this path. Total flow: 0+7=7;
Found augmenting path: [EII, TAG, JGI, RUN] with minimum residual capacity of 1. Updated the flow along this path. Total flow: 7+1=8;
Thus, the maximum flow from node EII to node RUN is ","('[8, 14, 0, 16]',)",0,8
maximum_flow,"[(MHU, TBK, weight:2), (MHU, TWU, weight:0), (MHU, QFU, weight:0), (TBK, TWU, weight:8), (TBK, QFU, weight:7), (TWU, MHU, weight:5), (TWU, QFU, weight:4), (QFU, TBK, weight:6), (QFU, TWU, weight:1), (QFU, MHU, weight:7), (FMR, QFU, weight:5)]","{MHU: [(TBK, weight:2), (TWU, weight:0), (QFU, weight:0)],
TBK: [(TWU, weight:8), (QFU, weight:7)],
TWU: [(MHU, weight:5), (QFU, weight:4)],
QFU: [(TBK, weight:6), (TWU, weight:1), (MHU, weight:7)],
FMR: [(QFU, weight:5)]}","Node MHU is connected to nodes TBK (weight: 2), TWU (weight: 0), QFU (weight: 0).
Node TBK is connected to nodes TWU (weight: 8), QFU (weight: 7).
Node TWU is connected to nodes MHU (weight: 5), QFU (weight: 4).
Node QFU is connected to nodes TBK (weight: 6), TWU (weight: 1), MHU (weight: 7).
Node FMR is connected to node QFU (weight: 5).
","[QFU, FMR, TWU, TBK, MHU]",5,11,True,"Calculate the maximum flow between node TWU and node MHU in this graph. Given a directed graph with capacities assigned to its edges, the maximum flow from a source node to a sink node is the maximum amount of flow that can be sent from the source to the sink, respecting the capacity constraints on each edge. The goal is to find the optimal way to route flow through the network to maximize the flow from source to sink.",9,"Let's solve it step by step. We can use the Edmonds-Karp algorithm. The paths with the corresponding capacity are as follows:
Found augmenting path: [TWU, MHU] with minimum residual capacity of 5. Updated the flow along this path. Total flow: 0+5=5;
Found augmenting path: [TWU, QFU, MHU] with minimum residual capacity of 4. Updated the flow along this path. Total flow: 5+4=9;
Thus, the maximum flow from node TWU to node MHU is ","('[18, 9, 0, 17]',)",1,9
