task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
neighbor,"[(UPW, QDH), (UPW, AMV), (QDH, QNL), (AMV, XOB), (AMV, NJA)]","{UPW: [QDH, AMV],
QDH: [UPW, QNL],
AMV: [UPW, XOB, NJA],
QNL: [QDH],
XOB: [AMV],
NJA: [AMV]}","Node UPW is connected to nodes QDH, AMV.
Node QDH is connected to nodes UPW, QNL.
Node AMV is connected to nodes UPW, XOB, NJA.
Node QNL is connected to node QDH.
Node XOB is connected to node AMV.
Node NJA is connected to node AMV.","[AMV, QDH, QNL, UPW, XOB, NJA]",6,5,False,Which are the neighbor nodes of node AMV? ,"[UPW, XOB, NJA]","Let's solve it step by step.
Node AMV connects to nodes [UPW, XOB, NJA], so the neighbors of node AMV are ","('[[UPW, XOB, NJA], [QDH], [], [QNL, NJA]]',)",0,0
neighbor,"[(WRP, EDY), (WRP, WRB), (EDY, ZMA), (EDY, HWT), (WRB, HFD), (ZMA, HWT)]","{WRP: [EDY, WRB],
EDY: [WRP, ZMA, HWT],
WRB: [WRP, HFD],
ZMA: [EDY, HWT],
HWT: [EDY, ZMA],
HFD: [WRB]}","Node WRP is connected to nodes EDY, WRB.
Node EDY is connected to nodes WRP, ZMA, HWT.
Node WRB is connected to nodes WRP, HFD.
Node ZMA is connected to nodes EDY, HWT.
Node HWT is connected to nodes EDY, ZMA.
Node HFD is connected to node WRB.","[WRB, EDY, HWT, ZMA, WRP, HFD]",6,6,False,Which are the neighbor nodes of node WRP? ,"[EDY, WRB]","Let's solve it step by step.
Node WRP connects to nodes [EDY, WRB], so the neighbors of node WRP are ","('[[WRP, EDY, ZMA, WRB, HFD], [EDY, WRB], [WRB, ZMA, HFD, HWT, WRP], [EDY, WRP, ZMA]]',)",1,1
neighbor,"[(CIP, QIS), (CIP, BAS), (QIS, BAS), (BAS, RGS), (RGS, IYQ), (IYQ, LJI), (LJI, AUE)]","{CIP: [QIS, BAS],
QIS: [CIP, BAS],
BAS: [CIP, QIS, RGS],
RGS: [BAS, IYQ],
IYQ: [RGS, LJI],
LJI: [IYQ, AUE],
AUE: [LJI]}","Node CIP is connected to nodes QIS, BAS.
Node QIS is connected to nodes CIP, BAS.
Node BAS is connected to nodes CIP, QIS, RGS.
Node RGS is connected to nodes BAS, IYQ.
Node IYQ is connected to nodes RGS, LJI.
Node LJI is connected to nodes IYQ, AUE.
Node AUE is connected to node LJI.","[AUE, QIS, BAS, IYQ, RGS, CIP, LJI]",7,7,False,Which are the neighbor nodes of node AUE? ,[LJI],"Let's solve it step by step.
Node AUE connects to nodes [LJI], so the neighbors of node AUE are ","('[[LJI], [CIP], [RGS, IYQ, QIS, BAS], [QIS, AUE, RGS, CIP]]',)",0,2
neighbor,"[(YGL, HUT), (YGL, EGC), (YGL, MXC), (HUT, EGC), (HUT, MXC), (HUT, YGL), (MXC, FLP), (MXC, YGL), (MXC, HUT), (MXC, EGC), (FLP, HUT), (FLP, EGC), (FLP, MXC)]","{YGL: [HUT, EGC, MXC],
HUT: [EGC, MXC, YGL],
EGC: [],
MXC: [FLP, YGL, HUT, EGC],
FLP: [HUT, EGC, MXC]}","Node YGL is connected to nodes HUT, EGC, MXC.
Node HUT is connected to nodes EGC, MXC, YGL.
Node MXC is connected to nodes FLP, YGL, HUT, EGC.
Node FLP is connected to nodes HUT, EGC, MXC.","[EGC, FLP, MXC, YGL, HUT]",5,13,True,"Which are the neighbor nodes of node EGC? In the context of a directed graph, we consider a node's successors as its neighbors. ",[],"Let's solve it step by step.
Node EGC connects to nodes [], so the neighbors of node EGC are ","('[[], [HUT, MXC], [EGC, YGL, HUT], [YGL]]',)",0,3
neighbor,"[(LAQ, PPT), (LAQ, CWC), (PPT, ABF), (CWC, LMX), (CWC, ISQ), (ABF, LMX)]","{LAQ: [PPT, CWC],
PPT: [LAQ, ABF],
CWC: [LAQ, LMX, ISQ],
ABF: [PPT, LMX],
LMX: [CWC, ABF],
ISQ: [CWC]}","Node LAQ is connected to nodes PPT, CWC.
Node PPT is connected to nodes LAQ, ABF.
Node CWC is connected to nodes LAQ, LMX, ISQ.
Node ABF is connected to nodes PPT, LMX.
Node LMX is connected to nodes CWC, ABF.
Node ISQ is connected to node CWC.","[CWC, ISQ, PPT, LMX, LAQ, ABF]",6,6,False,Which are the neighbor nodes of node ABF? ,"[PPT, LMX]","Let's solve it step by step.
Node ABF connects to nodes [PPT, LMX], so the neighbors of node ABF are ","('[[LAQ, ABF, PPT, LMX, ISQ], [PPT, LMX], [PPT, CWC, LAQ], [LAQ, ABF, LMX]]',)",1,4
neighbor,"[(KWY, RZQ), (KWY, SFY), (KWY, RKZ), (RZQ, BCA), (RZQ, SFY), (RZQ, RKZ), (RZQ, KWY), (SFY, KWY), (SFY, RZQ), (SFY, VEK), (SFY, CJU), (RKZ, KWY), (RKZ, RZQ), (BCA, CJU), (BCA, SFY), (BCA, RKZ), (BCA, RZQ), (VEK, BCA), (VEK, RKZ), (VEK, KWY), (CJU, SFY), (CJU, KWY), (CJU, VEK), (CJU, BCA)]","{KWY: [RZQ, SFY, RKZ],
RZQ: [BCA, SFY, RKZ, KWY],
SFY: [KWY, RZQ, VEK, CJU],
RKZ: [KWY, RZQ],
BCA: [CJU, SFY, RKZ, RZQ],
VEK: [BCA, RKZ, KWY],
CJU: [SFY, KWY, VEK, BCA]}","Node KWY is connected to nodes RZQ, SFY, RKZ.
Node RZQ is connected to nodes BCA, SFY, RKZ, KWY.
Node SFY is connected to nodes KWY, RZQ, VEK, CJU.
Node RKZ is connected to nodes KWY, RZQ.
Node BCA is connected to nodes CJU, SFY, RKZ, RZQ.
Node VEK is connected to nodes BCA, RKZ, KWY.
Node CJU is connected to nodes SFY, KWY, VEK, BCA.","[BCA, KWY, RZQ, CJU, RKZ, SFY, VEK]",7,24,True,"Which are the neighbor nodes of node RZQ? In the context of a directed graph, we consider a node's successors as its neighbors. ","[BCA, SFY, RKZ, KWY]","Let's solve it step by step.
Node RZQ connects to nodes [BCA, SFY, RKZ, KWY], so the neighbors of node RZQ are ","('[[SFY, BCA], [BCA, SFY, RKZ, KWY], [VEK, SFY, CJU, KWY], [VEK, RKZ, SFY, KWY, CJU]]',)",1,5
neighbor,"[(FAV, OPH), (FAV, NPD), (FAV, RTY), (FAV, DSQ), (OPH, NPD), (OPH, RTY), (NPD, BAX), (NPD, FAV), (NPD, OPH), (RTY, FAV), (RTY, OPH), (RTY, BAX), (DSQ, FAV), (DSQ, NPD), (BAX, DSQ), (DUZ, OPH), (DUZ, NPD), (DUZ, BAX)]","{FAV: [OPH, NPD, RTY, DSQ],
OPH: [NPD, RTY],
NPD: [BAX, FAV, OPH],
RTY: [FAV, OPH, BAX],
DSQ: [FAV, NPD],
BAX: [DSQ],
DUZ: [OPH, NPD, BAX]}","Node FAV is connected to nodes OPH, NPD, RTY, DSQ.
Node OPH is connected to nodes NPD, RTY.
Node NPD is connected to nodes BAX, FAV, OPH.
Node RTY is connected to nodes FAV, OPH, BAX.
Node DSQ is connected to nodes FAV, NPD.
Node BAX is connected to node DSQ.
Node DUZ is connected to nodes OPH, NPD, BAX.","[FAV, DSQ, OPH, BAX, DUZ, NPD, RTY]",7,18,True,"Which are the neighbor nodes of node FAV? In the context of a directed graph, we consider a node's successors as its neighbors. ","[OPH, NPD, RTY, DSQ]","Let's solve it step by step.
Node FAV connects to nodes [OPH, NPD, RTY, DSQ], so the neighbors of node FAV are ","('[[NPD, BAX, RTY], [OPH, NPD, RTY, DSQ], [FAV], [RTY, DSQ, NPD, OPH, FAV, BAX]]',)",1,6
neighbor,"[(WLN, YUO), (WLN, AWW), (YUO, YWU), (YWU, DYR), (DYR, QBR)]","{WLN: [YUO, AWW],
YUO: [WLN, YWU],
AWW: [WLN],
YWU: [YUO, DYR],
DYR: [QBR, YWU],
QBR: [DYR]}","Node WLN is connected to nodes YUO, AWW.
Node YUO is connected to nodes WLN, YWU.
Node AWW is connected to node WLN.
Node YWU is connected to nodes YUO, DYR.
Node DYR is connected to nodes QBR, YWU.
Node QBR is connected to node DYR.","[QBR, DYR, WLN, YUO, AWW, YWU]",6,5,False,Which are the neighbor nodes of node YWU? ,"[YUO, DYR]","Let's solve it step by step.
Node YWU connects to nodes [YUO, DYR], so the neighbors of node YWU are ","('[[YUO], [DYR, AWW], [WLN, YWU, YUO], [YUO, DYR]]',)",3,7
neighbor,"[(QZB, PSC), (QZB, JNF), (QZB, PXW), (QZB, WLJ), (QZB, EBL), (PSC, PXW), (JNF, ILB), (JNF, WLJ), (WLJ, EBL), (EBL, ILB)]","{QZB: [PSC, JNF, PXW, WLJ, EBL],
PSC: [QZB, PXW],
JNF: [QZB, ILB, WLJ],
PXW: [QZB, PSC],
WLJ: [QZB, EBL, JNF],
EBL: [QZB, ILB, WLJ],
ILB: [EBL, JNF]}","Node QZB is connected to nodes PSC, JNF, PXW, WLJ, EBL.
Node PSC is connected to nodes QZB, PXW.
Node JNF is connected to nodes QZB, ILB, WLJ.
Node PXW is connected to nodes QZB, PSC.
Node WLJ is connected to nodes QZB, EBL, JNF.
Node EBL is connected to nodes QZB, ILB, WLJ.
Node ILB is connected to nodes EBL, JNF.","[WLJ, EBL, PSC, PXW, JNF, QZB, ILB]",7,10,False,Which are the neighbor nodes of node EBL? ,"[QZB, ILB, WLJ]","Let's solve it step by step.
Node EBL connects to nodes [QZB, ILB, WLJ], so the neighbors of node EBL are ","('[[QZB, ILB, WLJ], [JNF, PSC, EBL, ILB, QZB], [], [PXW, ILB, JNF, EBL, QZB, PSC]]',)",0,8
neighbor,"[(DJY, PSR), (DJY, AIM), (PSR, HSF), (PSR, DJY), (AIM, KGJ), (HSF, AIM), (HSF, SYP), (HSF, DJY), (HSF, PSR), (SYP, KGJ), (SYP, AIM), (KGJ, AIM)]","{DJY: [PSR, AIM],
PSR: [HSF, DJY],
AIM: [KGJ],
HSF: [AIM, SYP, DJY, PSR],
SYP: [KGJ, AIM],
KGJ: [AIM]}","Node DJY is connected to nodes PSR, AIM.
Node PSR is connected to nodes HSF, DJY.
Node AIM is connected to node KGJ.
Node HSF is connected to nodes AIM, SYP, DJY, PSR.
Node SYP is connected to nodes KGJ, AIM.
Node KGJ is connected to node AIM.","[HSF, AIM, PSR, DJY, KGJ, SYP]",6,12,True,"Which are the neighbor nodes of node KGJ? In the context of a directed graph, we consider a node's successors as its neighbors. ",[AIM],"Let's solve it step by step.
Node KGJ connects to nodes [AIM], so the neighbors of node KGJ are ","('[[DJY, KGJ], [PSR, DJY, AIM], [AIM], [SYP, DJY]]',)",2,9
