task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
predecessor,"[(ENH, ELC), (ENH, TWP), (ENH, DKL), (ENH, XAS), (ELC, GGD), (ELC, XAS), (ELC, WOU), (DKL, XAS), (DKL, GGD), (DKL, TWP), (XAS, ELC), (WOU, ELC), (WOU, ENH), (GGD, ENH), (GGD, WOU)]","{ENH: [ELC, TWP, DKL, XAS],
ELC: [GGD, XAS, WOU],
TWP: [],
DKL: [XAS, GGD, TWP],
XAS: [ELC],
WOU: [ELC, ENH],
GGD: [ENH, WOU]}","Node ENH is connected to nodes ELC, TWP, DKL, XAS.
Node ELC is connected to nodes GGD, XAS, WOU.
Node DKL is connected to nodes XAS, GGD, TWP.
Node XAS is connected to node ELC.
Node WOU is connected to nodes ELC, ENH.
Node GGD is connected to nodes ENH, WOU.","[XAS, WOU, ENH, TWP, ELC, DKL, GGD]",7,15,True,Which are the predecessor nodes of node TWP? A predecessor of n is a node m such that there exists a directed edge from m to n.,"[ENH, DKL]","Let's solve it step by step.
Nodes [ENH, DKL] connect to node TWP, so the predecessor nodes of node TWP are ","('[[ENH, GGD], [ENH, XAS, TWP, WOU, GGD], [TWP, DKL], [ENH, DKL]]',)",3,0
predecessor,"[(FCL, EUL), (FCL, TLL), (FCL, DQB), (EUL, FCL), (TLL, DQB), (TLL, EUL), (TLL, QEV), (DQB, FCL), (QEV, TLL), (QEV, EUL)]","{FCL: [EUL, TLL, DQB],
EUL: [FCL],
TLL: [DQB, EUL, QEV],
DQB: [FCL],
QEV: [TLL, EUL]}","Node FCL is connected to nodes EUL, TLL, DQB.
Node EUL is connected to node FCL.
Node TLL is connected to nodes DQB, EUL, QEV.
Node DQB is connected to node FCL.
Node QEV is connected to nodes TLL, EUL.","[TLL, FCL, EUL, DQB, QEV]",5,10,True,Which are the predecessor nodes of node TLL? A predecessor of n is a node m such that there exists a directed edge from m to n.,"[FCL, QEV]","Let's solve it step by step.
Nodes [FCL, QEV] connect to node TLL, so the predecessor nodes of node TLL are ","('[[FCL, EUL, QEV, DQB], [DQB, TLL, EUL, FCL], [TLL], [FCL, QEV]]',)",3,1
predecessor,"[(CWT, VFO), (CWT, XJJ), (VFO, XJJ), (VFO, CWT), (XJJ, CWT), (XJJ, VFO), (NSG, UBJ), (NSG, XJJ), (NSG, CWT), (UBJ, XJJ), (UBJ, CWT), (UBJ, VFO)]","{CWT: [VFO, XJJ],
VFO: [XJJ, CWT],
XJJ: [CWT, VFO],
NSG: [UBJ, XJJ, CWT],
UBJ: [XJJ, CWT, VFO]}","Node CWT is connected to nodes VFO, XJJ.
Node VFO is connected to nodes XJJ, CWT.
Node XJJ is connected to nodes CWT, VFO.
Node NSG is connected to nodes UBJ, XJJ, CWT.
Node UBJ is connected to nodes XJJ, CWT, VFO.","[XJJ, NSG, VFO, CWT, UBJ]",5,12,True,Which are the predecessor nodes of node VFO? A predecessor of n is a node m such that there exists a directed edge from m to n.,"[CWT, UBJ, XJJ]","Let's solve it step by step.
Nodes [CWT, UBJ, XJJ] connect to node VFO, so the predecessor nodes of node VFO are ","('[[NSG, CWT, VFO], [], [UBJ, NSG, VFO], [CWT, UBJ, XJJ]]',)",3,2
predecessor,"[(AJE, YBI), (YBI, AJE), (YBI, GOU), (XDE, TMQ), (GOU, YBI), (GOU, TMQ), (KVS, ZYF), (KVS, XDE)]","{AJE: [YBI],
YBI: [AJE, GOU],
XDE: [TMQ],
TMQ: [],
GOU: [YBI, TMQ],
KVS: [ZYF, XDE],
ZYF: []}","Node AJE is connected to node YBI.
Node YBI is connected to nodes AJE, GOU.
Node XDE is connected to node TMQ.
Node GOU is connected to nodes YBI, TMQ.
Node KVS is connected to nodes ZYF, XDE.","[GOU, ZYF, KVS, TMQ, AJE, YBI, XDE]",7,8,True,Which are the predecessor nodes of node XDE? A predecessor of n is a node m such that there exists a directed edge from m to n.,[KVS],"Let's solve it step by step.
Nodes [KVS] connect to node XDE, so the predecessor nodes of node XDE are ","('[[ZYF, KVS, GOU, YBI, TMQ], [AJE, YBI, XDE, KVS], [TMQ, KVS, YBI], [KVS]]',)",3,3
predecessor,"[(YVD, ICW), (YVD, ZVB), (YVD, PDQ), (YVD, BBK), (ICW, ZVB), (ZVB, WXR), (PDQ, BBK), (PDQ, WXR), (BBK, YVD), (BBK, ICW), (BBK, WXR), (BBK, ZVB), (WXR, PDQ), (WXR, YVD)]","{YVD: [ICW, ZVB, PDQ, BBK],
ICW: [ZVB],
ZVB: [WXR],
PDQ: [BBK, WXR],
BBK: [YVD, ICW, WXR, ZVB],
WXR: [PDQ, YVD]}","Node YVD is connected to nodes ICW, ZVB, PDQ, BBK.
Node ICW is connected to node ZVB.
Node ZVB is connected to node WXR.
Node PDQ is connected to nodes BBK, WXR.
Node BBK is connected to nodes YVD, ICW, WXR, ZVB.
Node WXR is connected to nodes PDQ, YVD.","[YVD, PDQ, ICW, ZVB, BBK, WXR]",6,14,True,Which are the predecessor nodes of node YVD? A predecessor of n is a node m such that there exists a directed edge from m to n.,"[WXR, BBK]","Let's solve it step by step.
Nodes [WXR, BBK] connect to node YVD, so the predecessor nodes of node YVD are ","('[[ICW, BBK, ZVB, YVD, WXR], [PDQ, WXR, YVD], [WXR, BBK], [PDQ, BBK]]',)",2,4
predecessor,"[(KRA, ANC), (KRA, FQP), (ANC, JQF), (ANC, UQE), (ANC, FQP), (ANC, KRA), (ANC, GOI), (ANC, FEP), (FQP, KRA), (FQP, JQF), (FQP, UQE), (GOI, FEP), (GOI, ANC), (GOI, JQF), (GOI, UQE), (GOI, KRA), (FEP, ANC), (FEP, UQE), (FEP, FQP), (FEP, GOI), (JQF, UQE), (JQF, GOI), (JQF, ANC), (UQE, FQP), (UQE, KRA), (UQE, GOI)]","{KRA: [ANC, FQP],
ANC: [JQF, UQE, FQP, KRA, GOI, FEP],
FQP: [KRA, JQF, UQE],
GOI: [FEP, ANC, JQF, UQE, KRA],
FEP: [ANC, UQE, FQP, GOI],
JQF: [UQE, GOI, ANC],
UQE: [FQP, KRA, GOI]}","Node KRA is connected to nodes ANC, FQP.
Node ANC is connected to nodes JQF, UQE, FQP, KRA, GOI, FEP.
Node FQP is connected to nodes KRA, JQF, UQE.
Node GOI is connected to nodes FEP, ANC, JQF, UQE, KRA.
Node FEP is connected to nodes ANC, UQE, FQP, GOI.
Node JQF is connected to nodes UQE, GOI, ANC.
Node UQE is connected to nodes FQP, KRA, GOI.","[UQE, ANC, FQP, FEP, JQF, GOI, KRA]",7,26,True,Which are the predecessor nodes of node FQP? A predecessor of n is a node m such that there exists a directed edge from m to n.,"[KRA, FEP, ANC, UQE]","Let's solve it step by step.
Nodes [KRA, FEP, ANC, UQE] connect to node FQP, so the predecessor nodes of node FQP are ","('[[JQF, KRA, FEP, ANC, FQP], [KRA, FEP, ANC, UQE], [FEP, ANC, KRA, FQP], []]',)",1,5
predecessor,"[(MXH, YGW), (MXH, OHE), (YGW, SXC), (YGW, OHE), (YGW, JWZ), (OHE, MXH), (OHE, YGW), (OHE, DWR), (SXC, JWZ), (SXC, DWR), (JWZ, MXH), (JWZ, YGW), (JWZ, DWR), (JWZ, CJH), (JWZ, SXC), (DWR, CJH), (CJH, OHE), (CJH, YGW), (CJH, DWR)]","{MXH: [YGW, OHE],
YGW: [SXC, OHE, JWZ],
OHE: [MXH, YGW, DWR],
SXC: [JWZ, DWR],
JWZ: [MXH, YGW, DWR, CJH, SXC],
DWR: [CJH],
CJH: [OHE, YGW, DWR]}","Node MXH is connected to nodes YGW, OHE.
Node YGW is connected to nodes SXC, OHE, JWZ.
Node OHE is connected to nodes MXH, YGW, DWR.
Node SXC is connected to nodes JWZ, DWR.
Node JWZ is connected to nodes MXH, YGW, DWR, CJH, SXC.
Node DWR is connected to node CJH.
Node CJH is connected to nodes OHE, YGW, DWR.","[JWZ, CJH, MXH, OHE, SXC, YGW, DWR]",7,19,True,Which are the predecessor nodes of node SXC? A predecessor of n is a node m such that there exists a directed edge from m to n.,"[YGW, JWZ]","Let's solve it step by step.
Nodes [YGW, JWZ] connect to node SXC, so the predecessor nodes of node SXC are ","('[[YGW, JWZ], [YGW, MXH, JWZ, CJH], [SXC], [DWR]]',)",0,6
predecessor,"[(GHX, XUX), (GHX, RJK), (XUX, RJK), (XUX, LUJ), (XUX, DPS), (RJK, LUJ), (RJK, DPS), (LUJ, DPS), (LUJ, GHX), (DPS, RJK), (DPS, GHX)]","{GHX: [XUX, RJK],
XUX: [RJK, LUJ, DPS],
RJK: [LUJ, DPS],
LUJ: [DPS, GHX],
DPS: [RJK, GHX]}","Node GHX is connected to nodes XUX, RJK.
Node XUX is connected to nodes RJK, LUJ, DPS.
Node RJK is connected to nodes LUJ, DPS.
Node LUJ is connected to nodes DPS, GHX.
Node DPS is connected to nodes RJK, GHX.","[XUX, LUJ, GHX, DPS, RJK]",5,11,True,Which are the predecessor nodes of node XUX? A predecessor of n is a node m such that there exists a directed edge from m to n.,[GHX],"Let's solve it step by step.
Nodes [GHX] connect to node XUX, so the predecessor nodes of node XUX are ","('[[DPS], [GHX], [RJK, DPS, XUX, GHX], [RJK]]',)",1,7
predecessor,"[(YLD, EQZ), (EQZ, YLD), (KAG, EQZ), (KAG, GIR), (GIR, KAG), (GIR, SNQ), (SNQ, YLD), (SNQ, KAG), (SNQ, EQZ)]","{YLD: [EQZ],
EQZ: [YLD],
KAG: [EQZ, GIR],
GIR: [KAG, SNQ],
SNQ: [YLD, KAG, EQZ]}","Node YLD is connected to node EQZ.
Node EQZ is connected to node YLD.
Node KAG is connected to nodes EQZ, GIR.
Node GIR is connected to nodes KAG, SNQ.
Node SNQ is connected to nodes YLD, KAG, EQZ.","[GIR, KAG, YLD, EQZ, SNQ]",5,9,True,Which are the predecessor nodes of node EQZ? A predecessor of n is a node m such that there exists a directed edge from m to n.,"[YLD, KAG, SNQ]","Let's solve it step by step.
Nodes [YLD, KAG, SNQ] connect to node EQZ, so the predecessor nodes of node EQZ are ","('[[GIR, KAG, EQZ], [YLD, KAG, SNQ], [YLD, SNQ], [YLD, SNQ]]',)",1,8
predecessor,"[(ZYW, EIG), (ZYW, CIH), (ZYW, SHB), (ZYW, ZUP), (EIG, SRD), (EIG, CIH), (EIG, SHB), (EIG, ZUP), (EIG, ZYW), (CIH, ZUP), (CIH, EIG), (CIH, SRD), (SHB, ZUP), (SHB, ZYW), (SHB, EIG), (SHB, SRD), (SHB, CIH), (ZUP, TCA), (ZUP, SRD), (ZUP, CIH), (ZUP, SHB)]","{ZYW: [EIG, CIH, SHB, ZUP],
EIG: [SRD, CIH, SHB, ZUP, ZYW],
CIH: [ZUP, EIG, SRD],
SHB: [ZUP, ZYW, EIG, SRD, CIH],
ZUP: [TCA, SRD, CIH, SHB],
SRD: [],
TCA: []}","Node ZYW is connected to nodes EIG, CIH, SHB, ZUP.
Node EIG is connected to nodes SRD, CIH, SHB, ZUP, ZYW.
Node CIH is connected to nodes ZUP, EIG, SRD.
Node SHB is connected to nodes ZUP, ZYW, EIG, SRD, CIH.
Node ZUP is connected to nodes TCA, SRD, CIH, SHB.","[SRD, ZYW, CIH, ZUP, SHB, EIG, TCA]",7,21,True,Which are the predecessor nodes of node EIG? A predecessor of n is a node m such that there exists a directed edge from m to n.,"[ZYW, CIH, SHB]","Let's solve it step by step.
Nodes [ZYW, CIH, SHB] connect to node EIG, so the predecessor nodes of node EIG are ","('[[ZYW, CIH, SHB], [SRD, TCA, ZUP, CIH, SHB], [CIH, TCA, ZYW, ZUP, SHB, SRD], [EIG]]',)",0,9
