task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
topological_sort,"[(ABZ, VTJ), (RPN, ABZ), (RPN, VLY), (VLY, ABZ), (VLY, AEI), (VLY, YRB), (YRB, AEI), (YRB, VTJ), (YRB, ABZ), (LWJ, RPN), (LWJ, VLY), (LWJ, AEI)]","{ABZ: [VTJ],
VTJ: [],
RPN: [ABZ, VLY],
VLY: [ABZ, AEI, YRB],
AEI: [],
YRB: [AEI, VTJ, ABZ],
LWJ: [RPN, VLY, AEI]}","Node ABZ is connected to node VTJ.
Node RPN is connected to nodes ABZ, VLY.
Node VLY is connected to nodes ABZ, AEI, YRB.
Node YRB is connected to nodes AEI, VTJ, ABZ.
Node LWJ is connected to nodes RPN, VLY, AEI.","[AEI, YRB, VLY, RPN, ABZ, VTJ, LWJ]",7,12,True,"Output the topological sorting of this graph. Topological sorting is a linear ordering of the nodes of a directed acyclic graph (DAG) such that for every directed edge, the source node comes before the end nodes in the ordering.","[LWJ, RPN, VLY, YRB, AEI, ABZ, VTJ]","Let's solve it step by step.
Nodes with 0 in-degree: [LWJ].
Visit node LWJ and remove it from the graph.
Nodes with 0 in-degree: [RPN].
Visit node RPN and remove it from the graph.
Nodes with 0 in-degree: [VLY].
Visit node VLY and remove it from the graph.
Nodes with 0 in-degree: [YRB].
Visit node YRB and remove it from the graph.
Nodes with 0 in-degree: [AEI, ABZ].
Visit node AEI and remove it from the graph.
Nodes with 0 in-degree: [ABZ].
Visit node ABZ and remove it from the graph.
Nodes with 0 in-degree: [VTJ].
Visit node VTJ and remove it from the graph.
So the result of topological sorting is ","('[[LWJ, RPN, ABZ, VTJ, VLY, YRB, AEI], [LWJ, RPN, VLY, AEI, YRB, ABZ, VTJ], [LWJ, RPN, VLY, ABZ, VTJ, YRB, AEI], [LWJ, RPN, VLY, YRB, AEI, ABZ, VTJ]]',)",3,0
topological_sort,"[(MYD, MLO), (MYD, HFN), (MLO, STU), (MLO, HCM), (STU, HCM), (STU, ZWQ), (STU, HFN), (ZWQ, HCM)]","{MYD: [MLO, HFN],
MLO: [STU, HCM],
HFN: [],
STU: [HCM, ZWQ, HFN],
HCM: [],
ZWQ: [HCM]}","Node MYD is connected to nodes MLO, HFN.
Node MLO is connected to nodes STU, HCM.
Node STU is connected to nodes HCM, ZWQ, HFN.
Node ZWQ is connected to node HCM.","[ZWQ, MYD, HCM, STU, HFN, MLO]",6,8,True,"Output the topological sorting of this graph. Topological sorting is a linear ordering of the nodes of a directed acyclic graph (DAG) such that for every directed edge, the source node comes before the end nodes in the ordering.","[MYD, MLO, STU, ZWQ, HFN, HCM]","Let's solve it step by step.
Nodes with 0 in-degree: [MYD].
Visit node MYD and remove it from the graph.
Nodes with 0 in-degree: [MLO].
Visit node MLO and remove it from the graph.
Nodes with 0 in-degree: [STU].
Visit node STU and remove it from the graph.
Nodes with 0 in-degree: [ZWQ, HFN].
Visit node ZWQ and remove it from the graph.
Nodes with 0 in-degree: [HFN, HCM].
Visit node HFN and remove it from the graph.
Nodes with 0 in-degree: [HCM].
Visit node HCM and remove it from the graph.
So the result of topological sorting is ","('[[MYD, MLO, STU, ZWQ, HFN, HCM], [MYD, HCM, ZWQ, MLO, HFN, STU], [MYD, MLO, HFN, HCM, STU, ZWQ], [MYD, MLO, STU, ZWQ, HFN, HCM]]',)",3,1
topological_sort,"[(VWV, GMN), (VWV, RKI), (GMN, RKI), (RKI, PXW), (RKI, XMH), (XMH, PXW)]","{VWV: [GMN, RKI],
GMN: [RKI],
RKI: [PXW, XMH],
PXW: [],
XMH: [PXW]}","Node VWV is connected to nodes GMN, RKI.
Node GMN is connected to node RKI.
Node RKI is connected to nodes PXW, XMH.
Node XMH is connected to node PXW.","[RKI, XMH, VWV, PXW, GMN]",5,6,True,"Output the topological sorting of this graph. Topological sorting is a linear ordering of the nodes of a directed acyclic graph (DAG) such that for every directed edge, the source node comes before the end nodes in the ordering.","[VWV, GMN, RKI, XMH, PXW]","Let's solve it step by step.
Nodes with 0 in-degree: [VWV].
Visit node VWV and remove it from the graph.
Nodes with 0 in-degree: [GMN].
Visit node GMN and remove it from the graph.
Nodes with 0 in-degree: [RKI].
Visit node RKI and remove it from the graph.
Nodes with 0 in-degree: [XMH].
Visit node XMH and remove it from the graph.
Nodes with 0 in-degree: [PXW].
Visit node PXW and remove it from the graph.
So the result of topological sorting is ","('[[VWV, PXW, GMN, XMH, RKI], [VWV, GMN, RKI, XMH, PXW], [VWV, GMN, RKI, XMH, PXW], [VWV, PXW, GMN, RKI, XMH]]',)",1,2
topological_sort,"[(CCU, ZSS), (CCU, ZSE), (JBA, ZSE), (JBA, UMG), (JBA, ZSS), (JBA, CCU)]","{CCU: [ZSS, ZSE],
ZSS: [],
ZSE: [],
JBA: [ZSE, UMG, ZSS, CCU],
UMG: []}","Node CCU is connected to nodes ZSS, ZSE.
Node JBA is connected to nodes ZSE, UMG, ZSS, CCU.","[JBA, ZSS, UMG, CCU, ZSE]",5,6,True,"Output the topological sorting of this graph. Topological sorting is a linear ordering of the nodes of a directed acyclic graph (DAG) such that for every directed edge, the source node comes before the end nodes in the ordering.","[JBA, UMG, CCU, ZSS, ZSE]","Let's solve it step by step.
Nodes with 0 in-degree: [JBA].
Visit node JBA and remove it from the graph.
Nodes with 0 in-degree: [UMG, CCU].
Visit node UMG and remove it from the graph.
Nodes with 0 in-degree: [CCU].
Visit node CCU and remove it from the graph.
Nodes with 0 in-degree: [ZSS, ZSE].
Visit node ZSS and remove it from the graph.
Nodes with 0 in-degree: [ZSE].
Visit node ZSE and remove it from the graph.
So the result of topological sorting is ","('[[JBA, UMG, CCU, ZSS, ZSE], [JBA, UMG, CCU, ZSE, ZSS], [JBA, ZSE, UMG, CCU, ZSS], [JBA, CCU, ZSE, ZSS, UMG]]',)",0,3
topological_sort,"[(GGO, IRD), (GGO, XHW), (GGO, ALL), (ALL, XHW), (ALL, QKH), (CUH, IRD), (CUH, OZE), (CUH, ALL), (CUH, GGO), (OZE, IRD), (OZE, ALL), (QKH, IRD)]","{GGO: [IRD, XHW, ALL],
IRD: [],
XHW: [],
ALL: [XHW, QKH],
CUH: [IRD, OZE, ALL, GGO],
OZE: [IRD, ALL],
QKH: [IRD]}","Node GGO is connected to nodes IRD, XHW, ALL.
Node ALL is connected to nodes XHW, QKH.
Node CUH is connected to nodes IRD, OZE, ALL, GGO.
Node OZE is connected to nodes IRD, ALL.
Node QKH is connected to node IRD.","[XHW, IRD, QKH, CUH, GGO, OZE, ALL]",7,12,True,"Output the topological sorting of this graph. Topological sorting is a linear ordering of the nodes of a directed acyclic graph (DAG) such that for every directed edge, the source node comes before the end nodes in the ordering.","[CUH, OZE, GGO, ALL, XHW, QKH, IRD]","Let's solve it step by step.
Nodes with 0 in-degree: [CUH].
Visit node CUH and remove it from the graph.
Nodes with 0 in-degree: [OZE, GGO].
Visit node OZE and remove it from the graph.
Nodes with 0 in-degree: [GGO].
Visit node GGO and remove it from the graph.
Nodes with 0 in-degree: [ALL].
Visit node ALL and remove it from the graph.
Nodes with 0 in-degree: [XHW, QKH].
Visit node XHW and remove it from the graph.
Nodes with 0 in-degree: [QKH].
Visit node QKH and remove it from the graph.
Nodes with 0 in-degree: [IRD].
Visit node IRD and remove it from the graph.
So the result of topological sorting is ","('[[CUH, OZE, GGO, XHW, IRD, QKH, ALL], [CUH, IRD, OZE, QKH, GGO, ALL, XHW], [CUH, OZE, QKH, IRD, GGO, ALL, XHW], [CUH, OZE, GGO, ALL, XHW, QKH, IRD]]',)",3,4
topological_sort,"[(XGN, CQP), (XGN, NIL), (NIL, CQP), (POI, NIL), (POI, XGN), (JKH, CQP), (JKH, FPE), (JKH, NIL), (JKH, YHS), (FPE, POI), (FPE, NIL), (FPE, XGN), (FPE, YHS), (YHS, XGN), (YHS, CQP)]","{XGN: [CQP, NIL],
CQP: [],
NIL: [CQP],
POI: [NIL, XGN],
JKH: [CQP, FPE, NIL, YHS],
FPE: [POI, NIL, XGN, YHS],
YHS: [XGN, CQP]}","Node XGN is connected to nodes CQP, NIL.
Node NIL is connected to node CQP.
Node POI is connected to nodes NIL, XGN.
Node JKH is connected to nodes CQP, FPE, NIL, YHS.
Node FPE is connected to nodes POI, NIL, XGN, YHS.
Node YHS is connected to nodes XGN, CQP.","[YHS, FPE, NIL, POI, JKH, XGN, CQP]",7,15,True,"Output the topological sorting of this graph. Topological sorting is a linear ordering of the nodes of a directed acyclic graph (DAG) such that for every directed edge, the source node comes before the end nodes in the ordering.","[JKH, FPE, POI, YHS, XGN, NIL, CQP]","Let's solve it step by step.
Nodes with 0 in-degree: [JKH].
Visit node JKH and remove it from the graph.
Nodes with 0 in-degree: [FPE].
Visit node FPE and remove it from the graph.
Nodes with 0 in-degree: [POI, YHS].
Visit node POI and remove it from the graph.
Nodes with 0 in-degree: [YHS].
Visit node YHS and remove it from the graph.
Nodes with 0 in-degree: [XGN].
Visit node XGN and remove it from the graph.
Nodes with 0 in-degree: [NIL].
Visit node NIL and remove it from the graph.
Nodes with 0 in-degree: [CQP].
Visit node CQP and remove it from the graph.
So the result of topological sorting is ","('[[JKH, FPE, NIL, CQP, POI, YHS, XGN], [JKH, FPE, POI, YHS, XGN, NIL, CQP], [JKH, XGN, YHS, POI, NIL, CQP, FPE], [JKH, FPE, POI, XGN, YHS, CQP, NIL]]',)",1,5
topological_sort,"[(UDU, AVT), (UDU, DBV), (UDU, UXG), (AVT, DBV), (WPV, UDU), (WPV, UXG), (WPV, UVI), (UVI, DBV), (UVI, UDU), (UVI, UXG)]","{UDU: [AVT, DBV, UXG],
AVT: [DBV],
DBV: [],
UXG: [],
WPV: [UDU, UXG, UVI],
UVI: [DBV, UDU, UXG]}","Node UDU is connected to nodes AVT, DBV, UXG.
Node AVT is connected to node DBV.
Node WPV is connected to nodes UDU, UXG, UVI.
Node UVI is connected to nodes DBV, UDU, UXG.","[UDU, WPV, UVI, AVT, UXG, DBV]",6,10,True,"Output the topological sorting of this graph. Topological sorting is a linear ordering of the nodes of a directed acyclic graph (DAG) such that for every directed edge, the source node comes before the end nodes in the ordering.","[WPV, UVI, UDU, AVT, UXG, DBV]","Let's solve it step by step.
Nodes with 0 in-degree: [WPV].
Visit node WPV and remove it from the graph.
Nodes with 0 in-degree: [UVI].
Visit node UVI and remove it from the graph.
Nodes with 0 in-degree: [UDU].
Visit node UDU and remove it from the graph.
Nodes with 0 in-degree: [AVT, UXG].
Visit node AVT and remove it from the graph.
Nodes with 0 in-degree: [UXG, DBV].
Visit node UXG and remove it from the graph.
Nodes with 0 in-degree: [DBV].
Visit node DBV and remove it from the graph.
So the result of topological sorting is ","('[[WPV, UVI, UDU, AVT, UXG, DBV], [WPV, UVI, UDU, UXG, DBV, AVT], [WPV, UXG, UVI, AVT, UDU, DBV], [WPV, UVI, UXG, DBV, UDU, AVT]]',)",0,6
topological_sort,"[(MFS, CIO), (MFS, JEZ), (JEZ, CIO), (QEF, GLQ), (QEF, MFS), (QEF, JOP), (QEF, CIO), (GLQ, CIO), (JOP, JEZ)]","{MFS: [CIO, JEZ],
CIO: [],
JEZ: [CIO],
QEF: [GLQ, MFS, JOP, CIO],
GLQ: [CIO],
JOP: [JEZ]}","Node MFS is connected to nodes CIO, JEZ.
Node JEZ is connected to node CIO.
Node QEF is connected to nodes GLQ, MFS, JOP, CIO.
Node GLQ is connected to node CIO.
Node JOP is connected to node JEZ.","[CIO, GLQ, QEF, MFS, JEZ, JOP]",6,9,True,"Output the topological sorting of this graph. Topological sorting is a linear ordering of the nodes of a directed acyclic graph (DAG) such that for every directed edge, the source node comes before the end nodes in the ordering.","[QEF, GLQ, MFS, JOP, JEZ, CIO]","Let's solve it step by step.
Nodes with 0 in-degree: [QEF].
Visit node QEF and remove it from the graph.
Nodes with 0 in-degree: [GLQ, MFS, JOP].
Visit node GLQ and remove it from the graph.
Nodes with 0 in-degree: [MFS, JOP].
Visit node MFS and remove it from the graph.
Nodes with 0 in-degree: [JOP].
Visit node JOP and remove it from the graph.
Nodes with 0 in-degree: [JEZ].
Visit node JEZ and remove it from the graph.
Nodes with 0 in-degree: [CIO].
Visit node CIO and remove it from the graph.
So the result of topological sorting is ","('[[QEF, JOP, CIO, MFS, GLQ, JEZ], [QEF, GLQ, JEZ, CIO, MFS, JOP], [QEF, GLQ, MFS, JEZ, CIO, JOP], [QEF, GLQ, MFS, JOP, JEZ, CIO]]',)",3,7
topological_sort,"[(OFX, BPG), (OFX, OCH), (OFX, JBC), (OFX, EJZ), (BPG, JBC), (OCH, EJZ), (OCH, BPG), (OCH, JBC), (EJZ, BPG), (RPP, OFX), (RPP, BPG), (RPP, EJZ), (KSU, OCH), (KSU, JBC), (KSU, RPP), (KSU, OFX), (KSU, BPG)]","{OFX: [BPG, OCH, JBC, EJZ],
BPG: [JBC],
OCH: [EJZ, BPG, JBC],
JBC: [],
EJZ: [BPG],
RPP: [OFX, BPG, EJZ],
KSU: [OCH, JBC, RPP, OFX, BPG]}","Node OFX is connected to nodes BPG, OCH, JBC, EJZ.
Node BPG is connected to node JBC.
Node OCH is connected to nodes EJZ, BPG, JBC.
Node EJZ is connected to node BPG.
Node RPP is connected to nodes OFX, BPG, EJZ.
Node KSU is connected to nodes OCH, JBC, RPP, OFX, BPG.","[EJZ, RPP, KSU, JBC, OCH, OFX, BPG]",7,17,True,"Output the topological sorting of this graph. Topological sorting is a linear ordering of the nodes of a directed acyclic graph (DAG) such that for every directed edge, the source node comes before the end nodes in the ordering.","[KSU, RPP, OFX, OCH, EJZ, BPG, JBC]","Let's solve it step by step.
Nodes with 0 in-degree: [KSU].
Visit node KSU and remove it from the graph.
Nodes with 0 in-degree: [RPP].
Visit node RPP and remove it from the graph.
Nodes with 0 in-degree: [OFX].
Visit node OFX and remove it from the graph.
Nodes with 0 in-degree: [OCH].
Visit node OCH and remove it from the graph.
Nodes with 0 in-degree: [EJZ].
Visit node EJZ and remove it from the graph.
Nodes with 0 in-degree: [BPG].
Visit node BPG and remove it from the graph.
Nodes with 0 in-degree: [JBC].
Visit node JBC and remove it from the graph.
So the result of topological sorting is ","('[[KSU, RPP, BPG, JBC, OFX, OCH, EJZ], [KSU, BPG, OCH, EJZ, RPP, JBC, OFX], [KSU, RPP, OFX, JBC, EJZ, OCH, BPG], [KSU, RPP, OFX, OCH, EJZ, BPG, JBC]]',)",3,8
topological_sort,"[(RRE, LOI), (RRE, QSV), (RRE, ODU), (LOI, ZGN), (LOI, ODU), (LOI, QSV), (ODU, QSV), (NNU, ODU), (NNU, ZGN)]","{RRE: [LOI, QSV, ODU],
LOI: [ZGN, ODU, QSV],
QSV: [],
ODU: [QSV],
ZGN: [],
NNU: [ODU, ZGN]}","Node RRE is connected to nodes LOI, QSV, ODU.
Node LOI is connected to nodes ZGN, ODU, QSV.
Node ODU is connected to node QSV.
Node NNU is connected to nodes ODU, ZGN.","[NNU, ODU, QSV, ZGN, LOI, RRE]",6,9,True,"Output the topological sorting of this graph. Topological sorting is a linear ordering of the nodes of a directed acyclic graph (DAG) such that for every directed edge, the source node comes before the end nodes in the ordering.","[RRE, NNU, LOI, ZGN, ODU, QSV]","Let's solve it step by step.
Nodes with 0 in-degree: [RRE, NNU].
Visit node RRE and remove it from the graph.
Nodes with 0 in-degree: [NNU, LOI].
Visit node NNU and remove it from the graph.
Nodes with 0 in-degree: [LOI].
Visit node LOI and remove it from the graph.
Nodes with 0 in-degree: [ZGN, ODU].
Visit node ZGN and remove it from the graph.
Nodes with 0 in-degree: [ODU].
Visit node ODU and remove it from the graph.
Nodes with 0 in-degree: [QSV].
Visit node QSV and remove it from the graph.
So the result of topological sorting is ","('[[RRE, NNU, LOI, ZGN, ODU, QSV], [RRE, NNU, ODU, QSV, ZGN, LOI], [RRE, NNU, LOI, QSV, ZGN, ODU], [RRE, NNU, ODU, QSV, LOI, ZGN]]',)",0,9
